species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Abeillia abeillei	0.00018	0.00015	0.00020	0.01750
Abroscopus albogularis	0.00017	0.00015	0.00020	0.01700
Abroscopus schisticeps	0.00020	0.00017	0.00022	0.01930
Abroscopus superciliaris	0.00019	0.00016	0.00022	0.01900
Aburria aburri	0.00088	0.00082	0.00094	0.08530
Acanthagenys rufogularis	0.00018	0.00015	0.00021	0.01770
Acanthidops bairdi	0.00018	0.00016	0.00021	0.01800
Acanthis flammea	0.00018	0.00016	0.00021	0.01800
Acanthisitta chloris	0.00016	0.00013	0.00018	0.01560
Acanthiza apicalis	0.00016	0.00014	0.00018	0.01580
Acanthiza chrysorrhoa	0.00016	0.00014	0.00019	0.01610
Acanthiza cinerea	0.00017	0.00014	0.00019	0.01660
Acanthiza ewingii	0.00015	0.00013	0.00017	0.01470
Acanthiza inornata	0.00020	0.00017	0.00022	0.01940
Acanthiza iredalei	0.00019	0.00016	0.00022	0.01860
Acanthiza katherina	0.00018	0.00016	0.00021	0.01810
Acanthiza lineata	0.00018	0.00015	0.00020	0.01750
Acanthiza murina	0.00019	0.00016	0.00022	0.01870
Acanthiza nana	0.00016	0.00014	0.00019	0.01610
Acanthiza pusilla	0.00018	0.00015	0.00020	0.01770
Acanthiza reguloides	0.00017	0.00014	0.00019	0.01660
Acanthiza robustirostris	0.00014	0.00012	0.00017	0.01430
Acanthiza uropygialis	0.00015	0.00012	0.00017	0.01480
Acanthoptila nipalensis	0.00015	0.00013	0.00018	0.01530
Acanthorhynchus superciliosus	0.00017	0.00015	0.00020	0.01720
Acanthorhynchus tenuirostris	0.00018	0.00015	0.00020	0.01750
Acanthornis magna	0.00018	0.00015	0.00021	0.01770
Accipiter albogularis	0.00018	0.00015	0.00020	0.01740
Accipiter badius	0.00018	0.00015	0.00021	0.01780
Accipiter bicolor	0.00017	0.00015	0.00020	0.01730
Accipiter brachyurus	0.00262	0.00252	0.00273	0.23490
Accipiter brevipes	0.00017	0.00014	0.00019	0.01660
Accipiter butleri	0.00253	0.00243	0.00263	0.22790
Accipiter castanilius	0.00017	0.00015	0.00020	0.01710
Accipiter cirrocephalus	0.00015	0.00013	0.00018	0.01530
Accipiter collaris	0.00081	0.00076	0.00087	0.07880
Accipiter cooperii	0.00018	0.00015	0.00020	0.01730
Accipiter erythrauchen	0.00081	0.00076	0.00087	0.07880
Accipiter erythropus	0.00019	0.00016	0.00022	0.01860
Accipiter fasciatus	0.00016	0.00014	0.00019	0.01620
Accipiter francesiae	0.00021	0.00018	0.00024	0.02100
Accipiter gentilis	0.00018	0.00015	0.00020	0.01740
Accipiter griseiceps	0.00018	0.00015	0.00021	0.01770
Accipiter gularis	0.00018	0.00015	0.00021	0.01790
Accipiter gundlachi	0.00723	0.00703	0.00743	0.51190
Accipiter haplochrous	0.00084	0.00078	0.00090	0.08140
Accipiter henicogrammus	0.00078	0.00072	0.00083	0.07570
Accipiter henstii	0.00086	0.00080	0.00091	0.08310
Accipiter hiogaster	0.00019	0.00016	0.00021	0.01850
Accipiter imitator	0.00265	0.00255	0.00276	0.23790
Accipiter luteoschistaceus	0.00257	0.00247	0.00268	0.23110
Accipiter madagascariensis	0.00083	0.00077	0.00088	0.08010
Accipiter melanochlamys	0.00015	0.00012	0.00017	0.01460
Accipiter melanoleucus	0.00019	0.00016	0.00022	0.01870
Accipiter meyerianus	0.00019	0.00016	0.00021	0.01830
Accipiter minullus	0.00018	0.00016	0.00021	0.01810
Accipiter nanus	0.00082	0.00076	0.00088	0.07950
Accipiter nisus	0.00015	0.00013	0.00018	0.01510
Accipiter novaehollandiae	0.00017	0.00015	0.00020	0.01700
Accipiter ovampensis	0.00016	0.00013	0.00018	0.01560
Accipiter poliocephalus	0.00017	0.00014	0.00019	0.01650
