year	LC	NT	VU	EN	CR	EX
0	8423	1032	809	473	228	0
1	8412	1036	810	474	221	11
2	8401	1041	811	475	215	21
3	8390	1046	813	475	209	32
4	8379	1050	814	476	203	42
5	8368	1055	816	476	198	52
6	8358	1059	817	477	192	62
7	8347	1063	819	477	187	72
8	8336	1068	820	477	182	82
9	8326	1072	821	477	178	92
10	8315	1076	822	477	173	102
11	8305	1080	824	476	169	112
12	8295	1084	825	476	164	121
13	8284	1088	826	476	160	131
14	8274	1091	827	475	156	140
15	8264	1095	829	475	153	150
16	8254	1099	830	475	149	159
17	8244	1102	831	474	145	169
18	8234	1106	832	474	142	178
19	8224	1109	833	473	139	187
20	8214	1113	834	472	136	196
21	8204	1116	835	472	133	205
22	8194	1120	836	471	130	214
23	8185	1123	837	470	127	223
24	8175	1126	838	469	124	232
25	8166	1129	839	468	122	241
26	8156	1132	840	468	119	250
27	8147	1136	841	467	117	259
28	8137	1138	842	466	114	268
29	8128	1141	843	465	112	276
30	8118	1144	843	464	110	285
31	8109	1147	844	463	108	294
32	8100	1150	845	462	106	302
33	8091	1153	846	461	104	311
34	8081	1155	846	460	102	319
35	8072	1158	847	459	101	328
36	8063	1161	848	458	99	337
37	8054	1163	848	457	97	345
38	8045	1166	849	456	96	353
39	8037	1168	850	454	94	362
40	8028	1170	851	453	93	370
41	8019	1173	851	452	91	379
42	8010	1175	852	451	90	387
43	8001	1177	852	450	89	395
44	7993	1179	853	449	87	404
45	7984	1182	853	448	86	412
46	7976	1184	854	447	85	420
47	7967	1186	854	446	84	428
48	7959	1188	855	445	83	437
49	7950	1190	855	444	82	445
50	7942	1192	855	443	81	453
51	7933	1194	856	442	80	461
52	7925	1195	856	440	79	469
53	7916	1197	856	439	78	478
54	7908	1199	857	438	77	486
55	7900	1201	857	437	76	494
56	7892	1202	857	436	75	502
57	7884	1204	858	435	75	510
58	7875	1206	858	434	74	518
59	7867	1207	858	433	73	526
60	7859	1209	858	432	73	534
61	7851	1210	858	431	72	542
62	7843	1212	859	430	71	550
63	7835	1213	859	429	71	558
64	7827	1215	859	428	70	567
65	7819	1216	859	427	69	575
66	7811	1217	859	426	69	583
67	7804	1219	859	425	68	591
68	7796	1220	859	424	68	599
69	7788	1221	859	423	67	607
70	7780	1222	859	422	67	615
71	7772	1224	859	421	66	623
72	7765	1225	859	420	66	631
73	7757	1226	859	419	65	638
74	7749	1227	859	418	65	646
75	7741	1228	859	417	65	654
76	7734	1229	859	416	64	662
77	7726	1230	859	415	64	670
78	7719	1231	859	415	63	678
79	7711	1232	859	414	63	686
80	7704	1233	859	413	63	694
81	7696	1234	859	412	62	702
82	7689	1234	858	411	62	710
83	7681	1235	858	410	62	718
84	7674	1236	858	410	61	726
85	7666	1237	858	409	61	734
86	7659	1238	858	408	61	742
87	7652	1238	858	407	61	750
88	7644	1239	857	406	60	758
89	7637	1240	857	406	60	765
90	7630	1241	857	405	60	773
91	7622	1241	857	404	60	781
92	7615	1242	856	403	59	789
93	7608	1242	856	402	59	797
94	7601	1243	856	402	59	805
95	7593	1243	855	401	59	813
96	7586	1244	855	400	59	821
97	7579	1245	855	399	58	829
98	7572	1245	855	399	58	837
99	7565	1245	854	398	58	844
100	7558	1246	854	397	58	852
