year	LC	NT	VU	EN	CR	EX
0	8424	1032	809	473	228	0
1	8423	1032	808	471	220	11
2	8423	1032	808	468	213	21
3	8423	1031	808	466	206	31
4	8423	1031	807	463	199	41
5	8423	1031	807	460	193	50
6	8423	1031	806	458	186	60
7	8423	1031	806	455	180	69
8	8423	1031	805	453	174	78
9	8423	1031	805	450	168	86
10	8423	1031	805	448	163	95
11	8423	1031	804	445	158	103
12	8423	1031	804	443	152	111
13	8423	1031	803	441	147	119
14	8423	1031	803	438	142	127
15	8423	1031	802	436	138	134
16	8423	1031	802	433	133	142
17	8423	1031	802	431	129	149
18	8423	1031	801	428	125	156
19	8423	1031	801	426	121	163
20	8423	1031	800	424	117	170
21	8423	1031	800	421	113	176
22	8423	1031	800	419	109	183
23	8423	1031	799	417	105	189
24	8423	1031	799	414	102	195
25	8423	1031	798	412	99	201
26	8423	1031	798	410	95	207
27	8423	1031	797	408	92	213
28	8423	1031	797	405	89	219
29	8423	1031	797	403	86	224
30	8423	1031	796	401	83	230
31	8423	1031	796	399	81	235
32	8423	1031	795	396	78	241
33	8423	1031	795	394	76	246
34	8423	1031	795	392	73	251
35	8423	1031	794	390	71	256
36	8423	1031	794	388	68	261
37	8423	1031	793	386	66	266
38	8423	1031	793	383	64	271
39	8423	1031	792	381	62	275
40	8423	1031	792	379	60	280
41	8423	1031	792	377	58	284
42	8423	1031	791	375	56	289
43	8423	1031	791	373	54	293
44	8423	1031	790	371	52	297
45	8423	1031	790	369	51	302
46	8423	1031	790	367	49	306
47	8423	1031	789	365	47	310
48	8423	1031	789	363	46	314
49	8423	1030	788	361	44	318
50	8423	1030	788	359	43	322
51	8423	1030	787	357	41	325
52	8423	1030	787	355	40	329
53	8423	1030	787	353	39	333
54	8423	1030	786	351	37	337
55	8423	1030	786	349	36	340
56	8423	1030	785	347	35	344
57	8423	1030	785	345	34	347
58	8423	1030	785	343	33	351
59	8423	1030	784	341	32	354
60	8423	1030	784	339	31	358
61	8423	1030	783	338	30	361
62	8423	1030	783	336	29	364
63	8423	1030	783	334	28	367
64	8423	1030	782	332	27	371
65	8423	1030	782	330	26	374
66	8423	1030	781	328	25	377
67	8423	1030	781	327	24	380
68	8423	1030	780	325	23	383
69	8423	1030	780	323	23	386
70	8423	1030	780	321	22	389
71	8423	1030	779	319	21	392
72	8423	1030	779	318	20	395
73	8423	1030	778	316	20	398
74	8423	1030	778	314	19	400
75	8423	1030	778	312	18	403
76	8423	1030	777	311	18	406
77	8423	1030	777	309	17	409
78	8423	1030	776	307	17	411
79	8423	1030	776	305	16	414
80	8423	1030	776	304	16	417
81	8423	1030	775	302	15	419
82	8423	1030	775	300	15	422
83	8423	1030	774	299	14	425
84	8423	1030	774	297	14	427
85	8423	1030	773	295	13	430
86	8423	1030	773	294	13	432
87	8423	1030	773	292	12	435
88	8423	1030	772	291	12	437
89	8423	1030	772	289	12	440
90	8423	1030	771	287	11	442
91	8423	1030	771	286	11	444
92	8423	1030	771	284	10	447
93	8423	1030	770	283	10	449
94	8423	1030	770	281	10	451
95	8423	1030	769	279	9	454
96	8423	1030	769	278	9	456
97	8423	1029	769	276	9	458
98	8423	1029	768	275	9	460
99	8423	1029	768	273	8	463
100	8423	1029	767	272	8	465
