species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Abeillia abeillei	0.00012	0.00010	0.00015	0.01230
Abroscopus albogularis	0.00014	0.00012	0.00017	0.01420
Abroscopus schisticeps	0.00014	0.00012	0.00017	0.01390
Abroscopus superciliaris	0.00012	0.00010	0.00014	0.01200
Aburria aburri	0.00078	0.00073	0.00084	0.07580
Acanthagenys rufogularis	0.00014	0.00011	0.00016	0.01340
Acanthidops bairdi	0.00011	0.00009	0.00013	0.01080
Acanthis flammea	0.00009	0.00007	0.00011	0.00910
Acanthisitta chloris	0.00018	0.00016	0.00021	0.01780
Acanthiza apicalis	0.00016	0.00013	0.00018	0.01560
Acanthiza chrysorrhoa	0.00011	0.00009	0.00013	0.01080
Acanthiza cinerea	0.00013	0.00011	0.00015	0.01250
Acanthiza ewingii	0.00008	0.00006	0.00009	0.00750
Acanthiza inornata	0.00011	0.00009	0.00013	0.01050
Acanthiza iredalei	0.00012	0.00010	0.00014	0.01160
Acanthiza katherina	0.00010	0.00008	0.00012	0.01010
Acanthiza lineata	0.00011	0.00009	0.00014	0.01130
Acanthiza murina	0.00010	0.00008	0.00012	0.01020
Acanthiza nana	0.00010	0.00008	0.00012	0.00950
Acanthiza pusilla	0.00008	0.00006	0.00009	0.00760
Acanthiza reguloides	0.00010	0.00008	0.00012	0.00950
Acanthiza robustirostris	0.00012	0.00010	0.00015	0.01230
Acanthiza uropygialis	0.00014	0.00012	0.00016	0.01370
Acanthoptila nipalensis	0.00013	0.00011	0.00016	0.01310
Acanthorhynchus superciliosus	0.00015	0.00013	0.00017	0.01480
Acanthorhynchus tenuirostris	0.00015	0.00013	0.00018	0.01520
Acanthornis magna	0.00009	0.00008	0.00011	0.00930
Accipiter albogularis	0.00015	0.00013	0.00018	0.01530
Accipiter badius	0.00016	0.00014	0.00019	0.01590
Accipiter bicolor	0.00018	0.00015	0.00020	0.01760
Accipiter brachyurus	0.00244	0.00234	0.00255	0.22080
Accipiter brevipes	0.00018	0.00015	0.00020	0.01760
Accipiter butleri	0.00246	0.00236	0.00256	0.22180
Accipiter castanilius	0.00017	0.00014	0.00019	0.01630
Accipiter cirrocephalus	0.00017	0.00014	0.00019	0.01640
Accipiter collaris	0.00077	0.00071	0.00082	0.07430
Accipiter cooperii	0.00017	0.00014	0.00019	0.01640
Accipiter erythrauchen	0.00077	0.00071	0.00082	0.07450
Accipiter erythropus	0.00017	0.00014	0.00019	0.01670
Accipiter fasciatus	0.00016	0.00014	0.00019	0.01630
Accipiter francesiae	0.00016	0.00013	0.00018	0.01580
Accipiter gentilis	0.00018	0.00015	0.00020	0.01740
Accipiter griseiceps	0.00009	0.00007	0.00010	0.00850
Accipiter gularis	0.00016	0.00014	0.00019	0.01600
Accipiter gundlachi	0.00705	0.00686	0.00724	0.50600
Accipiter haplochrous	0.00080	0.00074	0.00085	0.07760
Accipiter henicogrammus	0.00078	0.00073	0.00084	0.07590
Accipiter henstii	0.00083	0.00077	0.00089	0.08050
Accipiter hiogaster	0.00012	0.00010	0.00014	0.01170
Accipiter imitator	0.00251	0.00241	0.00262	0.22650
Accipiter luteoschistaceus	0.00243	0.00233	0.00253	0.21940
Accipiter madagascariensis	0.00078	0.00072	0.00083	0.07540
Accipiter melanochlamys	0.00016	0.00014	0.00019	0.01590
Accipiter melanoleucus	0.00017	0.00014	0.00019	0.01660
Accipiter meyerianus	0.00016	0.00014	0.00019	0.01610
Accipiter minullus	0.00017	0.00014	0.00019	0.01660
Accipiter nanus	0.00086	0.00080	0.00092	0.08330
Accipiter nisus	0.00018	0.00015	0.00020	0.01730
Accipiter novaehollandiae	0.00015	0.00013	0.00018	0.01530
Accipiter ovampensis	0.00018	0.00015	0.00020	0.01740
Accipiter poliocephalus	0.00018	0.00016	0.00021	0.01820
Accipiter poliogaster	0.00039	0.00035	0.00043	0.03870
Accipiter princeps	0.00242	0.00232	0.00252	0.21860
Accipiter rhodogaster	0.00016	0.00014	0.00019	0.01620
Accipiter rufitorques	0.00019	0.00016	0.00022	0.01870
Accipiter rufiventris	0.00016	0.00013	0.00018	0.01540
Accipiter soloensis	0.00018	0.00015	0.00020	0.01740
Accipiter striatus	0.00012	0.00010	0.00015	0.01220
Accipiter superciliosus	0.00017	0.00015	0.00020	0.01730
Accipiter sylvestris	0.00012	0.00010	0.00015	0.01230
Accipiter tachiro	0.00011	0.00009	0.00013	0.01120
Accipiter toussenelii	0.00014	0.00011	0.00016	0.01340
Accipiter trinotatus	0.00017	0.00014	0.00020	0.01680
Accipiter trivirgatus	0.00008	0.00006	0.00010	0.00780
Accipiter virgatus	0.00015	0.00013	0.00018	0.01510
Aceros nipalensis	0.00219	0.00209	0.00229	0.19990
Achaetops pycnopygius	0.00016	0.00014	0.00019	0.01630
Acridotheres albocinctus	0.00012	0.00010	0.00014	0.01180
Acridotheres burmannicus	0.00015	0.00013	0.00017	0.01470
Acridotheres cinereus	0.00010	0.00008	0.00012	0.00960
Acridotheres cristatellus	0.00012	0.00010	0.00015	0.01230
Acridotheres fuscus	0.00017	0.00014	0.00020	0.01680
Acridotheres ginginianus	0.00016	0.00014	0.00019	0.01610
Acridotheres grandis	0.00017	0.00015	0.00020	0.01710
Acridotheres javanicus	0.00218	0.00209	0.00228	0.19910
Acridotheres leucocephalus	0.00016	0.00013	0.00018	0.01560
Acridotheres melanopterus	0.01172	0.01144	0.01200	0.66440
Acridotheres tertius	0.01611	0.01574	0.01647	0.75450
Acridotheres tricolor	0.01557	0.01523	0.01593	0.74450
Acridotheres tristis	0.00019	0.00016	0.00021	0.01830
Acritillas indica	0.00013	0.00011	0.00015	0.01280
Acrobatornis fonsecai	0.00165	0.00157	0.00173	0.15400
Acrocephalus aequinoctialis	0.00438	0.00424	0.00453	0.35630
Acrocephalus agricola	0.00015	0.00013	0.00017	0.01480
Acrocephalus arundinaceus	0.00014	0.00012	0.00016	0.01370
Acrocephalus atyphus	0.00010	0.00009	0.00013	0.01030
Acrocephalus australis	0.00016	0.00014	0.00019	0.01610
Acrocephalus bistrigiceps	0.00016	0.00013	0.00018	0.01550
Acrocephalus brevipennis	0.00651	0.00632	0.00669	0.47830
Acrocephalus caffer	0.00663	0.00644	0.00682	0.48170
Acrocephalus concinens	0.00015	0.00012	0.00017	0.01450
Acrocephalus dumetorum	0.00014	0.00011	0.00016	0.01340
Acrocephalus familiaris	0.01532	0.01496	0.01566	0.73560
Acrocephalus gracilirostris	0.00015	0.00013	0.00017	0.01480
Acrocephalus griseldis	0.00701	0.00681	0.00720	0.50190
Acrocephalus hiwae	0.01745	0.01709	0.01786	0.78390
Acrocephalus kerearako	0.00055	0.00051	0.00060	0.05430
Acrocephalus longirostris	0.02119	0.02074	0.02165	0.83290
Acrocephalus melanopogon	0.00014	0.00011	0.00016	0.01360
Acrocephalus mendanae	0.00015	0.00013	0.00018	0.01530
Acrocephalus newtoni	0.00016	0.00014	0.00019	0.01600
Acrocephalus orientalis	0.00016	0.00014	0.00019	0.01630
Acrocephalus orinus	0.00139	0.00131	0.00147	0.13040
Acrocephalus paludicola	0.00220	0.00210	0.00229	0.20040
Acrocephalus palustris	0.00015	0.00012	0.00017	0.01470
Acrocephalus percernis	0.00017	0.00015	0.00020	0.01710
Acrocephalus rehsei	0.00215	0.00205	0.00224	0.19650
Acrocephalus rimitarae	0.01268	0.01239	0.01298	0.68750
Acrocephalus rodericanus	0.00074	0.00069	0.00080	0.07190
Acrocephalus rufescens	0.00017	0.00015	0.00020	0.01690
Acrocephalus schoenobaenus	0.00017	0.00015	0.00020	0.01700
Acrocephalus scirpaceus	0.00012	0.00010	0.00015	0.01210
Acrocephalus sechellensis	0.00078	0.00072	0.00084	0.07590
Acrocephalus sorghophilus	0.00326	0.00313	0.00337	0.27940
Acrocephalus stentoreus	0.00016	0.00013	0.00018	0.01540
Acrocephalus syrinx	0.00015	0.00013	0.00018	0.01500
Acrocephalus taiti	0.00182	0.00174	0.00192	0.16940
Acrocephalus tangorum	0.00218	0.00209	0.00228	0.19880
Acrocephalus vaughani	0.00474	0.00458	0.00488	0.37830
Acropternis orthonyx	0.00010	0.00008	0.00012	0.01020
Acryllium vulturinum	0.00016	0.00014	0.00019	0.01600
Actenoides bougainvillei	0.00572	0.00555	0.00589	0.43670
Actenoides capucinus	0.00076	0.00071	0.00082	0.07420
Actenoides concretus	0.00075	0.00069	0.00080	0.07260
Actenoides excelsus	0.00563	0.00546	0.00580	0.43160
Actenoides hombroni	0.00217	0.00207	0.00226	0.19810
Actenoides lindsayi	0.00014	0.00012	0.00017	0.01400
Actenoides monachus	0.00073	0.00068	0.00079	0.07110
Actenoides princeps	0.00080	0.00074	0.00085	0.07720
Actenoides regalis	0.00236	0.00226	0.00246	0.21390
Actinodura egertoni	0.00013	0.00011	0.00016	0.01300
Actinodura radcliffei	0.00013	0.00011	0.00015	0.01260
Actinodura ramsayi	0.00011	0.00009	0.00013	0.01060
Actinodura sodangorum	0.00068	0.00062	0.00073	0.06580
Actitis hypoleucos	0.00015	0.00013	0.00017	0.01490
Actitis macularius	0.00011	0.00009	0.00013	0.01060
Actophilornis africanus	0.00014	0.00011	0.00016	0.01340
Actophilornis albinucha	0.00068	0.00063	0.00073	0.06620
Adelomyia melanogenys	0.00012	0.00010	0.00014	0.01160
Aechmophorus clarkii	0.00018	0.00015	0.00021	0.01780
Aechmophorus occidentalis	0.00016	0.00014	0.00019	0.01620
Aegithalos annamensis	0.00014	0.00012	0.00016	0.01380
Aegithalos bonvaloti	0.00017	0.00014	0.00020	0.01690
Aegithalos caudatus	0.00014	0.00012	0.00017	0.01410
Aegithalos concinnus	0.00011	0.00009	0.00013	0.01100
Aegithalos fuliginosus	0.00017	0.00015	0.00020	0.01720
Aegithalos glaucogularis	0.00014	0.00012	0.00016	0.01390
Aegithalos iouschistos	0.00016	0.00013	0.00018	0.01560
Aegithalos iredalei	0.00014	0.00012	0.00017	0.01420
