year	LC	NT	VU	EN	CR	EX
0	8424	1032	809	473	228	0
1	8413	1036	810	475	223	8
2	8401	1041	812	476	219	16
3	8390	1045	813	477	215	24
4	8380	1050	814	478	211	32
5	8369	1054	816	479	208	39
6	8358	1059	817	480	204	47
7	8347	1063	819	481	200	55
8	8337	1067	820	482	197	63
9	8326	1071	821	482	194	71
10	8315	1076	823	483	190	78
11	8305	1080	824	483	187	86
12	8295	1083	825	484	184	94
13	8284	1087	827	484	181	101
14	8274	1091	828	484	178	109
15	8264	1095	829	485	176	116
16	8254	1099	831	485	173	124
17	8244	1102	832	485	170	132
18	8234	1106	833	485	168	139
19	8224	1109	834	485	165	147
20	8214	1113	836	485	163	154
21	8204	1116	837	485	161	162
22	8194	1120	838	485	158	169
23	8184	1123	839	485	156	177
24	8175	1126	841	485	154	184
25	8165	1130	842	485	152	192
26	8156	1133	843	484	150	199
27	8146	1136	844	484	148	207
28	8137	1139	845	484	146	214
29	8127	1142	846	484	145	221
30	8118	1145	847	483	143	229
31	8109	1148	848	483	141	236
32	8100	1151	849	483	139	244
33	8090	1153	850	482	138	251
34	8081	1156	851	482	136	258
35	8072	1159	852	481	135	266
36	8063	1161	853	481	133	273
37	8054	1164	854	481	132	280
38	8045	1167	855	480	130	288
39	8036	1169	856	480	129	295
40	8027	1172	857	479	128	303
41	8019	1174	857	479	126	310
42	8010	1176	858	478	125	317
43	8001	1179	859	478	124	324
44	7992	1181	860	477	123	332
45	7984	1183	860	477	122	339
46	7975	1186	861	476	121	346
47	7967	1188	862	475	120	354
48	7958	1190	862	475	119	361
49	7950	1192	863	474	118	368
50	7941	1194	864	474	117	376
51	7933	1196	864	473	116	383
52	7925	1198	865	473	115	390
53	7916	1200	866	472	114	397
54	7908	1202	866	471	113	405
55	7900	1203	867	471	112	412
56	7892	1205	867	470	111	419
57	7883	1207	868	470	111	426
58	7875	1209	868	469	110	434
59	7867	1211	869	468	109	441
60	7859	1212	869	468	109	448
61	7851	1214	870	467	108	456
62	7843	1215	870	466	107	463
63	7835	1217	870	466	106	470
64	7827	1219	871	465	106	477
65	7819	1220	871	465	105	484
66	7811	1222	872	464	105	492
67	7803	1223	872	463	104	499
68	7796	1225	872	463	103	506
69	7788	1226	873	462	103	513
70	7780	1228	873	462	102	521
71	7773	1229	873	461	102	528
72	7765	1230	873	460	101	535
73	7757	1231	874	460	101	542
74	7750	1233	874	459	100	550
75	7742	1234	874	459	100	557
76	7734	1235	874	458	99	564
77	7727	1236	874	458	99	571
78	7719	1237	874	457	98	579
79	7712	1238	875	457	98	586
80	7705	1239	875	456	97	593
81	7697	1240	875	455	97	600
82	7690	1241	875	455	96	608
83	7682	1242	875	454	96	615
84	7675	1243	875	454	96	622
85	7668	1244	875	453	95	629
86	7660	1245	875	452	95	637
87	7653	1246	875	452	95	644
88	7646	1247	875	451	95	651
89	7639	1248	875	451	94	658
90	7631	1249	875	450	94	666
91	7624	1249	875	449	94	673
92	7617	1250	875	449	93	680
93	7610	1251	875	448	93	687
94	7603	1252	876	448	93	695
95	7596	1252	875	447	92	702
96	7589	1253	875	447	92	709
97	7582	1253	875	446	92	716
98	7575	1254	875	446	92	724
99	7568	1255	875	445	91	731
100	7561	1255	875	445	91	738
