species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Abeillia abeillei	0.00000	0.00000	0.00000	0.00000
Abroscopus albogularis	0.00000	0.00000	0.00000	0.00000
Abroscopus schisticeps	0.00000	0.00000	0.00000	0.00000
Abroscopus superciliaris	0.00000	0.00000	0.00001	0.00020
Aburria aburri	0.00001	0.00001	0.00002	0.00130
Acanthagenys rufogularis	0.00000	0.00000	0.00000	0.00000
Acanthidops bairdi	0.00000	0.00000	0.00000	0.00000
Acanthis flammea	0.00000	0.00000	0.00000	0.00000
Acanthisitta chloris	0.00000	0.00000	0.00000	0.00010
Acanthiza apicalis	0.00000	0.00000	0.00000	0.00000
Acanthiza chrysorrhoa	0.00000	0.00000	0.00000	0.00000
Acanthiza cinerea	0.00000	0.00000	0.00000	0.00000
Acanthiza ewingii	0.00000	0.00000	0.00000	0.00000
Acanthiza inornata	0.00000	0.00000	0.00000	0.00000
Acanthiza iredalei	0.00000	0.00000	0.00000	0.00000
Acanthiza katherina	0.00000	0.00000	0.00000	0.00000
Acanthiza lineata	0.00000	0.00000	0.00000	0.00000
Acanthiza murina	0.00000	0.00000	0.00000	0.00000
Acanthiza nana	0.00000	0.00000	0.00000	0.00000
Acanthiza pusilla	0.00000	0.00000	0.00000	0.00000
Acanthiza reguloides	0.00000	0.00000	0.00000	0.00000
Acanthiza robustirostris	0.00000	0.00000	0.00000	0.00000
Acanthiza uropygialis	0.00000	0.00000	0.00000	0.00000
Acanthoptila nipalensis	0.00000	0.00000	0.00000	0.00000
Acanthorhynchus superciliosus	0.00000	0.00000	0.00000	0.00000
Acanthorhynchus tenuirostris	0.00000	0.00000	0.00000	0.00000
Acanthornis magna	0.00000	0.00000	0.00000	0.00000
Accipiter albogularis	0.00000	0.00000	0.00000	0.00000
Accipiter badius	0.00000	0.00000	0.00000	0.00000
Accipiter bicolor	0.00000	0.00000	0.00000	0.00000
Accipiter brachyurus	0.00051	0.00047	0.00056	0.04980
Accipiter brevipes	0.00000	0.00000	0.00000	0.00000
Accipiter butleri	0.00053	0.00048	0.00057	0.05140
Accipiter castanilius	0.00000	0.00000	0.00000	0.00000
Accipiter cirrocephalus	0.00000	0.00000	0.00000	0.00000
Accipiter collaris	0.00002	0.00001	0.00003	0.00200
Accipiter cooperii	0.00000	0.00000	0.00000	0.00000
Accipiter erythrauchen	0.00003	0.00002	0.00004	0.00250
Accipiter erythropus	0.00000	0.00000	0.00000	0.00000
Accipiter fasciatus	0.00000	0.00000	0.00000	0.00010
Accipiter francesiae	0.00000	0.00000	0.00000	0.00000
Accipiter gentilis	0.00000	0.00000	0.00000	0.00000
Accipiter griseiceps	0.00000	0.00000	0.00000	0.00000
Accipiter gularis	0.00000	0.00000	0.00000	0.00000
Accipiter gundlachi	0.00532	0.00516	0.00549	0.41290
Accipiter haplochrous	0.00002	0.00001	0.00003	0.00190
Accipiter henicogrammus	0.00001	0.00001	0.00002	0.00140
Accipiter henstii	0.00002	0.00001	0.00003	0.00180
Accipiter hiogaster	0.00000	0.00000	0.00000	0.00000
Accipiter imitator	0.00053	0.00048	0.00058	0.05140
Accipiter luteoschistaceus	0.00050	0.00046	0.00055	0.04910
Accipiter madagascariensis	0.00002	0.00001	0.00003	0.00170
Accipiter melanochlamys	0.00000	0.00000	0.00000	0.00000
Accipiter melanoleucus	0.00000	0.00000	0.00000	0.00000
Accipiter meyerianus	0.00000	0.00000	0.00000	0.00000
Accipiter minullus	0.00000	0.00000	0.00000	0.00000
Accipiter nanus	0.00002	0.00001	0.00002	0.00150
Accipiter nisus	0.00000	0.00000	0.00000	0.00000
Accipiter novaehollandiae	0.00000	0.00000	0.00000	0.00000
Accipiter ovampensis	0.00000	0.00000	0.00000	0.00000
Accipiter poliocephalus	0.00000	0.00000	0.00000	0.00000
Accipiter poliogaster	0.00002	0.00001	0.00002	0.00160
Accipiter princeps	0.00054	0.00050	0.00059	0.05260
Accipiter rhodogaster	0.00000	0.00000	0.00000	0.00000
Accipiter rufitorques	0.00000	0.00000	0.00000	0.00000
Accipiter rufiventris	0.00000	0.00000	0.00000	0.00000
Accipiter soloensis	0.00000	0.00000	0.00000	0.00000
Accipiter striatus	0.00000	0.00000	0.00000	0.00000
Accipiter superciliosus	0.00000	0.00000	0.00000	0.00000
Accipiter sylvestris	0.00000	0.00000	0.00000	0.00000
Accipiter tachiro	0.00000	0.00000	0.00000	0.00000
Accipiter toussenelii	0.00000	0.00000	0.00000	0.00000
Accipiter trinotatus	0.00000	0.00000	0.00000	0.00000
Accipiter trivirgatus	0.00000	0.00000	0.00000	0.00000
Accipiter virgatus	0.00000	0.00000	0.00000	0.00000
Aceros nipalensis	0.00055	0.00050	0.00059	0.05300
Achaetops pycnopygius	0.00000	0.00000	0.00000	0.00000
Acridotheres albocinctus	0.00000	0.00000	0.00000	0.00000
Acridotheres burmannicus	0.00000	0.00000	0.00000	0.00000
Acridotheres cinereus	0.00000	0.00000	0.00000	0.00000
Acridotheres cristatellus	0.00000	0.00000	0.00000	0.00000
Acridotheres fuscus	0.00000	0.00000	0.00000	0.00000
Acridotheres ginginianus	0.00000	0.00000	0.00000	0.00000
Acridotheres grandis	0.00000	0.00000	0.00000	0.00000
Acridotheres javanicus	0.00055	0.00050	0.00060	0.05350
Acridotheres leucocephalus	0.00000	0.00000	0.00000	0.00000
Acridotheres melanopterus	0.01568	0.01533	0.01603	0.78350
Acridotheres tertius	0.02040	0.01996	0.02082	0.85450
Acridotheres tricolor	0.02080	0.02038	0.02124	0.85790
Acridotheres tristis	0.00000	0.00000	0.00000	0.00000
Acritillas indica	0.00000	0.00000	0.00000	0.00000
Acrobatornis fonsecai	0.00050	0.00045	0.00054	0.04870
Acrocephalus aequinoctialis	0.00309	0.00297	0.00320	0.26520
Acrocephalus agricola	0.00000	0.00000	0.00000	0.00000
Acrocephalus arundinaceus	0.00000	0.00000	0.00000	0.00000
Acrocephalus atyphus	0.00000	0.00000	0.00000	0.00010
Acrocephalus australis	0.00000	0.00000	0.00000	0.00000
Acrocephalus bistrigiceps	0.00000	0.00000	0.00000	0.00010
Acrocephalus brevipennis	0.00479	0.00463	0.00493	0.37970
Acrocephalus caffer	0.00505	0.00489	0.00520	0.39600
Acrocephalus concinens	0.00000	0.00000	0.00001	0.00020
Acrocephalus dumetorum	0.00000	0.00000	0.00000	0.00000
Acrocephalus familiaris	0.02047	0.02003	0.02089	0.85130
Acrocephalus gracilirostris	0.00000	0.00000	0.00000	0.00000
Acrocephalus griseldis	0.00525	0.00510	0.00542	0.40920
Acrocephalus hiwae	0.02356	0.02308	0.02404	0.89620
Acrocephalus kerearako	0.00003	0.00002	0.00004	0.00240
Acrocephalus longirostris	0.02813	0.02756	0.02869	0.94000
