year	LC	NT	VU	EN	CR	EX
0	8424	1032	809	473	228	0
1	8423	1032	808	471	222	8
2	8423	1032	808	469	217	16
3	8423	1031	808	467	212	23
4	8423	1031	807	465	207	31
5	8423	1031	807	463	202	38
6	8423	1031	806	461	198	45
7	8423	1031	806	459	193	52
8	8423	1031	805	457	189	59
9	8423	1031	805	455	184	66
10	8423	1031	805	453	180	73
11	8423	1031	804	451	176	79
12	8423	1031	804	449	172	86
13	8423	1031	803	447	168	92
14	8423	1031	803	445	164	98
15	8423	1031	802	443	161	105
16	8423	1031	802	441	157	111
17	8423	1031	802	439	153	117
18	8423	1031	801	437	150	123
19	8423	1031	801	435	147	128
20	8423	1031	800	433	143	134
21	8423	1031	800	431	140	139
22	8423	1031	800	429	137	145
23	8423	1031	799	427	134	150
24	8423	1031	799	425	131	156
25	8423	1031	798	423	128	161
26	8423	1031	798	421	125	166
27	8423	1031	797	419	123	171
28	8423	1031	797	417	120	176
29	8423	1031	797	416	117	181
30	8423	1031	796	414	115	186
31	8423	1031	796	412	112	191
32	8423	1031	795	410	110	195
33	8423	1031	795	408	107	200
34	8423	1031	795	406	105	205
35	8423	1031	794	405	103	209
36	8423	1031	794	403	101	214
37	8423	1031	793	401	98	218
38	8423	1031	793	399	96	222
39	8423	1031	792	397	94	227
40	8423	1031	792	396	92	231
41	8423	1031	792	394	90	235
42	8423	1031	791	392	88	239
43	8423	1031	791	390	87	243
44	8423	1031	790	389	85	247
45	8423	1031	790	387	83	251
46	8423	1031	790	385	81	255
47	8423	1031	789	384	80	259
48	8423	1031	789	382	78	263
49	8423	1030	788	380	76	266
50	8423	1030	788	379	75	270
51	8423	1030	787	377	73	274
52	8423	1030	787	375	72	277
53	8423	1030	787	374	70	281
54	8423	1030	786	372	69	284
55	8423	1030	786	370	67	288
56	8423	1030	785	369	66	291
57	8423	1030	785	367	65	295
58	8423	1030	785	365	63	298
59	8423	1030	784	364	62	301
60	8423	1030	784	362	61	305
61	8423	1030	783	361	59	308
62	8423	1030	783	359	58	311
63	8423	1030	783	357	57	314
64	8423	1030	782	356	56	318
65	8423	1030	782	354	55	321
66	8423	1030	781	353	54	324
67	8423	1030	781	351	53	327
68	8423	1030	780	350	52	330
69	8423	1030	780	348	51	333
70	8423	1030	780	346	50	336
71	8423	1030	779	345	49	339
72	8423	1030	779	343	48	342
73	8423	1030	778	342	47	344
74	8423	1030	778	340	46	347
75	8423	1030	778	339	45	350
76	8423	1030	777	337	44	353
77	8423	1030	777	336	43	356
78	8423	1030	776	334	42	358
79	8423	1030	776	333	42	361
80	8423	1030	776	332	41	364
81	8423	1030	775	330	40	367
82	8423	1030	775	329	39	369
83	8423	1030	774	327	39	372
84	8423	1030	774	326	38	374
85	8423	1030	773	324	37	377
86	8423	1030	773	323	36	379
87	8423	1030	773	321	36	382
88	8423	1030	772	320	35	385
89	8423	1030	772	319	34	387
90	8423	1030	771	317	34	389
91	8423	1030	771	316	33	392
92	8423	1030	771	314	33	394
93	8423	1030	770	313	32	397
94	8423	1030	770	312	31	399
95	8423	1030	769	310	31	401
96	8423	1030	769	309	30	404
97	8423	1029	769	308	30	406
98	8423	1029	768	306	29	408
99	8423	1029	768	305	29	411
100	8423	1029	767	304	28	413
