status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00147030	0.00138608	0.00157356	0.00140840	0.00135604	0.00159460	0.00161469	0.00146198	0.00128147	0.00151438	0.00174178	0.00139063	0.00164239	0.00167069	0.00131510	0.00150935	0.00148870	0.00136456	0.00147856	0.00157805	0.00155118	0.00160955	0.00137628	0.00138582	0.00187390	0.00131513	0.00151901	0.00143051	0.00142962	0.00148590	0.00151615	0.00156946	0.00130109	0.00130039	0.00143762	0.00161713	0.00137744	0.00156599	0.00152200	0.00158180	0.00161443	0.00154641	0.00153367	0.00146675	0.00170084	0.00143642	0.00163724	0.00144083	0.00167420	0.00157269	0.00144222	0.00160323	0.00153419	0.00145744	0.00152414	0.00157290	0.00150571	0.00159007	0.00155119	0.00143139	0.00127734	0.00149289	0.00147335	0.00162447	0.00144041	0.00161333	0.00147312	0.00145950	0.00158885	0.00147077	0.00160342	0.00172075	0.00164730	0.00153936	0.00144474	0.00130840	0.00180311	0.00152877	0.00158461	0.00179352	0.00161752	0.00158051	0.00139656	0.00152253	0.00139263	0.00156587	0.00158676	0.00132964	0.00137904	0.00148535	0.00159820	0.00157264	0.00152198	0.00146140	0.00160744	0.00148219	0.00165681	0.00160367	0.00149420	0.00163323
LC->VU	0.00058868	0.00077540	0.00060331	0.00066687	0.00066885	0.00060547	0.00070957	0.00068416	0.00068153	0.00069554	0.00055841	0.00079929	0.00058780	0.00055840	0.00064446	0.00065486	0.00056105	0.00057486	0.00066559	0.00058031	0.00070503	0.00055693	0.00058229	0.00060379	0.00059650	0.00073890	0.00067646	0.00061569	0.00051445	0.00077294	0.00069818	0.00076812	0.00063820	0.00071654	0.00053566	0.00070591	0.00066908	0.00059199	0.00062468	0.00056267	0.00060867	0.00084547	0.00064187	0.00057720	0.00071142	0.00064182	0.00063077	0.00068421	0.00065524	0.00073806	0.00070034	0.00068324	0.00057882	0.00063334	0.00074664	0.00062963	0.00063085	0.00059618	0.00064163	0.00055715	0.00070883	0.00072940	0.00069771	0.00069095	0.00061889	0.00056715	0.00060888	0.00064458	0.00062278	0.00068072	0.00059434	0.00068336	0.00069321	0.00062889	0.00056272	0.00065648	0.00071237	0.00058723	0.00061700	0.00058421	0.00074693	0.00068425	0.00057949	0.00072825	0.00067912	0.00058039	0.00054666	0.00069738	0.00061513	0.00070108	0.00057454	0.00082611	0.00063964	0.00060426	0.00067239	0.00072128	0.00054995	0.00064289	0.00079388	0.00062499
LC->EN	0.00021227	0.00014554	0.00015104	0.00021333	0.00017954	0.00014381	0.00017033	0.00016719	0.00019693	0.00022761	0.00021012	0.00010052	0.00018848	0.00015551	0.00014106	0.00011139	0.00015335	0.00020966	0.00021580	0.00018425	0.00015201	0.00019787	0.00013274	0.00018989	0.00014281	0.00015880	0.00019195	0.00014321	0.00016049	0.00012134	0.00018428	0.00012993	0.00012859	0.00012560	0.00021241	0.00019077	0.00023182	0.00014317	0.00022236	0.00017052	0.00018527	0.00021613	0.00017227	0.00014928	0.00010848	0.00020036	0.00019039	0.00021799	0.00011844	0.00017386	0.00019136	0.00016034	0.00015656	0.00018581	0.00013758	0.00018767	0.00014220	0.00015512	0.00017019	0.00014070	0.00018946	0.00014595	0.00014712	0.00018503	0.00015680	0.00012998	0.00014300	0.00014959	0.00021884	0.00015684	0.00019698	0.00012876	0.00010763	0.00021662	0.00013515	0.00018978	0.00019855	0.00017024	0.00018566	0.00019305	0.00016146	0.00021379	0.00012042	0.00017893	0.00014224	0.00014535	0.00014965	0.00019091	0.00018192	0.00021382	0.00023224	0.00012670	0.00021016	0.00012161	0.00014286	0.00013682	0.00014507	0.00016983	0.00021933	0.00017552
LC->CR	0.00001597	0.00001070	0.00002703	0.00003367	0.00002465	0.00003752	0.00007244	0.00003102	0.00004084	0.00002875	0.00003476	0.00005360	0.00001707	0.00001754	0.00003497	0.00003577	0.00002021	0.00001634	0.00008765	0.00004567	0.00002696	0.00001201	0.00002848	0.00002106	0.00006846	0.00002454	0.00004325	0.00001881	0.00002165	0.00006240	0.00008450	0.00003157	0.00002838	0.00004334	0.00002417	0.00001587	0.00000883	0.00003721	0.00004307	0.00003630	0.00004571	0.00001867	0.00002208	0.00000722	0.00003727	0.00007928	0.00006473	0.00001966	0.00001116	0.00003373	0.00002235	0.00007640	0.00003607	0.00001175	0.00001974	0.00006168	0.00004575	0.00003980	0.00003099	0.00003441	0.00004577	0.00005200	0.00003754	0.00004341	0.00005227	0.00002416	0.00004559	0.00007403	0.00000911	0.00003591	0.00003166	0.00001897	0.00003051	0.00004903	0.00002127	0.00002591	0.00004494	0.00002747	0.00002501	0.00002587	0.00001877	0.00005888	0.00001549	0.00002009	0.00002048	0.00002274	0.00005727	0.00005790	0.00003698	0.00006641	0.00004533	0.00003899	0.00003637	0.00001499	0.00002945	0.00002045	0.00002819	0.00008478	0.00002617	0.00003305
LC->DD	0.00000912	0.00001671	0.00000555	0.00001024	0.00000703	0.00002044	0.00000378	0.00002862	0.00001009	0.00001090	0.00000730	0.00000567	0.00000711	0.00000918	0.00006349	0.00001918	0.00002377	0.00001449	0.00001719	0.00000976	0.00000347	0.00003031	0.00003167	0.00000202	0.00000259	0.00002166	0.00000980	0.00000415	0.00001265	0.00001524	0.00000960	0.00002455	0.00003576	0.00000586	0.00003968	0.00002113	0.00001164	0.00001524	0.00001180	0.00000737	0.00002018	0.00001821	0.00001667	0.00001841	0.00004713	0.00002161	0.00002424	0.00001055	0.00004353	0.00000808	0.00001811	0.00002245	0.00001561	0.00001812	0.00001878	0.00000134	0.00002724	0.00001172	0.00002381	0.00001099	0.00002222	0.00003390	0.00001082	0.00001825	0.00001277	0.00000405	0.00001692	0.00002462	0.00002804	0.00002868	0.00000122	0.00002386	0.00001608	0.00002400	0.00001646	0.00000462	0.00002682	0.00000298	0.00002632	0.00000606	0.00005758	0.00001865	0.00002578	0.00001416	0.00003626	0.00000848	0.00002702	0.00002160	0.00000835	0.00000524	0.00001914	0.00002405	0.00001840	0.00001398	0.00002615	0.00001692	0.00000866	0.00000249	0.00000212	0.00002425
NT->LC	0.00709245	0.00775704	0.00739640	0.00655846	0.00745772	0.00745609	0.00744003	0.00620121	0.00683103	0.00743369	0.00686648	0.00605847	0.00706490	0.00654861	0.00683861	0.00617907	0.00597812	0.00822922	0.00708767	0.00797699	0.00809999	0.00679959	0.00689129	0.00761789	0.00730130	0.00710624	0.00790963	0.00746910	0.00654015	0.00742538	0.00667129	0.00643530	0.00713199	0.00684827	0.00777127	0.00658078	0.00646388	0.00671161	0.00799310	0.00674978	0.00706202	0.00878084	0.00794611	0.00685411	0.00616128	0.00756005	0.00694801	0.00670874	0.00711685	0.00645934	0.00831190	0.00654114	0.00761480	0.00810111	0.00688798	0.00705513	0.00717537	0.00759319	0.00645666	0.00839557	0.00797638	0.00749620	0.00725007	0.00749422	0.00773390	0.00826776	0.00777313	0.00680641	0.00696804	0.00817447	0.00762870	0.00780710	0.00669621	0.00770606	0.00822076	0.00756249	0.00634899	0.00680327	0.00634094	0.00617218	0.00785399	0.00779705	0.00774709	0.00753652	0.00734500	0.00695674	0.00702991	0.00832742	0.00626067	0.00687843	0.00814058	0.00687084	0.00675658	0.00676951	0.00736191	0.00731446	0.00751047	0.00694148	0.00792835	0.00845089
NT->VU	0.00503059	0.00565786	0.00542614	0.00570982	0.00432789	0.00513144	0.00543000	0.00518394	0.00564646	0.00447927	0.00638165	0.00463902	0.00518387	0.00438156	0.00459109	0.00536437	0.00393555	0.00528213	0.00488443	0.00525056	0.00387372	0.00512491	0.00563046	0.00533253	0.00452097	0.00411683	0.00650385	0.00521471	0.00479103	0.00495830	0.00595265	0.00438650	0.00647307	0.00454646	0.00556874	0.00446877	0.00486906	0.00516040	0.00560433	0.00375738	0.00557276	0.00563033	0.00483033	0.00462461	0.00507525	0.00518773	0.00468673	0.00538050	0.00623075	0.00487595	0.00478926	0.00576216	0.00443889	0.00513980	0.00569455	0.00586890	0.00450696	0.00463754	0.00441638	0.00471329	0.00444790	0.00602452	0.00495048	0.00592678	0.00611078	0.00517527	0.00565050	0.00572521	0.00493362	0.00512641	0.00597351	0.00512995	0.00478353	0.00457196	0.00454146	0.00550911	0.00526559	0.00388331	0.00468789	0.00508947	0.00592361	0.00411410	0.00551078	0.00537228	0.00538009	0.00493127	0.00524747	0.00465561	0.00603297	0.00549816	0.00495445	0.00543733	0.00604039	0.00595965	0.00548795	0.00433574	0.00390523	0.00503064	0.00442277	0.00483091
NT->EN	0.00158464	0.00163887	0.00151093	0.00144168	0.00197528	0.00182416	0.00155029	0.00103781	0.00141054	0.00183305	0.00107568	0.00174721	0.00166112	0.00168456	0.00131740	0.00205194	0.00193454	0.00161634	0.00181294	0.00149680	0.00109075	0.00183211	0.00129888	0.00148687	0.00191683	0.00187415	0.00173683	0.00139052	0.00141894	0.00164288	0.00145737	0.00190907	0.00181514	0.00124665	0.00177654	0.00148861	0.00184576	0.00170800	0.00157266	0.00133556	0.00196424	0.00148019	0.00141181	0.00114990	0.00196159	0.00155692	0.00190523	0.00159679	0.00246576	0.00134102	0.00139822	0.00152711	0.00159139	0.00149816	0.00123485	0.00192582	0.00125154	0.00188790	0.00145594	0.00211302	0.00152384	0.00149224	0.00162093	0.00132251	0.00172028	0.00120303	0.00169966	0.00182577	0.00166823	0.00189062	0.00145626	0.00206001	0.00168120	0.00109386	0.00172739	0.00134741	0.00174452	0.00111100	0.00117600	0.00121416	0.00138485	0.00143832	0.00186181	0.00146511	0.00247658	0.00144593	0.00168995	0.00125502	0.00156316	0.00178933	0.00166309	0.00109872	0.00160035	0.00158831	0.00170367	0.00169474	0.00116305	0.00109417	0.00120270	0.00207120
NT->CR	0.00009166	0.00037908	0.00023325	0.00042271	0.00018955	0.00047999	0.00039231	0.00047964	0.00013527	0.00039216	0.00041546	0.00034312	0.00037810	0.00016747	0.00032710	0.00021430	0.00017516	0.00011751	0.00029427	0.00031436	0.00023983	0.00013217	0.00027633	0.00035960	0.00016416	0.00020297	0.00012907	0.00010234	0.00027274	0.00024834	0.00042440	0.00015853	0.00012947	0.00009812	0.00004578	0.00058870	0.00018835	0.00022622	0.00030657	0.00038775	0.00011616	0.00012474	0.00009354	0.00025812	0.00018921	0.00023036	0.00007563	0.00040276	0.00039001	0.00040818	0.00035154	0.00026046	0.00038584	0.00016725	0.00033985	0.00028441	0.00019137	0.00014529	0.00029575	0.00028756	0.00034493	0.00018067	0.00032322	0.00031424	0.00015557	0.00011301	0.00028403	0.00025992	0.00050499	0.00015729	0.00011572	0.00033637	0.00055493	0.00021371	0.00053518	0.00022841	0.00019736	0.00028628	0.00026320	0.00029942	0.00028090	0.00061219	0.00017190	0.00056790	0.00036877	0.00013835	0.00031333	0.00014454	0.00041468	0.00053736	0.00050713	0.00020163	0.00018499	0.00032735	0.00028616	0.00032940	0.00030828	0.00034761	0.00018520	0.00010517
NT->DD	0.00015769	0.00006233	0.00006066	0.00022167	0.00005309	0.00035193	0.00039387	0.00032744	0.00023343	0.00012745	0.00024456	0.00016209	0.00006224	0.00013333	0.00003881	0.00010134	0.00005657	0.00035440	0.00009621	0.00005126	0.00039637	0.00002773	0.00014008	0.00008743	0.00006104	0.00007044	0.00006645	0.00010364	0.00018792	0.00005231	0.00013132	0.00021670	0.00005372	0.00001513	0.00031023	0.00008337	0.00014010	0.00035300	0.00027394	0.00030432	0.00010197	0.00005072	0.00004084	0.00023189	0.00003782	0.00003356	0.00016050	0.00006339	0.00029061	0.00006765	0.00017855	0.00011219	0.00001907	0.00009885	0.00003806	0.00019101	0.00006374	0.00004705	0.00022765	0.00009977	0.00040357	0.00021049	0.00043727	0.00003208	0.00006101	0.00020642	0.00011989	0.00027041	0.00018209	0.00001210	0.00015076	0.00015144	0.00025639	0.00034985	0.00013408	0.00003755	0.00012139	0.00004230	0.00024778	0.00021389	0.00001854	0.00015493	0.00012974	0.00009623	0.00039680	0.00006002	0.00007262	0.00015294	0.00010666	0.00038444	0.00007827	0.00011836	0.00017265	0.00003896	0.00022103	0.00007769	0.00012758	0.00013324	0.00002706	0.00049670
