species	simulated_p_e_in_100_years
Acinonyx jubatus	0.12000
Ailuropoda melanoleuca	0.11000
Ailurus fulgens	0.51000
Aonyx capensis	0.04000
Aonyx cinereus	0.18000
Aonyx congicus	0.08000
Arctictis binturong	0.14000
Arctocephalus australis	0.02000
Arctocephalus australis	0.01000
Arctocephalus forsteri	0.02000
Arctocephalus galapagoensis	0.32000
Arctocephalus gazella	0.00000
Arctocephalus philippii	0.02000
Arctocephalus pusillus	0.01000
Arctocephalus townsendi	0.00000
Arctocephalus tropicalis	0.00000
Arctogalidia trivirgata	0.00000
Arctonyx albogularis	0.01000
Arctonyx collaris	0.19000
Arctonyx hoevenii	0.05000
Atelocynus microtis	0.07000
Atilax paludinosus	0.03000
Bassaricyon alleni	0.02000
Bassaricyon gabbii	0.01000
Bassaricyon medius	0.01000
Bassaricyon neblina	0.07000
Bassariscus astutus	0.00000
Bassariscus sumichrasti	0.02000
Bdeogale crassicauda	0.03000
Bdeogale jacksoni	0.09000
Bdeogale nigripes	0.00000
Bdeogale omnivora	0.17000
Callorhinus ursinus	0.12000
Canis adustus	0.01000
Canis aureus	0.00000
Canis latrans	0.01000
Canis lupus	0.00000
Canis mesomelas	0.02000
Canis rufus	0.79000
Canis simensis	0.38000
Caracal aurata	0.20000
Caracal caracal	0.03000
Catopuma badia	0.40000
Catopuma temminckii	0.09000
Cerdocyon thous	0.02000
Chrotogale owstoni	0.34000
Chrysocyon brachyurus	0.05000
Civettictis civetta	0.02000
Conepatus chinga	0.02000
Conepatus humboldtii	0.03000
Conepatus leuconotus	0.01000
Conepatus semistriatus	0.03000
Crocuta crocuta	0.01000
Crossarchus alexandri	0.01000
Crossarchus ansorgei	0.03000
Crossarchus obscurus	0.03000
Crossarchus platycephalus	0.03000
Cryptoprocta ferox	0.15000
Cuon alpinus	0.31000
Cynictis penicillata	0.01000
Cynogale bennettii	0.42000
Cystophora cristata	0.09000
Diplogale hosei	0.10000
Dologale dybowskii	0.13000
Eira barbara	0.01000
Enhydra lutris	0.24000
Erignathus barbatus	0.02000
Eumetopias jubatus	0.08000
Eupleres goudotii	0.12000
Eupleres major	0.31000
Felis bieti	0.22000
Felis chaus	0.01000
Felis margarita	0.02000
Felis nigripes	0.23000
Felis silvestris	0.00000
Fossa fossana	0.10000
Galictis cuja	0.00000
Galictis vittata	0.03000
Galidia elegans	0.02000
