species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_81_years
Acinonyx jubatus	0.001589552	0.001501811	0.001681199	0.122100000
Ailuropoda melanoleuca	0.001025555	0.000954394	0.001096494	0.080200000
Ailurus fulgens	0.004565537	0.004406232	0.004724539	0.309300000
Aonyx capensis	0.001060207	0.000989549	0.001134344	0.083100000
Aonyx cinereus	0.002004498	0.001903347	0.002107349	0.151600000
Aonyx congicus	0.000814377	0.000751713	0.000876789	0.064200000
Arctictis binturong	0.001511051	0.001423431	0.001595430	0.116200000
Arctocephalus australis	0.000114312	0.000091529	0.000138346	0.009100000
Arctocephalus australis	0.000099154	0.000078100	0.000122128	0.008000000
Arctocephalus forsteri	0.000162471	0.000135399	0.000190055	0.013000000
Arctocephalus galapagoensis	0.003646473	0.003500215	0.003785219	0.257000000
Arctocephalus gazella	0.000128771	0.000105063	0.000153372	0.010300000
Arctocephalus philippii	0.000130241	0.000104975	0.000154338	0.010400000
Arctocephalus pusillus	0.000106373	0.000083508	0.000128702	0.008500000
Arctocephalus townsendi	0.000117866	0.000094889	0.000140650	0.009400000
Arctocephalus tropicalis	0.000130228	0.000106086	0.000155584	0.010400000
Arctogalidia trivirgata	0.000173358	0.000144671	0.000202025	0.013900000
Arctonyx albogularis	0.000166051	0.000139248	0.000193626	0.013300000
Arctonyx collaris	0.002067785	0.001961876	0.002165046	0.156100000
Arctonyx hoevenii	0.000185610	0.000156027	0.000215600	0.014900000
Atelocynus microtis	0.001092538	0.001021245	0.001168185	0.085600000
Atilax paludinosus	0.000154582	0.000127382	0.000181205	0.012400000
Bassaricyon alleni	0.000127229	0.000102188	0.000151843	0.010200000
Bassaricyon gabbii	0.000113768	0.000091306	0.000137835	0.009100000
Bassaricyon medius	0.000138727	0.000112896	0.000163634	0.011100000
Bassaricyon neblina	0.000728280	0.000668271	0.000786097	0.057700000
Bassariscus astutus	0.000187085	0.000158677	0.000218049	0.015000000
Bassariscus sumichrasti	0.000102632	0.000080407	0.000124644	0.008200000
Bdeogale crassicauda	0.000183781	0.000156010	0.000214341	0.014700000
Bdeogale jacksoni	0.001134360	0.001059057	0.001208931	0.088700000
Bdeogale nigripes	0.000186450	0.000156613	0.000215694	0.014900000
Bdeogale omnivora	0.001157598	0.001084181	0.001233416	0.090000000
Callorhinus ursinus	0.001094293	0.001020352	0.001166605	0.085400000
Canis adustus	0.000219754	0.000188438	0.000252626	0.017700000
Canis aureus	0.000176140	0.000147793	0.000205096	0.014100000
Canis latrans	0.000133571	0.000108955	0.000159227	0.010700000
Canis lupus	0.000115084	0.000091063	0.000137623	0.009200000
Canis mesomelas	0.000183589	0.000155724	0.000213450	0.014700000
Canis rufus	0.015963425	0.015601300	0.016338573	0.700800000
Canis simensis	0.005849665	0.005664628	0.006035369	0.377900000
Caracal aurata	0.001711115	0.001614012	0.001801165	0.130800000
Caracal caracal	0.000177386	0.000148665	0.000207302	0.014200000
Catopuma badia	0.004960738	0.004788374	0.005120005	0.330900000
Catopuma temminckii	0.000838379	0.000776967	0.000903230	0.066100000
Cerdocyon thous	0.000206118	0.000177119	0.000238621	0.016500000
Chrotogale owstoni	0.004223219	0.004069062	0.004376078	0.290100000
Chrysocyon brachyurus	0.000877054	0.000811911	0.000942053	0.069200000
Civettictis civetta	0.000132467	0.000108751	0.000159378	0.010600000
Conepatus chinga	0.000219860	0.000188478	0.000252683	0.017600000
Conepatus humboldtii	0.000207346	0.000177199	0.000238927	0.016600000
Conepatus leuconotus	0.000201833	0.000171323	0.000232891	0.016200000
Conepatus semistriatus	0.000193669	0.000162938	0.000222786	0.015500000
Crocuta crocuta	0.000095130	0.000074467	0.000116268	0.007600000
Crossarchus alexandri	0.000147372	0.000121627	0.000174449	0.011800000
Crossarchus ansorgei	0.000224769	0.000192756	0.000256990	0.018000000
Crossarchus obscurus	0.000211111	0.000178892	0.000242672	0.016900000
Crossarchus platycephalus	0.000220910	0.000187979	0.000253351	0.017700000
Cryptoprocta ferox	0.001378273	0.001299742	0.001464981	0.106400000
Cuon alpinus	0.005014165	0.004847407	0.005189040	0.333900000
Cynictis penicillata	0.000167461	0.000140301	0.000196891	0.013400000
Cynogale bennettii	0.006760811	0.006560230	0.006960689	0.420700000
Cystophora cristata	0.001156749	0.001081278	0.001231268	0.089900000
Diplogale hosei	0.001520636	0.001433557	0.001605842	0.117100000
Dologale dybowskii	0.001829905	0.001729076	0.001921930	0.137700000
Eira barbara	0.000138579	0.000112545	0.000164039	0.011100000
Enhydra lutris	0.002932824	0.002807225	0.003048930	0.212400000
Erignathus barbatus	0.000096341	0.000075994	0.000118476	0.007700000
Eumetopias jubatus	0.000531820	0.000480604	0.000581669	0.042300000
Eupleres goudotii	0.001535045	0.001451371	0.001627562	0.118100000
Eupleres major	0.004182541	0.004027510	0.004334232	0.287900000
Felis bieti	0.001768592	0.001677655	0.001864758	0.134900000
Felis chaus	0.000187157	0.000156764	0.000217353	0.015000000
Felis margarita	0.000180020	0.000151140	0.000208881	0.014400000
Felis nigripes	0.002130723	0.002024526	0.002231836	0.160900000
Felis silvestris	0.000142545	0.000117487	0.000168475	0.011400000
Fossa fossana	0.001558611	0.001474239	0.001648044	0.120000000
Galictis cuja	0.000236982	0.000204123	0.000269841	0.019000000
Galictis vittata	0.000184920	0.000154856	0.000214052	0.014800000
Galidia elegans	0.000141153	0.000113812	0.000165804	0.011300000
Galidictis fasciata	0.001975730	0.001873170	0.002073342	0.149500000
Galidictis grandidieri	0.005780400	0.005591556	0.005961928	0.373800000
Genetta abyssinica	0.001708724	0.001616289	0.001803979	0.129300000
Genetta angolensis	0.000140315	0.000115096	0.000166836	0.011200000
Genetta bourloni	0.001517355	0.001426929	0.001604118	0.116600000
Genetta cristata	0.001193714	0.001115067	0.001269057	0.092700000
Genetta genetta	0.000122682	0.000099762	0.000147145	0.009800000
Genetta johnstoni	0.000682291	0.000623685	0.000737356	0.054100000
Genetta maculata	0.000127253	0.000103536	0.000152303	0.010200000
Genetta pardina	0.000128604	0.000105665	0.000154390	0.010300000
Genetta piscivora	0.000821652	0.000759877	0.000886569	0.064900000
Genetta poensis	0.001534069	0.001443494	0.001617470	0.116800000
Genetta servalina	0.000169697	0.000140980	0.000198378	0.013600000
Genetta thierryi	0.000156342	0.000129214	0.000184053	0.012500000
Genetta tigrina	0.000166042	0.000138456	0.000194542	0.013300000
Genetta victoriae	0.000156291	0.000129513	0.000183072	0.012500000
Gulo gulo	0.000138674	0.000113959	0.000164432	0.011100000
Halichoerus grypus	0.000078068	0.000058662	0.000097606	0.006200000
Halichoerus grypus	0.000076468	0.000057453	0.000096067	0.006100000
Helarctos malayanus	0.001200395	0.001123839	0.001277219	0.093200000
Helogale hirtula	0.000213335	0.000182585	0.000245332	0.017100000
Helogale parvula	0.000204808	0.000174203	0.000236421	0.016400000
Hemigalus derbyanus	0.001055485	0.000986861	0.001128679	0.082800000
Herpailurus yagouaroundi	0.000142518	0.000115921	0.000167724	0.011400000
Herpestes auropunctatus	0.000205726	0.000174931	0.000237058	0.016500000
Herpestes brachyurus	0.001045501	0.000978382	0.001119890	0.082000000
Herpestes edwardsii	0.000187013	0.000158103	0.000216562	0.015000000
Herpestes flavescens	0.000163733	0.000137221	0.000193017	0.013100000
Herpestes fuscus	0.000194835	0.000164795	0.000224618	0.015600000
Herpestes ichneumon	0.000126612	0.000102589	0.000152242	0.010100000
Herpestes javanicus	0.000198442	0.000168958	0.000230132	0.015900000
Herpestes naso	0.000136560	0.000111771	0.000162856	0.010900000
Herpestes ochraceus	0.000202167	0.000172692	0.000234720	0.016200000
Herpestes pulverulentus	0.000223393	0.000191148	0.000256413	0.017900000
Herpestes sanguineus	0.000216551	0.000183652	0.000248482	0.017400000
Herpestes semitorquatus	0.000902981	0.000836398	0.000968352	0.071100000
Herpestes smithii	0.000148728	0.000123032	0.000176100	0.011900000
Herpestes urva	0.000202368	0.000170666	0.000232883	0.016200000
Herpestes vitticollis	0.000207185	0.000177927	0.000240466	0.016600000
Histriophoca fasciata	0.000120185	0.000095847	0.000144337	0.009600000
Hyaena hyaena	0.000721965	0.000665430	0.000782551	0.057100000
Hydrictis maculicollis	0.000878826	0.000815011	0.000944720	0.069200000
Hydrurga leptonyx	0.000106547	0.000083700	0.000129075	0.008500000
Ichneumia albicauda	0.000193319	0.000163441	0.000224628	0.015500000
Ictonyx libycus	0.000171088	0.000143468	0.000200314	0.013700000
Ictonyx striatus	0.000180928	0.000151980	0.000209859	0.014500000
Leopardus colocolo	0.000795833	0.000737245	0.000862506	0.062900000
Leopardus geoffroyi	0.000143780	0.000117832	0.000169543	0.011500000
Leopardus guigna	0.001758340	0.001669950	0.001855192	0.134000000
Leopardus guttulus	0.001691304	0.001596384	0.001779219	0.129500000
Leopardus jacobita	0.006781845	0.006566580	0.006983195	0.421600000
Leopardus pardalis	0.000154796	0.000128349	0.000182665	0.012400000
Leopardus tigrinus	0.001502019	0.001415035	0.001587948	0.115600000
Leopardus wiedii	0.000819441	0.000755954	0.000880999	0.064800000
Leptailurus serval	0.000136202	0.000111371	0.000162369	0.010900000
Leptonychotes weddellii	0.000088995	0.000068787	0.000108969	0.007100000
Liberiictis kuhni	0.002328486	0.002222233	0.002437166	0.174400000
Lobodon carcinophaga	0.000075575	0.000057581	0.000094840	0.006000000
Lontra canadensis	0.000111464	0.000089828	0.000135639	0.008900000
Lontra felina	0.006689785	0.006489361	0.006893581	0.417700000
Lontra longicaudis	0.000915872	0.000850117	0.000982550	0.072200000
Lontra provocax	0.004455503	0.004299135	0.004607889	0.303200000
Lutra lutra	0.000754802	0.000694791	0.000816019	0.059800000
Lutra sumatrana	0.004490775	0.004332393	0.004652653	0.305400000
Lutrogale perspicillata	0.001839210	0.001738683	0.001931831	0.140000000
Lycalopex culpaeus	0.000180879	0.000151468	0.000209673	0.014500000
Lycalopex fulvipes	0.006081774	0.005891593	0.006272381	0.387800000
Lycalopex griseus	0.000178824	0.000150683	0.000208225	0.014300000
Lycalopex gymnocercus	0.000213005	0.000182638	0.000245172	0.017100000
Lycalopex sechurae	0.001033110	0.000966285	0.001105361	0.081000000
