species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Acinonyx jubatus	0.001354055	0.001098585	0.001627707	1.000000000
Ailuropoda melanoleuca	0.001027065	0.000844878	0.001233726	1.000000000
Ailurus fulgens	0.002121214	0.001720854	0.002540074	1.000000000
Aonyx capensis	0.001522662	0.001239813	0.001836582	1.000000000
Aonyx cinereus	0.001582768	0.001266024	0.001889803	1.000000000
Aonyx congicus	0.001123886	0.000905731	0.001343891	1.000000000
Arctictis binturong	0.001294338	0.001055893	0.001548717	1.000000000
Arctocephalus australis	0.000797355	0.000645027	0.000954243	1.000000000
Arctocephalus australis	0.000846321	0.000685004	0.001010933	1.000000000
Arctocephalus forsteri	0.000746096	0.000596086	0.000883071	1.000000000
Arctocephalus galapagoensis	0.001969681	0.001586546	0.002348224	1.000000000
Arctocephalus gazella	0.000875208	0.000711642	0.001051396	1.000000000
Arctocephalus philippii	0.000932131	0.000757005	0.001115289	1.000000000
Arctocephalus pusillus	0.000965546	0.000778819	0.001154102	1.000000000
Arctocephalus townsendi	0.000825522	0.000665737	0.000990676	1.000000000
Arctocephalus tropicalis	0.000809730	0.000652823	0.000962977	1.000000000
Arctogalidia trivirgata	0.000912058	0.000738916	0.001093047	1.000000000
Arctonyx albogularis	0.000849859	0.000683621	0.001011360	1.000000000
Arctonyx collaris	0.001690828	0.001361058	0.002006790	1.000000000
Arctonyx hoevenii	0.000953743	0.000765027	0.001140265	1.000000000
Atelocynus microtis	0.001229214	0.000984274	0.001461613	1.000000000
Atilax paludinosus	0.001084091	0.000881052	0.001296508	1.000000000
Bassaricyon alleni	0.000995049	0.000810967	0.001188271	1.000000000
Bassaricyon gabbii	0.000885592	0.000722338	0.001060834	1.000000000
Bassaricyon medius	0.000870469	0.000705552	0.001041802	1.000000000
Bassaricyon neblina	0.001214901	0.000985878	0.001456019	1.000000000
Bassariscus astutus	0.001152062	0.000927285	0.001373287	1.000000000
Bassariscus sumichrasti	0.000698409	0.000562023	0.000835236	0.990000000
Bdeogale crassicauda	0.001087511	0.000881621	0.001299172	1.000000000
Bdeogale jacksoni	0.001368047	0.001109717	0.001645097	1.000000000
Bdeogale nigripes	0.001076506	0.000870147	0.001288674	1.000000000
Bdeogale omnivora	0.001115257	0.000905110	0.001342506	1.000000000
Callorhinus ursinus	0.001009873	0.000816723	0.001203746	1.000000000
Canis adustus	0.001124647	0.000905280	0.001341350	1.000000000
Canis aureus	0.000936452	0.000759787	0.001119939	1.000000000
Canis latrans	0.000973476	0.000789525	0.001166206	1.000000000
Canis lupus	0.000960486	0.000778171	0.001149942	1.000000000
Canis mesomelas	0.000980099	0.000794751	0.001170198	1.000000000
Canis rufus	0.004342012	0.003557944	0.005261698	1.000000000
Canis simensis	0.003071772	0.002503128	0.003682473	1.000000000
Caracal aurata	0.001475088	0.001183388	0.001760317	1.000000000
Caracal caracal	0.001024575	0.000832894	0.001229998	1.000000000
Catopuma badia	0.002237525	0.001821284	0.002684271	1.000000000
Catopuma temminckii	0.001157494	0.000934673	0.001376881	1.000000000
Cerdocyon thous	0.001067700	0.000845133	0.001260908	1.000000000
Chrotogale owstoni	0.001937649	0.001553198	0.002303442	1.000000000
Chrysocyon brachyurus	0.001307379	0.001057358	0.001566080	1.000000000
Civettictis civetta	0.000859682	0.000699120	0.001029555	1.000000000
Conepatus chinga	0.001172445	0.000940232	0.001390039	1.000000000
Conepatus humboldtii	0.000982322	0.000790627	0.001170716	1.000000000
Conepatus leuconotus	0.001144756	0.000920589	0.001365364	1.000000000
Conepatus semistriatus	0.000971342	0.000780149	0.001153645	1.000000000
Crocuta crocuta	0.000792796	0.000643126	0.000944065	1.000000000
Crossarchus alexandri	0.001001380	0.000813265	0.001196000	1.000000000
Crossarchus ansorgei	0.001209922	0.000968015	0.001436890	1.000000000
Crossarchus obscurus	0.001182175	0.000954773	0.001415093	1.000000000
Crossarchus platycephalus	0.001110720	0.000897797	0.001331374	1.000000000
Cryptoprocta ferox	0.001471227	0.001196899	0.001762074	1.000000000
Cuon alpinus	0.002396097	0.001913602	0.002841857	1.000000000
Cynictis penicillata	0.001049491	0.000846443	0.001254081	1.000000000
Cynogale bennettii	0.002557511	0.002051899	0.003047800	1.000000000
Cystophora cristata	0.001123972	0.000914978	0.001351511	1.000000000
Diplogale hosei	0.001866396	0.001508765	0.002232997	1.000000000
Dologale dybowskii	0.001429959	0.001154425	0.001707963	1.000000000
Eira barbara	0.001029541	0.000828008	0.001234142	1.000000000
Enhydra lutris	0.001661954	0.001341784	0.001987295	1.000000000
Erignathus barbatus	0.000908069	0.000740591	0.001095277	1.000000000
Eumetopias jubatus	0.000787291	0.000629968	0.000941035	1.000000000
Eupleres goudotii	0.001301818	0.001056496	0.001564179	1.000000000
Eupleres major	0.001673799	0.001363911	0.002013237	1.000000000
Felis bieti	0.001513824	0.001231343	0.001820466	1.000000000
Felis chaus	0.001176289	0.000955155	0.001414538	1.000000000
Felis margarita	0.001047188	0.000840235	0.001244080	1.000000000
Felis nigripes	0.001598891	0.001284167	0.001919478	1.000000000
Felis silvestris	0.000822242	0.000665072	0.000984340	1.000000000
Fossa fossana	0.001244287	0.001001355	0.001484260	1.000000000
Galictis cuja	0.001058855	0.000856202	0.001271353	1.000000000
Galictis vittata	0.001025655	0.000824259	0.001227735	1.000000000
Galidia elegans	0.000994849	0.000805625	0.001192087	1.000000000
Galidictis fasciata	0.001624982	0.001315947	0.001951767	1.000000000
Galidictis grandidieri	0.002086334	0.001692803	0.002497207	1.000000000
Genetta abyssinica	0.001190392	0.000958617	0.001420381	1.000000000
Genetta angolensis	0.001006541	0.000815961	0.001205600	1.000000000
Genetta bourloni	0.001354864	0.001098854	0.001623512	1.000000000
Genetta cristata	0.001202837	0.000960010	0.001431228	1.000000000
Genetta genetta	0.000864467	0.000697284	0.001034771	1.000000000
Genetta johnstoni	0.001076820	0.000874246	0.001284618	1.000000000
Genetta maculata	0.000830098	0.000672035	0.000990829	1.000000000
Genetta pardina	0.000696629	0.000565920	0.000835169	1.000000000
Genetta piscivora	0.001087162	0.000883782	0.001298037	1.000000000
Genetta poensis	0.001268030	0.001034408	0.001524447	1.000000000
Genetta servalina	0.001092182	0.000880764	0.001309568	1.000000000
Genetta thierryi	0.000992685	0.000808717	0.001195438	1.000000000
Genetta tigrina	0.000949343	0.000767268	0.001130058	1.000000000
Genetta victoriae	0.000804386	0.000650477	0.000962377	1.000000000
Gulo gulo	0.000898178	0.000730665	0.001079007	1.000000000
Halichoerus grypus	0.000750554	0.000612284	0.000902037	1.000000000
Halichoerus grypus	0.000726332	0.000589915	0.000873688	1.000000000
Helarctos malayanus	0.001286218	0.001033352	0.001532658	1.000000000
Helogale hirtula	0.001065493	0.000861241	0.001277623	1.000000000
Helogale parvula	0.001127922	0.000909868	0.001345879	1.000000000
Hemigalus derbyanus	0.001323170	0.001071339	0.001587042	1.000000000
Herpailurus yagouaroundi	0.000966794	0.000787832	0.001160642	1.000000000
Herpestes auropunctatus	0.001370860	0.001101574	0.001626426	1.000000000
Herpestes brachyurus	0.001296242	0.001047378	0.001556062	1.000000000
Herpestes edwardsii	0.000997284	0.000810405	0.001198773	1.000000000
Herpestes flavescens	0.001005800	0.000819823	0.001201499	1.000000000
Herpestes fuscus	0.001341739	0.001070320	0.001602742	1.000000000
Herpestes ichneumon	0.000826926	0.000670352	0.000988150	1.000000000
Herpestes javanicus	0.001010598	0.000819974	0.001210109	1.000000000
Herpestes naso	0.000991862	0.000805956	0.001191630	1.000000000
Herpestes ochraceus	0.001031233	0.000836715	0.001236140	1.000000000
Herpestes pulverulentus	0.000994781	0.000806371	0.001189608	1.000000000
Herpestes sanguineus	0.001220153	0.000986857	0.001461067	1.000000000
Herpestes semitorquatus	0.001423314	0.001152962	0.001699124	1.000000000
Herpestes smithii	0.000873145	0.000714060	0.001051125	1.000000000
Herpestes urva	0.000919301	0.000748041	0.001103744	1.000000000
Herpestes vitticollis	0.000957587	0.000780078	0.001153227	1.000000000
Histriophoca fasciata	0.000829735	0.000670151	0.000988218	1.000000000
Hyaena hyaena	0.001258277	0.001006781	0.001500347	1.000000000
Hydrictis maculicollis	0.001308799	0.001054304	0.001563263	1.000000000
Hydrurga leptonyx	0.000798617	0.000643465	0.000954703	1.000000000
Ichneumia albicauda	0.001194488	0.000970978	0.001422308	1.000000000
Ictonyx libycus	0.001067274	0.000856916	0.001267445	1.000000000
Ictonyx striatus	0.000970724	0.000777027	0.001148915	1.000000000
Leopardus colocolo	0.001140459	0.000927340	0.001367739	1.000000000
Leopardus geoffroyi	0.001003132	0.000804472	0.001194802	1.000000000
Leopardus guigna	0.001346338	0.001085513	0.001609614	1.000000000
Leopardus guttulus	0.001804540	0.001456623	0.002162856	1.000000000
Leopardus jacobita	0.002134742	0.001723191	0.002550890	1.000000000
Leopardus pardalis	0.001123328	0.000913980	0.001340571	1.000000000
Leopardus tigrinus	0.001223982	0.000982802	0.001461358	1.000000000
Leopardus wiedii	0.001181697	0.000970843	0.001432336	1.000000000
Leptailurus serval	0.000883700	0.000715995	0.001066264	1.000000000
Leptonychotes weddellii	0.000821347	0.000660599	0.000976643	1.000000000
Liberiictis kuhni	0.001878049	0.001531539	0.002263051	1.000000000
Lobodon carcinophaga	0.000741556	0.000602881	0.000886451	1.000000000
Lontra canadensis	0.000950505	0.000771158	0.001138920	1.000000000
Lontra felina	0.002690260	0.002176184	0.003235922	1.000000000
Lontra longicaudis	0.001446243	0.001177535	0.001733030	1.000000000
Lontra provocax	0.002018569	0.001640662	0.002404995	1.000000000
