status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00110204	0.00086557	0.00115527	0.00087546	0.00088347	0.00126950	0.00114054	0.00094675	0.00106439	0.00117462	0.00141821	0.00104584	0.00139131	0.00115148	0.00101611	0.00090528	0.00127478	0.00099473	0.00115878	0.00114654	0.00123813	0.00108050	0.00085948	0.00102865	0.00143069	0.00105324	0.00112712	0.00100420	0.00114757	0.00118911	0.00111880	0.00122327	0.00083305	0.00108270	0.00113100	0.00129693	0.00082351	0.00110645	0.00114675	0.00143192	0.00131472	0.00114335	0.00120297	0.00111513	0.00137148	0.00115341	0.00124292	0.00089091	0.00116776	0.00124361	0.00097882	0.00114051	0.00100922	0.00096048	0.00124522	0.00109883	0.00111767	0.00139669	0.00121967	0.00101222	0.00108978	0.00119191	0.00117641	0.00112556	0.00104810	0.00157565	0.00120815	0.00113190	0.00145389	0.00118681	0.00137555	0.00126320	0.00101860	0.00143471	0.00102838	0.00108768	0.00150778	0.00098079	0.00120183	0.00135543	0.00141109	0.00118277	0.00098609	0.00103157	0.00103061	0.00120375	0.00125320	0.00091661	0.00094736	0.00120915	0.00128772	0.00115432	0.00114420	0.00115732	0.00123007	0.00109873	0.00149569	0.00139232	0.00103950	0.00132067
LC->VU	0.00065392	0.00070208	0.00069165	0.00071131	0.00076486	0.00072687	0.00070608	0.00082926	0.00079057	0.00077574	0.00055042	0.00082331	0.00051740	0.00056998	0.00054314	0.00074443	0.00062061	0.00061614	0.00070528	0.00058379	0.00075521	0.00053583	0.00051796	0.00063735	0.00060705	0.00086796	0.00079657	0.00061182	0.00052995	0.00100293	0.00085359	0.00093737	0.00072814	0.00095455	0.00049761	0.00069158	0.00066946	0.00067678	0.00073596	0.00060646	0.00060642	0.00104437	0.00075441	0.00056484	0.00065153	0.00072430	0.00061588	0.00067555	0.00082651	0.00082957	0.00079837	0.00077820	0.00062370	0.00073383	0.00085999	0.00071933	0.00063653	0.00051585	0.00076608	0.00047661	0.00093591	0.00085013	0.00084882	0.00067646	0.00071623	0.00060465	0.00066498	0.00061872	0.00060765	0.00078195	0.00065107	0.00075994	0.00095200	0.00075191	0.00050605	0.00073447	0.00073634	0.00061373	0.00074544	0.00064313	0.00087768	0.00070070	0.00063816	0.00090438	0.00083788	0.00072679	0.00054474	0.00089710	0.00057980	0.00073313	0.00060928	0.00106212	0.00070327	0.00080000	0.00070967	0.00084370	0.00057539	0.00068752	0.00083653	0.00063160
LC->EN	0.00022997	0.00013577	0.00016369	0.00025091	0.00019837	0.00018398	0.00020176	0.00020760	0.00031660	0.00029228	0.00029800	0.00009329	0.00021741	0.00019132	0.00014846	0.00008582	0.00017268	0.00032182	0.00030310	0.00022663	0.00019487	0.00029846	0.00018834	0.00027210	0.00011730	0.00017322	0.00027990	0.00015175	0.00014611	0.00013694	0.00025324	0.00011708	0.00010546	0.00014924	0.00024334	0.00019846	0.00034944	0.00013599	0.00028161	0.00027822	0.00030680	0.00030451	0.00021002	0.00015588	0.00010081	0.00027884	0.00027114	0.00026420	0.00014546	0.00019905	0.00025469	0.00020016	0.00016896	0.00019994	0.00013535	0.00025979	0.00018961	0.00022734	0.00015338	0.00013214	0.00021160	0.00018380	0.00019733	0.00019908	0.00018734	0.00014884	0.00019282	0.00025087	0.00033148	0.00019237	0.00026269	0.00013081	0.00013151	0.00029938	0.00016896	0.00023137	0.00024689	0.00025809	0.00013852	0.00028469	0.00019323	0.00026223	0.00008490	0.00025531	0.00012810	0.00019635	0.00017722	0.00027110	0.00024258	0.00026437	0.00027588	0.00013043	0.00038213	0.00010509	0.00018391	0.00015719	0.00014889	0.00018272	0.00027725	0.00024521
LC->CR	0.00002016	0.00001002	0.00003117	0.00005269	0.00003090	0.00007820	0.00014884	0.00005374	0.00005653	0.00004986	0.00003539	0.00007579	0.00002204	0.00001243	0.00004758	0.00004787	0.00001857	0.00002610	0.00018646	0.00005947	0.00004799	0.00001711	0.00004290	0.00003287	0.00014017	0.00002440	0.00006084	0.00001210	0.00002908	0.00013007	0.00011429	0.00004567	0.00002174	0.00003835	0.00002909	0.00002827	0.00000428	0.00004960	0.00007841	0.00007109	0.00006745	0.00002569	0.00001309	0.00000603	0.00005837	0.00011733	0.00009305	0.00002015	0.00001379	0.00004663	0.00002983	0.00015409	0.00002494	0.00001307	0.00001987	0.00007561	0.00007178	0.00004181	0.00003885	0.00005403	0.00006620	0.00005309	0.00006923	0.00003696	0.00004822	0.00003479	0.00007115	0.00011825	0.00001030	0.00005805	0.00003924	0.00001369	0.00003882	0.00009302	0.00002890	0.00004587	0.00004829	0.00005080	0.00003185	0.00002289	0.00002184	0.00009155	0.00001627	0.00002212	0.00001387	0.00003858	0.00011466	0.00004744	0.00004649	0.00011148	0.00006734	0.00007637	0.00004645	0.00001711	0.00004148	0.00002372	0.00001947	0.00014718	0.00003798	0.00006504
LC->DD	0.00066740	0.00057932	0.00065833	0.00064193	0.00039691	0.00060158	0.00051289	0.00051996	0.00050103	0.00041443	0.00022567	0.00045274	0.00055948	0.00048390	0.00078836	0.00048064	0.00061728	0.00065861	0.00075766	0.00047978	0.00077077	0.00058130	0.00051069	0.00050577	0.00044952	0.00053548	0.00050523	0.00054404	0.00044173	0.00059117	0.00054378	0.00059999	0.00068064	0.00042106	0.00057544	0.00056862	0.00046632	0.00049760	0.00042472	0.00051369	0.00048441	0.00046320	0.00059148	0.00057673	0.00072475	0.00050503	0.00066037	0.00048577	0.00060089	0.00042142	0.00049008	0.00062090	0.00049158	0.00050570	0.00063397	0.00044224	0.00052647	0.00040326	0.00057926	0.00070763	0.00054528	0.00058579	0.00056824	0.00050248	0.00053371	0.00045385	0.00056222	0.00057366	0.00075360	0.00057459	0.00035732	0.00059300	0.00058269	0.00052710	0.00054692	0.00043316	0.00070880	0.00052273	0.00064521	0.00042173	0.00082507	0.00054896	0.00070263	0.00065294	0.00053234	0.00029439	0.00055404	0.00045381	0.00054801	0.00043204	0.00063486	0.00057170	0.00066795	0.00063210	0.00049255	0.00057930	0.00047842	0.00062389	0.00035639	0.00063819
NT->LC	0.01855133	0.02062754	0.01922355	0.01541964	0.01883832	0.01810149	0.01956522	0.01569210	0.01757847	0.02036302	0.01711337	0.01526046	0.01811329	0.01796268	0.01707245	0.01594700	0.01666196	0.02157384	0.01875474	0.02084766	0.02115785	0.01754848	0.01751613	0.02011479	0.01966594	0.01746173	0.02058812	0.01813685	0.01753667	0.01926814	0.01709516	0.01633417	0.01873470	0.01734424	0.02176517	0.01648864	0.01659688	0.01730086	0.02096237	0.01756971	0.01906125	0.02233901	0.02130525	0.01818983	0.01474470	0.01987034	0.01689487	0.01824633	0.01741937	0.01579815	0.02146118	0.01648603	0.02022214	0.02135413	0.01751725	0.01908372	0.01906778	0.01996031	0.01815304	0.02289901	0.02091212	0.01909408	0.01826669	0.01928798	0.01944726	0.01990523	0.01973355	0.01664440	0.01786020	0.02164946	0.01962457	0.02036933	0.01625706	0.01944219	0.02135943	0.01955814	0.01633197	0.01678331	0.01549222	0.01603005	0.02090428	0.01954254	0.01920762	0.01928601	0.01951244	0.01692998	0.01729424	0.02104040	0.01570950	0.01730236	0.02070836	0.01776896	0.01800890	0.01753867	0.01789700	0.01897344	0.01876079	0.01779687	0.01990807	0.02141033
NT->VU	0.00900998	0.00881198	0.00887558	0.00877141	0.00686346	0.00919558	0.00958423	0.00997706	0.00973345	0.00711878	0.01137929	0.00810995	0.00913153	0.00669395	0.00735293	0.00758086	0.00662541	0.00939601	0.00878942	0.01001053	0.00556391	0.00883440	0.00961184	0.00812407	0.00747099	0.00690405	0.01249145	0.00847064	0.00708577	0.00814877	0.01102495	0.00705762	0.01229201	0.00769023	0.00982143	0.00698302	0.00851427	0.00969664	0.00936505	0.00570800	0.00951608	0.01101626	0.00725768	0.00710279	0.00818777	0.00959531	0.00787145	0.00849933	0.01105763	0.00767671	0.00727381	0.00972535	0.00700278	0.00791104	0.00983349	0.01091402	0.00754484	0.00740569	0.00655206	0.00646915	0.00710876	0.00985775	0.00756235	0.00900331	0.01166831	0.00876562	0.00968658	0.01000913	0.00869353	0.00853524	0.00992227	0.00973230	0.00880739	0.00701043	0.00684075	0.01030929	0.00857636	0.00570588	0.00863370	0.00862765	0.01103691	0.00706103	0.00910594	0.00932807	0.00975597	0.00804537	0.00842689	0.00817866	0.00984849	0.00903416	0.00716493	0.01011052	0.01024654	0.01039399	0.00952182	0.00724986	0.00601634	0.00786175	0.00789868	0.00818452
NT->EN	0.00363738	0.00384261	0.00279269	0.00264500	0.00415837	0.00355391	0.00281427	0.00174886	0.00271796	0.00358918	0.00205790	0.00357282	0.00286729	0.00347046	0.00279163	0.00441329	0.00392107	0.00309028	0.00420190	0.00306645	0.00213775	0.00379786	0.00212665	0.00313886	0.00432679	0.00417938	0.00377061	0.00276546	0.00269403	0.00321520	0.00335462	0.00390283	0.00310276	0.00248370	0.00370777	0.00310411	0.00362579	0.00362875	0.00311301	0.00248174	0.00384896	0.00250678	0.00306911	0.00229224	0.00375725	0.00330287	0.00383751	0.00249927	0.00555854	0.00259685	0.00243515	0.00314955	0.00333246	0.00301991	0.00233133	0.00425800	0.00250647	0.00376115	0.00288842	0.00456397	0.00273334	0.00321041	0.00335301	0.00268775	0.00345385	0.00198082	0.00344048	0.00383935	0.00324245	0.00386771	0.00296823	0.00445246	0.00388185	0.00202464	0.00300040	0.00255192	0.00366999	0.00212815	0.00250802	0.00224158	0.00278135	0.00256732	0.00403414	0.00323165	0.00559667	0.00256338	0.00377332	0.00225439	0.00264375	0.00369987	0.00324215	0.00172063	0.00274264	0.00366930	0.00302032	0.00369851	0.00207673	0.00175432	0.00276778	0.00413638
NT->CR	0.00012808	0.00102037	0.00046170	0.00109932	0.00041283	0.00113750	0.00107282	0.00125362	0.00031655	0.00093511	0.00090485	0.00078478	0.00094078	0.00033628	0.00051884	0.00031468	0.00039204	0.00023198	0.00069255	0.00083555	0.00056972	0.00031145	0.00063834	0.00081422	0.00038737	0.00043960	0.00026267	0.00022961	0.00050229	0.00059116	0.00111421	0.00036238	0.00028162	0.00020454	0.00007585	0.00144083	0.00045728	0.00036864	0.00066852	0.00100266	0.00027014	0.00025703	0.00023199	0.00056823	0.00042280	0.00056088	0.00011336	0.00108355	0.00081193	0.00083746	0.00090844	0.00061274	0.00094119	0.00037932	0.00080557	0.00062266	0.00048594	0.00029809	0.00074922	0.00064474	0.00075514	0.00045089	0.00076741	0.00061654	0.00023162	0.00023286	0.00059309	0.00063012	0.00123595	0.00031135	0.00023902	0.00075501	0.00126946	0.00052448	0.00128165	0.00054288	0.00033771	0.00055779	0.00041696	0.00073039	0.00050295	0.00153897	0.00037352	0.00146209	0.00084939	0.00030942	0.00074973	0.00027230	0.00105300	0.00142322	0.00124744	0.00039021	0.00043778	0.00077576	0.00067198	0.00085177	0.00066958	0.00074795	0.00040546	0.00021778
NT->DD	0.00408413	0.00450512	0.00385702	0.00480279	0.00567866	0.00540254	0.00646165	0.00579052	0.00620273	0.00521223	0.00531563	0.00326455	0.00580522	0.00423769	0.00343107	0.00374898	0.00512914	0.00644518	0.00544390	0.00467105	0.00569557	0.00310783	0.00398171	0.00282048	0.00305509	0.00563198	0.00305567	0.00451502	0.00438752	0.00299837	0.00425005	0.00447219	0.00429411	0.00317394	0.00403063	0.00575295	0.00369867	0.00534511	0.00429011	0.00512922	0.00419319	0.00509388	0.00364458	0.00455580	0.00402685	0.00240194	0.00399295	0.00604390	0.00644300	0.00351745	0.00420537	0.00441233	0.00374498	0.00511149	0.00405279	0.00329830	0.00407610	0.00297186	0.00481939	0.00369693	0.00573804	0.00411231	0.00627230	0.00350690	0.00365430	0.00343808	0.00387070	0.00751764	0.00588384	0.00465759	0.00401959	0.00566400	0.00491342	0.00617109	0.00522805	0.00385814	0.00342384	0.00349409	0.00646528	0.00571708	0.00493405	0.00569442	0.00323020	0.00430195	0.00567477	0.00473564	0.00522329	0.00345522	0.00469898	0.00691612	0.00577646	0.00475277	0.00413559	0.00342646	0.00411154	0.00516251	0.00476300	0.00412993	0.00504425	0.00581655
