status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00214058	0.00260228	0.00220354	0.00243439	0.00241340	0.00199368	0.00247636	0.00222453	0.00253932	0.00205664	0.00169987	0.00216157	0.00180480	0.00249735	0.00226650	0.00220354	0.00203565	0.00178382	0.00237143	0.00220354	0.00203565	0.00209861	0.00214058	0.00222453	0.00155297	0.00209861	0.00203565	0.00228748	0.00220354	0.00224551	0.00199368	0.00197269	0.00199368	0.00197269	0.00214058	0.00195171	0.00253932	0.00207762	0.00220354	0.00180480	0.00197269	0.00193072	0.00237143	0.00239241	0.00224551	0.00214058	0.00245537	0.00186776	0.00224551	0.00216157	0.00201466	0.00228748	0.00235044	0.00245537	0.00184678	0.00211960	0.00237143	0.00216157	0.00251833	0.00256030	0.00230847	0.00241340	0.00209861	0.00169987	0.00241340	0.00216157	0.00214058	0.00220354	0.00197269	0.00262326	0.00163692	0.00193072	0.00199368	0.00188875	0.00209861	0.00220354	0.00205664	0.00218255	0.00216157	0.00237143	0.00211960	0.00232946	0.00211960	0.00251833	0.00188875	0.00176283	0.00247636	0.00193072	0.00197269	0.00235044	0.00228748	0.00216157	0.00199368	0.00224551	0.00253932	0.00256030	0.00232946	0.00239241	0.00256030	0.00205664
LC->VU	0.00143388	0.00142048	0.00121947	0.00159469	0.00138028	0.00125967	0.00128647	0.00101846	0.00148748	0.00124627	0.00124627	0.00115247	0.00103186	0.00151429	0.00117927	0.00209052	0.00120607	0.00105866	0.00134008	0.00174210	0.00108546	0.00125967	0.00158129	0.00128647	0.00125967	0.00124627	0.00143388	0.00163489	0.00156789	0.00119267	0.00142048	0.00111226	0.00154109	0.00144728	0.00120607	0.00143388	0.00139368	0.00131327	0.00139368	0.00119267	0.00116587	0.00113906	0.00139368	0.00127307	0.00155449	0.00112566	0.00134008	0.00139368	0.00144728	0.00140708	0.00131327	0.00142048	0.00143388	0.00172870	0.00127307	0.00095145	0.00174210	0.00138028	0.00113906	0.00100506	0.00156789	0.00139368	0.00160809	0.00147408	0.00174210	0.00159469	0.00136688	0.00139368	0.00154109	0.00111226	0.00135348	0.00151429	0.00128647	0.00123287	0.00143388	0.00128647	0.00139368	0.00127307	0.00167509	0.00108546	0.00123287	0.00132668	0.00117927	0.00121947	0.00125967	0.00136688	0.00158129	0.00170190	0.00170190	0.00158129	0.00160809	0.00146068	0.00108546	0.00135348	0.00178230	0.00116587	0.00142048	0.00155449	0.00116587	0.00100506
LC->EN	0.00017598	0.00021997	0.00032465	0.00021694	0.00013198	0.00010013	0.00022453	0.00033375	0.00018963	0.00016536	0.00012288	0.00018205	0.00019267	0.00028369	0.00032769	0.00012743	0.00033527	0.00010164	0.00022453	0.00016688	0.00023059	0.00016081	0.00008951	0.00012288	0.00026700	0.00017446	0.00024273	0.00013502	0.00019418	0.00017295	0.00010164	0.00026852	0.00012895	0.00026549	0.00014716	0.00012592	0.00008344	0.00020025	0.00014260	0.00017143	0.00014412	0.00014564	0.00025942	0.00012743	0.00007737	0.00010013	0.00021846	0.00009254	0.00015019	0.00026852	0.00020480	0.00014109	0.00017143	0.00019267	0.00013502	0.00023818	0.00022453	0.00020784	0.00016233	0.00010316	0.00021694	0.00019874	0.00009861	0.00016991	0.00025790	0.00023970	0.00019418	0.00012592	0.00010316	0.00025638	0.00010923	0.00009558	0.00016233	0.00014564	0.00022756	0.00019115	0.00013350	0.00008496	0.00009254	0.00016233	0.00014260	0.00016536	0.00035803	0.00010468	0.00013654	0.00015626	0.00018508	0.00017598	0.00024728	0.00010468	0.00041568	0.00013198	0.00011075	0.00019570	0.00011226	0.00009709	0.00028521	0.00007282	0.00016233	0.00018963
LC->CR	0.00006477	0.00004714	0.00005707	0.00017478	0.00004788	0.00008091	0.00004590	0.00007669	0.00005931	0.00004888	0.00004639	0.00009159	0.00004590	0.00007768	0.00008265	0.00005409	0.00005061	0.00007421	0.00005037	0.00009805	0.00006378	0.00006676	0.00005707	0.00005061	0.00004888	0.00005210	0.00005310	0.00007247	0.00005012	0.00022544	0.00009258	0.00007445	0.00004590	0.00004888	0.00008687	0.00009134	0.00007719	0.00005210	0.00006725	0.00010599	0.00006949	0.00008290	0.00006402	0.00009209	0.00006030	0.00006998	0.00006303	0.00013703	0.00005757	0.00004739	0.00005608	0.00004962	0.00005037	0.00005657	0.00005757	0.00004937	0.00005955	0.00004888	0.00005906	0.00006080	0.00005707	0.00004962	0.00006080	0.00011742	0.00008190	0.00004813	0.00004987	0.00007719	0.00006328	0.00005037	0.00005533	0.00008041	0.00007396	0.00012586	0.00009184	0.00007048	0.00006005	0.00018620	0.00004739	0.00007892	0.00005434	0.00005111	0.00005558	0.00007247	0.00006353	0.00005459	0.00007520	0.00007222	0.00005310	0.00005310	0.00007396	0.00007768	0.00004540	0.00012263	0.00006924	0.00007992	0.00009184	0.00004565	0.00004788	0.00005633
LC->DD	0.00283767	0.00335954	0.00342478	0.00326169	0.00368571	0.00309861	0.00306599	0.00339216	0.00309861	0.00371833	0.00309861	0.00296814	0.00309861	0.00342478	0.00375095	0.00322908	0.00280506	0.00270721	0.00309861	0.00326169	0.00362048	0.00322908	0.00316384	0.00309861	0.00329431	0.00358786	0.00335954	0.00319646	0.00329431	0.00345740	0.00270721	0.00349001	0.00332693	0.00329431	0.00342478	0.00313123	0.00316384	0.00345740	0.00326169	0.00277244	0.00365310	0.00362048	0.00296814	0.00365310	0.00329431	0.00287029	0.00342478	0.00335954	0.00300076	0.00283767	0.00319646	0.00339216	0.00332693	0.00332693	0.00332693	0.00349001	0.00355525	0.00319646	0.00335954	0.00352263	0.00349001	0.00319646	0.00319646	0.00316384	0.00345740	0.00326169	0.00332693	0.00277244	0.00264197	0.00313123	0.00342478	0.00329431	0.00342478	0.00322908	0.00349001	0.00322908	0.00332693	0.00397927	0.00345740	0.00326169	0.00339216	0.00332693	0.00287029	0.00349001	0.00303338	0.00349001	0.00296814	0.00316384	0.00355525	0.00329431	0.00280506	0.00290291	0.00329431	0.00313123	0.00362048	0.00375095	0.00358786	0.00326169	0.00287029	0.00313123
NT->LC	0.00952295	0.01180018	0.01169667	0.01076508	0.00890189	0.01055806	0.01076508	0.00983348	0.00797030	0.01148965	0.00952295	0.00972997	0.01076508	0.01117912	0.01138614	0.01138614	0.01004050	0.00755626	0.00983348	0.01262826	0.01024752	0.01097210	0.00993699	0.01138614	0.01138614	0.00755626	0.01045455	0.01066157	0.00931593	0.01211071	0.01035104	0.00952295	0.01086859	0.00817732	0.01159316	0.00838434	0.01117912	0.00972997	0.00993699	0.01055806	0.01211071	0.00869487	0.01573357	0.01376688	0.01107561	0.00993699	0.01055806	0.00838434	0.01262826	0.01169667	0.00993699	0.01159316	0.01117912	0.00941944	0.01024752	0.01231773	0.01345635	0.00983348	0.01211071	0.01097210	0.00952295	0.01086859	0.01211071	0.00952295	0.00952295	0.00890189	0.01180018	0.01024752	0.01293879	0.01128263	0.01045455	0.00890189	0.01035104	0.01117912	0.01148965	0.01066157	0.00972997	0.01190369	0.01035104	0.01335284	0.00941944	0.01086859	0.01345635	0.01045455	0.00879838	0.00931593	0.00786679	0.01283528	0.00921242	0.01200720	0.01418092	0.01076508	0.01594059	0.00900540	0.01076508	0.01086859	0.00869487	0.01014401	0.01159316	0.00952295
NT->VU	0.01436544	0.01410891	0.01308281	0.01654590	0.01423717	0.01449370	0.01333933	0.01282628	0.01038929	0.01192844	0.01308281	0.01333933	0.01244149	0.01487849	0.01013276	0.01359586	0.01346760	0.01077408	0.01205671	0.01282628	0.01269802	0.01141539	0.01256976	0.01462196	0.01462196	0.01526328	0.01423717	0.01013276	0.01269802	0.01128713	0.01423717	0.01051755	0.01180018	0.01218497	0.01539154	0.01410891	0.00987624	0.00897840	0.01244149	0.01475023	0.01269802	0.01475023	0.01103060	0.01038929	0.01526328	0.01167192	0.01385239	0.01449370	0.01475023	0.01256976	0.01680243	0.01346760	0.01333933	0.01269802	0.01269802	0.01128713	0.01064581	0.01539154	0.01026103	0.01000450	0.01103060	0.01333933	0.01205671	0.01462196	0.01205671	0.01013276	0.01115887	0.01231323	0.01256976	0.01244149	0.01372412	0.01410891	0.01282628	0.01603285	0.01436544	0.01462196	0.01308281	0.01359586	0.01154365	0.00718272	0.01128713	0.01590459	0.01385239	0.01077408	0.01398065	0.01346760	0.01115887	0.01269802	0.01372412	0.01295455	0.01282628	0.01487849	0.01564806	0.01115887	0.01090234	0.01244149	0.00974797	0.01603285	0.01308281	0.01333933
NT->EN	0.00321332	0.00302430	0.00371737	0.00381188	0.00277228	0.00453645	0.00302430	0.00302430	0.00220522	0.00311881	0.00330783	0.00434743	0.00296130	0.00491449	0.00245725	0.00280378	0.00324482	0.00283528	0.00330783	0.00472547	0.00311881	0.00333933	0.00428443	0.00441044	0.00485149	0.00381188	0.00450495	0.00456796	0.00378038	0.00365437	0.00362286	0.00371737	0.00270927	0.00340234	0.00396940	0.00292979	0.00229973	0.00233123	0.00204770	0.00245725	0.00362286	0.00349685	0.00387489	0.00390639	0.00406391	0.00343384	0.00488299	0.00428443	0.00529253	0.00459946	0.00444194	0.00478848	0.00500900	0.00305581	0.00346535	0.00324482	0.00305581	0.00324482	0.00441044	0.00463096	0.00321332	0.00305581	0.00428443	0.00425293	0.00292979	0.00315032	0.00229973	0.00381188	0.00201620	0.00211071	0.00425293	0.00302430	0.00447345	0.00409541	0.00299280	0.00270927	0.00248875	0.00579658	0.00456796	0.00368587	0.00337084	0.00337084	0.00157516	0.00255176	0.00226823	0.00359136	0.00270927	0.00497750	0.00355986	0.00173267	0.00349685	0.00286679	0.00352835	0.00292979	0.00308731	0.00346535	0.00270927	0.00311881	0.00318182	0.00362286
NT->CR	0.00036904	0.00033753	0.00020702	0.00030828	0.00033528	0.00011026	0.00067057	0.00004725	0.00012376	0.00031953	0.00059631	0.00074032	0.00054680	0.00041404	0.00039379	0.00059406	0.00042529	0.00040954	0.00029253	0.00032853	0.00022952	0.00039829	0.00003600	0.00024527	0.00042304	0.00105986	0.00020027	0.00014626	0.00017102	0.00149865	0.00025653	0.00041854	0.00077633	0.00116337	0.00075158	0.00032178	0.00051980	0.00024977	0.00014401	0.00093384	0.00027903	0.00003375	0.00028803	0.00060306	0.00018227	0.00013726	0.00014851	0.00030603	0.00010576	0.00074257	0.00018002	0.00020927	0.00015527	0.00020252	0.00062556	0.00025428	0.00027678	0.00014626	0.00014626	0.00069082	0.00038254	0.00080783	0.00076508	0.00050405	0.00025428	0.00042754	0.00024527	0.00044104	0.00067282	0.00024302	0.00027003	0.00015077	0.00018002	0.00073582	0.00020027	0.00060756	0.00018902	0.00054455	0.00056256	0.00026103	0.00037129	0.00128488	0.00025653	0.00076058	0.00066382	0.00012826	0.00028578	0.00008776	0.00015077	0.00019802	0.00072907	0.00050630	0.00049730	0.00079208	0.00013726	0.00072007	0.00051305	0.00126013	0.00046580	0.00042754
NT->DD	0.00641314	0.00590684	0.00444419	0.00596310	0.00646940	0.00495050	0.00804455	0.00528803	0.00562556	0.00832583	0.00675068	0.00461296	0.00551305	0.00753825	0.00478173	0.00736949	0.00601935	0.00658191	0.00630063	0.00500675	0.00461296	0.00500675	0.00556931	0.00601935	0.00495050	0.00528803	0.00601935	0.00601935	0.00523177	0.00573807	0.00675068	0.00731323	0.00433168	0.00590684	0.00815707	0.00528803	0.00742574	0.00421917	0.00646940	0.00646940	0.00556931	0.00624437	0.00703195	0.00618812	0.00810081	0.00427543	0.00703195	0.00461296	0.00877588	0.00725698	0.00585059	0.00787579	0.00568182	0.00590684	0.00545680	0.00511926	0.00669442	0.00742574	0.00607561	0.00680693	0.00776328	0.00585059	0.00714446	0.00472547	0.00568182	0.00703195	0.00573807	0.00770702	0.00478173	0.00416292	0.00545680	0.00601935	0.00618812	0.00601935	0.00731323	0.00556931	0.00388164	0.00528803	0.00466922	0.00545680	0.00551305	0.00585059	0.00776328	0.00641314	0.00534428	0.00545680	0.00596310	0.00765077	0.00495050	0.00630063	0.00663816	0.00528803	0.00585059	0.00703195	0.00714446	0.00691944	0.00562556	0.00545680	0.00798830	0.00652565
