species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Acinonyx jubatus	0.010293117	0.000162047	0.030020726	1.000000000
Ailuropoda melanoleuca	0.003346630	0.000113476	0.010157600	1.000000000
Ailurus fulgens	0.019314101	0.000068608	0.109921022	1.000000000
Aonyx capensis	0.016049685	0.000112499	0.079054848	1.000000000
Aonyx cinereus	0.011984799	0.000067609	0.072192274	1.000000000
Aonyx congicus	0.004499368	0.000090081	0.013654368	1.000000000
Arctictis binturong	0.010196167	0.000061086	0.042841764	1.000000000
Arctocephalus australis	0.003131641	0.000144588	0.010610092	1.000000000
Arctocephalus australis	0.003912391	0.000049125	0.011646900	1.000000000
Arctocephalus forsteri	0.003505498	0.000030958	0.010259775	1.000000000
Arctocephalus galapagoensis	0.055599429	0.000034321	0.281544862	1.000000000
Arctocephalus gazella	0.005501428	0.000235609	0.018365475	1.000000000
Arctocephalus philippii	0.009031378	0.000129833	0.041354635	1.000000000
Arctocephalus pusillus	0.005674060	0.000036431	0.027809423	1.000000000
Arctocephalus townsendi	0.007827672	0.000108007	0.025324897	1.000000000
Arctocephalus tropicalis	0.003269252	0.000066796	0.010161098	1.000000000
Arctogalidia trivirgata	0.003623933	0.000135288	0.014216707	1.000000000
Arctonyx albogularis	0.005822343	0.000032875	0.018109275	1.000000000
Arctonyx collaris	0.012016026	0.000080599	0.048286567	1.000000000
Arctonyx hoevenii	0.005526871	0.000061304	0.018622692	1.000000000
Atelocynus microtis	0.020036134	0.000055504	0.084457255	1.000000000
Atilax paludinosus	0.005352488	0.000239724	0.015596171	1.000000000
Bassaricyon alleni	0.002132161	0.000066819	0.006709605	1.000000000
Bassaricyon gabbii	0.003994759	0.000013398	0.012456445	1.000000000
Bassaricyon medius	0.007130049	0.000052435	0.029722784	1.000000000
Bassaricyon neblina	0.009110729	0.000044823	0.036171642	1.000000000
Bassariscus astutus	0.004872939	0.000624548	0.015492626	1.000000000
Bassariscus sumichrasti	0.005014158	0.000098851	0.020184823	1.000000000
Bdeogale crassicauda	0.005338130	0.000064134	0.017811068	1.000000000
Bdeogale jacksoni	0.012288134	0.000480914	0.050358144	1.000000000
Bdeogale nigripes	0.003175304	0.000086844	0.009552820	1.000000000
Bdeogale omnivora	0.009892374	0.000221016	0.043209800	1.000000000
Callorhinus ursinus	0.005758711	0.000086332	0.020913541	1.000000000
Canis adustus	0.004574768	0.000043254	0.013424322	1.000000000
Canis aureus	0.009101936	0.000114839	0.031250636	1.000000000
Canis latrans	0.004070215	0.000164815	0.014386636	1.000000000
Canis lupus	0.003379318	0.000048209	0.011424286	1.000000000
Canis mesomelas	0.004468136	0.000111176	0.015407158	1.000000000
Canis rufus	0.127390238	0.000110676	0.748085262	1.000000000
Canis simensis	0.025915344	0.000131181	0.092390265	1.000000000
Caracal aurata	0.056393910	0.000033078	0.422054307	1.000000000
Caracal caracal	0.007175139	0.000005686	0.031461570	1.000000000
Catopuma badia	0.031903283	0.000020695	0.154348547	1.000000000
Catopuma temminckii	0.011980351	0.000049183	0.046644455	1.000000000
Cerdocyon thous	0.004463106	0.000068491	0.016538649	1.000000000
Chrotogale owstoni	0.034202561	0.000001214	0.260567855	1.000000000
Chrysocyon brachyurus	0.010367480	0.000145907	0.057640069	1.000000000
Civettictis civetta	0.004307320	0.000329238	0.015483176	1.000000000
Conepatus chinga	0.008031141	0.000590770	0.030097046	1.000000000
Conepatus humboldtii	0.003129715	0.000147431	0.009348209	1.000000000
Conepatus leuconotus	0.004962852	0.000096099	0.015040104	1.000000000
Conepatus semistriatus	0.003012606	0.000083283	0.010783714	1.000000000
Crocuta crocuta	0.003277735	0.000124806	0.010026146	1.000000000
Crossarchus alexandri	0.007723286	0.000194513	0.040824378	1.000000000
Crossarchus ansorgei	0.011985208	0.000015614	0.054501077	1.000000000
Crossarchus obscurus	0.006599693	0.000159352	0.024876287	1.000000000
Crossarchus platycephalus	0.005341429	0.000170826	0.015651182	1.000000000
Cryptoprocta ferox	0.006532934	0.000146965	0.030539267	1.000000000
Cuon alpinus	0.068386788	0.000066788	0.556334671	1.000000000
Cynictis penicillata	0.004932027	0.000087715	0.021761818	1.000000000
Cynogale bennettii	0.044118595	0.000196525	0.142140954	1.000000000
Cystophora cristata	0.006369505	0.000025246	0.025167632	1.000000000
Diplogale hosei	0.008772077	0.000085480	0.041667537	1.000000000
Dologale dybowskii	0.005915162	0.000060283	0.021865248	1.000000000
Eira barbara	0.002561718	0.000159571	0.007627912	1.000000000
Enhydra lutris	0.008167290	0.000179451	0.023898140	1.000000000
Erignathus barbatus	0.002624970	0.000064807	0.009031076	1.000000000
Eumetopias jubatus	0.004394056	0.000414999	0.015138857	1.000000000
Eupleres goudotii	0.010401977	0.000073129	0.038979666	1.000000000
Eupleres major	0.048375246	0.000288015	0.171351918	1.000000000
Felis bieti	0.010473743	0.000090931	0.041041484	1.000000000
Felis chaus	0.007314956	0.000140959	0.023905599	1.000000000
Felis margarita	0.002623479	0.000106612	0.007745547	1.000000000
Felis nigripes	0.007735279	0.000192374	0.021418582	1.000000000
Felis silvestris	0.004157680	0.000045500	0.016048941	1.000000000
Fossa fossana	0.013106592	0.000011792	0.057561227	1.000000000
Galictis cuja	0.005682732	0.000128072	0.022782597	1.000000000
Galictis vittata	0.006369414	0.000019907	0.024335748	1.000000000
Galidia elegans	0.006641580	0.000006195	0.025575663	1.000000000
Galidictis fasciata	0.018613299	0.000132163	0.082363226	1.000000000
Galidictis grandidieri	0.028932106	0.000098254	0.114483076	1.000000000
Genetta abyssinica	0.005389846	0.000227239	0.017712340	1.000000000
Genetta angolensis	0.004137045	0.000007234	0.015499172	1.000000000
Genetta bourloni	0.004601491	0.000455278	0.015159201	1.000000000
Genetta cristata	0.014004553	0.000240911	0.061411003	1.000000000
Genetta genetta	0.003624946	0.000031382	0.010133176	1.000000000
Genetta johnstoni	0.008298941	0.000033389	0.033688967	1.000000000
Genetta maculata	0.007067262	0.000032305	0.022602851	1.000000000
Genetta pardina	0.002032218	0.000220116	0.006671792	1.000000000
Genetta piscivora	0.010277585	0.000455969	0.040072787	1.000000000
Genetta poensis	0.020047718	0.000081039	0.121336408	1.000000000
Genetta servalina	0.004064722	0.000090926	0.015302937	1.000000000
