species	yearly_extinction_rate_mean	yearly_extinction_rate_lower	yearly_extinction_rate_upper	extinct_by_2100AD_mean	extinct_by_2100AD_lower	extinct_by_2100AD_upper	extinct_by_2100AD_sim_frequency
Acinonyx jubatus	0.000639364	0.000395149	0.000850410	0.050435659	0.031506365	0.066591630	0.050000000
Ailuropoda melanoleuca	0.001178370	0.000886762	0.001381168	0.091022699	0.069338443	0.105912755	0.090000000
Ailurus fulgens	0.004413785	0.004085455	0.004734272	0.301070191	0.282225378	0.319131897	0.300000000
Aonyx capensis	0.001451425	0.001180698	0.001694585	0.110941194	0.091257051	0.128359149	0.110000000
Aonyx cinereus	0.002445928	0.002128322	0.002660225	0.179880494	0.158507195	0.194075632	0.180000000
Aonyx congicus	0.000886746	0.000634031	0.001189303	0.069274766	0.050075553	0.091891015	0.070000000
Arctictis binturong	0.001164326	0.000898740	0.001406176	0.089999043	0.076204401	0.113479553	0.090000000
Arctocephalus australis	0.000155974	0.000017583	0.000304390	0.012532954	0.001423192	0.024357771	0.010000000
Arctocephalus australis	0.000094776	0.000001466	0.000257572	0.007626873	0.000118770	0.020649863	0.000000000
Arctocephalus forsteri	0.000182445	0.000002096	0.000331212	0.014641394	0.000169794	0.026475790	0.010000000
Arctocephalus galapagoensis	0.004729754	0.004451555	0.005014074	0.318824077	0.303286451	0.334463397	0.320000000
Arctocephalus gazella	0.000171916	0.000001797	0.000376868	0.013787952	0.000145549	0.030070669	0.010000000
Arctocephalus philippii	0.000107216	0.000003101	0.000253399	0.008629188	0.000251182	0.020318685	0.000000000
Arctocephalus pusillus	0.000156265	0.000001135	0.000341091	0.012540314	0.000091957	0.027254750	0.010000000
Arctocephalus townsendi	0.000265697	0.000036290	0.000458283	0.021247157	0.007397975	0.040860586	0.020000000
Arctocephalus tropicalis	0.000152636	0.000009529	0.000317338	0.012262034	0.000771587	0.025380777	0.010000000
Arctogalidia trivirgata	0.000391867	0.000158555	0.000627590	0.031194969	0.012761828	0.049579458	0.030000000
Arctonyx albogularis	0.000092706	0.000001554	0.000212722	0.007466404	0.000125836	0.017084679	0.000000000
Arctonyx collaris	0.002308986	0.002013230	0.002641132	0.170680402	0.150609278	0.192824955	0.170000000
Arctonyx hoevenii	0.000144324	0.000003519	0.000297758	0.011594918	0.000285030	0.023833351	0.010000000
Atelocynus microtis	0.000884556	0.000702373	0.001134417	0.069129724	0.055322986	0.087840073	0.070000000
Atilax paludinosus	0.000148297	0.000002542	0.000297684	0.011912306	0.000205906	0.023827537	0.010000000
Bassaricyon alleni	0.000385152	0.000167344	0.000622693	0.030665205	0.013464567	0.049202184	0.030000000
Bassaricyon gabbii	0.000254619	0.000068756	0.000465137	0.020371086	0.005553985	0.036983638	0.020000000
Bassaricyon medius	0.000096774	0.000004017	0.000251986	0.007791392	0.000325360	0.020206477	0.000000000
Bassaricyon neblina	0.000864173	0.000636954	0.001134985	0.067571992	0.050300563	0.087882103	0.070000000
Bassariscus astutus	0.000271847	0.000043793	0.000477863	0.021732862	0.003540998	0.037976252	0.020000000
Bassariscus sumichrasti	0.000097700	0.000000085	0.000222495	0.007867272	0.000006896	0.017862628	0.000000000
Bdeogale crassicauda	0.000152765	0.000002094	0.000315209	0.012268761	0.000169591	0.025212639	0.010000000
Bdeogale jacksoni	0.001451099	0.001201601	0.001703656	0.110905989	0.092796268	0.129000437	0.110000000
Bdeogale nigripes	0.000153851	0.000001817	0.000299794	0.012361132	0.000147151	0.023994430	0.010000000
Bdeogale omnivora	0.000887349	0.000682672	0.001102303	0.069334724	0.053813272	0.085461571	0.070000000
Callorhinus ursinus	0.001403221	0.001089284	0.001598567	0.107458730	0.088166709	0.125173913	0.110000000
