species	current_status
Abditomys latidens	DD
Abeomelomys sevia	LC
Abrawayaomys chebezi	DD
Abrawayaomys ruschii	LC
Abrocoma bennettii	LC
Abrocoma boliviensis	CR
Abrocoma budini	DD
Abrocoma cinerea	LC
Abrocoma famatina	DD
Abrocoma shistacea	LC
Abrocoma uspallata	DD
Abrocoma vaccarum	DD
Abrothrix andinus	LC
Abrothrix illutea	LC
Abrothrix jelskii	LC
Abrothrix lanosus	LC
Abrothrix longipilis	LC
Abrothrix olivaceus	LC
Abrothrix sanborni	NT
Acerodon celebensis	VU
Acerodon humilis	EN
Acerodon jubatus	EN
Acerodon leucotis	VU
Acerodon mackloti	VU
Acinonyx jubatus	VU
Acomys airensis	LC
Acomys cahirinus	LC
Acomys cilicicus	DD
Acomys cineraceus	LC
Acomys dimidiatus	LC
Acomys ignitus	LC
Acomys johannis	LC
Acomys kempi	LC
Acomys louisae	LC
Acomys minous	DD
Acomys mullah	LC
Acomys muzei	LC
Acomys nesiotes	DD
Acomys ngurui	LC
Acomys percivali	LC
Acomys russatus	LC
Acomys selousi	LC
Acomys seurati	LC
Acomys spinosissimus	LC
Acomys wilsoni	LC
Aconaemys fuscus	LC
Aconaemys porteri	DD
Aconaemys sagei	DD
Acrobates pygmaeus	LC
Addax nasomaculatus	CR
Aegialomys galapagoensis	VU
Aegialomys xanthaeolus	LC
Aepeomys lugens	LC
Aepeomys reigi	VU
Aepyceros melampus	LC
Aepyprymnus rufescens	LC
Aeretes melanopterus	NT
Aeromys tephromelas	DD
Aeromys thomasi	LC
Aethalops aequalis	LC
Aethalops alecto	LC
Aethomys bocagei	LC
Aethomys chrysophilus	LC
Aethomys hindei	LC
Aethomys ineptus	LC
Aethomys kaiseri	LC
Aethomys nyikae	LC
Aethomys silindensis	DD
Aethomys stannarius	DD
Aethomys thomasi	LC
Ailuropoda melanoleuca	VU
Ailurops melanotis	CR
Ailurops ursinus	VU
Ailurus fulgens	EN
Akodon aerosus	LC
Akodon affinis	LC
Akodon albiventer	LC
Akodon azarae	LC
Akodon boliviensis	LC
Akodon budini	LC
Akodon caenosus	DD
Akodon cursor	LC
Akodon dayi	LC
Akodon dolores	LC
Akodon fumeus	LC
Akodon iniscatus	LC
Akodon juninensis	LC
Akodon kofordi	LC
Akodon lindberghi	DD
Akodon lutescens	LC
Akodon mimus	LC
Akodon molinae	LC
Akodon mollis	LC
Akodon montensis	LC
Akodon mystax	DD
Akodon orophilus	LC
Akodon paranaensis	LC
Akodon pervalens	DD
Akodon philipmyersi	DD
Akodon polopi	LC
Akodon reigi	LC
Akodon sanctipaulensis	DD
Akodon serrensis	LC
Akodon siberiae	NT
Akodon simulator	LC
Akodon spegazzinii	LC
Akodon subfuscus	LC
Akodon surdus	VU
Akodon sylvanus	LC
Akodon toba	LC
Akodon torques	LC
Akodon varius	DD
Alcelaphus buselaphus	LC
Alces alces	LC
Alionycteris paucidentata	LC
Allactaga balikunica	LC
Allactaga bullata	LC
Allactaga elater	LC
Allactaga euphratica	NT
Allactaga firouzi	DD
Allactaga hotsoni	LC
Allactaga major	LC
Allactaga severtzovi	LC
Allactaga sibirica	LC
Allactaga tetradactyla	DD
Allactaga vinogradovi	NT
Allactaga williamsi	LC
Allactodipus bobrinskii	LC
Allenopithecus nigroviridis	LC
Allocebus trichotis	VU
Allochrocebus lhoesti	VU
Allochrocebus preussi	EN
Allochrocebus solatus	NT
Allocricetulus curtatus	LC
Allocricetulus eversmanni	LC
Alouatta arctoidea	LC
Alouatta belzebul	VU
Alouatta caraya	LC
Alouatta discolor	VU
Alouatta guariba	LC
Alouatta macconnelli	LC
Alouatta nigerrima	LC
Alouatta palliata	LC
Alouatta pigra	EN
Alouatta sara	LC
Alouatta ululata	EN
Alticola albicaudus	DD
Alticola argentatus	LC
Alticola barakshin	LC
Alticola lemminus	LC
Alticola macrotis	LC
Alticola montosa	VU
Alticola olchonensis	EN
Alticola roylei	NT
Alticola semicanus	LC
Alticola stoliczkanus	LC
Alticola strelzowi	LC
Alticola tuvinicus	LC
Amblysomus corriae	NT
Amblysomus hottentotus	LC
Amblysomus marleyi	EN
Amblysomus robustus	VU
Amblysomus septentrionalis	NT
Ametrida centurio	LC
Ammodillus imbellis	DD
Ammodorcas clarkei	VU
Ammospermophilus harrisii	LC
Ammospermophilus interpres	LC
Ammospermophilus leucurus	LC
Ammospermophilus nelsoni	EN
Ammotragus lervia	VU
Amorphochilus schnablii	VU
Amphinectomys savamis	DD
Anathana ellioti	LC
Andalgalomys olrogi	LC
Andalgalomys pearsoni	LC
Andinomys edax	LC
Anisomys imitator	LC
Anomalurus beecrofti	LC
Anomalurus derbianus	LC
Anomalurus pelii	DD
Anomalurus pusillus	LC
Anonymomys mindorensis	DD
Anotomys leander	EN
Anoura aequatoris	LC
Anoura cadenai	DD
Anoura caudifer	LC
Anoura cultrata	LC
Anoura fistulata	DD
Anoura geoffroyi	LC
Anoura latidens	LC
Anoura luismanueli	LC
Anoura peruana	LC
Anourosorex assamensis	LC
Anourosorex schmidi	DD
Anourosorex squamipes	LC
Anourosorex yamashinai	LC
Antechinomys laniger	LC
Antechinus adustus	LC
Antechinus agilis	LC
Antechinus bellus	VU
Antechinus flavipes	LC
Antechinus godmani	LC
Antechinus leo	LC
Antechinus minimus	LC
Antechinus stuartii	LC
Antechinus subtropicus	LC
Antechinus swainsonii	LC
Anthops ornatus	DD
Antidorcas marsupialis	LC
Antilocapra americana	LC
Antilope cervicapra	LC
Antrozous pallidus	LC
Aonyx capensis	NT
Aonyx cinereus	VU
Aonyx congicus	NT
Aotus azarae	LC
Aotus brumbacki	VU
Aotus griseimembra	VU
Aotus jorgehernandezi	DD
Aotus lemurinus	VU
Aotus miconax	EN
Aotus nancymaae	VU
Aotus nigriceps	LC
Aotus trivirgatus	LC
Aotus vociferans	LC
Aotus zonalis	DD
Aplodontia rufa	LC
Apodemus agrarius	LC
Apodemus alpicola	LC
Apodemus argenteus	LC
Apodemus avicennicus	DD
Apodemus chevrieri	LC
Apodemus draco	LC
Apodemus epimelas	LC
Apodemus flavicollis	LC
Apodemus gurkha	LC
Apodemus hyrcanicus	NT
Apodemus latronum	LC
