species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Abditomys latidens	0.025165394	0.000028301	0.092438418	1.000000000
Abeomelomys sevia	0.004806581	0.000002551	0.016032249	1.000000000
Abrawayaomys chebezi	0.016931238	0.000285015	0.079182105	1.000000000
Abrawayaomys ruschii	0.005247990	0.000008522	0.017487309	1.000000000
Abrocoma bennettii	0.004245659	0.000023197	0.016844715	1.000000000
Abrocoma boliviensis	0.187120667	0.000191738	0.761416137	1.000000000
Abrocoma budini	0.034891679	0.000159577	0.148586147	1.000000000
Abrocoma cinerea	0.005213721	0.000019684	0.018612801	1.000000000
Abrocoma famatina	0.027287993	0.000241992	0.118058840	1.000000000
Abrocoma shistacea	0.004636167	0.000018929	0.017153877	1.000000000
Abrocoma uspallata	0.031536237	0.000003286	0.132281947	1.000000000
Abrocoma vaccarum	0.020463844	0.000109232	0.075044936	1.000000000
Abrothrix andinus	0.005221969	0.000068573	0.017428263	1.000000000
Abrothrix illutea	0.005676939	0.000088184	0.019135446	1.000000000
Abrothrix jelskii	0.005538554	0.000178071	0.020216496	1.000000000
Abrothrix lanosus	0.005705991	0.000191962	0.018142024	1.000000000
Abrothrix longipilis	0.009075012	0.000205772	0.036415230	1.000000000
Abrothrix olivaceus	0.006295708	0.000018417	0.024886609	1.000000000
Abrothrix sanborni	0.015695433	0.000010509	0.062777469	1.000000000
Acerodon celebensis	0.012644836	0.000101669	0.045433586	1.000000000
Acerodon humilis	0.044981720	0.000132196	0.234807080	1.000000000
Acerodon jubatus	0.028710842	0.000113092	0.087416861	1.000000000
Acerodon leucotis	0.016268390	0.000023293	0.061317253	1.000000000
Acerodon mackloti	0.017520775	0.000067648	0.071111688	1.000000000
Acinonyx jubatus	0.011315311	0.000066832	0.042886923	1.000000000
Acomys airensis	0.004636064	0.000056496	0.016113728	1.000000000
Acomys cahirinus	0.006062683	0.000077967	0.021270339	1.000000000
Acomys cilicicus	0.021432417	0.000039394	0.086738406	1.000000000
Acomys cineraceus	0.005424785	0.000035374	0.019184750	1.000000000
