species	cr_extinction_risk_yearly_0	cr_extinction_risk_yearly_1	cr_extinction_risk_yearly_2	cr_extinction_risk_yearly_3	cr_extinction_risk_yearly_4	cr_extinction_risk_yearly_5	cr_extinction_risk_yearly_6	cr_extinction_risk_yearly_7	cr_extinction_risk_yearly_8	cr_extinction_risk_yearly_9	cr_extinction_risk_yearly_10	cr_extinction_risk_yearly_11	cr_extinction_risk_yearly_12	cr_extinction_risk_yearly_13	cr_extinction_risk_yearly_14	cr_extinction_risk_yearly_15	cr_extinction_risk_yearly_16	cr_extinction_risk_yearly_17	cr_extinction_risk_yearly_18	cr_extinction_risk_yearly_19	cr_extinction_risk_yearly_20	cr_extinction_risk_yearly_21	cr_extinction_risk_yearly_22	cr_extinction_risk_yearly_23	cr_extinction_risk_yearly_24	cr_extinction_risk_yearly_25	cr_extinction_risk_yearly_26	cr_extinction_risk_yearly_27	cr_extinction_risk_yearly_28	cr_extinction_risk_yearly_29	cr_extinction_risk_yearly_30	cr_extinction_risk_yearly_31	cr_extinction_risk_yearly_32	cr_extinction_risk_yearly_33	cr_extinction_risk_yearly_34	cr_extinction_risk_yearly_35	cr_extinction_risk_yearly_36	cr_extinction_risk_yearly_37	cr_extinction_risk_yearly_38	cr_extinction_risk_yearly_39	cr_extinction_risk_yearly_40	cr_extinction_risk_yearly_41	cr_extinction_risk_yearly_42	cr_extinction_risk_yearly_43	cr_extinction_risk_yearly_44	cr_extinction_risk_yearly_45	cr_extinction_risk_yearly_46	cr_extinction_risk_yearly_47	cr_extinction_risk_yearly_48	cr_extinction_risk_yearly_49	cr_extinction_risk_yearly_50	cr_extinction_risk_yearly_51	cr_extinction_risk_yearly_52	cr_extinction_risk_yearly_53	cr_extinction_risk_yearly_54	cr_extinction_risk_yearly_55	cr_extinction_risk_yearly_56	cr_extinction_risk_yearly_57	cr_extinction_risk_yearly_58	cr_extinction_risk_yearly_59	cr_extinction_risk_yearly_60	cr_extinction_risk_yearly_61	cr_extinction_risk_yearly_62	cr_extinction_risk_yearly_63	cr_extinction_risk_yearly_64	cr_extinction_risk_yearly_65	cr_extinction_risk_yearly_66	cr_extinction_risk_yearly_67	cr_extinction_risk_yearly_68	cr_extinction_risk_yearly_69	cr_extinction_risk_yearly_70	cr_extinction_risk_yearly_71	cr_extinction_risk_yearly_72	cr_extinction_risk_yearly_73	cr_extinction_risk_yearly_74	cr_extinction_risk_yearly_75	cr_extinction_risk_yearly_76	cr_extinction_risk_yearly_77	cr_extinction_risk_yearly_78	cr_extinction_risk_yearly_79	cr_extinction_risk_yearly_80	cr_extinction_risk_yearly_81	cr_extinction_risk_yearly_82	cr_extinction_risk_yearly_83	cr_extinction_risk_yearly_84	cr_extinction_risk_yearly_85	cr_extinction_risk_yearly_86	cr_extinction_risk_yearly_87	cr_extinction_risk_yearly_88	cr_extinction_risk_yearly_89	cr_extinction_risk_yearly_90	cr_extinction_risk_yearly_91	cr_extinction_risk_yearly_92	cr_extinction_risk_yearly_93	cr_extinction_risk_yearly_94	cr_extinction_risk_yearly_95	cr_extinction_risk_yearly_96	cr_extinction_risk_yearly_97	cr_extinction_risk_yearly_98	cr_extinction_risk_yearly_99
Acinonyx jubatus	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565	0.028406741565
Ailuropoda melanoleuca	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026	0.015955522026
Ailurus fulgens	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871	0.037662299871
Aonyx capensis	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282	0.050694545282
Aonyx cinereus	0.059313793076	0.049617150867	0.041298463770	0.066967008463	0.035490926528	0.052159696316	0.048285102321	0.062771075134	0.056076083472	0.037831245207	0.040517042699	0.055470448564	0.062900132508	0.039531807799	0.055027542370	0.040238580566	0.052312831343	0.044851353490	0.053980038262	0.052786490154	0.032123176545	0.040483283179	0.044797571617	0.050067137972	0.055720123891	0.045344461037	0.064403046757	0.044206601408	0.047605021413	0.056268955442	0.038162237336	0.028933979770	0.037061887037	0.037335755398	0.048846356949	0.056283563446	0.048887352741	0.027877247409	0.055725639416	0.038205826575	0.028888952939	0.055461753509	0.045905805591	0.060755746145	0.066967008463	0.044771726814	0.066967008463	0.034080266926	0.052892221080	0.053295955582	0.027813838693	0.034026713800	0.051515994438	0.033072631846	0.037357345609	0.041707636449	0.047262243687	0.066967008463	0.043346327275	0.056488139487	0.054761451399	0.041872854024	0.058622007070	0.035745220329	0.030317801712	0.064534993048	0.032655955115	0.055359990475	0.056499107040	0.033700956588	0.043234376264	0.035104389999	0.066967008463	0.022771692837	0.066967008463	0.044937106250	0.051773549802	0.054532542376	0.044568984826	0.061303559830	0.038312093847	0.047491165808	0.043503456316	0.047571609620	0.050052854733	0.038131779968	0.050526757419	0.050929380050	0.054521074901	0.044712696142	0.045849524474	0.049710793218	0.043165198553	0.052190760972	0.037243445949	0.052275956517	0.043822082254	0.043852790826	0.056381430310	0.041586614499
Aonyx congicus	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005	0.035201682005
Arctictis binturong	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376	0.026426884376
Arctocephalus australis	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758
Arctocephalus australis	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758	0.019569690758
Arctocephalus forsteri	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866	0.028842017866
