status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00190973	0.00218255	0.00207762	0.00230847	0.00230847	0.00197269	0.00197269	0.00230847	0.00253932	0.00239241	0.00203565	0.00211960	0.00222453	0.00224551	0.00203565	0.00216157	0.00211960	0.00163692	0.00228748	0.00239241	0.00203565	0.00218255	0.00180480	0.00203565	0.00247636	0.00220354	0.00205664	0.00230847	0.00201466	0.00216157	0.00239241	0.00207762	0.00230847	0.00188875	0.00224551	0.00224551	0.00193072	0.00245537	0.00207762	0.00243439	0.00178382	0.00190973	0.00176283	0.00222453	0.00216157	0.00214058	0.00174185	0.00216157	0.00201466	0.00211960	0.00184678	0.00218255	0.00216157	0.00159494	0.00218255	0.00243439	0.00230847	0.00272819	0.00253932	0.00230847	0.00199368	0.00218255	0.00209861	0.00193072	0.00205664	0.00176283	0.00207762	0.00264425	0.00186776	0.00184678	0.00226650	0.00216157	0.00209861	0.00184678	0.00195171	0.00243439	0.00207762	0.00214058	0.00159494	0.00199368	0.00207762	0.00218255	0.00245537	0.00218255	0.00224551	0.00188875	0.00226650	0.00235044	0.00220354	0.00207762	0.00188875	0.00216157	0.00214058	0.00251833	0.00209861	0.00211960	0.00214058	0.00232946	0.00176283	0.00222453
LC->VU	0.00150088	0.00146068	0.00151429	0.00138028	0.00172870	0.00116587	0.00103186	0.00140708	0.00115247	0.00168850	0.00127307	0.00120607	0.00134008	0.00163489	0.00158129	0.00123287	0.00128647	0.00119267	0.00160809	0.00146068	0.00147408	0.00160809	0.00150088	0.00140708	0.00125967	0.00117927	0.00127307	0.00143388	0.00111226	0.00108546	0.00127307	0.00139368	0.00156789	0.00125967	0.00119267	0.00116587	0.00188951	0.00119267	0.00127307	0.00139368	0.00096485	0.00160809	0.00175550	0.00138028	0.00111226	0.00127307	0.00147408	0.00116587	0.00138028	0.00124627	0.00175550	0.00143388	0.00123287	0.00113906	0.00150088	0.00150088	0.00148748	0.00162149	0.00143388	0.00139368	0.00120607	0.00146068	0.00168850	0.00159469	0.00187611	0.00152769	0.00138028	0.00134008	0.00159469	0.00174210	0.00140708	0.00129987	0.00127307	0.00158129	0.00121947	0.00147408	0.00129987	0.00151429	0.00150088	0.00146068	0.00142048	0.00135348	0.00155449	0.00146068	0.00132668	0.00104526	0.00129987	0.00147408	0.00134008	0.00128647	0.00142048	0.00115247	0.00119267	0.00147408	0.00115247	0.00129987	0.00140708	0.00113906	0.00151429	0.00167509
LC->EN	0.00033831	0.00025790	0.00019115	0.00028369	0.00021087	0.00020936	0.00007889	0.00015929	0.00013350	0.00014260	0.00009406	0.00021846	0.00016991	0.00019722	0.00019115	0.00014867	0.00016081	0.00015474	0.00016536	0.00034741	0.00014867	0.00006220	0.00027914	0.00025487	0.00014564	0.00019115	0.00014564	0.00012137	0.00012440	0.00015626	0.00009102	0.00019570	0.00021846	0.00028521	0.00014867	0.00013654	0.00014867	0.00023818	0.00026700	0.00015626	0.00004399	0.00008040	0.00010771	0.00018508	0.00010013	0.00013654	0.00008647	0.00018963	0.00006979	0.00024728	0.00013805	0.00021846	0.00017901	0.00007737	0.00017901	0.00019722	0.00011681	0.00022908	0.00018812	0.00017750	0.00019115	0.00020177	0.00012743	0.00022604	0.00024728	0.00021087	0.00020329	0.00016384	0.00024728	0.00019722	0.00014260	0.00017143	0.00015171	0.00007434	0.00018205	0.00024576	0.00030038	0.00020177	0.00009254	0.00015474	0.00008040	0.00011530	0.00017901	0.00011530	0.00018053	0.00017143	0.00025183	0.00020936	0.00026852	0.00013350	0.00012895	0.00020480	0.00026700	0.00034893	0.00019267	0.00014109	0.00018660	0.00023666	0.00019115	0.00010316
LC->CR	0.00005384	0.00015466	0.00005955	0.00006676	0.00006427	0.00005086	0.00004987	0.00006278	0.00016211	0.00005782	0.00007694	0.00005012	0.00004714	0.00004962	0.00004962	0.00005359	0.00006477	0.00008290	0.00009904	0.00007098	0.00009358	0.00006825	0.00007520	0.00006477	0.00010103	0.00004664	0.00008389	0.00004912	0.00004689	0.00004689	0.00004664	0.00006353	0.00005831	0.00024655	0.00004813	0.00005533	0.00020036	0.00005831	0.00009954	0.00006651	0.00012263	0.00010003	0.00008339	0.00004614	0.00012834	0.00006378	0.00005111	0.00009780	0.00005161	0.00004912	0.00007793	0.00013728	0.00006477	0.00006005	0.00004590	0.00006874	0.00012983	0.00013207	0.00011245	0.00005037	0.00006998	0.00005881	0.00005657	0.00004614	0.00009656	0.00007346	0.00004763	0.00010028	0.00008389	0.00005484	0.00008836	0.00006328	0.00004590	0.00005955	0.00006030	0.00005210	0.00009010	0.00007992	0.00006750	0.00006253	0.00006229	0.00005310	0.00006874	0.00008066	0.00005335	0.00006402	0.00004788	0.00007694	0.00009978	0.00006651	0.00017677	0.00005037	0.00004565	0.00006080	0.00011319	0.00009258	0.00006154	0.00010425	0.00005186	0.00005434
LC->DD	0.00345740	0.00345740	0.00270721	0.00313123	0.00332693	0.00371833	0.00316384	0.00296814	0.00329431	0.00342478	0.00313123	0.00358786	0.00368571	0.00349001	0.00309861	0.00375095	0.00375095	0.00345740	0.00368571	0.00306599	0.00326169	0.00352263	0.00378357	0.00339216	0.00368571	0.00342478	0.00280506	0.00355525	0.00319646	0.00375095	0.00326169	0.00296814	0.00381618	0.00270721	0.00342478	0.00296814	0.00300076	0.00339216	0.00391403	0.00342478	0.00349001	0.00322908	0.00296814	0.00306599	0.00349001	0.00283767	0.00326169	0.00303338	0.00335954	0.00332693	0.00332693	0.00355525	0.00375095	0.00303338	0.00345740	0.00342478	0.00309861	0.00368571	0.00329431	0.00332693	0.00316384	0.00316384	0.00316384	0.00391403	0.00303338	0.00339216	0.00332693	0.00283767	0.00329431	0.00306599	0.00290291	0.00362048	0.00277244	0.00384880	0.00316384	0.00322908	0.00296814	0.00296814	0.00322908	0.00335954	0.00296814	0.00388142	0.00303338	0.00349001	0.00326169	0.00349001	0.00313123	0.00270721	0.00326169	0.00342478	0.00287029	0.00339216	0.00316384	0.00335954	0.00306599	0.00309861	0.00371833	0.00355525	0.00296814	0.00339216
NT->LC	0.01242124	0.01148965	0.01055806	0.00890189	0.00807381	0.01211071	0.00879838	0.01055806	0.01231773	0.00797030	0.01128263	0.01045455	0.00910891	0.00828083	0.00786679	0.00941944	0.00879838	0.01014401	0.00807381	0.01293879	0.01304230	0.01190369	0.00921242	0.01086859	0.01262826	0.01355986	0.00838434	0.00983348	0.01128263	0.01107561	0.01107561	0.01200720	0.01138614	0.00983348	0.00910891	0.01169667	0.00993699	0.00859136	0.01148965	0.01242124	0.00807381	0.00910891	0.01014401	0.00983348	0.00807381	0.00879838	0.01024752	0.00838434	0.01190369	0.01231773	0.00890189	0.00921242	0.01024752	0.01366337	0.01169667	0.00890189	0.01293879	0.01200720	0.01004050	0.00890189	0.00817732	0.00859136	0.01242124	0.00910891	0.00993699	0.01107561	0.01086859	0.01014401	0.01004050	0.00828083	0.01024752	0.01138614	0.01169667	0.00921242	0.01231773	0.00786679	0.01262826	0.00941944	0.00890189	0.00983348	0.01221422	0.01200720	0.00993699	0.00941944	0.01066157	0.00962646	0.00797030	0.01097210	0.01055806	0.00807381	0.01159316	0.01438794	0.01190369	0.00993699	0.00983348	0.00993699	0.01024752	0.01076508	0.01097210	0.00910891
NT->VU	0.01500675	0.01398065	0.01141539	0.01487849	0.00974797	0.01359586	0.01141539	0.01192844	0.01231323	0.00910666	0.01269802	0.01449370	0.01372412	0.01321107	0.01321107	0.00961971	0.01346760	0.01731548	0.01167192	0.01333933	0.01475023	0.01436544	0.01218497	0.01231323	0.01616112	0.01167192	0.01167192	0.01128713	0.01295455	0.01192844	0.01321107	0.01064581	0.01244149	0.01282628	0.01436544	0.01398065	0.01180018	0.00987624	0.01192844	0.01256976	0.00936319	0.01282628	0.01487849	0.01551980	0.01180018	0.01744374	0.00910666	0.01231323	0.01436544	0.01090234	0.01269802	0.01244149	0.01475023	0.01398065	0.01231323	0.00987624	0.01385239	0.01269802	0.01487849	0.01333933	0.01577633	0.01513501	0.01282628	0.00974797	0.01064581	0.01218497	0.01333933	0.01346760	0.01308281	0.01128713	0.01500675	0.01410891	0.01244149	0.01462196	0.01077408	0.01051755	0.01295455	0.01577633	0.01128713	0.01333933	0.01051755	0.01141539	0.01064581	0.01539154	0.01269802	0.01090234	0.01372412	0.01295455	0.01256976	0.01398065	0.01141539	0.01244149	0.01192844	0.01218497	0.01141539	0.01295455	0.01359586	0.01051755	0.01154365	0.01205671
NT->EN	0.00378038	0.00292979	0.00315032	0.00378038	0.00252025	0.00318182	0.00359136	0.00469397	0.00299280	0.00415842	0.00362286	0.00381188	0.00387489	0.00519802	0.00274077	0.00204770	0.00274077	0.00204770	0.00378038	0.00422142	0.00475698	0.00324482	0.00333933	0.00277228	0.00229973	0.00406391	0.00245725	0.00409541	0.00441044	0.00330783	0.00463096	0.00311881	0.00261476	0.00362286	0.00308731	0.00355986	0.00318182	0.00349685	0.00494599	0.00340234	0.00453645	0.00245725	0.00135464	0.00355986	0.00340234	0.00400090	0.00415842	0.00497750	0.00355986	0.00283528	0.00418992	0.00302430	0.00355986	0.00355986	0.00318182	0.00261476	0.00318182	0.00469397	0.00368587	0.00223672	0.00346535	0.00239424	0.00797030	0.00633213	0.00374887	0.00302430	0.00308731	0.00469397	0.00274077	0.00368587	0.00324482	0.00198470	0.00236274	0.00450495	0.00447345	0.00463096	0.00289829	0.00286679	0.00365437	0.00349685	0.00551305	0.00355986	0.00248875	0.00418992	0.00412691	0.00229973	0.00447345	0.00179568	0.00434743	0.00453645	0.00428443	0.00365437	0.00292979	0.00340234	0.00270927	0.00437894	0.00255176	0.00302430	0.00393789	0.00289829
NT->CR	0.00046805	0.00019802	0.00080558	0.00049730	0.00035779	0.00020702	0.00072907	0.00011926	0.00018902	0.00020702	0.00045230	0.00047930	0.00135014	0.00017102	0.00067282	0.00015752	0.00028578	0.00109586	0.00013951	0.00022952	0.00068857	0.00117012	0.00011476	0.00044104	0.00031278	0.00087309	0.00010801	0.00017327	0.00008101	0.00024752	0.00018002	0.00003150	0.00013951	0.00012826	0.00058281	0.00020927	0.00087984	0.00026553	0.00081008	0.00020702	0.00029478	0.00040954	0.00038929	0.00031953	0.00030153	0.00027228	0.00031053	0.00034653	0.00029928	0.00050630	0.00082583	0.00043204	0.00032853	0.00022052	0.00078983	0.00016877	0.00043879	0.00057831	0.00058281	0.00031278	0.00013276	0.00062331	0.00040279	0.00057381	0.00045230	0.00032403	0.00099010	0.00162466	0.00041404	0.00058281	0.00005851	0.00078758	0.00199820	0.00026328	0.00075833	0.00046580	0.00033753	0.00039829	0.00064581	0.00021602	0.00035104	0.00075383	0.00052655	0.00029028	0.00014626	0.00031053	0.00098110	0.00052205	0.00032178	0.00042979	0.00007201	0.00170567	0.00047030	0.00064356	0.00098110	0.00027228	0.00069082	0.00080558	0.00051530	0.00044554
NT->DD	0.00731323	0.00562556	0.00500675	0.00686319	0.00635689	0.00551305	0.00337534	0.00793204	0.00607561	0.00337534	0.00579433	0.00607561	0.00517552	0.00568182	0.00573807	0.00601935	0.00714446	0.00691944	0.00669442	0.00590684	0.00613186	0.00652565	0.00596310	0.00669442	0.00866337	0.00675068	0.00613186	0.00472547	0.00568182	0.00517552	0.00466922	0.00669442	0.00416292	0.00433168	0.00624437	0.00585059	0.00562556	0.00523177	0.00371287	0.00517552	0.00511926	0.00399415	0.00680693	0.00528803	0.00731323	0.00686319	0.00810081	0.00798830	0.00601935	0.00523177	0.00753825	0.00410666	0.00495050	0.00540054	0.00551305	0.00776328	0.00601935	0.00483798	0.00607561	0.00765077	0.00461296	0.00849460	0.00466922	0.00686319	0.00630063	0.00551305	0.00495050	0.00669442	0.00703195	0.00585059	0.00551305	0.00371287	0.00466922	0.00680693	0.00556931	0.00534428	0.00517552	0.00646940	0.00967597	0.00590684	0.00731323	0.00472547	0.00725698	0.00641314	0.00556931	0.00708821	0.00500675	0.00596310	0.00382538	0.00545680	0.00540054	0.00438794	0.00405041	0.00534428	0.00534428	0.00933843	0.00776328	0.00461296	0.00585059	0.00573807
