species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Acinonyx jubatus	0.001333632	0.000630142	0.002090956	0.120000000
Ailuropoda melanoleuca	0.001626963	0.000877898	0.002436492	0.140000000
Ailurus fulgens	0.004669241	0.003271951	0.006189722	0.360000000
Aonyx capensis	0.002040186	0.001196193	0.002938402	0.180000000
Aonyx cinereus	0.001692800	0.000920083	0.002499677	0.150000000
Aonyx congicus	0.000407873	0.000097076	0.000823047	0.030000000
Arctictis binturong	0.001269255	0.000602295	0.002026199	0.110000000
Arctocephalus australis	0.000109236	0.000000071	0.000329286	0.000000000
Arctocephalus australis	0.000103270	0.000001664	0.000290532	0.000000000
Arctocephalus forsteri	0.000183948	0.000003954	0.000456285	0.010000000
Arctocephalus galapagoensis	0.003360616	0.002215654	0.004596196	0.280000000
Arctocephalus gazella	0.000091838	0.000000496	0.000295717	0.000000000
Arctocephalus philippii	0.000198380	0.000005137	0.000468009	0.010000000
Arctocephalus pusillus	0.000310465	0.000057668	0.000671841	0.020000000
Arctocephalus townsendi	0.000208512	0.000005686	0.000497003	0.010000000
Arctocephalus tropicalis	0.000301030	0.000053397	0.000632598	0.020000000
Arctogalidia trivirgata	0.000409725	0.000099223	0.000811818	0.030000000
Arctonyx albogularis	0.000208358	0.000016263	0.000492968	0.010000000
Arctonyx collaris	0.002441531	0.001490519	0.003505744	0.210000000
Arctonyx hoevenii	0.000193673	0.000003658	0.000461075	0.010000000
Atelocynus microtis	0.000933173	0.000358609	0.001553877	0.080000000
Atilax paludinosus	0.000486392	0.000089565	0.000906541	0.040000000
Bassaricyon alleni	0.000419183	0.000081855	0.000821647	0.030000000
Bassaricyon gabbii	0.000497338	0.000126964	0.000912267	0.040000000
Bassaricyon medius	0.000102077	0.000002878	0.000295951	0.000000000
Bassaricyon neblina	0.001008706	0.000446535	0.001663235	0.090000000
Bassariscus astutus	0.000311260	0.000047069	0.000653482	0.020000000
Bassariscus sumichrasti	0.000506866	0.000132001	0.000942112	0.040000000
