species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Acinonyx jubatus	0.016881927	0.000033152	0.048353422	1.000000000
Ailuropoda melanoleuca	0.006718464	0.000056664	0.027807221	1.000000000
Ailurus fulgens	0.044935653	0.000011741	0.203460432	1.000000000
Aonyx capensis	0.016746177	0.000148042	0.051627325	1.000000000
Aonyx cinereus	0.019896411	0.000005763	0.065693492	1.000000000
Aonyx congicus	0.008472862	0.000018304	0.033205762	1.000000000
Arctictis binturong	0.016054366	0.000016144	0.042399333	1.000000000
Arctocephalus australis	0.003761083	0.000123774	0.013222094	1.000000000
Arctocephalus australis	0.003268947	0.000031652	0.011094541	1.000000000
Arctocephalus forsteri	0.003108387	0.000157738	0.011664092	1.000000000
Arctocephalus galapagoensis	0.031302841	0.000318573	0.128778445	1.000000000
Arctocephalus gazella	0.003160572	0.000119275	0.012317514	1.000000000
Arctocephalus philippii	0.003614008	0.000029216	0.013241902	1.000000000
Arctocephalus pusillus	0.003915696	0.000249955	0.013711407	1.000000000
Arctocephalus townsendi	0.004099761	0.000210930	0.013290284	1.000000000
Arctocephalus tropicalis	0.003878604	0.000156656	0.012384354	1.000000000
Arctogalidia trivirgata	0.004820703	0.000111765	0.016219591	1.000000000
Arctonyx albogularis	0.005334101	0.000053765	0.019283028	1.000000000
Arctonyx collaris	0.015713069	0.000038897	0.060285960	1.000000000
Arctonyx hoevenii	0.004953868	0.000306016	0.017902628	1.000000000
Atelocynus microtis	0.011340025	0.000084488	0.046214961	1.000000000
Atilax paludinosus	0.004204886	0.000215367	0.015106145	1.000000000
Bassaricyon alleni	0.004423329	0.000123553	0.017067101	1.000000000
Bassaricyon gabbii	0.005777257	0.000041881	0.018319101	1.000000000
Bassaricyon medius	0.003511516	0.000225273	0.010719044	1.000000000
Bassaricyon neblina	0.006527599	0.000069597	0.024023831	1.000000000
Bassariscus astutus	0.004351021	0.000161474	0.015268604	1.000000000
Bassariscus sumichrasti	0.003404829	0.000025421	0.011126983	1.000000000
Bdeogale crassicauda	0.005423538	0.000084505	0.017900921	1.000000000
Bdeogale jacksoni	0.009927004	0.000006017	0.041334965	1.000000000
Bdeogale nigripes	0.005835357	0.000176752	0.021155627	1.000000000
Bdeogale omnivora	0.011485946	0.000024705	0.047152019	1.000000000
Callorhinus ursinus	0.007177847	0.000148881	0.028050153	1.000000000
Canis adustus	0.004984215	0.000055460	0.017334040	1.000000000
Canis aureus	0.005488067	0.000151091	0.019647219	1.000000000
Canis latrans	0.003820482	0.000182745	0.013032034	1.000000000
Canis lupus	0.004740483	0.000011856	0.016253003	1.000000000
Canis mesomelas	0.004092257	0.000148647	0.013449591	1.000000000
Canis rufus	0.111034661	0.000020673	0.473971245	1.000000000
Canis simensis	0.044945820	0.000078726	0.217439535	1.000000000
Caracal aurata	0.017995641	0.000259567	0.060431408	1.000000000
Caracal caracal	0.004674747	0.000065782	0.017925599	1.000000000
Catopuma badia	0.048241206	0.000151069	0.236427473	1.000000000
Catopuma temminckii	0.009044163	0.000030066	0.028300252	1.000000000
Cerdocyon thous	0.005125060	0.000205173	0.015052364	1.000000000
Chrotogale owstoni	0.033389753	0.000011864	0.105308407	1.000000000
Chrysocyon brachyurus	0.008127832	0.000021459	0.028514236	1.000000000
Civettictis civetta	0.004516565	0.000022382	0.015132069	1.000000000
Conepatus chinga	0.005486815	0.000213957	0.014562246	1.000000000
Conepatus humboldtii	0.004767121	0.000046445	0.017517386	1.000000000
Conepatus leuconotus	0.003782610	0.000131248	0.012908252	1.000000000
Conepatus semistriatus	0.004904594	0.000216687	0.018639589	1.000000000
Crocuta crocuta	0.003953748	0.000078473	0.013915578	1.000000000
Crossarchus alexandri	0.004801550	0.000145434	0.015280760	1.000000000
Crossarchus ansorgei	0.004852907	0.000222774	0.014356433	1.000000000
Crossarchus obscurus	0.004924140	0.000083821	0.016629757	1.000000000
Crossarchus platycephalus	0.004299616	0.000072754	0.013456571	1.000000000
Cryptoprocta ferox	0.010331560	0.000096458	0.042112081	1.000000000
Cuon alpinus	0.032241298	0.000131452	0.119828473	1.000000000
Cynictis penicillata	0.003388083	0.000120542	0.011291855	1.000000000
Cynogale bennettii	0.048233111	0.000107115	0.217820277	1.000000000
Cystophora cristata	0.013179900	0.000296510	0.049316671	1.000000000
Diplogale hosei	0.008799559	0.000296462	0.034817385	1.000000000
Dologale dybowskii	0.022439038	0.000020468	0.076397678	1.000000000
Eira barbara	0.003823247	0.000120212	0.014047927	1.000000000
Enhydra lutris	0.032404669	0.000030263	0.156226680	1.000000000
Erignathus barbatus	0.002944633	0.000031514	0.010285707	1.000000000
Eumetopias jubatus	0.005122276	0.000100314	0.020682124	1.000000000
Eupleres goudotii	0.015127719	0.000032174	0.058336069	1.000000000
Eupleres major	0.039012369	0.000191980	0.182408912	1.000000000
Felis bieti	0.023967384	0.000001727	0.079568619	1.000000000
Felis chaus	0.005037616	0.000142892	0.017451599	1.000000000
Felis margarita	0.005784695	0.000156101	0.017490957	1.000000000
Felis nigripes	0.018137098	0.000043873	0.070917687	1.000000000
Felis silvestris	0.005848747	0.000166558	0.016140995	1.000000000
Fossa fossana	0.012488570	0.000167727	0.056667069	1.000000000
Galictis cuja	0.005225395	0.000293436	0.017852100	1.000000000
Galictis vittata	0.004651030	0.000090723	0.015120952	1.000000000
Galidia elegans	0.005045822	0.000015294	0.016402644	1.000000000
Galidictis fasciata	0.010082150	0.000086829	0.038999087	1.000000000
Galidictis grandidieri	0.048526050	0.000029803	0.241529244	1.000000000
Genetta abyssinica	0.009531972	0.000013163	0.036018549	1.000000000
Genetta angolensis	0.004061431	0.000138421	0.014534712	1.000000000
Genetta bourloni	0.012996661	0.000079104	0.056003169	1.000000000
Genetta cristata	0.008251346	0.000181437	0.036319014	1.000000000
Genetta genetta	0.003505202	0.000085440	0.013252318	1.000000000
Genetta johnstoni	0.006516585	0.000200505	0.025555391	1.000000000
Genetta maculata	0.004481925	0.000061665	0.015394744	1.000000000
Genetta pardina	0.004083987	0.000060940	0.015206049	1.000000000
Genetta piscivora	0.009318886	0.000204518	0.033943104	1.000000000
Genetta poensis	0.013723602	0.000053255	0.051328139	1.000000000
Genetta servalina	0.004494417	0.000074105	0.016579636	1.000000000
Genetta thierryi	0.005593696	0.000050465	0.021287530	1.000000000
Genetta tigrina	0.004828466	0.000044854	0.018256567	1.000000000
Genetta victoriae	0.004280277	0.000131050	0.013164425	1.000000000
Gulo gulo	0.004691276	0.000078531	0.015576808	1.000000000
Halichoerus grypus	0.003385319	0.000052182	0.011899549	1.000000000
Halichoerus grypus	0.003462432	0.000023511	0.010858070	1.000000000
Helarctos malayanus	0.010063003	0.000045795	0.040814956	1.000000000
Helogale hirtula	0.004875863	0.000081668	0.018630985	1.000000000
Helogale parvula	0.004797189	0.000056423	0.017588201	1.000000000
Hemigalus derbyanus	0.011386983	0.000023724	0.047536574	1.000000000
Herpailurus yagouaroundi	0.004685715	0.000017269	0.014840200	1.000000000
Herpestes auropunctatus	0.004709464	0.000052560	0.015786147	1.000000000
Herpestes brachyurus	0.008587335	0.000019074	0.032754065	1.000000000
