species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Acinonyx jubatus	0.011586762	0.000061679	0.022560907	1.000000000
Ailuropoda melanoleuca	0.008979215	0.000081206	0.044280349	1.000000000
Ailurus fulgens	0.027398281	0.000061176	0.085539378	1.000000000
Aonyx capensis	0.000278569	0.000134055	0.000555399	0.210000000
Aonyx cinereus	0.006752822	0.000031363	0.015737754	1.000000000
Aonyx congicus	0.000292357	0.000186934	0.000509391	0.180000000
Arctictis binturong	0.003594520	0.000014354	0.014340884	1.000000000
Arctocephalus australis	0.000088461	0.000033990	0.000252136	0.000000000
Arctocephalus australis	0.000354451	0.000306642	0.000611492	0.000000000
Arctocephalus forsteri	0.000097650	0.000037256	0.000309396	0.000000000
Arctocephalus galapagoensis	0.016777011	0.000002459	0.062390216	1.000000000
Arctocephalus gazella	0.000083767	0.000048649	0.000265362	0.000000000
Arctocephalus philippii	0.000107394	0.000058050	0.000185739	0.000000000
Arctocephalus pusillus	0.000185404	0.000140628	0.000375950	0.000000000
Arctocephalus townsendi	0.000071139	0.000019067	0.000353592	0.000000000
Arctocephalus tropicalis	0.000184597	0.000139077	0.000365012	0.000000000
Arctogalidia trivirgata	0.000212670	0.000163164	0.000329066	0.000000000
Arctonyx albogularis	0.000085041	0.000038492	0.000236073	0.000000000
Arctonyx collaris	0.012021715	0.000034477	0.036085980	0.980000000
Arctonyx hoevenii	0.000090505	0.000018128	0.000326741	0.010000000
Atelocynus microtis	0.000554877	0.000454137	0.001093311	0.190000000
Atilax paludinosus	0.000066171	0.000020050	0.000268907	0.000000000
Bassaricyon alleni	0.000093722	0.000011246	0.000316558	0.000000000
Bassaricyon gabbii	0.000493265	0.000477748	0.000675412	0.000000000
Bassaricyon medius	0.000124513	0.000063501	0.000347143	0.000000000
Bassaricyon neblina	0.000191992	0.000033152	0.000721242	0.180000000
Bassariscus astutus	0.000102890	0.000056664	0.000175425	0.000000000
Bassariscus sumichrasti	0.000079928	0.000011741	0.000351266	0.000000000
Bdeogale crassicauda	0.000202170	0.000148042	0.000445684	0.000000000
Bdeogale jacksoni	0.000201941	0.000005763	0.000704320	0.180000000
Bdeogale nigripes	0.000049816	0.000018304	0.000083089	0.000000000
Bdeogale omnivora	0.010286857	0.000016144	0.032945389	1.000000000
Callorhinus ursinus	0.007912354	0.000123774	0.035254973	1.000000000
Canis adustus	0.000086577	0.000031652	0.000273732	0.000000000
Canis aureus	0.000229569	0.000157738	0.000384815	0.010000000
Canis latrans	0.000365364	0.000318573	0.000477203	0.000000000
Canis lupus	0.000160286	0.000119275	0.000362505	0.000000000
Canis mesomelas	0.000070878	0.000029216	0.000391906	0.000000000
Canis rufus	0.129754031	0.000249955	0.602326082	1.000000000
Canis simensis	0.045579855	0.000210930	0.200969004	1.000000000
Caracal aurata	0.011733864	0.000156656	0.031125668	1.000000000
Caracal caracal	0.000157958	0.000111765	0.000351917	0.000000000
Catopuma badia	0.041457730	0.000053765	0.196511526	1.000000000
Catopuma temminckii	0.000194616	0.000038897	0.000670460	0.180000000
Cerdocyon thous	0.000039432	0.000005475	0.000306016	0.000000000
Chrotogale owstoni	0.040925974	0.000084488	0.201246370	1.000000000
Chrysocyon brachyurus	0.000375240	0.000000582	0.001018718	0.190000000
Civettictis civetta	0.000173467	0.000123553	0.000314116	0.000000000
Conepatus chinga	0.000125698	0.000041881	0.000320757	0.000000000
Conepatus humboldtii	0.000183865	0.000153281	0.000225273	0.000000000
Conepatus leuconotus	0.000085593	0.000069597	0.000105068	0.000000000
Conepatus semistriatus	0.000234944	0.000161474	0.000395638	0.000000000
Crocuta crocuta	0.000072318	0.000025421	0.000255214	0.000000000
Crossarchus alexandri	0.000146577	0.000084505	0.000352455	0.000000000
Crossarchus ansorgei	0.000040236	0.000006017	0.000108421	0.000000000
Crossarchus obscurus	0.000250673	0.000207299	0.000539785	0.000000000
Crossarchus platycephalus	0.000085768	0.000024705	0.000338753	0.000000000
Cryptoprocta ferox	0.005168571	0.000148881	0.022337541	1.000000000
Cuon alpinus	0.023179483	0.000055460	0.098149225	1.000000000
Cynictis penicillata	0.000159804	0.000121262	0.000216886	0.000000000
Cynogale bennettii	0.035717173	0.000182745	0.117750944	1.000000000
Cystophora cristata	0.003819168	0.000011856	0.015124487	1.000000000
Diplogale hosei	0.009276512	0.000148647	0.016586621	1.000000000
Dologale dybowskii	0.018477743	0.000020673	0.089789864	0.620000000
Eira barbara	0.000091488	0.000078726	0.000088492	0.000000000
Enhydra lutris	0.020488900	0.000259567	0.058494764	1.000000000
Erignathus barbatus	0.000097747	0.000065782	0.000260687	0.000000000
Eumetopias jubatus	0.000332945	0.000151069	0.000984858	0.140000000
Eupleres goudotii	0.002540031	0.000030066	0.009887215	0.980000000
Eupleres major	0.031213609	0.000205173	0.144761517	1.000000000
Felis bieti	0.008259213	0.000011864	0.017521003	0.990000000
Felis chaus	0.000075581	0.000021459	0.000208008	0.000000000
Felis margarita	0.000096851	0.000022382	0.000309335	0.010000000
Felis nigripes	0.004561327	0.000213957	0.012198536	1.000000000
Felis silvestris	0.000120601	0.000046445	0.000338186	0.010000000
Fossa fossana	0.003725583	0.000131248	0.013766501	1.000000000
Galictis cuja	0.000299969	0.000216687	0.000543723	0.000000000
Galictis vittata	0.000102989	0.000078473	0.000130752	0.000000000
Galidia elegans	0.000189034	0.000145434	0.000211294	0.000000000
Galidictis fasciata	0.005535649	0.000222774	0.025166042	0.990000000
Galidictis grandidieri	0.050829253	0.000083821	0.257174874	1.000000000
Genetta abyssinica	0.019124889	0.000072754	0.105328638	0.510000000
Genetta angolensis	0.000155712	0.000096458	0.000316146	0.000000000
Genetta bourloni	0.005876316	0.000131452	0.008754998	0.980000000
Genetta cristata	0.015185617	0.000120542	0.038585321	0.980000000
Genetta genetta	0.000176538	0.000107115	0.000326141	0.000000000
Genetta johnstoni	0.000564607	0.000296510	0.000961196	0.150000000
Genetta maculata	0.000057909	0.000003559	0.000377694	0.000000000
Genetta pardina	0.000067438	0.000020468	0.000278982	0.000000000
Genetta piscivora	0.000219887	0.000120212	0.000522776	0.110000000
Genetta poensis	0.011987785	0.000030263	0.029822913	0.580000000
Genetta servalina	0.000062908	0.000031514	0.000160718	0.000000000
Genetta thierryi	0.000197664	0.000142399	0.000396142	0.000000000
Genetta tigrina	0.000076175	0.000032174	0.000190344	0.000000000
Genetta victoriae	0.000250731	0.000191980	0.000396345	0.000000000
Gulo gulo	0.000062882	0.000001727	0.000240271	0.000000000
Halichoerus grypus	0.000208770	0.000142892	0.000458964	0.000000000
Halichoerus grypus	0.000162653	0.000156101	0.000156101	0.020000000
Helarctos malayanus	0.009904035	0.000043873	0.031455625	1.000000000
Helogale hirtula	0.000201095	0.000166558	0.000406229	0.000000000
Helogale parvula	0.000212365	0.000167727	0.000385366	0.000000000
Hemigalus derbyanus	0.000504903	0.000293436	0.000967246	0.180000000
Herpailurus yagouaroundi	0.000082287	0.000002073	0.000255260	0.000000000
Herpestes auropunctatus	0.000070863	0.000015294	0.000369745	0.000000000
Herpestes brachyurus	0.000204253	0.000086829	0.000432711	0.180000000
Herpestes edwardsii	0.000090947	0.000029803	0.000276462	0.000000000
Herpestes flavescens	0.000026689	0.000013163	0.000019891	0.000000000
Herpestes fuscus	0.000181789	0.000138421	0.000419581	0.000000000
Herpestes ichneumon	0.000124986	0.000079104	0.000234658	0.000000000
Herpestes javanicus	0.000222211	0.000181437	0.000408630	0.000000000
Herpestes naso	0.000139206	0.000085440	0.000309892	0.000000000
Herpestes ochraceus	0.000234188	0.000200505	0.000240029	0.000000000
Herpestes pulverulentus	0.000118546	0.000061665	0.000249528	0.010000000
Herpestes sanguineus	0.000104305	0.000060940	0.000315567	0.000000000
Herpestes semitorquatus	0.000397291	0.000204518	0.000545035	0.150000000
Herpestes smithii	0.000070963	0.000053255	0.000095215	0.000000000
Herpestes urva	0.000103762	0.000074105	0.000144732	0.000000000
