species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_by_3019AD
Acinonyx jubatus	0.003180166	0.000455185	0.009921288	0.730000000
Ailuropoda melanoleuca	0.002672367	0.000034477	0.008269409	0.630000000
Ailurus fulgens	0.002615685	0.000145804	0.006467639	0.860000000
Aonyx capensis	0.003695683	0.000141065	0.010145821	0.740000000
Aonyx cinereus	0.003347875	0.000020050	0.010289007	0.780000000
Aonyx congicus	0.004988212	0.000011246	0.017147633	0.720000000
Arctictis binturong	0.007471939	0.000016981	0.018929487	0.760000000
Arctocephalus australis	0.009482423	0.000024419	0.035554000	0.650000000
Arctocephalus australis	0.004435534	0.000046921	0.016445383	0.480000000
Arctocephalus forsteri	0.006573051	0.000021399	0.022406422	0.730000000
Arctocephalus galapagoensis	0.002719065	0.000236984	0.007393502	0.830000000
Arctocephalus gazella	0.003376364	0.000000970	0.011899949	0.540000000
Arctocephalus philippii	0.011072575	0.000044379	0.017740992	0.590000000
Arctocephalus pusillus	0.011584030	0.000076670	0.021399817	0.690000000
Arctocephalus townsendi	0.005533430	0.000016144	0.017135692	0.590000000
Arctocephalus tropicalis	0.009420832	0.000179078	0.015990617	0.660000000
Arctogalidia trivirgata	0.012750225	0.000353258	0.026773917	0.700000000
Arctonyx albogularis	0.003992987	0.000001432	0.014469632	0.690000000
Arctonyx collaris	0.004095057	0.000021623	0.010422196	0.870000000
Arctonyx hoevenii	0.003926431	0.000025336	0.012761402	0.570000000
Atelocynus microtis	0.007726999	0.000079299	0.013911764	0.800000000
Atilax paludinosus	0.006385080	0.000095549	0.024451489	0.690000000
Bassaricyon alleni	0.006088246	0.000130105	0.022386449	0.660000000
Bassaricyon gabbii	0.012274009	0.000105079	0.030995731	0.590000000
Bassaricyon medius	0.008624285	0.000052834	0.024570910	0.530000000
Bassaricyon neblina	0.004942102	0.000011241	0.019632252	0.750000000
Bassariscus astutus	0.004062586	0.000075757	0.012796494	0.690000000
Bassariscus sumichrasti	0.004763335	0.000005475	0.016484447	0.670000000
Bdeogale crassicauda	0.006255207	0.000074220	0.015767567	0.610000000
Bdeogale jacksoni	0.005356878	0.000067610	0.018934248	0.740000000
Bdeogale nigripes	0.006133639	0.000138656	0.018136192	0.600000000
Bdeogale omnivora	0.007478979	0.000186267	0.015832941	0.710000000
Callorhinus ursinus	0.003448657	0.000002304	0.010033165	0.680000000
Canis adustus	0.006864392	0.000156640	0.018423334	0.680000000
Canis aureus	0.008439204	0.000223587	0.020598993	0.680000000
Canis latrans	0.005552118	0.000025421	0.020787937	0.600000000
Canis lupus	0.004354044	0.000256544	0.014009953	0.590000000
Canis mesomelas	0.012046253	0.000005656	0.031591827	0.690000000
Canis rufus	0.002295669	0.000045089	0.005585658	0.940000000
Canis simensis	0.003886870	0.000145621	0.007954108	0.870000000
Caracal aurata	0.004162271	0.000013809	0.012379829	0.790000000
Caracal caracal	0.012806122	0.000005587	0.038478638	0.630000000
Catopuma badia	0.010038159	0.000214761	0.016934310	0.860000000
Catopuma temminckii	0.006536904	0.000001099	0.018879226	0.740000000
Cerdocyon thous	0.006060781	0.000099717	0.021847605	0.770000000
Chrotogale owstoni	0.004071546	0.000100152	0.008966874	0.840000000
Chrysocyon brachyurus	0.003793783	0.000142893	0.013229845	0.750000000
Civettictis civetta	0.004794115	0.000106130	0.017732076	0.550000000
Conepatus chinga	0.004252915	0.000038989	0.014701388	0.740000000
Conepatus humboldtii	0.005557650	0.000179650	0.017052954	0.710000000
Conepatus leuconotus	0.006174659	0.000132875	0.016988240	0.760000000
Conepatus semistriatus	0.008714146	0.000009886	0.015699869	0.670000000
Crocuta crocuta	0.006900051	0.000104631	0.022276867	0.560000000
Crossarchus alexandri	0.007439892	0.000011864	0.024041566	0.710000000
Crossarchus ansorgei	0.009729137	0.000016085	0.017983644	0.710000000
Crossarchus obscurus	0.009322934	0.000078082	0.017596660	0.750000000
Crossarchus platycephalus	0.008686820	0.000022856	0.033612614	0.770000000
Cryptoprocta ferox	0.004291535	0.000168115	0.015472062	0.780000000
Cuon alpinus	0.004133739	0.000136825	0.009242759	0.890000000
Cynictis penicillata	0.004462034	0.000008925	0.015689786	0.700000000
Cynogale bennettii	0.003465014	0.000372015	0.010793829	0.860000000
Cystophora cristata	0.004000168	0.000069543	0.014480602	0.670000000
Diplogale hosei	0.010127861	0.000118169	0.013976440	0.790000000
Dologale dybowskii	0.004920253	0.000140552	0.012758044	0.690000000
Eira barbara	0.005816230	0.000275397	0.017412048	0.660000000
Enhydra lutris	0.002670805	0.000075886	0.008540069	0.710000000
Erignathus barbatus	0.004577914	0.000131452	0.018424651	0.550000000
Eumetopias jubatus	0.003603955	0.000187303	0.012887380	0.690000000
Eupleres goudotii	0.003607731	0.000052976	0.009447123	0.740000000
Eupleres major	0.003021271	0.000373346	0.009389816	0.770000000
Felis bieti	0.002725816	0.000351469	0.007908601	0.720000000
Felis chaus	0.005326802	0.000020468	0.019660303	0.650000000
Felis margarita	0.007288442	0.000019048	0.029008542	0.670000000
Felis nigripes	0.003317097	0.000075405	0.009001925	0.850000000
Felis silvestris	0.006103280	0.000281787	0.014589039	0.510000000
Fossa fossana	0.004275697	0.000021833	0.010373921	0.750000000
Galictis cuja	0.005431942	0.000353294	0.019061188	0.720000000
Galictis vittata	0.004549635	0.000191980	0.015308551	0.660000000
Galidia elegans	0.012818454	0.000111457	0.041605656	0.690000000
Galidictis fasciata	0.003511057	0.000471237	0.010814728	0.770000000
Galidictis grandidieri	0.003860859	0.000156101	0.008179015	0.880000000
Genetta abyssinica	0.004045074	0.000097893	0.013482480	0.680000000
Genetta angolensis	0.005939673	0.000051222	0.020564575	0.540000000
Genetta bourloni	0.003460664	0.000022142	0.010518207	0.730000000
Genetta cristata	0.004252763	0.000041341	0.010080101	0.640000000
Genetta genetta	0.010893916	0.000100073	0.056195424	0.570000000
