species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_by_2100AD
Acinonyx jubatus	0.027032058	0.000218447	0.077950017	0.127600000
Ailuropoda melanoleuca	0.020583076	0.000026257	0.057888381	0.086600000
Ailurus fulgens	0.037038841	0.000041944	0.130893834	0.315500000
Aonyx capensis	0.023415070	0.000066560	0.063264400	0.087400000
Aonyx cinereus	0.031011574	0.000080763	0.101408897	0.157800000
Aonyx congicus	0.021725754	0.000064071	0.054802274	0.068800000
Arctictis binturong	0.025835315	0.000269015	0.073466485	0.115200000
Arctocephalus australis	0.013845287	0.000316838	0.039650596	0.009800000
Arctocephalus australis	0.013648831	0.000007469	0.038732523	0.010000000
Arctocephalus forsteri	0.015119684	0.000109781	0.040434210	0.013400000
Arctocephalus galapagoensis	0.032830546	0.000032567	0.110597481	0.254100000
Arctocephalus gazella	0.014810649	0.000104783	0.040506072	0.013400000
Arctocephalus philippii	0.014103087	0.000081667	0.038828884	0.011200000
Arctocephalus pusillus	0.014409248	0.000071190	0.039262791	0.011900000
Arctocephalus townsendi	0.013961008	0.000035778	0.037544850	0.009000000
Arctocephalus tropicalis	0.013971119	0.000044253	0.038688583	0.009400000
Arctogalidia trivirgata	0.015171231	0.000050465	0.040486096	0.016200000
Arctonyx albogularis	0.015376973	0.000008886	0.041415324	0.014100000
Arctonyx collaris	0.029108084	0.000059601	0.097074693	0.159100000
Arctonyx hoevenii	0.014870602	0.000013409	0.041104513	0.013500000
Atelocynus microtis	0.023037328	0.000002158	0.067410407	0.094900000
Atilax paludinosus	0.015387683	0.000138988	0.039354026	0.014900000
Bassaricyon alleni	0.014058164	0.000031136	0.038102288	0.012600000
Bassaricyon gabbii	0.014278856	0.000067656	0.039355213	0.014300000
Bassaricyon medius	0.013237921	0.000150761	0.036950959	0.012300000
Bassaricyon neblina	0.020275628	0.000005746	0.052659276	0.063100000
Bassariscus astutus	0.014349184	0.000094211	0.038475042	0.018300000
Bassariscus sumichrasti	0.013630298	0.000100490	0.040482924	0.011600000
Bdeogale crassicauda	0.015150728	0.000148221	0.040719874	0.018100000
Bdeogale jacksoni	0.023456023	0.000003016	0.067573241	0.093200000
Bdeogale nigripes	0.014569191	0.000087855	0.040472149	0.014300000
Bdeogale omnivora	0.022098031	0.000087612	0.058860973	0.090400000
Callorhinus ursinus	0.022331053	0.000056914	0.060205803	0.088100000
