species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Acinonyx jubatus	0.018402452	0.000412092	0.055450549	0.160800000
Ailuropoda melanoleuca	0.016934004	0.000106724	0.046883183	0.114000000
Ailurus fulgens	0.041079326	0.000059239	0.170967797	0.378000000
Aonyx capensis	0.015150399	0.000010144	0.044253826	0.121100000
Aonyx cinereus	0.018773174	0.000021997	0.060898932	0.195900000
Aonyx congicus	0.012732674	0.000023285	0.039884348	0.094900000
Arctictis binturong	0.017726104	0.000046163	0.051260239	0.148500000
Arctocephalus australis	0.010604871	0.000055724	0.031389969	0.014300000
Arctocephalus australis	0.010463803	0.000075655	0.032855079	0.015000000
Arctocephalus forsteri	0.011344518	0.000244083	0.033594624	0.021600000
Arctocephalus galapagoensis	0.034206709	0.000126202	0.128806393	0.312400000
Arctocephalus gazella	0.011286506	0.000105906	0.031792391	0.017300000
Arctocephalus philippii	0.010381025	0.000026034	0.030698097	0.016500000
Arctocephalus pusillus	0.009950415	0.000006428	0.031072096	0.016900000
Arctocephalus townsendi	0.010619351	0.000005989	0.031971606	0.016200000
Arctocephalus tropicalis	0.009255684	0.000075932	0.029815646	0.014600000
Arctogalidia trivirgata	0.010758910	0.000133320	0.032751760	0.022300000
Arctonyx albogularis	0.010938055	0.000019229	0.031532216	0.026300000
Arctonyx collaris	0.019835273	0.000037131	0.063680632	0.201900000
Arctonyx hoevenii	0.010057210	0.000067654	0.030711694	0.024200000
Atelocynus microtis	0.014823477	0.000151021	0.045085513	0.125300000
Atilax paludinosus	0.010092985	0.000057574	0.032076705	0.022200000
Bassaricyon alleni	0.009501726	0.000140658	0.029583158	0.018300000
Bassaricyon gabbii	0.010981618	0.000019492	0.032704376	0.019400000
Bassaricyon medius	0.010613910	0.000029225	0.031597164	0.019500000
Bassaricyon neblina	0.013050564	0.000143584	0.037912055	0.083700000
Bassariscus astutus	0.010792434	0.000006199	0.032414906	0.024000000
Bassariscus sumichrasti	0.010873728	0.000041840	0.030931956	0.016500000
Bdeogale crassicauda	0.011189661	0.000008563	0.033222221	0.030000000
Bdeogale jacksoni	0.014401024	0.000294004	0.046292950	0.127700000
Bdeogale nigripes	0.011123448	0.000119308	0.031863533	0.025400000
Bdeogale omnivora	0.016516379	0.000014750	0.046529664	0.118100000
Callorhinus ursinus	0.016070009	0.000038191	0.044926404	0.111000000
Canis adustus	0.011674694	0.000013151	0.033518212	0.029200000
Canis aureus	0.011289357	0.000117328	0.033491762	0.023400000
Canis latrans	0.010565059	0.000116540	0.032479109	0.022100000
Canis lupus	0.010747962	0.000118706	0.030502677	0.018900000
Canis mesomelas	0.010321849	0.000070492	0.031733676	0.026500000
