year	LC	NT	VU	EN	CR	EX
0	8432	1036	804	465	225	0
1	8422	1040	805	466	220	9
2	8413	1043	806	467	215	17
3	8404	1048	808	467	210	25
4	8394	1051	809	467	205	34
5	8385	1054	810	468	201	42
6	8376	1059	811	468	198	50
7	8365	1063	812	468	193	58
8	8355	1068	813	469	189	66
9	8347	1071	815	470	185	74
10	8336	1075	816	469	182	82
11	8328	1078	818	469	178	90
12	8318	1083	819	469	175	98
13	8309	1087	819	469	172	106
14	8300	1090	821	468	169	113
15	8290	1094	821	469	165	121
16	8282	1097	823	468	162	130
17	8273	1101	823	468	159	137
18	8263	1104	824	468	156	145
19	8254	1109	824	468	153	153
20	8246	1112	826	467	150	160
21	8237	1114	827	466	148	168
22	8229	1117	828	466	145	175
23	8220	1121	828	466	143	183
24	8211	1125	829	465	141	191
25	8203	1128	829	464	139	199
26	8194	1131	830	463	137	206
27	8186	1133	831	463	134	213
28	8178	1136	832	462	132	220
29	8169	1140	832	462	131	228
30	8161	1143	832	461	128	236
31	8152	1145	834	460	127	243
32	8143	1148	836	459	125	250
33	8134	1151	837	459	123	258
34	8126	1151	838	459	121	265
35	8119	1154	839	457	119	273
36	8111	1156	840	457	117	280
37	8103	1159	840	457	115	288
38	8094	1161	840	456	114	295
39	8087	1162	841	455	113	303
40	8080	1164	842	454	112	309
41	8072	1167	841	454	110	317
42	8064	1169	842	453	109	324
43	8056	1171	843	451	108	331
44	8048	1172	844	451	107	338
45	8041	1174	844	450	106	346
46	8033	1177	845	448	105	353
47	8027	1179	845	447	104	360
48	8019	1181	845	446	102	367
49	8012	1182	845	446	101	374
50	8005	1183	846	446	100	382
51	7997	1185	846	446	99	389
52	7989	1188	846	444	98	396
53	7982	1190	846	444	97	403
54	7975	1191	847	442	96	410
55	7967	1194	847	440	95	417
56	7961	1195	848	439	94	424
57	7954	1196	848	438	94	432
58	7947	1198	848	437	94	439
59	7939	1199	848	436	93	446
60	7932	1200	848	435	92	454
61	7924	1203	847	434	91	461
62	7917	1206	846	433	91	468
63	7909	1208	846	432	90	475
64	7903	1210	845	432	89	482
65	7894	1212	845	431	88	489
66	7888	1212	846	430	88	496
67	7880	1214	846	429	87	503
68	7873	1216	846	429	86	511
69	7867	1216	847	427	86	518
70	7859	1217	847	427	85	525
71	7852	1219	846	426	84	533
72	7845	1221	846	426	84	540
73	7838	1222	846	425	83	547
74	7831	1223	845	425	83	554
75	7825	1224	845	424	82	561
76	7818	1225	845	423	81	568
77	7812	1226	844	422	81	575
78	7806	1228	844	421	80	583
79	7799	1227	843	420	80	590
80	7792	1229	843	419	80	597
81	7785	1230	844	418	79	605
82	7778	1232	843	417	79	612
83	7772	1233	843	416	78	619
84	7764	1234	843	415	78	626
85	7757	1236	843	414	78	633
86	7751	1237	842	414	77	640
87	7745	1237	841	412	78	647
88	7739	1237	842	411	78	654
89	7732	1238	841	410	78	662
90	7725	1238	841	410	77	669
91	7718	1239	842	410	76	675
92	7710	1242	840	410	76	683
93	7705	1242	840	409	76	690
94	7699	1242	839	408	76	696
95	7693	1243	839	408	75	703
96	7686	1244	838	407	75	711
97	7681	1244	837	406	75	718
98	7675	1244	837	404	75	725
99	7668	1244	838	404	75	733
100	7662	1244	838	403	74	739
