species	simulated_p_e_in_500_years
Abeillia abeillei	0.26000000
Abroscopus albogularis	0.20000000
Abroscopus schisticeps	0.30000000
Abroscopus superciliaris	0.22000000
Aburria aburri	0.42000000
Acanthagenys rufogularis	0.23000000
Acanthidops bairdi	0.26000000
Acanthis flammea	0.21000000
Acanthisitta chloris	0.30000000
Acanthiza apicalis	0.26000000
Acanthiza chrysorrhoa	0.19000000
Acanthiza cinerea	0.18000000
Acanthiza ewingii	0.23000000
Acanthiza inornata	0.20000000
Acanthiza iredalei	0.23000000
Acanthiza katherina	0.26000000
Acanthiza lineata	0.24000000
Acanthiza murina	0.22000000
Acanthiza nana	0.27000000
Acanthiza pusilla	0.28000000
Acanthiza reguloides	0.35000000
Acanthiza robustirostris	0.29000000
Acanthiza uropygialis	0.26000000
Acanthoptila nipalensis	0.16000000
Acanthorhynchus superciliosus	0.26000000
Acanthorhynchus tenuirostris	0.30000000
Acanthornis magna	0.24000000
Accipiter albogularis	0.21000000
Accipiter badius	0.22000000
Accipiter bicolor	0.27000000
Accipiter brachyurus	0.54000000
Accipiter brevipes	0.22000000
Accipiter butleri	0.60000000
Accipiter castanilius	0.27000000
Accipiter cirrocephalus	0.28000000
Accipiter collaris	0.42000000
Accipiter cooperii	0.25000000
Accipiter erythrauchen	0.37000000
Accipiter erythropus	0.29000000
Accipiter fasciatus	0.24000000
Accipiter francesiae	0.25000000
Accipiter gentilis	0.20000000
Accipiter griseiceps	0.19000000
Accipiter gularis	0.20000000
Accipiter gundlachi	0.68000000
Accipiter haplochrous	0.37000000
Accipiter henicogrammus	0.43000000
Accipiter henstii	0.23000000
Accipiter hiogaster	0.28000000
Accipiter imitator	0.56000000
Accipiter luteoschistaceus	0.68000000
Accipiter madagascariensis	0.35000000
Accipiter melanochlamys	0.19000000
Accipiter melanoleucus	0.22000000
Accipiter meyerianus	0.16000000
Accipiter minullus	0.22000000
Accipiter nanus	0.33000000
Accipiter nisus	0.18000000
Accipiter novaehollandiae	0.25000000
Accipiter ovampensis	0.18000000
Accipiter poliocephalus	0.18000000
Accipiter poliogaster	0.45000000
Accipiter princeps	0.60000000
Accipiter rhodogaster	0.18000000
Accipiter rufitorques	0.22000000
Accipiter rufiventris	0.32000000
Accipiter soloensis	0.21000000
Accipiter striatus	0.22000000
Accipiter superciliosus	0.21000000
Accipiter sylvestris	0.21000000
Accipiter tachiro	0.32000000
Accipiter toussenelii	0.26000000
Accipiter trinotatus	0.29000000
Accipiter trivirgatus	0.18000000
Accipiter virgatus	0.24000000
Aceros nipalensis	0.52000000
Achaetops pycnopygius	0.21000000
Acridotheres albocinctus	0.22000000
Acridotheres burmannicus	0.25000000
Acridotheres cinereus	0.60000000
Acridotheres cristatellus	0.23000000
Acridotheres fuscus	0.18000000
Acridotheres ginginianus	0.22000000
Acridotheres grandis	0.31000000
Acridotheres javanicus	0.63000000
Acridotheres leucocephalus	0.24000000
Acridotheres melanopterus	0.95000000
Acridotheres tertius	0.97000000
Acridotheres tricolor	0.95000000
Acridotheres tristis	0.28000000
Acritillas indica	0.28000000
Acrobatornis fonsecai	0.67000000
Acrocephalus aequinoctialis	0.78000000
Acrocephalus agricola	0.27000000
Acrocephalus arundinaceus	0.23000000
Acrocephalus atyphus	0.25000000
Acrocephalus australis	0.23000000
Acrocephalus bistrigiceps	0.20000000
Acrocephalus brevipennis	0.82000000
Acrocephalus caffer	0.78000000
Acrocephalus concinens	0.17000000
Acrocephalus dumetorum	0.20000000
Acrocephalus familiaris	0.93000000
Acrocephalus gracilirostris	0.22000000
Acrocephalus griseldis	0.74000000
Acrocephalus hiwae	0.93000000
Acrocephalus kerearako	0.36000000
Acrocephalus longirostris	0.97000000
Acrocephalus melanopogon	0.27000000
Acrocephalus mendanae	0.24000000
Acrocephalus newtoni	0.33000000
Acrocephalus orientalis	0.24000000
Acrocephalus orinus	0.50000000
Acrocephalus paludicola	0.67000000
Acrocephalus palustris	0.24000000
Acrocephalus percernis	0.26000000
Acrocephalus rehsei	0.73000000
Acrocephalus rimitarae	0.89000000
Acrocephalus rodericanus	0.32000000
Acrocephalus rufescens	0.16000000
Acrocephalus schoenobaenus	0.20000000
Acrocephalus scirpaceus	0.28000000
Acrocephalus sechellensis	0.33000000
Acrocephalus sorghophilus	0.77000000
Acrocephalus stentoreus	0.20000000
Acrocephalus syrinx	0.30000000
Acrocephalus taiti	0.63000000
Acrocephalus tangorum	0.58000000
Acrocephalus vaughani	0.71000000
Acropternis orthonyx	0.15000000
Acryllium vulturinum	0.25000000
Actenoides bougainvillei	0.73000000
Actenoides capucinus	0.42000000
Actenoides concretus	0.46000000
Actenoides excelsus	0.88000000
Actenoides hombroni	0.62000000
Actenoides lindsayi	0.20000000
Actenoides monachus	0.34000000
Actenoides princeps	0.40000000
Actenoides regalis	0.56000000
Actinodura egertoni	0.25000000
Actinodura radcliffei	0.30000000
Actinodura ramsayi	0.22000000
Actinodura sodangorum	0.44000000
Actitis hypoleucos	0.22000000
Actitis macularius	0.23000000
Actophilornis africanus	0.25000000
Actophilornis albinucha	0.41000000
Adelomyia melanogenys	0.35000000
Aechmophorus clarkii	0.24000000
Aechmophorus occidentalis	0.21000000
Aegithalos annamensis	0.20000000
Aegithalos bonvaloti	0.22000000
Aegithalos caudatus	0.20000000
Aegithalos concinnus	0.20000000
Aegithalos fuliginosus	0.17000000
Aegithalos glaucogularis	0.22000000
Aegithalos iouschistos	0.24000000
Aegithalos iredalei	0.22000000
Aegithalos leucogenys	0.28000000
Aegithalos niveogularis	0.19000000
Aegithina lafresnayei	0.25000000
Aegithina nigrolutea	0.19000000
Aegithina tiphia	0.26000000
Aegithina viridissima	0.49000000
Aegolius acadicus	0.29000000
Aegolius funereus	0.21000000
Aegolius harrisii	0.25000000
Aegolius ridgwayi	0.25000000
Aegotheles affinis	0.48000000
Aegotheles albertisi	0.24000000
Aegotheles archboldi	0.27000000
Aegotheles bennettii	0.21000000
Aegotheles crinifrons	0.18000000
Aegotheles cristatus	0.27000000
Aegotheles insignis	0.25000000
Aegotheles savesi	0.94000000
Aegotheles tatei	0.43000000
Aegotheles wallacii	0.45000000
Aegypius monachus	0.29000000
Aepypodius arfakianus	0.30000000
Aepypodius bruijnii	0.77000000
Aerodramus bartschi	0.73000000
Aerodramus brevirostris	0.27000000
Aerodramus elaphrus	0.58000000
Aerodramus francicus	0.37000000
Aerodramus fuciphagus	0.17000000
Aerodramus hirundinaceus	0.24000000
Aerodramus infuscatus	0.19000000
Aerodramus inquietus	0.19000000
Aerodramus leucophaeus	0.21000000
Aerodramus maximus	0.27000000
Aerodramus mearnsi	0.31000000
Aerodramus nuditarsus	0.34000000
Aerodramus orientalis	0.40000000
Aerodramus papuensis	0.54000000
Aerodramus pelewensis	0.20000000
Aerodramus salangana	0.24000000
Aerodramus sawtelli	0.60000000
Aerodramus spodiopygius	0.28000000
Aerodramus terraereginae	0.19000000
Aerodramus unicolor	0.23000000
Aerodramus vanikorensis	0.25000000
Aerodramus vulcanorum	0.49000000
Aerodramus whiteheadi	0.37000000
Aeronautes andecolus	0.31000000
Aeronautes montivagus	0.21000000
Aeronautes saxatalis	0.18000000
Aethia cristatella	0.18000000
Aethia psittacula	0.16000000
Aethia pusilla	0.18000000
Aethia pygmaea	0.20000000
Aethopyga bella	0.22000000
Aethopyga boltoni	0.39000000
Aethopyga christinae	0.27000000
Aethopyga duyvenbodei	0.70000000
Aethopyga eximia	0.16000000
Aethopyga flagrans	0.21000000
Aethopyga gouldiae	0.20000000
Aethopyga guimarasensis	0.19000000
Aethopyga ignicauda	0.19000000
Aethopyga latouchii	0.17000000
Aethopyga linaraborae	0.44000000
Aethopyga magnifica	0.26000000
Aethopyga mystacalis	0.20000000
Aethopyga nipalensis	0.30000000
Aethopyga primigenia	0.41000000
Aethopyga pulcherrima	0.18000000
Aethopyga saturata	0.24000000
Aethopyga shelleyi	0.21000000
Aethopyga siparaja	0.31000000
Aethopyga temminckii	0.21000000
Aethopyga vigorsii	0.20000000
Afropavo congensis	0.47000000
Afrotis afra	0.56000000
Afrotis afraoides	0.14000000
Agamia agami	0.62000000
Agapornis canus	0.25000000
Agapornis fischeri	0.40000000
Agapornis lilianae	0.33000000
Agapornis nigrigenis	0.62000000
Agapornis personatus	0.28000000
Agapornis pullarius	0.22000000
Agapornis roseicollis	0.24000000
Agapornis swindernianus	0.26000000
Agapornis taranta	0.21000000
Agelaioides badius	0.19000000
Agelaioides fringillarius	0.22000000
Agelaius assimilis	0.25000000
Agelaius humeralis	0.23000000
Agelaius phoeniceus	0.24000000
Agelaius tricolor	0.74000000
Agelaius xanthomus	0.83000000
Agelastes meleagrides	0.58000000
Agelastes niger	0.23000000
Agelasticus cyanopus	0.23000000
Agelasticus thilius	0.27000000
Agelasticus xanthophthalmus	0.28000000
Aglaeactis aliciae	0.74000000
Aglaeactis castelnaudii	0.44000000
Aglaeactis cupripennis	0.22000000
Aglaeactis pamela	0.23000000
Aglaiocercus berlepschi	0.79000000
Aglaiocercus coelestis	0.21000000
Aglaiocercus kingii	0.27000000
Agraphospiza rubescens	0.19000000
Agricola infuscatus	0.22000000
Agricola pallidus	0.24000000
Agriornis albicauda	0.62000000
Agriornis lividus	0.21000000
Agriornis micropterus	0.25000000
Agriornis montanus	0.32000000
Agriornis murinus	0.26000000
Agropsar philippensis	0.15000000
Agropsar sturninus	0.24000000
Ailuroedus buccoides	0.23000000
Ailuroedus crassirostris	0.24000000
Ailuroedus melanotis	0.29000000
Aimophila notosticta	0.23000000
Aimophila rufescens	0.28000000
Aimophila ruficeps	0.27000000
Aix galericulata	0.22000000
Aix sponsa	0.29000000
Akletos goeldii	0.22000000
Akletos melanoceps	0.29000000
Alaemon alaudipes	0.17000000
Alaemon hamertoni	0.26000000
Alauda arvensis	0.23000000
Alauda gulgula	0.23000000
Alauda leucoptera	0.28000000
Alauda razae	0.94000000
Alaudala raytal	0.15000000
Alaudala rufescens	0.26000000
Alaudala somalica	0.24000000
Alca torda	0.27000000
Alcedo atthis	0.22000000
Alcedo coerulescens	0.19000000
Alcedo euryzona	0.98000000
Alcedo hercules	0.46000000
Alcedo meninting	0.23000000
Alcedo peninsulae	0.43000000
Alcedo quadribrachys	0.18000000
Alcedo semitorquata	0.31000000
Alcippe brunneicauda	0.35000000
Alcippe grotei	0.22000000
Alcippe morrisonia	0.21000000
Alcippe nipalensis	0.29000000
Alcippe peracensis	0.25000000
Alcippe poioicephala	0.27000000
Alcippe pyrrhoptera	0.30000000
Aleadryas rufinucha	0.17000000
Alectoris barbara	0.18000000
Alectoris chukar	0.24000000
Alectoris graeca	0.40000000
Alectoris magna	0.23000000
Alectoris melanocephala	0.21000000
Alectoris philbyi	0.23000000
Alectoris rufa	0.24000000
Alectroenas madagascariensis	0.22000000
Alectroenas pulcherrimus	0.20000000
Alectroenas sganzini	0.30000000
Alectrurus risora	0.52000000
Alectrurus tricolor	0.59000000
Alectura lathami	0.20000000
Alethe castanea	0.21000000
Alethe diademata	0.21000000
Alipiopsitta xanthops	0.43000000
Alisterus amboinensis	0.23000000
Alisterus chloropterus	0.19000000
Alisterus scapularis	0.13000000
Alle alle	0.13000000
Allenia fusca	0.19000000
Alopecoenas beccarii	0.24000000
Alopecoenas canifrons	0.76000000
Alopecoenas erythropterus	0.94000000
Alopecoenas hoedtii	0.81000000
Alopecoenas jobiensis	0.20000000
Alopecoenas johannae	0.23000000
Alopecoenas kubaryi	0.51000000
Alopecoenas rubescens	0.74000000
Alopecoenas sanctaecrucis	0.74000000
Alopecoenas stairi	0.54000000
Alopecoenas xanthonurus	0.46000000
Alophoixus bres	0.53000000
Alophoixus finschii	0.23000000
Alophoixus flaveolus	0.21000000
Alophoixus frater	0.23000000
Alophoixus griseiceps	0.20000000
Alophoixus ochraceus	0.23000000
Alophoixus pallidus	0.31000000
Alophoixus phaeocephalus	0.23000000
Alophoixus ruficrissus	0.22000000
Alophoixus tephrogenys	0.29000000
Alopochelidon fucata	0.27000000
Alopochen aegyptiaca	0.24000000
Amadina erythrocephala	0.18000000
Amadina fasciata	0.30000000
Amalocichla incerta	0.21000000
Amalocichla sclateriana	0.18000000
Amandava amandava	0.28000000
Amandava formosa	0.62000000
Amandava subflava	0.24000000
Amaurocichla bocagii	0.57000000
Amaurolimnas concolor	0.27000000
Amaurornis cinerea	0.25000000
Amaurornis isabellina	0.21000000
Amaurornis magnirostris	0.56000000
Amaurornis marginalis	0.26000000
Amaurornis moluccana	0.23000000
Amaurornis olivacea	0.36000000
Amaurornis phoenicurus	0.28000000
Amaurospiza moesta	0.16000000
Amaurospiza relicta	0.19000000
Amazilia alfaroana	0.91000000
Amazilia amabilis	0.20000000
Amazilia amazilia	0.23000000
Amazilia bartletti	0.23000000
Amazilia beryllina	0.25000000
Amazilia boucardi	0.82000000
Amazilia brevirostris	0.19000000
Amazilia candida	0.22000000
Amazilia castaneiventris	0.46000000
Amazilia chionogaster	0.31000000
Amazilia cupreicauda	0.23000000
Amazilia cyanifrons	0.25000000
Amazilia cyanocephala	0.27000000
Amazilia cyanura	0.25000000
Amazilia decora	0.26000000
Amazilia edward	0.25000000
Amazilia fimbriata	0.22000000
Amazilia franciae	0.20000000
Amazilia grayi	0.26000000
Amazilia humboldtii	0.19000000
Amazilia lactea	0.20000000
Amazilia leucogaster	0.14000000
Amazilia luciae	0.84000000
Amazilia rosenbergi	0.25000000
Amazilia rutila	0.22000000
Amazilia sapphirina	0.20000000
Amazilia saucerottei	0.24000000
Amazilia tobaci	0.19000000
Amazilia tzacatl	0.24000000
Amazilia versicolor	0.30000000
Amazilia violiceps	0.18000000
Amazilia viridicauda	0.27000000
Amazilia viridifrons	0.27000000
Amazilia viridigaster	0.25000000
Amazilia wagneri	0.22000000
Amazilia yucatanensis	0.29000000
Amazona aestiva	0.18000000
Amazona agilis	0.44000000
Amazona albifrons	0.24000000
Amazona amazonica	0.11000000
Amazona arausiaca	0.53000000
Amazona auropalliata	0.57000000
Amazona autumnalis	0.23000000
Amazona barbadensis	0.50000000
Amazona bodini	0.30000000
Amazona brasiliensis	0.30000000
Amazona collaria	0.49000000
Amazona diadema	0.73000000
Amazona dufresniana	0.28000000
Amazona farinosa	0.31000000
Amazona festiva	0.33000000
Amazona finschi	0.69000000
Amazona guatemalae	0.28000000
Amazona guildingii	0.50000000
Amazona imperialis	0.81000000
Amazona kawalli	0.23000000
Amazona leucocephala	0.35000000
Amazona lilacina	0.52000000
Amazona mercenarius	0.11000000
Amazona ochrocephala	0.16000000
Amazona oratrix	0.46000000
Amazona pretrei	0.44000000
Amazona rhodocorytha	0.50000000
Amazona tucumana	0.43000000
Amazona ventralis	0.46000000
Amazona versicolor	0.40000000
Amazona vinacea	0.63000000
Amazona viridigenalis	0.63000000
Amazona vittata	0.77000000
Amazona xantholora	0.19000000
Amazonetta brasiliensis	0.21000000
Amblycercus holosericeus	0.30000000
Amblyornis flavifrons	0.21000000
Amblyornis inornata	0.27000000
Amblyornis macgregoriae	0.21000000
Amblyornis subalaris	0.21000000
Amblyospiza albifrons	0.29000000
