year	LC	NT	VU	EN	CR	EX
0	8432	1036	804	465	225	0
1	8424	1040	805	465	219	9
2	8413	1045	805	466	214	17
3	8404	1049	806	467	209	25
4	8395	1054	807	467	204	34
5	8386	1057	809	467	199	42
6	8377	1061	810	468	195	51
7	8367	1064	811	469	191	59
8	8358	1069	812	469	186	67
9	8348	1073	813	470	183	75
10	8339	1077	814	470	179	82
11	8329	1081	814	470	176	90
12	8319	1085	815	471	173	98
13	8311	1088	816	470	170	106
14	8302	1091	817	470	167	114
15	8293	1095	819	469	164	121
16	8284	1099	819	469	160	130
17	8276	1102	820	468	158	137
18	8267	1105	821	468	155	145
19	8258	1109	820	468	153	153
20	8250	1112	821	467	150	160
21	8242	1115	822	467	147	168
22	8233	1118	823	466	145	176
23	8223	1122	825	465	142	184
24	8216	1124	826	464	140	191
25	8207	1127	826	463	138	199
26	8199	1129	827	463	136	208
27	8191	1131	828	462	133	215
28	8181	1135	830	461	131	223
29	8172	1139	830	460	129	230
30	8164	1141	831	459	128	238
31	8155	1144	832	459	126	245
32	8147	1147	832	458	124	253
33	8138	1150	834	457	122	260
34	8130	1152	833	457	120	268
35	8123	1154	834	457	118	275
36	8116	1157	834	456	116	282
37	8108	1159	835	455	115	290
38	8100	1161	835	453	114	297
39	8093	1163	836	452	113	305
40	8086	1164	837	450	111	312
41	8078	1166	838	449	110	320
42	8070	1168	839	447	109	327
43	8062	1170	840	446	108	335
44	8056	1171	841	445	107	342
45	8048	1173	842	444	106	349
46	8040	1174	843	443	104	356
47	8032	1177	842	443	103	363
48	8025	1179	842	442	102	371
49	8018	1179	841	443	101	378
50	8011	1181	842	441	100	385
51	8003	1183	843	440	99	392
52	7996	1184	844	439	98	400
53	7989	1187	843	439	97	407
54	7981	1188	844	438	96	414
55	7975	1190	844	437	95	421
56	7968	1191	843	436	95	429
57	7959	1194	843	436	94	436
58	7952	1195	844	434	93	443
59	7945	1196	845	432	93	450
60	7938	1199	844	432	92	457
61	7931	1200	844	430	91	464
62	7924	1202	845	429	90	471
63	7916	1203	845	428	90	479
64	7910	1203	846	427	89	486
65	7904	1204	845	427	89	493
66	7898	1204	845	426	88	500
67	7891	1206	844	426	87	507
68	7883	1208	845	425	87	514
69	7876	1209	846	424	86	521
70	7869	1211	844	423	85	528
71	7863	1212	844	422	85	536
72	7855	1213	843	422	84	543
73	7848	1214	844	420	84	551
74	7841	1216	844	419	83	558
75	7835	1218	844	418	82	565
76	7828	1219	844	417	81	572
77	7822	1219	844	416	81	580
78	7815	1220	843	416	80	586
79	7809	1220	843	415	80	594
80	7802	1221	843	414	80	601
81	7795	1222	843	413	80	608
82	7789	1222	843	412	79	615
83	7783	1223	843	411	78	622
84	7776	1225	841	410	79	630
85	7770	1226	841	409	78	637
86	7762	1227	841	409	77	644
87	7755	1228	840	409	77	651
88	7749	1229	840	408	77	658
89	7742	1230	840	407	77	665
90	7735	1232	840	406	76	672
91	7729	1231	840	405	76	680
92	7723	1233	839	405	76	686
93	7716	1234	839	403	76	693
94	7710	1235	838	402	76	701
95	7704	1236	836	402	76	708
96	7698	1236	836	401	75	715
97	7691	1236	835	402	75	722
98	7685	1236	836	401	74	729
99	7680	1236	835	401	74	736
100	7673	1236	834	401	73	744
101	7667	1236	834	399	73	751
102	7660	1237	834	399	73	758
103	7654	1237	835	398	72	765
104	7648	1237	834	398	72	772
105	7642	1237	834	398	72	779
106	7637	1236	834	397	71	786
107	7630	1236	834	396	71	793
108	7623	1238	833	396	72	800
109	7618	1237	833	395	71	807
110	7612	1237	832	396	71	814
111	7605	1238	832	394	71	821
112	7598	1239	832	394	70	828
113	7590	1240	832	394	70	835
114	7584	1241	832	393	70	842
115	7577	1241	832	391	70	849
116	7572	1242	831	391	69	856
117	7565	1242	831	390	69	863
118	7558	1242	831	390	69	870
119	7553	1243	830	390	69	877
120	7548	1242	829	389	68	884
121	7541	1243	829	389	68	891
122	7536	1243	828	388	68	898
123	7529	1243	828	388	68	905
124	7523	1243	828	388	68	912
125	7517	1243	828	388	67	918
126	7510	1243	828	387	67	926
127	7504	1243	827	386	67	933
128	7498	1244	827	384	68	940
129	7492	1244	826	384	67	947
130	7486	1246	826	383	67	955
131	7480	1245	825	383	67	961
132	7473	1246	824	382	67	969
133	7468	1246	824	382	66	976
134	7462	1246	823	381	66	983
135	7456	1245	823	381	66	990
136	7451	1245	822	380	66	997
137	7444	1244	822	380	66	1004
138	7439	1244	821	380	66	1011
139	7433	1245	821	379	66	1018
140	7427	1244	820	379	66	1025
141	7423	1243	820	378	66	1032
142	7417	1242	819	378	65	1039
143	7412	1241	820	377	66	1046
144	7406	1241	820	377	66	1053
145	7401	1239	820	377	66	1059
146	7394	1238	820	376	65	1067
147	7389	1239	820	375	65	1073
148	7382	1239	819	375	65	1081
149	7377	1237	818	374	66	1088
150	7373	1237	817	374	65	1094
151	7367	1237	817	373	65	1102
152	7362	1236	816	373	65	1108
153	7357	1235	816	373	65	1115
154	7351	1235	816	373	65	1121
155	7346	1235	816	372	65	1129
156	7341	1234	815	372	64	1136
157	7336	1233	814	371	64	1143
158	7331	1233	814	371	64	1149
159	7325	1232	813	370	64	1157
160	7319	1232	812	370	64	1164
161	7313	1233	812	369	63	1171
162	7307	1232	812	369	63	1178
163	7302	1231	811	369	63	1185
164	7296	1231	810	369	63	1192
165	7290	1230	809	369	64	1199
166	7285	1229	808	369	63	1207
167	7282	1227	809	368	63	1213
168	7276	1226	808	368	63	1220
169	7270	1226	807	368	62	1228
170	7264	1225	807	368	62	1235
171	7258	1226	806	367	62	1242
172	7251	1226	806	367	62	1249
173	7245	1226	806	366	62	1256
174	7239	1226	804	365	62	1263
175	7235	1226	803	364	62	1270
176	7229	1226	803	364	62	1277
177	7223	1226	803	363	62	1284
178	7219	1226	802	362	62	1291
179	7213	1225	801	361	62	1299
180	7208	1224	801	361	62	1305
181	7203	1224	800	361	62	1312
182	7197	1224	800	360	62	1319
183	7191	1224	799	360	62	1326
184	7186	1222	799	359	62	1333
185	7181	1221	799	358	62	1340
186	7175	1220	800	357	62	1347
187	7170	1220	798	357	62	1354
188	7164	1219	798	357	62	1361
189	7159	1219	798	357	62	1368
190	7153	1218	796	357	62	1375
191	7148	1217	796	357	62	1382
