species	simulated_p_e_in_100_years
Abeillia abeillei	0.03000000
Abroscopus albogularis	0.02000000
Abroscopus schisticeps	0.00000000
Abroscopus superciliaris	0.00000000
Aburria aburri	0.09000000
Acanthagenys rufogularis	0.02000000
Acanthidops bairdi	0.01000000
Acanthis flammea	0.01000000
Acanthisitta chloris	0.00000000
Acanthiza apicalis	0.04000000
Acanthiza chrysorrhoa	0.01000000
Acanthiza cinerea	0.01000000
Acanthiza ewingii	0.02000000
Acanthiza inornata	0.02000000
Acanthiza iredalei	0.01000000
Acanthiza katherina	0.01000000
Acanthiza lineata	0.00000000
Acanthiza murina	0.00000000
Acanthiza nana	0.01000000
Acanthiza pusilla	0.01000000
Acanthiza reguloides	0.01000000
Acanthiza robustirostris	0.01000000
Acanthiza uropygialis	0.02000000
Acanthoptila nipalensis	0.02000000
Acanthorhynchus superciliosus	0.01000000
Acanthorhynchus tenuirostris	0.02000000
Acanthornis magna	0.02000000
Accipiter albogularis	0.00000000
Accipiter badius	0.05000000
Accipiter bicolor	0.02000000
Accipiter brachyurus	0.18000000
Accipiter brevipes	0.02000000
Accipiter butleri	0.21000000
Accipiter castanilius	0.01000000
Accipiter cirrocephalus	0.01000000
Accipiter collaris	0.09000000
Accipiter cooperii	0.01000000
Accipiter erythrauchen	0.05000000
Accipiter erythropus	0.01000000
Accipiter fasciatus	0.04000000
Accipiter francesiae	0.03000000
Accipiter gentilis	0.01000000
Accipiter griseiceps	0.01000000
Accipiter gularis	0.01000000
Accipiter gundlachi	0.42000000
Accipiter haplochrous	0.12000000
Accipiter henicogrammus	0.08000000
Accipiter henstii	0.06000000
Accipiter hiogaster	0.02000000
Accipiter imitator	0.27000000
Accipiter luteoschistaceus	0.20000000
Accipiter madagascariensis	0.07000000
Accipiter melanochlamys	0.02000000
Accipiter melanoleucus	0.02000000
Accipiter meyerianus	0.02000000
Accipiter minullus	0.02000000
Accipiter nanus	0.05000000
Accipiter nisus	0.00000000
Accipiter novaehollandiae	0.00000000
Accipiter ovampensis	0.00000000
Accipiter poliocephalus	0.02000000
Accipiter poliogaster	0.05000000
Accipiter princeps	0.18000000
Accipiter rhodogaster	0.03000000
Accipiter rufitorques	0.03000000
Accipiter rufiventris	0.00000000
Accipiter soloensis	0.02000000
Accipiter striatus	0.02000000
Accipiter superciliosus	0.06000000
Accipiter sylvestris	0.02000000
Accipiter tachiro	0.00000000
Accipiter toussenelii	0.00000000
Accipiter trinotatus	0.02000000
Accipiter trivirgatus	0.01000000
Accipiter virgatus	0.03000000
Aceros nipalensis	0.15000000
Achaetops pycnopygius	0.00000000
Acridotheres albocinctus	0.01000000
Acridotheres burmannicus	0.01000000
Acridotheres cinereus	0.23000000
Acridotheres cristatellus	0.04000000
Acridotheres fuscus	0.04000000
Acridotheres ginginianus	0.02000000
Acridotheres grandis	0.03000000
Acridotheres javanicus	0.20000000
Acridotheres leucocephalus	0.01000000
Acridotheres melanopterus	0.88000000
Acridotheres tertius	0.84000000
Acridotheres tricolor	0.90000000
Acridotheres tristis	0.03000000
Acritillas indica	0.04000000
Acrobatornis fonsecai	0.20000000
Acrocephalus aequinoctialis	0.53000000
Acrocephalus agricola	0.02000000
Acrocephalus arundinaceus	0.00000000
Acrocephalus atyphus	0.03000000
Acrocephalus australis	0.01000000
Acrocephalus bistrigiceps	0.03000000
Acrocephalus brevipennis	0.50000000
Acrocephalus caffer	0.56000000
Acrocephalus concinens	0.01000000
Acrocephalus dumetorum	0.02000000
Acrocephalus familiaris	0.89000000
Acrocephalus gracilirostris	0.01000000
Acrocephalus griseldis	0.49000000
Acrocephalus hiwae	0.84000000
Acrocephalus kerearako	0.09000000
Acrocephalus longirostris	0.85000000
Acrocephalus melanopogon	0.00000000
Acrocephalus mendanae	0.02000000
Acrocephalus newtoni	0.02000000
Acrocephalus orientalis	0.02000000
Acrocephalus orinus	0.14000000
Acrocephalus paludicola	0.22000000
Acrocephalus palustris	0.00000000
Acrocephalus percernis	0.01000000
Acrocephalus rehsei	0.21000000
Acrocephalus rimitarae	0.86000000
Acrocephalus rodericanus	0.11000000
Acrocephalus rufescens	0.01000000
Acrocephalus schoenobaenus	0.03000000
Acrocephalus scirpaceus	0.02000000
Acrocephalus sechellensis	0.09000000
Acrocephalus sorghophilus	0.55000000
Acrocephalus stentoreus	0.01000000
Acrocephalus syrinx	0.04000000
Acrocephalus taiti	0.16000000
Acrocephalus tangorum	0.25000000
Acrocephalus vaughani	0.54000000
Acropternis orthonyx	0.01000000
Acryllium vulturinum	0.01000000
Actenoides bougainvillei	0.43000000
Actenoides capucinus	0.03000000
Actenoides concretus	0.10000000
Actenoides excelsus	0.43000000
Actenoides hombroni	0.20000000
Actenoides lindsayi	0.00000000
