year	LC	NT	VU	EN	CR	EX
0	8433	1036	804	465	224	0
1	8423	1040	805	466	219	9
2	8414	1043	805	468	214	17
3	8404	1048	806	468	211	24
4	8394	1052	807	468	206	33
5	8385	1056	809	468	201	42
6	8375	1060	811	468	197	50
7	8365	1065	812	468	193	58
8	8355	1069	814	468	190	65
9	8346	1073	814	468	186	73
10	8337	1077	815	467	183	81
11	8328	1080	817	467	180	89
12	8318	1084	818	467	176	97
13	8310	1087	820	466	173	105
14	8300	1091	821	466	170	113
15	8290	1095	823	467	166	121
16	8281	1097	824	466	163	129
17	8272	1101	825	465	162	136
18	8263	1106	825	464	159	144
19	8255	1109	824	464	156	152
20	8246	1113	825	464	154	159
21	8237	1116	826	464	152	167
22	8228	1120	827	464	149	174
23	8220	1122	828	463	146	181
24	8211	1126	828	463	144	190
25	8203	1129	828	462	141	198
26	8195	1132	829	462	139	205
27	8187	1135	829	461	136	213
28	8178	1137	831	460	134	221
29	8170	1140	831	460	132	229
30	8162	1143	831	458	130	236
31	8154	1145	832	458	128	244
32	8146	1146	833	458	127	251
33	8138	1150	834	457	125	258
34	8130	1152	834	456	123	266
35	8123	1154	835	455	121	273
36	8115	1156	836	454	120	281
37	8107	1158	836	453	118	288
38	8098	1161	836	452	117	296
39	8090	1165	836	451	115	303
40	8083	1166	837	450	114	311
41	8074	1169	837	450	113	318
42	8066	1172	837	449	112	326
43	8059	1172	839	447	111	333
44	8051	1175	838	447	109	340
45	8043	1177	839	447	108	347
46	8035	1179	840	446	107	355
47	8028	1181	840	444	105	362
48	8020	1183	839	444	105	369
49	8013	1184	840	444	103	377
50	8007	1184	841	442	103	384
51	7999	1187	840	442	101	391
52	7992	1188	841	441	101	398
53	7985	1189	840	440	100	406
54	7980	1190	841	439	99	413
55	7972	1192	842	437	98	420
56	7965	1194	842	436	97	428
57	7958	1195	842	435	97	434
58	7952	1196	840	433	97	442
59	7945	1198	842	432	95	449
60	7939	1199	842	430	95	456
61	7931	1201	843	430	94	463
62	7923	1203	843	429	93	470
63	7916	1204	843	428	93	477
64	7909	1206	842	427	92	484
65	7903	1207	842	427	91	491
66	7896	1208	842	426	91	498
67	7889	1209	842	425	90	506
68	7882	1211	842	424	90	513
69	7875	1212	841	424	89	520
70	7868	1213	841	423	88	527
71	7861	1215	841	423	87	534
72	7854	1216	841	422	87	541
73	7846	1217	841	420	88	548
74	7839	1218	841	420	87	555
75	7833	1220	841	419	86	562
76	7826	1221	841	418	86	569
77	7820	1222	840	418	85	576
78	7814	1223	840	417	85	584
79	7806	1224	840	416	84	591
80	7799	1226	840	415	83	598
81	7793	1227	839	415	83	604
82	7786	1229	838	414	82	612
83	7780	1230	837	413	82	619
84	7771	1231	837	413	82	626
85	7764	1232	837	412	82	633
86	7758	1232	838	411	82	640
87	7751	1234	837	410	81	648
88	7746	1233	837	410	81	655
89	7739	1233	837	409	81	662
90	7732	1233	837	408	80	670
91	7725	1234	837	408	80	676
92	7719	1235	838	407	79	683
93	7712	1236	837	406	79	691
94	7706	1237	836	405	79	699
95	7700	1238	835	404	78	706
96	7694	1238	835	403	78	713
97	7687	1239	834	403	77	721
98	7680	1239	834	403	77	728
99	7675	1238	836	402	76	735
100	7668	1238	835	401	76	742
