year	LC	NT	VU	EN	CR	EX
0	8432	1036	803	465	225	0
1	8422	1041	804	469	225	1
2	8412	1045	806	472	225	2
3	8402	1049	807	475	226	3
4	8392	1053	808	478	226	4
5	8382	1057	810	481	227	4
6	8372	1061	811	483	227	5
7	8363	1066	813	486	227	6
8	8353	1070	814	489	228	7
9	8344	1073	815	492	228	8
10	8334	1077	817	495	229	9
11	8325	1081	818	497	229	10
12	8315	1085	820	500	230	11
13	8306	1089	821	503	230	12
14	8297	1092	823	505	231	13
15	8288	1096	824	508	231	14
16	8278	1099	826	511	231	15
17	8269	1103	827	513	232	16
18	8260	1106	829	516	232	17
19	8251	1110	831	518	233	18
20	8242	1113	832	521	233	19
21	8234	1117	834	523	234	20
22	8225	1120	835	526	234	21
23	8216	1123	837	528	235	22
24	8207	1127	838	530	235	23
25	8198	1130	840	533	236	24
26	8190	1133	842	535	236	26
27	8181	1136	843	537	237	27
28	8172	1139	845	540	237	28
29	8164	1143	846	542	238	29
30	8155	1145	848	544	238	30
31	8147	1148	850	546	239	31
32	8139	1151	851	548	239	32
33	8130	1154	853	551	240	33
34	8122	1157	855	553	240	35
35	8114	1160	856	555	241	36
36	8105	1163	858	557	241	37
37	8097	1165	859	559	242	38
38	8089	1168	861	561	242	39
39	8081	1171	863	563	243	40
40	8073	1173	865	565	243	42
41	8065	1176	866	567	244	43
42	8057	1178	868	569	244	44
43	8049	1181	870	571	245	45
44	8042	1183	871	573	245	47
45	8034	1186	873	575	246	48
46	8026	1188	874	577	246	49
47	8018	1191	876	579	247	50
48	8010	1193	878	581	247	52
49	8003	1195	880	583	248	53
50	7995	1198	881	584	248	54
51	7988	1200	883	586	249	55
52	7980	1202	885	588	249	57
53	7973	1205	886	590	250	58
54	7965	1207	888	592	250	59
55	7958	1209	889	594	251	61
56	7950	1211	891	595	251	62
57	7943	1214	893	597	252	63
58	7935	1216	894	599	252	65
59	7928	1218	896	600	253	66
60	7921	1220	898	602	253	67
61	7914	1222	899	604	254	69
62	7907	1224	901	605	254	70
63	7900	1226	902	607	255	71
64	7892	1228	904	609	255	73
65	7885	1230	906	610	256	74
66	7878	1232	907	612	256	76
67	7871	1234	909	614	257	77
68	7864	1236	910	615	257	78
69	7857	1238	912	617	258	80
70	7850	1239	913	618	258	81
71	7843	1241	915	620	259	83
72	7837	1243	917	622	259	84
73	7830	1245	918	623	260	85
74	7823	1247	920	625	260	87
75	7816	1248	921	626	261	88
76	7810	1250	923	628	261	90
77	7803	1252	924	629	262	91
78	7796	1254	926	631	262	93
79	7789	1255	927	632	262	94
80	7783	1257	929	634	263	96
81	7776	1259	930	635	263	97
82	7770	1260	932	637	264	99
83	7763	1262	933	638	264	100
84	7757	1263	935	640	265	102
85	7750	1265	936	641	265	103
86	7744	1266	937	642	266	105
87	7738	1268	939	644	266	106
88	7731	1269	940	645	267	108
89	7725	1271	942	647	267	109
90	7719	1272	943	648	268	111
91	7713	1274	945	649	268	112
92	7706	1275	946	651	269	114
93	7700	1277	948	652	269	116
94	7694	1278	949	653	270	117
95	7688	1279	950	655	270	119
96	7682	1281	952	656	270	120
97	7676	1282	953	657	271	122
98	7670	1284	954	659	271	123
99	7664	1285	956	660	272	125
100	7658	1286	957	661	272	127
