species	simulated_ext_prob_in_100_years
Abeillia abeillei	0.01510000
Abroscopus albogularis	0.01740000
Abroscopus schisticeps	0.01560000
Abroscopus superciliaris	0.01490000
Aburria aburri	0.04970000
Acanthagenys rufogularis	0.01410000
Acanthidops bairdi	0.01340000
Acanthis flammea	0.01360000
Acanthisitta chloris	0.01230000
Acanthiza apicalis	0.01540000
Acanthiza chrysorrhoa	0.01390000
Acanthiza cinerea	0.01420000
Acanthiza ewingii	0.01460000
Acanthiza inornata	0.01420000
Acanthiza iredalei	0.01390000
Acanthiza katherina	0.01460000
Acanthiza lineata	0.01190000
Acanthiza murina	0.01440000
Acanthiza nana	0.01550000
Acanthiza pusilla	0.01370000
Acanthiza reguloides	0.01450000
Acanthiza robustirostris	0.01520000
Acanthiza uropygialis	0.01440000
Acanthoptila nipalensis	0.01350000
Acanthorhynchus superciliosus	0.01590000
Acanthorhynchus tenuirostris	0.01630000
Acanthornis magna	0.01340000
Accipiter albogularis	0.01290000
Accipiter badius	0.01380000
Accipiter bicolor	0.01230000
Accipiter brachyurus	0.20760000
Accipiter brevipes	0.01310000
Accipiter butleri	0.18890000
Accipiter castanilius	0.01630000
Accipiter cirrocephalus	0.01550000
Accipiter collaris	0.06100000
Accipiter cooperii	0.01290000
Accipiter erythrauchen	0.06840000
Accipiter erythropus	0.01490000
Accipiter fasciatus	0.01220000
Accipiter francesiae	0.01190000
Accipiter gentilis	0.00870000
Accipiter griseiceps	0.01270000
Accipiter gularis	0.01490000
Accipiter gundlachi	0.42830000
Accipiter haplochrous	0.06960000
Accipiter henicogrammus	0.06140000
Accipiter henstii	0.05230000
Accipiter hiogaster	0.01420000
Accipiter imitator	0.20760000
Accipiter luteoschistaceus	0.20600000
Accipiter madagascariensis	0.07570000
Accipiter melanochlamys	0.01320000
Accipiter melanoleucus	0.01090000
Accipiter meyerianus	0.01230000
Accipiter minullus	0.01350000
Accipiter nanus	0.06460000
Accipiter nisus	0.01100000
Accipiter novaehollandiae	0.01090000
Accipiter ovampensis	0.01540000
Accipiter poliocephalus	0.01290000
Accipiter poliogaster	0.05070000
Accipiter princeps	0.19660000
Accipiter rhodogaster	0.01570000
Accipiter rufitorques	0.01470000
Accipiter rufiventris	0.01320000
Accipiter soloensis	0.01390000
Accipiter striatus	0.01250000
Accipiter superciliosus	0.01550000
Accipiter sylvestris	0.01390000
Accipiter tachiro	0.01310000
Accipiter toussenelii	0.01640000
Accipiter trinotatus	0.01270000
Accipiter trivirgatus	0.01290000
Accipiter virgatus	0.01370000
Aceros nipalensis	0.13420000
Achaetops pycnopygius	0.01440000
Acridotheres albocinctus	0.01450000
Acridotheres burmannicus	0.01520000
Acridotheres cinereus	0.21390000
Acridotheres cristatellus	0.01710000
Acridotheres fuscus	0.01460000
Acridotheres ginginianus	0.01260000
Acridotheres grandis	0.01490000
Acridotheres javanicus	0.22460000
Acridotheres leucocephalus	0.01440000
Acridotheres melanopterus	0.86060000
Acridotheres tertius	0.86580000
Acridotheres tricolor	0.85710000
Acridotheres tristis	0.01480000
Acritillas indica	0.01620000
Acrobatornis fonsecai	0.22210000
Acrocephalus aequinoctialis	0.50130000
Acrocephalus agricola	0.01470000
Acrocephalus arundinaceus	0.01480000
Acrocephalus atyphus	0.01390000
Acrocephalus australis	0.01770000
Acrocephalus bistrigiceps	0.01560000
Acrocephalus brevipennis	0.50940000
Acrocephalus caffer	0.52080000
Acrocephalus concinens	0.01660000
Acrocephalus dumetorum	0.01460000
Acrocephalus familiaris	0.85430000
Acrocephalus gracilirostris	0.01670000
Acrocephalus griseldis	0.50190000
Acrocephalus hiwae	0.85950000
Acrocephalus kerearako	0.07820000
Acrocephalus longirostris	0.86180000
Acrocephalus melanopogon	0.01420000
Acrocephalus mendanae	0.01320000
Acrocephalus newtoni	0.01390000
Acrocephalus orientalis	0.01450000
Acrocephalus orinus	0.14410000
Acrocephalus paludicola	0.21240000
Acrocephalus palustris	0.01460000
Acrocephalus percernis	0.01370000
Acrocephalus rehsei	0.21680000
Acrocephalus rimitarae	0.85850000
Acrocephalus rodericanus	0.07610000
Acrocephalus rufescens	0.01740000
Acrocephalus schoenobaenus	0.01470000
Acrocephalus scirpaceus	0.01390000
Acrocephalus sechellensis	0.05310000
Acrocephalus sorghophilus	0.50510000
Acrocephalus stentoreus	0.01730000
Acrocephalus syrinx	0.01490000
Acrocephalus taiti	0.20020000
Acrocephalus tangorum	0.22080000
Acrocephalus vaughani	0.50240000
Acropternis orthonyx	0.01530000
Acryllium vulturinum	0.01350000
Actenoides bougainvillei	0.44320000
Actenoides capucinus	0.06960000
Actenoides concretus	0.06050000
Actenoides excelsus	0.50110000
Actenoides hombroni	0.20330000
Actenoides lindsayi	0.01560000
Actenoides monachus	0.06830000
Actenoides princeps	0.07210000
Actenoides regalis	0.20860000
Actinodura egertoni	0.01470000
Actinodura radcliffei	0.01350000
Actinodura ramsayi	0.01590000
Actinodura sodangorum	0.07430000
Actitis hypoleucos	0.01360000
Actitis macularius	0.01520000
Actophilornis africanus	0.01350000
Actophilornis albinucha	0.06760000
Adelomyia melanogenys	0.01610000
Aechmophorus clarkii	0.01230000
Aechmophorus occidentalis	0.01270000
Aegithalos annamensis	0.01490000
Aegithalos bonvaloti	0.01340000
Aegithalos caudatus	0.01430000
Aegithalos concinnus	0.01520000
Aegithalos fuliginosus	0.01430000
Aegithalos glaucogularis	0.01580000
Aegithalos iouschistos	0.01530000
Aegithalos iredalei	0.01280000
Aegithalos leucogenys	0.01420000
Aegithalos niveogularis	0.01400000
Aegithina lafresnayei	0.01630000
Aegithina nigrolutea	0.01510000
Aegithina tiphia	0.01550000
Aegithina viridissima	0.07530000
Aegolius acadicus	0.01500000
Aegolius funereus	0.01640000
Aegolius harrisii	0.01290000
Aegolius ridgwayi	0.01540000
Aegotheles affinis	0.14430000
Aegotheles albertisi	0.01570000
Aegotheles archboldi	0.01360000
Aegotheles bennettii	0.01610000
Aegotheles crinifrons	0.01360000
Aegotheles cristatus	0.01460000
Aegotheles insignis	0.01380000
Aegotheles savesi	0.85330000
Aegotheles tatei	0.14080000
Aegotheles wallacii	0.14140000
Aegypius monachus	0.03470000
Aepypodius arfakianus	0.01640000
Aepypodius bruijnii	0.45560000
Aerodramus bartschi	0.50940000
Aerodramus brevirostris	0.01430000
Aerodramus elaphrus	0.21970000
Aerodramus francicus	0.07290000
Aerodramus fuciphagus	0.01130000
Aerodramus hirundinaceus	0.01680000
Aerodramus infuscatus	0.01530000
Aerodramus inquietus	0.01370000
Aerodramus leucophaeus	0.01500000
Aerodramus maximus	0.01460000
Aerodramus mearnsi	0.01660000
Aerodramus nuditarsus	0.01410000
Aerodramus orientalis	0.13750000
Aerodramus papuensis	0.14160000
Aerodramus pelewensis	0.01540000
Aerodramus salangana	0.01390000
Aerodramus sawtelli	0.21000000
Aerodramus spodiopygius	0.01350000
Aerodramus terraereginae	0.01440000
Aerodramus unicolor	0.01460000
Aerodramus vanikorensis	0.01280000
Aerodramus vulcanorum	0.07590000
Aerodramus whiteheadi	0.14160000
Aeronautes andecolus	0.01680000
Aeronautes montivagus	0.01520000
Aeronautes saxatalis	0.01550000
Aethia cristatella	0.00950000
Aethia psittacula	0.01070000
Aethia pusilla	0.00970000
Aethia pygmaea	0.00930000
Aethopyga bella	0.01420000
Aethopyga boltoni	0.07370000
Aethopyga christinae	0.01610000
Aethopyga duyvenbodei	0.51200000
Aethopyga eximia	0.01670000
Aethopyga flagrans	0.01260000
Aethopyga gouldiae	0.01580000
Aethopyga guimarasensis	0.01610000
Aethopyga ignicauda	0.01430000
Aethopyga latouchii	0.01380000
Aethopyga linaraborae	0.07220000
Aethopyga magnifica	0.01390000
Aethopyga mystacalis	0.01480000
Aethopyga nipalensis	0.01260000
Aethopyga primigenia	0.07670000
Aethopyga pulcherrima	0.01670000
Aethopyga saturata	0.01480000
Aethopyga shelleyi	0.01270000
Aethopyga siparaja	0.01530000
Aethopyga temminckii	0.01450000
Aethopyga vigorsii	0.01470000
Afropavo congensis	0.15580000
