species	rate_e_mean	rate_e_lower	rate_e_upper
All taxa combined	0.00068609	0.00068558	0.00068661
Abeillia abeillei	0.00015282	0.00012765	0.00017614
Abroscopus albogularis	0.00017564	0.00015137	0.00020314
Abroscopus schisticeps	0.00015795	0.00013405	0.00018301
Abroscopus superciliaris	0.00015083	0.00012637	0.00017536
Aburria aburri	0.00050736	0.00046426	0.00055295
Acanthagenys rufogularis	0.00014276	0.00011898	0.00016567
Acanthidops bairdi	0.00013577	0.00011326	0.00015865
Acanthis flammea	0.00013760	0.00011563	0.00016044
Acanthisitta chloris	0.00012504	0.00010314	0.00014780
Acanthiza apicalis	0.00015580	0.00013192	0.00018101
Acanthiza chrysorrhoa	0.00014074	0.00011903	0.00016501
Acanthiza cinerea	0.00014370	0.00012089	0.00016751
Acanthiza ewingii	0.00014669	0.00012233	0.00016973
Acanthiza inornata	0.00014386	0.00012028	0.00016743
Acanthiza iredalei	0.00014055	0.00011591	0.00016265
Acanthiza katherina	0.00014779	0.00012389	0.00017147
Acanthiza lineata	0.00012025	0.00009912	0.00014120
Acanthiza murina	0.00014570	0.00012181	0.00016910
Acanthiza nana	0.00015666	0.00013343	0.00018160
Acanthiza pusilla	0.00013872	0.00011691	0.00016246
Acanthiza reguloides	0.00014665	0.00012245	0.00017018
Acanthiza robustirostris	0.00015387	0.00012994	0.00017880
Acanthiza uropygialis	0.00014570	0.00012171	0.00016888
Acanthoptila nipalensis	0.00013668	0.00011446	0.00015988
Acanthorhynchus superciliosus	0.00016089	0.00013550	0.00018497
Acanthorhynchus tenuirostris	0.00016516	0.00014150	0.00019215
Acanthornis magna	0.00013549	0.00011184	0.00015766
Accipiter albogularis	0.00013086	0.00010842	0.00015384
Accipiter badius	0.00013948	0.00011652	0.00016317
Accipiter bicolor	0.00012464	0.00010383	0.00014684
Accipiter brachyurus	0.00228522	0.00218816	0.00238559
Accipiter brevipes	0.00013261	0.00011037	0.00015549
Accipiter butleri	0.00205879	0.00196489	0.00214981
Accipiter castanilius	0.00016519	0.00013976	0.00019039
Accipiter cirrocephalus	0.00015687	0.00013381	0.00018298
Accipiter collaris	0.00062487	0.00057652	0.00067664
Accipiter cooperii	0.00013062	0.00010740	0.00015168
Accipiter erythrauchen	0.00070279	0.00065040	0.00075435
Accipiter erythropus	0.00015086	0.00012588	0.00017435
Accipiter fasciatus	0.00012338	0.00010306	0.00014591
Accipiter francesiae	0.00012047	0.00010072	0.00014220
Accipiter gentilis	0.00008804	0.00007031	0.00010684
Accipiter griseiceps	0.00012850	0.00010653	0.00015094
Accipiter gularis	0.00015051	0.00012739	0.00017537
Accipiter gundlachi	0.00559510	0.00542800	0.00575696
Accipiter haplochrous	0.00071597	0.00066457	0.00077036
Accipiter henicogrammus	0.00062890	0.00058130	0.00068051
Accipiter henstii	0.00053402	0.00049002	0.00058137
Accipiter hiogaster	0.00014368	0.00011957	0.00016607
Accipiter imitator	0.00228224	0.00218655	0.00238135
Accipiter luteoschistaceus	0.00226697	0.00216258	0.00235848
Accipiter madagascariensis	0.00077987	0.00072597	0.00083464
Accipiter melanochlamys	0.00013377	0.00011100	0.00015619
Accipiter melanoleucus	0.00011027	0.00009071	0.00013186
Accipiter meyerianus	0.00012460	0.00010341	0.00014749
Accipiter minullus	0.00013645	0.00011456	0.00016028
Accipiter nanus	0.00066239	0.00061125	0.00071222
Accipiter nisus	0.00011163	0.00009246	0.00013323
Accipiter novaehollandiae	0.00011039	0.00009044	0.00013129
Accipiter ovampensis	0.00015589	0.00013123	0.00018073
Accipiter poliocephalus	0.00013050	0.00010873	0.00015317
Accipiter poliogaster	0.00051784	0.00047156	0.00056099
Accipiter princeps	0.00215441	0.00205913	0.00224963
Accipiter rhodogaster	0.00015904	0.00013493	0.00018387
Accipiter rufitorques	0.00014876	0.00012472	0.00017252
Accipiter rufiventris	0.00013358	0.00011183	0.00015734
Accipiter soloensis	0.00014039	0.00011761	0.00016341
Accipiter striatus	0.00012623	0.00010434	0.00014807
Accipiter superciliosus	0.00015692	0.00013322	0.00018147
Accipiter sylvestris	0.00014080	0.00011788	0.00016509
Accipiter tachiro	0.00013228	0.00011000	0.00015414
Accipiter toussenelii	0.00016558	0.00014043	0.00019130
Accipiter trinotatus	0.00012844	0.00010629	0.00015145
Accipiter trivirgatus	0.00013057	0.00010929	0.00015386
Accipiter virgatus	0.00013874	0.00011463	0.00016059
Aceros nipalensis	0.00142584	0.00134763	0.00150027
Achaetops pycnopygius	0.00014549	0.00012279	0.00016950
Acridotheres albocinctus	0.00014657	0.00012346	0.00017134
Acridotheres burmannicus	0.00015398	0.00013066	0.00017920
Acridotheres cinereus	0.00236061	0.00226317	0.00246512
Acridotheres cristatellus	0.00017274	0.00014775	0.00019895
Acridotheres fuscus	0.00014773	0.00012393	0.00017189
Acridotheres ginginianus	0.00012745	0.00010560	0.00014973
Acridotheres grandis	0.00015071	0.00012624	0.00017496
Acridotheres javanicus	0.00249126	0.00239014	0.00259645
Acridotheres leucocephalus	0.00014592	0.00012303	0.00017071
Acridotheres melanopterus	0.02417771	0.02366821	0.02468838
Acridotheres tertius	0.02488683	0.02436942	0.02542134
Acridotheres tricolor	0.02403019	0.02350751	0.02452997
Acridotheres tristis	0.00014965	0.00012530	0.00017377
Acritillas indica	0.00016370	0.00013907	0.00018942
Acrobatornis fonsecai	0.00247071	0.00236763	0.00257405
Acrocephalus aequinoctialis	0.00702719	0.00683481	0.00722878
Acrocephalus agricola	0.00014892	0.00012535	0.00017348
Acrocephalus arundinaceus	0.00014974	0.00012632	0.00017334
Acrocephalus atyphus	0.00014045	0.00011681	0.00016280
Acrocephalus australis	0.00017904	0.00015226	0.00020441
Acrocephalus bistrigiceps	0.00015784	0.00013429	0.00018377
Acrocephalus brevipennis	0.00718237	0.00698413	0.00737718
Acrocephalus caffer	0.00738955	0.00720356	0.00760110
Acrocephalus concinens	0.00016764	0.00014274	0.00019364
Acrocephalus dumetorum	0.00014776	0.00012443	0.00017162
Acrocephalus familiaris	0.02370488	0.02321705	0.02423432
Acrocephalus gracilirostris	0.00016892	0.00014263	0.00019367
Acrocephalus griseldis	0.00703891	0.00683834	0.00723080
Acrocephalus hiwae	0.02445910	0.02392632	0.02496257
Acrocephalus kerearako	0.00080624	0.00074781	0.00086104
Acrocephalus longirostris	0.02420950	0.02369598	0.02472035
Acrocephalus melanopogon	0.00014375	0.00012038	0.00016786
Acrocephalus mendanae	0.00013330	0.00011107	0.00015564
Acrocephalus newtoni	0.00014074	0.00011724	0.00016393
Acrocephalus orientalis	0.00014680	0.00012240	0.00016955
Acrocephalus orinus	0.00155752	0.00147606	0.00163630
Acrocephalus paludicola	0.00234543	0.00224714	0.00244784
Acrocephalus palustris	0.00014817	0.00012449	0.00017250
Acrocephalus percernis	0.00013855	0.00011494	0.00016127
Acrocephalus rehsei	0.00239868	0.00229818	0.00249858
Acrocephalus rimitarae	0.02425423	0.02375320	0.02479730
Acrocephalus rodericanus	0.00078480	0.00072857	0.00084002
Acrocephalus rufescens	0.00017606	0.00015044	0.00020186
Acrocephalus schoenobaenus	0.00014879	0.00012425	0.00017350
Acrocephalus scirpaceus	0.00014082	0.00011797	0.00016480
Acrocephalus sechellensis	0.00054245	0.00049659	0.00058772
Acrocephalus sorghophilus	0.00710074	0.00690952	0.00729677
Acrocephalus stentoreus	0.00017487	0.00014855	0.00020034
Acrocephalus syrinx	0.00015069	0.00012670	0.00017525
Acrocephalus taiti	0.00219489	0.00209973	0.00228936
Acrocephalus tangorum	0.00244251	0.00234134	0.00254428
Acrocephalus vaughani	0.00702577	0.00683044	0.00721602
Acropternis orthonyx	0.00015465	0.00013125	0.00017953
Acryllium vulturinum	0.00013675	0.00011323	0.00015854
Actenoides bougainvillei	0.00586036	0.00568626	0.00603147
Actenoides capucinus	0.00071591	0.00066096	0.00076838
Actenoides concretus	0.00061778	0.00057110	0.00066871
Actenoides excelsus	0.00699718	0.00680464	0.00719182
Actenoides hombroni	0.00223009	0.00213475	0.00232565
Actenoides lindsayi	0.00015768	0.00013284	0.00018313
Actenoides monachus	0.00070144	0.00065186	0.00075619
Actenoides princeps	0.00074225	0.00068721	0.00079485
Actenoides regalis	0.00229581	0.00219899	0.00239333
Actinodura egertoni	0.00014856	0.00012527	0.00017235
Actinodura radcliffei	0.00013652	0.00011359	0.00015915
Actinodura ramsayi	0.00016096	0.00013774	0.00018711
Actinodura sodangorum	0.00076555	0.00070935	0.00082093
Actitis hypoleucos	0.00013751	0.00011487	0.00016129
Actitis macularius	0.00015358	0.00013017	0.00017781
Actophilornis africanus	0.00013655	0.00011398	0.00015943
Actophilornis albinucha	0.00069436	0.00064187	0.00074622
Adelomyia melanogenys	0.00016274	0.00013771	0.00018672
Aechmophorus clarkii	0.00012451	0.00010274	0.00014640
Aechmophorus occidentalis	0.00012846	0.00010659	0.00015053
Aegithalos annamensis	0.00015085	0.00012707	0.00017479
Aegithalos bonvaloti	0.00013566	0.00011356	0.00015914
Aegithalos caudatus	0.00014435	0.00012207	0.00016810
