year	LC	NT	VU	EN	CR	EX
0	8432	1036	803	465	225	0
1	8423	1040	805	468	225	1
2	8414	1044	806	471	225	2
3	8404	1048	807	473	225	3
4	8395	1052	809	476	226	3
5	8386	1056	810	479	226	4
6	8377	1060	812	481	226	5
7	8368	1064	813	484	226	6
8	8358	1068	815	487	227	7
9	8349	1071	816	489	227	8
10	8341	1075	818	492	227	9
11	8332	1079	819	494	228	10
12	8323	1082	821	497	228	10
13	8314	1086	822	499	228	11
14	8305	1089	824	502	229	12
15	8296	1093	825	504	229	13
16	8288	1096	827	506	229	14
17	8279	1100	829	508	230	15
18	8271	1103	830	511	230	16
19	8262	1107	832	513	230	17
20	8254	1110	834	515	231	18
21	8245	1113	835	517	231	19
22	8237	1116	837	520	231	20
23	8228	1120	838	522	232	21
24	8220	1123	840	524	232	22
25	8212	1126	842	526	232	23
26	8204	1129	843	528	233	24
27	8196	1132	845	531	233	25
28	8187	1135	847	533	234	26
29	8179	1138	848	535	234	27
30	8171	1141	850	537	234	28
31	8163	1144	852	539	235	29
32	8155	1147	853	541	235	30
33	8147	1149	855	543	235	31
34	8139	1152	857	545	236	32
35	8131	1155	859	547	236	33
36	8123	1158	860	549	237	34
37	8116	1160	862	551	237	35
38	8108	1163	864	552	237	37
39	8100	1165	865	554	238	38
40	8093	1168	867	556	238	39
41	8085	1171	869	558	239	40
42	8077	1173	871	560	239	41
43	8070	1176	872	562	240	42
44	8062	1178	874	564	240	43
45	8055	1180	876	565	240	44
46	8048	1183	877	567	241	46
47	8040	1185	879	569	241	47
48	8033	1188	881	571	242	48
49	8026	1190	882	572	242	49
50	8018	1192	884	574	242	50
51	8011	1194	886	576	243	51
52	8004	1197	887	577	243	52
53	7997	1199	889	579	244	54
54	7989	1201	891	581	244	55
55	7982	1203	892	582	244	56
56	7975	1206	894	584	245	57
57	7968	1208	896	586	245	58
58	7961	1210	897	587	246	60
59	7954	1212	899	589	246	61
60	7947	1214	900	591	246	62
61	7940	1216	902	592	247	63
62	7934	1218	904	594	247	65
63	7927	1220	905	596	248	66
64	7920	1222	907	597	248	67
65	7913	1224	908	599	248	68
66	7906	1226	910	600	249	70
67	7900	1228	912	602	249	71
68	7893	1230	913	603	250	72
69	7886	1231	915	605	250	74
70	7880	1233	916	606	251	75
71	7873	1235	918	608	251	76
72	7866	1237	919	609	251	77
73	7860	1239	921	611	252	79
74	7853	1241	922	612	252	80
75	7847	1242	924	614	253	81
76	7840	1244	926	615	253	83
77	7834	1246	927	617	253	84
78	7828	1247	929	618	254	85
79	7821	1249	930	619	254	87
80	7815	1251	932	621	255	88
81	7809	1252	933	622	255	89
82	7802	1254	935	624	255	91
83	7796	1256	936	625	256	92
84	7790	1257	938	626	256	93
85	7784	1259	939	628	257	95
86	7778	1260	941	629	257	96
87	7772	1262	942	630	258	98
88	7766	1263	944	632	258	99
89	7759	1265	945	633	258	100
90	7753	1266	947	634	259	102
91	7747	1268	948	635	259	103
92	7741	1269	950	637	259	105
93	7735	1271	951	638	260	106
94	7729	1272	953	639	260	107
95	7723	1273	954	641	261	109
96	7718	1275	955	642	261	110
97	7712	1276	957	643	261	112
98	7706	1278	958	645	262	113
99	7700	1279	959	646	262	115
100	7694	1280	961	647	263	116
