species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2019	2011	2010	2006	2007	2005	2002	2014	2001	2003
Rhea americana	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Casuarius casuarius	VU	VU	VU	VU	VU	VU	LR/lc	LC	LC	VU													
Casuarius bennetti	LC	NT	NT	NT	LR/nt	LR/nt	LR/lc				LC	NT											
Casuarius unappendiculatus	VU	VU	VU	VU	VU	VU	LR/lc		LC	VU													
Dromaius novaehollandiae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Apteryx australis	VU	VU	VU	VU	VU	NR	NR			VU		VU											
Apteryx owenii	NT	NT	NT	VU	VU	VU	T			VU													
Apteryx haastii	VU	VU	VU	VU	VU	VU	LR/lc			VU													
Tinamus tao	VU	VU	LC	LC	LR/lc	LR/lc	LR/lc						LC	VU									
Tinamus solitarius	NT	NT	NT	NT	LR/nt	LR/nt	T							NT									
Tinamus osgoodi	VU	VU	VU	VU	VU	DD	T			DD				VU	VU								
Tinamus major	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tinamus guttatus	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC	NT									
Nothocercus bonapartei	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Nothocercus julius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Nothocercus nigrocapillus	VU	VU	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Crypturellus berlepschi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus cinereus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus soui	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus ptaritepui	LC	LC	LC	LC	LR/lc	VU	LR/lc			VU			LC										
Crypturellus obsoletus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus undulatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus transfasciatus	NT	NT	NT	NT	LR/nt	LR/nt	NT																
Crypturellus strigulosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus boucardi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus kerriae	VU	VU	VU	VU	VU	VU	LR/lc			VU													
Crypturellus duidae	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus noctivagus	NT	NT	NT	NT	LR/nt	LR/nt	T																
Crypturellus atrocapillus	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus variegatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus brevirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Crypturellus bartletti	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus parvirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crypturellus casiquiare	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
