species	EN_p_ext_0
Abeillia abeillei	0.011095167095
Abroscopus albogularis	0.011095167095
Abroscopus schisticeps	0.011095167095
Abroscopus superciliaris	0.011095167095
Aburria aburri	0.005997405023
Acanthagenys rufogularis	0.011095167095
Acanthidops bairdi	0.011095167095
Acanthis flammea	0.011095167095
Acanthisitta chloris	0.011095167095
Acanthiza apicalis	0.011095167095
Acanthiza chrysorrhoa	0.011095167095
Acanthiza cinerea	0.011095167095
Acanthiza ewingii	0.011095167095
Acanthiza inornata	0.011095167095
Acanthiza iredalei	0.011095167095
Acanthiza katherina	0.011095167095
Acanthiza lineata	0.010642723864
Acanthiza murina	0.011095167095
Acanthiza nana	0.011095167095
Acanthiza pusilla	0.009510951069
Acanthiza reguloides	0.011095167095
Acanthiza robustirostris	0.011095167095
Acanthiza uropygialis	0.011095167095
Acanthoptila nipalensis	0.011095167095
Acanthorhynchus superciliosus	0.011095167095
Acanthorhynchus tenuirostris	0.011095167095
Acanthornis magna	0.011095167095
Accipiter albogularis	0.009745641343
Accipiter badius	0.011095167095
Accipiter bicolor	0.009157709452
Accipiter brachyurus	0.011095167095
Accipiter brevipes	0.011095167095
Accipiter butleri	0.009061026426
Accipiter castanilius	0.011095167095
Accipiter cirrocephalus	0.011095167095
Accipiter collaris	0.009137085597
Accipiter cooperii	0.008006091526
Accipiter erythrauchen	0.010670714999
Accipiter erythropus	0.011095167095
Accipiter fasciatus	0.008656781579
Accipiter francesiae	0.011095167095
Accipiter gentilis	0.005945471545
Accipiter griseiceps	0.009582425346
Accipiter gularis	0.011095167095
Accipiter gundlachi	0.008397780766
Accipiter haplochrous	0.010592205332
Accipiter henicogrammus	0.009105394447
Accipiter henstii	0.006417391324
Accipiter hiogaster	0.011095167095
Accipiter imitator	0.009916716740
Accipiter luteoschistaceus	0.010188383439
Accipiter madagascariensis	0.010794601164
Accipiter melanochlamys	0.009572149036
Accipiter melanoleucus	0.007093672313
Accipiter meyerianus	0.007770510557
Accipiter minullus	0.011095167095
Accipiter nanus	0.009428568384
Accipiter nisus	0.008027693124
Accipiter novaehollandiae	0.008819297889
Accipiter ovampensis	0.010820773730
Accipiter poliocephalus	0.008336601916
Accipiter poliogaster	0.006883598571
Accipiter princeps	0.009357400197
Accipiter rhodogaster	0.010495060979
Accipiter rufitorques	0.009938801057
Accipiter rufiventris	0.010786774065
Accipiter soloensis	0.011062165387
Accipiter striatus	0.008121184903
Accipiter superciliosus	0.011095167095
Accipiter sylvestris	0.009943229729
Accipiter tachiro	0.008555549729
Accipiter toussenelii	0.010559624678
Accipiter trinotatus	0.011095167095
Accipiter trivirgatus	0.008856049481
Accipiter virgatus	0.011095167095
Aceros nipalensis	0.004661774135
Achaetops pycnopygius	0.011095167095
Acridotheres albocinctus	0.011095167095
Acridotheres burmannicus	0.011095167095
Acridotheres cinereus	0.011095167095
Acridotheres cristatellus	0.011095167095
Acridotheres fuscus	0.011095167095
Acridotheres ginginianus	0.011095167095
Acridotheres grandis	0.011095167095
Acridotheres javanicus	0.011095167095
Acridotheres leucocephalus	0.011095167095
Acridotheres melanopterus	0.011095167095
Acridotheres tertius	0.011095167095
Acridotheres tricolor	0.011095167095
Acridotheres tristis	0.011095167095
Acritillas indica	0.011095167095
Acrobatornis fonsecai	0.011095167095
Acrocephalus aequinoctialis	0.011095167095
Acrocephalus agricola	0.011095167095
Acrocephalus arundinaceus	0.011095167095
Acrocephalus atyphus	0.011095167095
Acrocephalus australis	0.011095167095
Acrocephalus bistrigiceps	0.011095167095
Acrocephalus brevipennis	0.011095167095
Acrocephalus caffer	0.011095167095
Acrocephalus concinens	0.011095167095
Acrocephalus dumetorum	0.011095167095
Acrocephalus familiaris	0.011095167095
Acrocephalus gracilirostris	0.011095167095
Acrocephalus griseldis	0.011095167095
Acrocephalus hiwae	0.011095167095
Acrocephalus kerearako	0.011095167095
Acrocephalus longirostris	0.011095167095
Acrocephalus melanopogon	0.011095167095
Acrocephalus mendanae	0.011095167095
Acrocephalus newtoni	0.011095167095
Acrocephalus orientalis	0.011095167095
Acrocephalus orinus	0.011095167095
Acrocephalus paludicola	0.011095167095
Acrocephalus palustris	0.011095167095
Acrocephalus percernis	0.011095167095
Acrocephalus rehsei	0.011095167095
Acrocephalus rimitarae	0.011095167095
Acrocephalus rodericanus	0.011095167095
Acrocephalus rufescens	0.011095167095
Acrocephalus schoenobaenus	0.011095167095
Acrocephalus scirpaceus	0.011095167095
Acrocephalus sechellensis	0.006624085530
Acrocephalus sorghophilus	0.011095167095
Acrocephalus stentoreus	0.011095167095
Acrocephalus syrinx	0.011095167095
Acrocephalus taiti	0.009669625382
Acrocephalus tangorum	0.011095167095
Acrocephalus vaughani	0.011095167095
Acropternis orthonyx	0.011095167095
Acryllium vulturinum	0.011095167095
Actenoides bougainvillei	0.008973575014
Actenoides capucinus	0.011095167095
Actenoides concretus	0.008565401854
Actenoides excelsus	0.011095167095
Actenoides hombroni	0.010116786991
Actenoides lindsayi	0.010696289559
Actenoides monachus	0.010087061260
Actenoides princeps	0.011095167095
Actenoides regalis	0.011095167095
