status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00137873	0.00164091	0.00132344	0.00147062	0.00149707	0.00143239	0.00127686	0.00122977	0.00146538	0.00138097	0.00136413	0.00131518	0.00135126	0.00134696	0.00168534	0.00142176	0.00133202	0.00127992	0.00133473	0.00131417	0.00130137	0.00131798	0.00153844	0.00155982	0.00142959	0.00145311	0.00138528	0.00128552	0.00148654	0.00133507	0.00137309	0.00127877	0.00147365	0.00139028	0.00149253	0.00155238	0.00141682	0.00132984	0.00119420	0.00151249	0.00155237	0.00153802	0.00136722	0.00151589	0.00132794	0.00139318	0.00134493	0.00132046	0.00147031	0.00137945	0.00130555	0.00136416	0.00133657	0.00124838	0.00129771	0.00144459	0.00148332	0.00123650	0.00147168	0.00133514	0.00130611	0.00141709	0.00139915	0.00150586	0.00147345	0.00141247	0.00126730	0.00146451	0.00140378	0.00141336	0.00139520	0.00166243	0.00138918	0.00135172	0.00139360	0.00124213	0.00144724	0.00130126	0.00140020	0.00151057	0.00141628	0.00144722	0.00141304	0.00143214	0.00147800	0.00123034	0.00155117	0.00155210	0.00140876	0.00135854	0.00139340	0.00147562	0.00139240	0.00128615	0.00147410	0.00119536	0.00133788	0.00138292	0.00144976	0.00130228
LC->VU	0.00068000	0.00058876	0.00053970	0.00054654	0.00052120	0.00054856	0.00053794	0.00061061	0.00058236	0.00054526	0.00059947	0.00049047	0.00048168	0.00068826	0.00055782	0.00052690	0.00041291	0.00048559	0.00053637	0.00062238	0.00062563	0.00053394	0.00053152	0.00057786	0.00044710	0.00054194	0.00052408	0.00060591	0.00057658	0.00056794	0.00074474	0.00051583	0.00050003	0.00063077	0.00054818	0.00059922	0.00056312	0.00053679	0.00072181	0.00072169	0.00056752	0.00057733	0.00058100	0.00061891	0.00044974	0.00065375	0.00052881	0.00061232	0.00056374	0.00062613	0.00059075	0.00061590	0.00053808	0.00053242	0.00067635	0.00065880	0.00055695	0.00051637	0.00056843	0.00060234	0.00067293	0.00062281	0.00052576	0.00050689	0.00056710	0.00067488	0.00067231	0.00060435	0.00064283	0.00055560	0.00058405	0.00068216	0.00061476	0.00057573	0.00059628	0.00055594	0.00050507	0.00058149	0.00052954	0.00055846	0.00061846	0.00074038	0.00057489	0.00048885	0.00057685	0.00047936	0.00062582	0.00051515	0.00063207	0.00065688	0.00058668	0.00058352	0.00068114	0.00053879	0.00062836	0.00068539	0.00064739	0.00066668	0.00058710	0.00052384
LC->EN	0.00018104	0.00013296	0.00017691	0.00015606	0.00012987	0.00010108	0.00013569	0.00009662	0.00019478	0.00019439	0.00015310	0.00011316	0.00018038	0.00014726	0.00013893	0.00009693	0.00011984	0.00018796	0.00013563	0.00015381	0.00012374	0.00014106	0.00011731	0.00013077	0.00015757	0.00011373	0.00013368	0.00016871	0.00015191	0.00013701	0.00015294	0.00019847	0.00011116	0.00012099	0.00018550	0.00011577	0.00008976	0.00012890	0.00015368	0.00016575	0.00011176	0.00015506	0.00013062	0.00014691	0.00017917	0.00009315	0.00021085	0.00011951	0.00016544	0.00012053	0.00012888	0.00010528	0.00023304	0.00013633	0.00010664	0.00012300	0.00017248	0.00007500	0.00013963	0.00008374	0.00016284	0.00013153	0.00013754	0.00012768	0.00020331	0.00021510	0.00016870	0.00014969	0.00011157	0.00011697	0.00010344	0.00012612	0.00012266	0.00013274	0.00016160	0.00013946	0.00015656	0.00016248	0.00011819	0.00014093	0.00014589	0.00017299	0.00010998	0.00013868	0.00008427	0.00013739	0.00022593	0.00012710	0.00008506	0.00017249	0.00017726	0.00013256	0.00013369	0.00012710	0.00013696	0.00008461	0.00015834	0.00019400	0.00014683	0.00017291
LC->CR	0.00002062	0.00005370	0.00002605	0.00001180	0.00002599	0.00002714	0.00001090	0.00004739	0.00002270	0.00002074	0.00001975	0.00001775	0.00002470	0.00004969	0.00000626	0.00001964	0.00001606	0.00002371	0.00003056	0.00000622	0.00001356	0.00003308	0.00003592	0.00001520	0.00002401	0.00002345	0.00007120	0.00001059	0.00002961	0.00001738	0.00004771	0.00003376	0.00001447	0.00001753	0.00001722	0.00001901	0.00002940	0.00003945	0.00002160	0.00002483	0.00001096	0.00002330	0.00002457	0.00001958	0.00006371	0.00002590	0.00002573	0.00002137	0.00002498	0.00001855	0.00001484	0.00001797	0.00006727	0.00002551	0.00001566	0.00002286	0.00000646	0.00001319	0.00002476	0.00003748	0.00002481	0.00004433	0.00002493	0.00003881	0.00006688	0.00004121	0.00002911	0.00004503	0.00001838	0.00005389	0.00004604	0.00001691	0.00001459	0.00002222	0.00003230	0.00005117	0.00002567	0.00002056	0.00003153	0.00005628	0.00000779	0.00000335	0.00003410	0.00005381	0.00004166	0.00002672	0.00000573	0.00001053	0.00001907	0.00002067	0.00003891	0.00003475	0.00002191	0.00003567	0.00002374	0.00000856	0.00000896	0.00004612	0.00002478	0.00005279
LC->DD	0.00000545	0.00000820	0.00000747	0.00004360	0.00001307	0.00000569	0.00002205	0.00002361	0.00000536	0.00001992	0.00001381	0.00001946	0.00003142	0.00002742	0.00000270	0.00000924	0.00003151	0.00003963	0.00001946	0.00000580	0.00002862	0.00002780	0.00000632	0.00000662	0.00001502	0.00003027	0.00001691	0.00000507	0.00002497	0.00001033	0.00001748	0.00000400	0.00000185	0.00001085	0.00000848	0.00001084	0.00000378	0.00001848	0.00000942	0.00001443	0.00001873	0.00001629	0.00001701	0.00001744	0.00001858	0.00002643	0.00001556	0.00001305	0.00001367	0.00001068	0.00000668	0.00001941	0.00001992	0.00003350	0.00002452	0.00001595	0.00000503	0.00003139	0.00004069	0.00002457	0.00001308	0.00001969	0.00004374	0.00000271	0.00000271	0.00002044	0.00002550	0.00001279	0.00000849	0.00002477	0.00000101	0.00000874	0.00000745	0.00002429	0.00004030	0.00000302	0.00000286	0.00001558	0.00001048	0.00000880	0.00002751	0.00001558	0.00000406	0.00005173	0.00001282	0.00002381	0.00001710	0.00001603	0.00000380	0.00000421	0.00000489	0.00000948	0.00000187	0.00000368	0.00000770	0.00000585	0.00000369	0.00000449	0.00000339	0.00001375
LC->EX	0.00000236	0.00002344	0.00000043	0.00000047	0.00001301	0.00000155	0.00000058	0.00000217	0.00000322	0.00000488	0.00002643	0.00003797	0.00002481	0.00000540	0.00000312	0.00003158	0.00000175	0.00000336	0.00000348	0.00000185	0.00000077	0.00000497	0.00003116	0.00000323	0.00000066	0.00001685	0.00000259	0.00000573	0.00000632	0.00001103	0.00001123	0.00000255	0.00000105	0.00000376	0.00000310	0.00000389	0.00000022	0.00000459	0.00000500	0.00000314	0.00001037	0.00000376	0.00000586	0.00001161	0.00000149	0.00000131	0.00000064	0.00003842	0.00000082	0.00000661	0.00001598	0.00000307	0.00002266	0.00000216	0.00000125	0.00000470	0.00001721	0.00000403	0.00002438	0.00001356	0.00000599	0.00000037	0.00000076	0.00000567	0.00001260	0.00002449	0.00000062	0.00000242	0.00000194	0.00002998	0.00000619	0.00000190	0.00000193	0.00000759	0.00000993	0.00000510	0.00000149	0.00001203	0.00001891	0.00000015	0.00000043	0.00000055	0.00000556	0.00000078	0.00000887	0.00000034	0.00004980	0.00000482	0.00000256	0.00000153	0.00001088	0.00000063	0.00000375	0.00000034	0.00001230	0.00000122	0.00000020	0.00000511	0.00000178	0.00000432
NT->LC	0.00874291	0.00627295	0.00663580	0.00701032	0.00670666	0.00744252	0.00810705	0.00700690	0.00716642	0.00798616	0.00672179	0.00693522	0.00704522	0.00821994	0.00677768	0.00791073	0.00736091	0.00710549	0.00795618	0.00698612	0.00847033	0.00686370	0.00634406	0.00647562	0.00743458	0.00753269	0.00769268	0.00639725	0.00707148	0.00710378	0.00727455	0.00711879	0.00793722	0.00784514	0.00624445	0.00721921	0.00615884	0.00642329	0.00636707	0.00606605	0.00696443	0.00689917	0.00729599	0.00653782	0.00652664	0.00779367	0.00711549	0.00708478	0.00693056	0.00671609	0.00836942	0.00566813	0.00695929	0.00837663	0.00600161	0.00592685	0.00594990	0.00654521	0.00706363	0.00671387	0.00653743	0.00669274	0.00811374	0.00630713	0.00730727	0.00714252	0.00783145	0.00647096	0.00687545	0.00565949	0.00711678	0.00720262	0.00773405	0.00675207	0.00720507	0.00739473	0.00685404	0.00655448	0.00715940	0.00708514	0.00813682	0.00816345	0.00782940	0.00714111	0.00670297	0.00809972	0.00647763	0.00741717	0.00557676	0.00663534	0.00794615	0.00709289	0.00561877	0.00635699	0.00695416	0.00654716	0.00763089	0.00616257	0.00594179	0.00577983
NT->VU	0.00484586	0.00544526	0.00487123	0.00458678	0.00473730	0.00433847	0.00399067	0.00412115	0.00499240	0.00489342	0.00434308	0.00542217	0.00487043	0.00534259	0.00515784	0.00500425	0.00383814	0.00551913	0.00533347	0.00442058	0.00422837	0.00483655	0.00541987	0.00408915	0.00480638	0.00479267	0.00500034	0.00533551	0.00464750	0.00412368	0.00517513	0.00503567	0.00421611	0.00508268	0.00452687	0.00512447	0.00522847	0.00596978	0.00427172	0.00491906	0.00467532	0.00464627	0.00423729	0.00456345	0.00360472	0.00448434	0.00422261	0.00481650	0.00545385	0.00512365	0.00584692	0.00446175	0.00498711	0.00448971	0.00376182	0.00429790	0.00583156	0.00483458	0.00480293	0.00614288	0.00491018	0.00469913	0.00536330	0.00550994	0.00440803	0.00468141	0.00492721	0.00516675	0.00422865	0.00440111	0.00507060	0.00556748	0.00480442	0.00461386	0.00441710	0.00466274	0.00556295	0.00469802	0.00556162	0.00450261	0.00516711	0.00463186	0.00492761	0.00448102	0.00485435	0.00390296	0.00538720	0.00591822	0.00510867	0.00473538	0.00446263	0.00377786	0.00409152	0.00522589	0.00471676	0.00511644	0.00464536	0.00529063	0.00491484	0.00414452
NT->EN	0.00194042	0.00166624	0.00150552	0.00108735	0.00181091	0.00163902	0.00137927	0.00134349	0.00137285	0.00141176	0.00118594	0.00191702	0.00207109	0.00114312	0.00163269	0.00140711	0.00126689	0.00149859	0.00157757	0.00150052	0.00134154	0.00145992	0.00131778	0.00138456	0.00134539	0.00179146	0.00160152	0.00190791	0.00116310	0.00151643	0.00176128	0.00143335	0.00124849	0.00165075	0.00138052	0.00131846	0.00223136	0.00099487	0.00179921	0.00177087	0.00151379	0.00128981	0.00132969	0.00160745	0.00177754	0.00237510	0.00159067	0.00205142	0.00131293	0.00165787	0.00127796	0.00170934	0.00130472	0.00138551	0.00139332	0.00148957	0.00153591	0.00097325	0.00176104	0.00185490	0.00136488	0.00102441	0.00225506	0.00132634	0.00131756	0.00204449	0.00156865	0.00184841	0.00211299	0.00141151	0.00168091	0.00146883	0.00116716	0.00142661	0.00174363	0.00154922	0.00163241	0.00177182	0.00093396	0.00139020	0.00144357	0.00200928	0.00150309	0.00188497	0.00160016	0.00205840	0.00143495	0.00169516	0.00220421	0.00133319	0.00154138	0.00098947	0.00150244	0.00172107	0.00142802	0.00142533	0.00175035	0.00157676	0.00114112	0.00164032
NT->CR	0.00019196	0.00029848	0.00012031	0.00041026	0.00027805	0.00019733	0.00041072	0.00016548	0.00006460	0.00044558	0.00010251	0.00034454	0.00024006	0.00044795	0.00031248	0.00030475	0.00012819	0.00026532	0.00041673	0.00032199	0.00006300	0.00025590	0.00009391	0.00032260	0.00028138	0.00052310	0.00014899	0.00023415	0.00027578	0.00031117	0.00044407	0.00018221	0.00026789	0.00041697	0.00006824	0.00018954	0.00034481	0.00018795	0.00023514	0.00040174	0.00023397	0.00024433	0.00036172	0.00027674	0.00006814	0.00029726	0.00045401	0.00032013	0.00013207	0.00032597	0.00060334	0.00022539	0.00016349	0.00026280	0.00028499	0.00019207	0.00008058	0.00033742	0.00014241	0.00013293	0.00014506	0.00016502	0.00005858	0.00018718	0.00035863	0.00025072	0.00041203	0.00042971	0.00019827	0.00044776	0.00010003	0.00018998	0.00018093	0.00011478	0.00043106	0.00038269	0.00013778	0.00010816	0.00014239	0.00011785	0.00006578	0.00063186	0.00018081	0.00007359	0.00032597	0.00007697	0.00017542	0.00011547	0.00024002	0.00011909	0.00014699	0.00040630	0.00012660	0.00011973	0.00008321	0.00008848	0.00024547	0.00015235	0.00032820	0.00025318
