year	LC	NT	VU	EN	CR	EX
0	8432	1036	803	465	224	0
1	8423	1040	804	466	220	8
2	8413	1045	806	467	216	16
3	8403	1049	807	468	211	23
4	8393	1053	808	468	207	31
5	8384	1057	809	469	203	39
6	8374	1061	810	470	199	46
7	8365	1065	811	470	196	54
8	8355	1069	813	470	192	62
9	8346	1073	814	471	188	69
10	8337	1077	815	471	185	77
11	8327	1080	816	471	182	84
12	8318	1084	817	471	179	92
13	8309	1087	818	471	176	99
14	8300	1091	819	471	173	107
15	8291	1094	820	471	170	114
16	8282	1098	821	471	167	122
17	8273	1101	822	471	164	129
18	8264	1105	823	471	162	136
19	8255	1108	824	471	159	144
20	8247	1111	825	470	157	151
21	8238	1114	826	470	154	158
22	8229	1117	827	470	152	166
23	8221	1120	828	469	150	173
24	8212	1124	829	469	148	180
25	8203	1127	829	469	145	188
26	8195	1129	830	468	143	195
27	8186	1132	831	468	142	202
28	8178	1135	832	467	140	209
29	8170	1138	833	467	138	216
30	8162	1140	834	466	136	223
31	8153	1143	834	466	134	230
32	8145	1145	835	465	133	238
33	8137	1148	836	464	131	245
34	8129	1151	836	464	129	252
35	8121	1153	837	463	128	259
36	8113	1155	838	463	126	266
37	8105	1158	838	462	125	273
38	8097	1160	839	461	124	280
39	8089	1162	840	461	122	287
40	8081	1164	840	460	121	294
41	8074	1167	841	459	120	301
42	8066	1169	842	458	118	308
43	8058	1171	842	458	117	315
44	8051	1173	843	457	116	322
45	8043	1175	843	456	115	329
46	8035	1177	844	455	114	336
47	8028	1179	844	455	113	343
48	8020	1181	845	454	112	350
49	8013	1183	845	453	111	357
50	8005	1184	845	453	110	364
51	7998	1186	846	452	109	371
52	7990	1188	846	451	108	378
53	7983	1190	846	450	107	385
54	7976	1191	847	450	106	392
55	7968	1193	847	449	105	399
56	7961	1195	848	448	104	406
57	7954	1196	848	447	103	412
58	7947	1198	848	447	103	419
59	7940	1199	848	446	102	426
60	7932	1201	848	445	101	433
61	7925	1202	849	444	100	440
62	7918	1204	849	443	100	447
63	7911	1205	849	443	99	454
64	7904	1206	849	442	98	461
65	7897	1208	849	441	98	468
66	7890	1209	849	441	97	475
67	7883	1210	849	440	96	481
68	7877	1212	850	439	96	488
69	7870	1213	850	438	95	495
70	7863	1214	850	438	95	502
71	7856	1215	850	437	94	509
72	7849	1216	850	436	94	516
73	7842	1217	850	435	93	523
74	7836	1218	850	435	93	529
75	7829	1219	850	434	92	536
76	7822	1220	850	433	92	543
77	7816	1221	850	433	91	550
78	7809	1222	850	432	91	557
79	7802	1223	850	431	90	564
80	7796	1224	850	430	90	571
81	7789	1225	850	430	90	577
82	7782	1226	850	429	89	584
83	7776	1227	850	428	89	591
84	7769	1228	850	428	89	598
85	7763	1228	850	427	88	605
86	7756	1229	850	426	88	611
87	7750	1230	849	426	88	618
88	7743	1231	849	425	87	625
89	7737	1231	849	424	87	632
90	7731	1232	849	424	86	639
91	7724	1233	849	423	86	646
92	7718	1233	849	423	86	652
93	7711	1234	849	422	86	659
94	7705	1234	849	421	85	666
95	7699	1235	849	421	85	673
96	7693	1235	848	420	85	680
97	7686	1236	848	420	84	687
98	7680	1236	848	419	84	693
99	7674	1237	848	418	84	700
100	7667	1237	848	418	84	707
