species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Abeillia abeillei	0.00002217	0.00001331	0.00003163	0.00210000
Abroscopus albogularis	0.00001519	0.00000806	0.00002327	0.00140000
Abroscopus schisticeps	0.00002513	0.00001565	0.00003511	0.00240000
Abroscopus superciliaris	0.00002088	0.00001281	0.00002957	0.00200000
Aburria aburri	0.00011968	0.00009844	0.00014122	0.01180000
Acanthagenys rufogularis	0.00002133	0.00001271	0.00003077	0.00200000
Acanthidops bairdi	0.00002483	0.00001533	0.00003487	0.00240000
Acanthis flammea	0.00001810	0.00001020	0.00002652	0.00170000
Acanthisitta chloris	0.00002288	0.00001395	0.00003214	0.00220000
Acanthiza apicalis	0.00001813	0.00001027	0.00002686	0.00170000
Acanthiza chrysorrhoa	0.00002007	0.00001169	0.00002910	0.00190000
Acanthiza cinerea	0.00003104	0.00001974	0.00004134	0.00300000
Acanthiza ewingii	0.00002205	0.00001291	0.00003150	0.00220000
Acanthiza inornata	0.00002387	0.00001521	0.00003370	0.00230000
Acanthiza iredalei	0.00002913	0.00001877	0.00004001	0.00280000
Acanthiza katherina	0.00002001	0.00001174	0.00002898	0.00190000
Acanthiza lineata	0.00003601	0.00002474	0.00004804	0.00350000
Acanthiza murina	0.00002719	0.00001705	0.00003725	0.00260000
Acanthiza nana	0.00002608	0.00001669	0.00003597	0.00250000
Acanthiza pusilla	0.00003088	0.00002013	0.00004199	0.00300000
Acanthiza reguloides	0.00001801	0.00000977	0.00002660	0.00170000
Acanthiza robustirostris	0.00002310	0.00001419	0.00003245	0.00220000
Acanthiza uropygialis	0.00002511	0.00001539	0.00003479	0.00240000
Acanthoptila nipalensis	0.00001408	0.00000685	0.00002130	0.00130000
Acanthorhynchus superciliosus	0.00002199	0.00001351	0.00003198	0.00210000
Acanthorhynchus tenuirostris	0.00002305	0.00001452	0.00003243	0.00220000
Acanthornis magna	0.00002699	0.00001733	0.00003717	0.00260000
Accipiter albogularis	0.00002242	0.00001381	0.00003166	0.00210000
Accipiter badius	0.00002405	0.00001474	0.00003362	0.00230000
Accipiter bicolor	0.00002602	0.00001594	0.00003632	0.00250000
Accipiter brachyurus	0.00026023	0.00022947	0.00029301	0.02570000
Accipiter brevipes	0.00001915	0.00001136	0.00002823	0.00180000
Accipiter butleri	0.00025741	0.00022678	0.00028951	0.02540000
Accipiter castanilius	0.00002695	0.00001633	0.00003709	0.00260000
Accipiter cirrocephalus	0.00003098	0.00002053	0.00004186	0.00300000
Accipiter collaris	0.00010210	0.00008076	0.00012129	0.01010000
Accipiter cooperii	0.00001821	0.00001032	0.00002639	0.00170000
Accipiter erythrauchen	0.00011544	0.00009463	0.00013654	0.01140000
Accipiter erythropus	0.00002693	0.00001754	0.00003722	0.00260000
Accipiter fasciatus	0.00001593	0.00000857	0.00002385	0.00150000
Accipiter francesiae	0.00001981	0.00001141	0.00002804	0.00190000
Accipiter gentilis	0.00002618	0.00001638	0.00003593	0.00250000
Accipiter griseiceps	0.00001595	0.00000878	0.00002385	0.00150000
Accipiter gularis	0.00001610	0.00000873	0.00002398	0.00150000
Accipiter gundlachi	0.00063019	0.00057823	0.00067763	0.06130000
Accipiter haplochrous	0.00010745	0.00008756	0.00012793	0.01060000
Accipiter henicogrammus	0.00012042	0.00009834	0.00014100	0.01190000
Accipiter henstii	0.00009931	0.00007975	0.00011840	0.00980000
Accipiter hiogaster	0.00002226	0.00001351	0.00003147	0.00210000
Accipiter imitator	0.00027386	0.00024062	0.00030634	0.02700000
