species	simulated_p_e_in_500_years
Abeillia abeillei	0.04000
Abroscopus albogularis	0.07000
Abroscopus schisticeps	0.07000
Abroscopus superciliaris	0.02000
Aburria aburri	0.10000
Acanthagenys rufogularis	0.05000
Acanthidops bairdi	0.09000
Acanthis flammea	0.05000
Acanthisitta chloris	0.04000
Acanthiza apicalis	0.08000
Acanthiza chrysorrhoa	0.06000
Acanthiza cinerea	0.09000
Acanthiza ewingii	0.03000
Acanthiza inornata	0.04000
Acanthiza iredalei	0.05000
Acanthiza katherina	0.08000
Acanthiza lineata	0.01000
Acanthiza murina	0.08000
Acanthiza nana	0.08000
Acanthiza pusilla	0.07000
Acanthiza reguloides	0.11000
Acanthiza robustirostris	0.06000
Acanthiza uropygialis	0.10000
Acanthoptila nipalensis	0.04000
Acanthorhynchus superciliosus	0.07000
Acanthorhynchus tenuirostris	0.04000
Acanthornis magna	0.05000
Accipiter albogularis	0.03000
Accipiter badius	0.03000
Accipiter bicolor	0.05000
Accipiter brachyurus	0.16000
Accipiter brevipes	0.09000
Accipiter butleri	0.15000
Accipiter castanilius	0.04000
Accipiter cirrocephalus	0.06000
Accipiter collaris	0.08000
Accipiter cooperii	0.06000
Accipiter erythrauchen	0.07000
Accipiter erythropus	0.06000
Accipiter fasciatus	0.08000
Accipiter francesiae	0.04000
Accipiter gentilis	0.05000
Accipiter griseiceps	0.07000
Accipiter gularis	0.07000
Accipiter gundlachi	0.35000
Accipiter haplochrous	0.13000
Accipiter henicogrammus	0.17000
Accipiter henstii	0.07000
Accipiter hiogaster	0.04000
Accipiter imitator	0.17000
Accipiter luteoschistaceus	0.17000
Accipiter madagascariensis	0.18000
Accipiter melanochlamys	0.08000
Accipiter melanoleucus	0.08000
Accipiter meyerianus	0.02000
Accipiter minullus	0.02000
Accipiter nanus	0.08000
Accipiter nisus	0.09000
Accipiter novaehollandiae	0.03000
Accipiter ovampensis	0.05000
Accipiter poliocephalus	0.06000
Accipiter poliogaster	0.15000
Accipiter princeps	0.15000
Accipiter rhodogaster	0.06000
Accipiter rufitorques	0.01000
Accipiter rufiventris	0.10000
Accipiter soloensis	0.04000
Accipiter striatus	0.09000
Accipiter superciliosus	0.08000
Accipiter sylvestris	0.06000
Accipiter tachiro	0.12000
Accipiter toussenelii	0.08000
Accipiter trinotatus	0.05000
Accipiter trivirgatus	0.07000
Accipiter virgatus	0.05000
Aceros nipalensis	0.23000
Achaetops pycnopygius	0.06000
Acridotheres albocinctus	0.03000
Acridotheres burmannicus	0.08000
Acridotheres cinereus	0.17000
Acridotheres cristatellus	0.10000
Acridotheres fuscus	0.04000
Acridotheres ginginianus	0.03000
Acridotheres grandis	0.07000
Acridotheres javanicus	0.22000
Acridotheres leucocephalus	0.04000
Acridotheres melanopterus	0.35000
Acridotheres tertius	0.46000
Acridotheres tricolor	0.45000
Acridotheres tristis	0.10000
Acritillas indica	0.11000
Acrobatornis fonsecai	0.24000
Acrocephalus aequinoctialis	0.23000
Acrocephalus agricola	0.10000
Acrocephalus arundinaceus	0.04000
Acrocephalus atyphus	0.12000
Acrocephalus australis	0.02000
Acrocephalus bistrigiceps	0.07000
Acrocephalus brevipennis	0.32000
Acrocephalus caffer	0.34000
Acrocephalus concinens	0.12000
Acrocephalus dumetorum	0.12000
Acrocephalus familiaris	0.43000
Acrocephalus gracilirostris	0.05000
Acrocephalus griseldis	0.22000
Acrocephalus hiwae	0.39000
Acrocephalus kerearako	0.10000
Acrocephalus longirostris	0.39000
Acrocephalus melanopogon	0.06000
Acrocephalus mendanae	0.05000
Acrocephalus newtoni	0.11000
Acrocephalus orientalis	0.05000
