species	simulated_p_e_in_500_years
Abeillia abeillei	0.05000
Abroscopus albogularis	0.05000
Abroscopus schisticeps	0.02000
Abroscopus superciliaris	0.01000
Aburria aburri	0.07000
Acanthagenys rufogularis	0.03000
Acanthidops bairdi	0.08000
Acanthis flammea	0.02000
Acanthisitta chloris	0.04000
Acanthiza apicalis	0.01000
Acanthiza chrysorrhoa	0.04000
Acanthiza cinerea	0.02000
Acanthiza ewingii	0.02000
Acanthiza inornata	0.06000
Acanthiza iredalei	0.07000
Acanthiza katherina	0.01000
Acanthiza lineata	0.02000
Acanthiza murina	0.04000
Acanthiza nana	0.00000
Acanthiza pusilla	0.05000
Acanthiza reguloides	0.02000
Acanthiza robustirostris	0.04000
Acanthiza uropygialis	0.02000
Acanthoptila nipalensis	0.01000
Acanthorhynchus superciliosus	0.03000
Acanthorhynchus tenuirostris	0.01000
Acanthornis magna	0.03000
Accipiter albogularis	0.05000
Accipiter badius	0.06000
Accipiter bicolor	0.04000
Accipiter brachyurus	0.14000
Accipiter brevipes	0.02000
Accipiter butleri	0.10000
Accipiter castanilius	0.04000
Accipiter cirrocephalus	0.01000
Accipiter collaris	0.08000
Accipiter cooperii	0.03000
Accipiter erythrauchen	0.07000
Accipiter erythropus	0.03000
Accipiter fasciatus	0.04000
Accipiter francesiae	0.05000
Accipiter gentilis	0.01000
Accipiter griseiceps	0.05000
Accipiter gularis	0.03000
Accipiter gundlachi	0.13000
Accipiter haplochrous	0.06000
Accipiter henicogrammus	0.01000
Accipiter henstii	0.05000
Accipiter hiogaster	0.04000
Accipiter imitator	0.07000
Accipiter luteoschistaceus	0.13000
Accipiter madagascariensis	0.07000
Accipiter melanochlamys	0.02000
Accipiter melanoleucus	0.04000
Accipiter meyerianus	0.05000
Accipiter minullus	0.01000
Accipiter nanus	0.08000
Accipiter nisus	0.01000
Accipiter novaehollandiae	0.04000
Accipiter ovampensis	0.04000
Accipiter poliocephalus	0.01000
Accipiter poliogaster	0.06000
Accipiter princeps	0.14000
Accipiter rhodogaster	0.06000
Accipiter rufitorques	0.01000
Accipiter rufiventris	0.05000
Accipiter soloensis	0.01000
Accipiter striatus	0.01000
Accipiter superciliosus	0.03000
Accipiter sylvestris	0.03000
Accipiter tachiro	0.02000
Accipiter toussenelii	0.07000
Accipiter trinotatus	0.03000
Accipiter trivirgatus	0.03000
Accipiter virgatus	0.07000
Aceros nipalensis	0.10000
Achaetops pycnopygius	0.02000
Acridotheres albocinctus	0.00000
