status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00145047	0.00133070	0.00151924	0.00136440	0.00131953	0.00148427	0.00156160	0.00140258	0.00135244	0.00146509	0.00167945	0.00135262	0.00157989	0.00157637	0.00128889	0.00137427	0.00143941	0.00130977	0.00140008	0.00152974	0.00150351	0.00155626	0.00132260	0.00133111	0.00179448	0.00138128	0.00146124	0.00138315	0.00136577	0.00143666	0.00148251	0.00150978	0.00124381	0.00125994	0.00137503	0.00155559	0.00131484	0.00148613	0.00141353	0.00149914	0.00156837	0.00147899	0.00147717	0.00142200	0.00161268	0.00141086	0.00161302	0.00138642	0.00161569	0.00150989	0.00143761	0.00154720	0.00146894	0.00143869	0.00142076	0.00150899	0.00145473	0.00150535	0.00147129	0.00137833	0.00123220	0.00151915	0.00141906	0.00147181	0.00139335	0.00154890	0.00143729	0.00141764	0.00151612	0.00143972	0.00153620	0.00166237	0.00158877	0.00156733	0.00142027	0.00126296	0.00173277	0.00146715	0.00157545	0.00172464	0.00155558	0.00151389	0.00136413	0.00147222	0.00137655	0.00150296	0.00152728	0.00129246	0.00132700	0.00143627	0.00153277	0.00151276	0.00146366	0.00144456	0.00154882	0.00142673	0.00151878	0.00154979	0.00143905	0.00149707
LC->VU	0.00057292	0.00075618	0.00059225	0.00064570	0.00065345	0.00058783	0.00069556	0.00068274	0.00066270	0.00073126	0.00054701	0.00073991	0.00056826	0.00055227	0.00062778	0.00062887	0.00057411	0.00055686	0.00065253	0.00057706	0.00069083	0.00054025	0.00056131	0.00057678	0.00058160	0.00071040	0.00065580	0.00060068	0.00054452	0.00075077	0.00067471	0.00073778	0.00062900	0.00068749	0.00050494	0.00069027	0.00065031	0.00057961	0.00059903	0.00054386	0.00057800	0.00079121	0.00067037	0.00058158	0.00063585	0.00062372	0.00064357	0.00066400	0.00065311	0.00071612	0.00066632	0.00066120	0.00056583	0.00062789	0.00071821	0.00063990	0.00061071	0.00055094	0.00062393	0.00053817	0.00071431	0.00072373	0.00067842	0.00066765	0.00060462	0.00056200	0.00059320	0.00061363	0.00061107	0.00065485	0.00057546	0.00066477	0.00066602	0.00060892	0.00054937	0.00063099	0.00069299	0.00055996	0.00059689	0.00057352	0.00071277	0.00063268	0.00054815	0.00070267	0.00064253	0.00057053	0.00054222	0.00068226	0.00060045	0.00068170	0.00053319	0.00078903	0.00061961	0.00060061	0.00065151	0.00069055	0.00053729	0.00061911	0.00077148	0.00061083
LC->EN	0.00019795	0.00013570	0.00014083	0.00019891	0.00016740	0.00013409	0.00016062	0.00015589	0.00018362	0.00021221	0.00019591	0.00009373	0.00017574	0.00014500	0.00013152	0.00010386	0.00014300	0.00019549	0.00020120	0.00017179	0.00014173	0.00018449	0.00012376	0.00017705	0.00013316	0.00014324	0.00017897	0.00013352	0.00014964	0.00011313	0.00017182	0.00012115	0.00011037	0.00011710	0.00019805	0.00017787	0.00021615	0.00013500	0.00020732	0.00015899	0.00017274	0.00020151	0.00016062	0.00013918	0.00010114	0.00018682	0.00017825	0.00020325	0.00011043	0.00016211	0.00017842	0.00014950	0.00014597	0.00017325	0.00012828	0.00017498	0.00013258	0.00014463	0.00015868	0.00013119	0.00017665	0.00013608	0.00013718	0.00017252	0.00015340	0.00012119	0.00013333	0.00013948	0.00020404	0.00014624	0.00018366	0.00012005	0.00010035	0.00020197	0.00012601	0.00017695	0.00018512	0.00015873	0.00017311	0.00017999	0.00015054	0.00019937	0.00011227	0.00016683	0.00013263	0.00013809	0.00013953	0.00017800	0.00016962	0.00019936	0.00020910	0.00011813	0.00019594	0.00011339	0.00013320	0.00012757	0.00013526	0.00015834	0.00020450	0.00016365
LC->CR	0.00001490	0.00001002	0.00002534	0.00003076	0.00002319	0.00003636	0.00006764	0.00003008	0.00003896	0.00002675	0.00003246	0.00004901	0.00001600	0.00001611	0.00003253	0.00003339	0.00001773	0.00001614	0.00008356	0.00004182	0.00002515	0.00001153	0.00002659	0.00001938	0.00006392	0.00002292	0.00003842	0.00001750	0.00002037	0.00006048	0.00007802	0.00002968	0.00002618	0.00003974	0.00002257	0.00001489	0.00000835	0.00003575	0.00004043	0.00003499	0.00004252	0.00001737	0.00002060	0.00000682	0.00003468	0.00007158	0.00006042	0.00001875	0.00001042	0.00003148	0.00002076	0.00007405	0.00003451	0.00001038	0.00001839	0.00005760	0.00004419	0.00003584	0.00002915	0.00003305	0.00004253	0.00004893	0.00003519	0.00004083	0.00004876	0.00002328	0.00004045	0.00006913	0.00000836	0.00003423	0.00002790	0.00001740	0.00002800	0.00004889	0.00001983	0.00002436	0.00004047	0.00002492	0.00002327	0.00002372	0.00001759	0.00005496	0.00001445	0.00001916	0.00001920	0.00002080	0.00005375	0.00005402	0.00003451	0.00006339	0.00004354	0.00003759	0.00003347	0.00001398	0.00002704	0.00001951	0.00002642	0.00008326	0.00002401	0.00002828
LC->DD	0.00000790	0.00001569	0.00000517	0.00000954	0.00000637	0.00001876	0.00000352	0.00002714	0.00000926	0.00001016	0.00000670	0.00000528	0.00000662	0.00000843	0.00005963	0.00001785	0.00002215	0.00001255	0.00001614	0.00000909	0.00000323	0.00002852	0.00002948	0.00000188	0.00000242	0.00002032	0.00000923	0.00000390	0.00001163	0.00001420	0.00000881	0.00002285	0.00003332	0.00000546	0.00003694	0.00001967	0.00001095	0.00001419	0.00001145	0.00000687	0.00001832	0.00001708	0.00001444	0.00001729	0.00004392	0.00002013	0.00002256	0.00001034	0.00004153	0.00000733	0.00001686	0.00002061	0.00001469	0.00001701	0.00001750	0.00000122	0.00002584	0.00001118	0.00002334	0.00001033	0.00002071	0.00003159	0.00001026	0.00001701	0.00001188	0.00000377	0.00001577	0.00002312	0.00002610	0.00002699	0.00000113	0.00002223	0.00001479	0.00002258	0.00001534	0.00000424	0.00002435	0.00000278	0.00002450	0.00000564	0.00005154	0.00001712	0.00002340	0.00001318	0.00003405	0.00000791	0.00002536	0.00002011	0.00000777	0.00000488	0.00001783	0.00002054	0.00001632	0.00001326	0.00002437	0.00001642	0.00000795	0.00000232	0.00000197	0.00002277
NT->LC	0.00730055	0.00789869	0.00773222	0.00660493	0.00793371	0.00743112	0.00760498	0.00678434	0.00712797	0.00812070	0.00702763	0.00623747	0.00754880	0.00696442	0.00706979	0.00658867	0.00612849	0.00859909	0.00721649	0.00835332	0.00838301	0.00714148	0.00704543	0.00799061	0.00771080	0.00744637	0.00807352	0.00759309	0.00723040	0.00777607	0.00689923	0.00682665	0.00739216	0.00708739	0.00822234	0.00696558	0.00669080	0.00695929	0.00849723	0.00727211	0.00743766	0.00914736	0.00831844	0.00713521	0.00646233	0.00776724	0.00672309	0.00712240	0.00746448	0.00692264	0.00824631	0.00691494	0.00834124	0.00854749	0.00726752	0.00739529	0.00758777	0.00812784	0.00700893	0.00869594	0.00827395	0.00793268	0.00767367	0.00791398	0.00789891	0.00801620	0.00787157	0.00722565	0.00729714	0.00861191	0.00793447	0.00804192	0.00694160	0.00798220	0.00860596	0.00795268	0.00695811	0.00709811	0.00642316	0.00648873	0.00800234	0.00815450	0.00813714	0.00778318	0.00757729	0.00721236	0.00751569	0.00868199	0.00680096	0.00718262	0.00831737	0.00720994	0.00710093	0.00710145	0.00732029	0.00766147	0.00810406	0.00741693	0.00827879	0.00865016
NT->VU	0.00474339	0.00540348	0.00518210	0.00546463	0.00414701	0.00491508	0.00519105	0.00494985	0.00538412	0.00431472	0.00608941	0.00452665	0.00504282	0.00416760	0.00432986	0.00487459	0.00391654	0.00535373	0.00467019	0.00510836	0.00375080	0.00488680	0.00544921	0.00484639	0.00442763	0.00389650	0.00629449	0.00500428	0.00438915	0.00484158	0.00567568	0.00420148	0.00629334	0.00439129	0.00513040	0.00427233	0.00463244	0.00496345	0.00525095	0.00359204	0.00555029	0.00547286	0.00461308	0.00446942	0.00488155	0.00501067	0.00470242	0.00509757	0.00596309	0.00459697	0.00444481	0.00551254	0.00453323	0.00478169	0.00535348	0.00561739	0.00434606	0.00445100	0.00422940	0.00443697	0.00430603	0.00556947	0.00493205	0.00567781	0.00574796	0.00507958	0.00546554	0.00543006	0.00472168	0.00509479	0.00566910	0.00501597	0.00455194	0.00437239	0.00450842	0.00571825	0.00526913	0.00372235	0.00463162	0.00492995	0.00568525	0.00406758	0.00516148	0.00522316	0.00512915	0.00472687	0.00505700	0.00446239	0.00575110	0.00527026	0.00465501	0.00523488	0.00564681	0.00569739	0.00525936	0.00427328	0.00374240	0.00482515	0.00422209	0.00464480
NT->EN	0.00173637	0.00165149	0.00167107	0.00151932	0.00211185	0.00179784	0.00163732	0.00106713	0.00143450	0.00180931	0.00116081	0.00183457	0.00168843	0.00164179	0.00125049	0.00208917	0.00194919	0.00164443	0.00183857	0.00152639	0.00119504	0.00184168	0.00136021	0.00150201	0.00193537	0.00191160	0.00176745	0.00135529	0.00148391	0.00168135	0.00148092	0.00190480	0.00185736	0.00127582	0.00177097	0.00144747	0.00182447	0.00179703	0.00156966	0.00136834	0.00197432	0.00141978	0.00143111	0.00121783	0.00191286	0.00162401	0.00192330	0.00163418	0.00254176	0.00146156	0.00142070	0.00144549	0.00163604	0.00157232	0.00130572	0.00208316	0.00127329	0.00189171	0.00146988	0.00210498	0.00150336	0.00146886	0.00168741	0.00131955	0.00169814	0.00123414	0.00172056	0.00193193	0.00169379	0.00191387	0.00149036	0.00202849	0.00164417	0.00111930	0.00172124	0.00138860	0.00167277	0.00116327	0.00121496	0.00127247	0.00142408	0.00138491	0.00183518	0.00149204	0.00248709	0.00153410	0.00167757	0.00129526	0.00158971	0.00176277	0.00174894	0.00112826	0.00173153	0.00159068	0.00180756	0.00168655	0.00120548	0.00111713	0.00122620	0.00206332
NT->CR	0.00008660	0.00035865	0.00022734	0.00041503	0.00017441	0.00044827	0.00036411	0.00043687	0.00012603	0.00036677	0.00037843	0.00031781	0.00035550	0.00015591	0.00030410	0.00018348	0.00015694	0.00010925	0.00028361	0.00029176	0.00022679	0.00012288	0.00026070	0.00033375	0.00015020	0.00018755	0.00011876	0.00009064	0.00024249	0.00023002	0.00040093	0.00014649	0.00011085	0.00009047	0.00004249	0.00053610	0.00017511	0.00020952	0.00028564	0.00035460	0.00010799	0.00011938	0.00008716	0.00023958	0.00017875	0.00020733	0.00006476	0.00039047	0.00036880	0.00038465	0.00032493	0.00023702	0.00035664	0.00015549	0.00031404	0.00026442	0.00017762	0.00013691	0.00027495	0.00027365	0.00032067	0.00016796	0.00030049	0.00029347	0.00014483	0.00010336	0.00024778	0.00025832	0.00045986	0.00014868	0.00010740	0.00031733	0.00051277	0.00019794	0.00051578	0.00020311	0.00018280	0.00026736	0.00024469	0.00027676	0.00026115	0.00056915	0.00015954	0.00052913	0.00034489	0.00013013	0.00030259	0.00013387	0.00038489	0.00049148	0.00046384	0.00019066	0.00017123	0.00030571	0.00027882	0.00030123	0.00028612	0.00032262	0.00017218	0.00009778
NT->DD	0.00014643	0.00005788	0.00005633	0.00020585	0.00004930	0.00032527	0.00035690	0.00030264	0.00021752	0.00011835	0.00022789	0.00014688	0.00005800	0.00012424	0.00003617	0.00009443	0.00005272	0.00033287	0.00009026	0.00004760	0.00036936	0.00002563	0.00013089	0.00008147	0.00005688	0.00006608	0.00006210	0.00009624	0.00017450	0.00004858	0.00012334	0.00020123	0.00004989	0.00001350	0.00028476	0.00007769	0.00013010	0.00031130	0.00025527	0.00028259	0.00009528	0.00004739	0.00003645	0.00021533	0.00003524	0.00003127	0.00014904	0.00005907	0.00027080	0.00006329	0.00016580	0.00010454	0.00001777	0.00009211	0.00003547	0.00017799	0.00005964	0.00004384	0.00021140	0.00009264	0.00037475	0.00019547	0.00040746	0.00002965	0.00005685	0.00019235	0.00011172	0.00025198	0.00016830	0.00001127	0.00014049	0.00014063	0.00023808	0.00032692	0.00012494	0.00003487	0.00011312	0.00003953	0.00023154	0.00019769	0.00001728	0.00014387	0.00012090	0.00008968	0.00037079	0.00005574	0.00006744	0.00014202	0.00009967	0.00035533	0.00007294	0.00011030	0.00016089	0.00003631	0.00020028	0.00007240	0.00011847	0.00012416	0.00002521	0.00043490
