status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00145047	0.00133070	0.00151924	0.00136440	0.00131953	0.00148427	0.00156160	0.00140258	0.00135244	0.00146509	0.00167945	0.00135262	0.00157989	0.00157637	0.00128889	0.00137427	0.00143941	0.00130977	0.00140008	0.00152974	0.00150351	0.00155626	0.00132260	0.00133111	0.00179448	0.00138128	0.00146124	0.00138315	0.00136577	0.00143666	0.00148251	0.00150978	0.00124381	0.00125994	0.00137503	0.00155559	0.00131484	0.00148613	0.00141353	0.00149914	0.00156837	0.00147899	0.00147717	0.00142200	0.00161268	0.00141086	0.00161302	0.00138642	0.00161569	0.00150989	0.00143761	0.00154720	0.00146894	0.00143869	0.00142076	0.00150899	0.00145473	0.00150535	0.00147129	0.00137833	0.00123220	0.00151915	0.00141906	0.00147181	0.00139335	0.00154890	0.00143729	0.00141764	0.00151612	0.00143972	0.00153620	0.00166237	0.00158877	0.00156733	0.00142027	0.00126296	0.00173277	0.00146715	0.00157545	0.00172464	0.00155558	0.00151389	0.00136413	0.00147222	0.00137655	0.00150296	0.00152728	0.00129246	0.00132700	0.00143627	0.00153277	0.00151276	0.00146366	0.00144456	0.00154882	0.00142673	0.00151878	0.00154979	0.00143905	0.00149707
LC->VU	0.00057292	0.00075618	0.00059225	0.00064570	0.00065345	0.00058783	0.00069556	0.00068274	0.00066270	0.00073126	0.00054701	0.00073991	0.00056826	0.00055227	0.00062778	0.00062887	0.00057411	0.00055686	0.00065253	0.00057706	0.00069083	0.00054025	0.00056131	0.00057678	0.00058160	0.00071040	0.00065580	0.00060068	0.00054452	0.00075077	0.00067471	0.00073778	0.00062900	0.00068749	0.00050494	0.00069027	0.00065031	0.00057961	0.00059903	0.00054386	0.00057800	0.00079121	0.00067037	0.00058158	0.00063585	0.00062372	0.00064357	0.00066400	0.00065311	0.00071612	0.00066632	0.00066120	0.00056583	0.00062789	0.00071821	0.00063990	0.00061071	0.00055094	0.00062393	0.00053817	0.00071431	0.00072373	0.00067842	0.00066765	0.00060462	0.00056200	0.00059320	0.00061363	0.00061107	0.00065485	0.00057546	0.00066477	0.00066602	0.00060892	0.00054937	0.00063099	0.00069299	0.00055996	0.00059689	0.00057352	0.00071277	0.00063268	0.00054815	0.00070267	0.00064253	0.00057053	0.00054222	0.00068226	0.00060045	0.00068170	0.00053319	0.00078903	0.00061961	0.00060061	0.00065151	0.00069055	0.00053729	0.00061911	0.00077148	0.00061083
LC->EN	0.00019795	0.00013570	0.00014083	0.00019891	0.00016740	0.00013409	0.00016062	0.00015589	0.00018362	0.00021221	0.00019591	0.00009373	0.00017574	0.00014500	0.00013152	0.00010386	0.00014300	0.00019549	0.00020120	0.00017179	0.00014173	0.00018449	0.00012376	0.00017705	0.00013316	0.00014324	0.00017897	0.00013352	0.00014964	0.00011313	0.00017182	0.00012115	0.00011037	0.00011710	0.00019805	0.00017787	0.00021615	0.00013500	0.00020732	0.00015899	0.00017274	0.00020151	0.00016062	0.00013918	0.00010114	0.00018682	0.00017825	0.00020325	0.00011043	0.00016211	0.00017842	0.00014950	0.00014597	0.00017325	0.00012828	0.00017498	0.00013258	0.00014463	0.00015868	0.00013119	0.00017665	0.00013608	0.00013718	0.00017252	0.00015340	0.00012119	0.00013333	0.00013948	0.00020404	0.00014624	0.00018366	0.00012005	0.00010035	0.00020197	0.00012601	0.00017695	0.00018512	0.00015873	0.00017311	0.00017999	0.00015054	0.00019937	0.00011227	0.00016683	0.00013263	0.00013809	0.00013953	0.00017800	0.00016962	0.00019936	0.00020910	0.00011813	0.00019594	0.00011339	0.00013320	0.00012757	0.00013526	0.00015834	0.00020450	0.00016365
LC->CR	0.00001490	0.00001002	0.00002534	0.00003076	0.00002319	0.00003636	0.00006764	0.00003008	0.00003896	0.00002675	0.00003246	0.00004901	0.00001600	0.00001611	0.00003253	0.00003339	0.00001773	0.00001614	0.00008356	0.00004182	0.00002515	0.00001153	0.00002659	0.00001938	0.00006392	0.00002292	0.00003842	0.00001750	0.00002037	0.00006048	0.00007802	0.00002968	0.00002618	0.00003974	0.00002257	0.00001489	0.00000835	0.00003575	0.00004043	0.00003499	0.00004252	0.00001737	0.00002060	0.00000682	0.00003468	0.00007158	0.00006042	0.00001875	0.00001042	0.00003148	0.00002076	0.00007405	0.00003451	0.00001038	0.00001839	0.00005760	0.00004419	0.00003584	0.00002915	0.00003305	0.00004253	0.00004893	0.00003519	0.00004083	0.00004876	0.00002328	0.00004045	0.00006913	0.00000836	0.00003423	0.00002790	0.00001740	0.00002800	0.00004889	0.00001983	0.00002436	0.00004047	0.00002492	0.00002327	0.00002372	0.00001759	0.00005496	0.00001445	0.00001916	0.00001920	0.00002080	0.00005375	0.00005402	0.00003451	0.00006339	0.00004354	0.00003759	0.00003347	0.00001398	0.00002704	0.00001951	0.00002642	0.00008326	0.00002401	0.00002828
LC->DD	0.00000790	0.00001569	0.00000517	0.00000954	0.00000637	0.00001876	0.00000352	0.00002714	0.00000926	0.00001016	0.00000670	0.00000528	0.00000662	0.00000843	0.00005963	0.00001785	0.00002215	0.00001255	0.00001614	0.00000909	0.00000323	0.00002852	0.00002948	0.00000188	0.00000242	0.00002032	0.00000923	0.00000390	0.00001163	0.00001420	0.00000881	0.00002285	0.00003332	0.00000546	0.00003694	0.00001967	0.00001095	0.00001419	0.00001145	0.00000687	0.00001832	0.00001708	0.00001444	0.00001729	0.00004392	0.00002013	0.00002256	0.00001034	0.00004153	0.00000733	0.00001686	0.00002061	0.00001469	0.00001701	0.00001750	0.00000122	0.00002584	0.00001118	0.00002334	0.00001033	0.00002071	0.00003159	0.00001026	0.00001701	0.00001188	0.00000377	0.00001577	0.00002312	0.00002610	0.00002699	0.00000113	0.00002223	0.00001479	0.00002258	0.00001534	0.00000424	0.00002435	0.00000278	0.00002450	0.00000564	0.00005154	0.00001712	0.00002340	0.00001318	0.00003405	0.00000791	0.00002536	0.00002011	0.00000777	0.00000488	0.00001783	0.00002054	0.00001632	0.00001326	0.00002437	0.00001642	0.00000795	0.00000232	0.00000197	0.00002277
LC->EX	0.00000227	0.00000990	0.00002097	0.00000284	0.00000315	0.00000023	0.00000446	0.00000459	0.00000146	0.00001371	0.00000911	0.00001034	0.00000987	0.00001558	0.00000397	0.00000037	0.00000968	0.00001119	0.00001274	0.00000848	0.00000197	0.00000668	0.00000328	0.00000147	0.00000578	0.00000693	0.00001207	0.00000018	0.00000542	0.00000495	0.00000088	0.00000818	0.00000549	0.00000424	0.00000888	0.00000280	0.00000629	0.00000483	0.00001078	0.00001048	0.00000366	0.00000345	0.00000387	0.00001607	0.00000511	0.00000547	0.00000669	0.00000665	0.00000181	0.00000093	0.00001712	0.00001272	0.00002593	0.00001038	0.00000610	0.00000940	0.00000807	0.00000431	0.00001680	0.00003123	0.00000281	0.00000634	0.00001184	0.00000156	0.00000099	0.00001986	0.00001267	0.00000016	0.00000762	0.00001793	0.00000957	0.00002183	0.00000351	0.00000430	0.00000411	0.00000173	0.00000264	0.00001318	0.00001027	0.00000890	0.00003273	0.00001017	0.00000852	0.00000748	0.00001660	0.00000234	0.00001731	0.00000745	0.00000330	0.00000668	0.00000813	0.00000236	0.00000041	0.00000289	0.00000188	0.00000181	0.00000474	0.00000914	0.00001110	0.00001494
NT->LC	0.00696432	0.00829602	0.00784233	0.00884246	0.00663705	0.00737292	0.00758427	0.00762848	0.00821208	0.00683817	0.00863650	0.00693944	0.00723132	0.00676469	0.00706106	0.00802644	0.00607623	0.00790616	0.00690787	0.00723160	0.00607507	0.00694673	0.00825004	0.00761584	0.00664526	0.00595928	0.00929410	0.00714469	0.00685940	0.00753287	0.00869374	0.00672801	0.00946095	0.00656275	0.00759790	0.00680969	0.00710260	0.00748651	0.00815280	0.00601952	0.00789778	0.00783981	0.00706252	0.00699826	0.00753954	0.00748841	0.00699097	0.00836273	0.00920839	0.00682448	0.00761804	0.00845444	0.00709959	0.00745736	0.00809880	0.00823584	0.00688180	0.00696005	0.00674969	0.00729242	0.00692395	0.00857512	0.00804570	0.00843708	0.00794281	0.00754070	0.00849663	0.00775865	0.00723016	0.00781416	0.00854220	0.00719991	0.00639754	0.00704666	0.00733520	0.00817926	0.00818281	0.00595096	0.00687572	0.00745194	0.00828398	0.00676868	0.00795140	0.00768081	0.00784877	0.00730420	0.00762927	0.00766863	0.00821484	0.00750306	0.00721730	0.00809405	0.00898649	0.00862444	0.00820037	0.00675031	0.00631377	0.00767752	0.00652098	0.00720523
NT->VU	0.00526425	0.00462007	0.00470820	0.00525832	0.00558542	0.00546609	0.00538493	0.00428529	0.00435775	0.00498725	0.00430913	0.00498907	0.00609606	0.00487603	0.00381592	0.00537883	0.00546570	0.00432521	0.00464078	0.00488830	0.00422881	0.00520205	0.00480043	0.00516214	0.00542429	0.00534478	0.00544568	0.00417858	0.00469949	0.00572993	0.00467282	0.00515695	0.00512592	0.00387462	0.00506018	0.00480516	0.00534088	0.00449911	0.00483211	0.00454226	0.00565635	0.00505924	0.00473469	0.00400074	0.00610792	0.00511033	0.00555729	0.00528735	0.00614683	0.00469594	0.00390311	0.00488365	0.00477306	0.00515985	0.00428826	0.00524387	0.00423352	0.00503317	0.00425871	0.00556228	0.00533013	0.00437387	0.00492417	0.00438481	0.00511876	0.00424966	0.00490947	0.00528305	0.00469055	0.00562348	0.00443453	0.00557005	0.00454879	0.00426403	0.00542429	0.00465296	0.00440310	0.00429047	0.00419527	0.00480869	0.00414998	0.00511919	0.00489688	0.00451616	0.00627078	0.00515155	0.00494553	0.00497083	0.00519150	0.00490180	0.00553216	0.00466213	0.00492763	0.00451696	0.00506244	0.00463357	0.00458824	0.00393412	0.00431676	0.00534037
NT->EN	0.00197285	0.00170714	0.00156957	0.00174551	0.00124355	0.00203558	0.00184750	0.00197764	0.00156535	0.00214021	0.00204581	0.00188590	0.00220091	0.00174200	0.00175148	0.00171037	0.00142556	0.00170315	0.00150503	0.00132616	0.00131889	0.00101772	0.00134621	0.00194146	0.00099841	0.00167076	0.00148469	0.00103905	0.00181347	0.00127408	0.00180733	0.00129487	0.00129364	0.00121153	0.00124189	0.00224050	0.00129767	0.00177744	0.00178277	0.00169936	0.00130460	0.00178411	0.00088004	0.00169361	0.00133350	0.00152324	0.00095038	0.00206881	0.00212685	0.00190819	0.00155454	0.00185181	0.00220972	0.00144895	0.00173732	0.00170456	0.00124559	0.00142101	0.00163234	0.00166767	0.00218212	0.00153092	0.00172088	0.00209507	0.00179938	0.00131208	0.00156921	0.00141381	0.00192190	0.00129055	0.00174543	0.00167930	0.00248866	0.00094306	0.00217540	0.00131399	0.00175578	0.00200093	0.00189153	0.00156239	0.00165586	0.00223866	0.00150965	0.00218967	0.00180419	0.00111269	0.00180058	0.00153454	0.00159835	0.00176360	0.00195130	0.00171598	0.00176299	0.00181184	0.00161422	0.00173147	0.00205963	0.00185253	0.00124783	0.00109492
NT->CR	0.00030318	0.00019950	0.00018239	0.00035150	0.00013953	0.00053099	0.00057804	0.00047379	0.00042130	0.00034770	0.00039944	0.00022778	0.00017625	0.00022352	0.00008996	0.00019257	0.00015100	0.00055236	0.00021982	0.00015360	0.00051445	0.00010596	0.00030589	0.00013640	0.00013116	0.00018748	0.00012130	0.00029115	0.00031950	0.00013572	0.00023547	0.00032932	0.00013380	0.00004672	0.00038441	0.00015111	0.00023705	0.00051632	0.00040793	0.00042879	0.00018018	0.00011081	0.00009187	0.00036842	0.00021825	0.00008393	0.00024926	0.00020315	0.00047825	0.00018921	0.00029872	0.00020459	0.00007195	0.00026089	0.00021965	0.00027537	0.00017829	0.00011008	0.00035070	0.00017619	0.00056491	0.00031989	0.00052987	0.00008352	0.00012111	0.00031056	0.00021838	0.00045795	0.00033136	0.00003359	0.00023784	0.00026663	0.00039496	0.00050920	0.00033058	0.00008538	0.00021063	0.00015039	0.00041672	0.00034821	0.00007905	0.00034364	0.00022722	0.00017584	0.00051601	0.00016496	0.00021745	0.00024802	0.00018259	0.00056901	0.00022753	0.00025370	0.00029958	0.00009717	0.00033071	0.00018178	0.00024468	0.00026006	0.00011273	0.00060750
