species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Acinonyx jubatus	0.00163412	0.00155105	0.00171236	0.15220000
Ailuropoda melanoleuca	0.00113033	0.00106230	0.00119836	0.10740000
Ailurus fulgens	0.00435172	0.00420643	0.00449267	0.35380000
Aonyx capensis	0.00101331	0.00095050	0.00107805	0.09720000
Aonyx cinereus	0.00209569	0.00200598	0.00219435	0.19160000
Aonyx congicus	0.00085233	0.00079502	0.00091087	0.08230000
Arctictis binturong	0.00142039	0.00134452	0.00149641	0.13340000
Arctocephalus australis	0.00122569	0.00115518	0.00129647	0.11590000
Arctocephalus forsteri	0.00014676	0.00012449	0.00017113	0.01450000
Arctocephalus galapagoensis	0.00346571	0.00334311	0.00358949	0.29390000
Arctocephalus gazella	0.00012950	0.00010809	0.00015193	0.01280000
Arctocephalus philippii	0.00013145	0.00011053	0.00015492	0.01300000
Arctocephalus pusillus	0.00013147	0.00011045	0.00015469	0.01300000
Arctocephalus townsendi	0.00012235	0.00010131	0.00014433	0.01210000
Arctocephalus tropicalis	0.00010801	0.00008700	0.00012822	0.01070000
Arctogalidia trivirgata	0.00016028	0.00013659	0.00018536	0.01580000
Arctonyx albogularis	0.00018513	0.00015891	0.00021254	0.01830000
Arctonyx collaris	0.00202994	0.00193952	0.00212175	0.18590000
Arctonyx hoevenii	0.00020467	0.00017611	0.00023249	0.02020000
Atelocynus microtis	0.00112082	0.00105346	0.00118832	0.10690000
Atilax paludinosus	0.00019195	0.00016577	0.00022007	0.01900000
Bassaricyon alleni	0.00015688	0.00013156	0.00018042	0.01550000
Bassaricyon gabbii	0.00012544	0.00010379	0.00014719	0.01240000
Bassaricyon medius	0.00015171	0.00012782	0.00017547	0.01500000
Bassaricyon neblina	0.00074566	0.00069325	0.00080026	0.07230000
Bassariscus astutus	0.00016485	0.00014099	0.00019060	0.01630000
Bassariscus sumichrasti	0.00014867	0.00012476	0.00017280	0.01470000
Bdeogale crassicauda	0.00018383	0.00015820	0.00021124	0.01820000
Bdeogale jacksoni	0.00109832	0.00103223	0.00116628	0.10490000
Bdeogale nigripes	0.00018297	0.00015722	0.00020980	0.01810000
Bdeogale omnivora	0.00123353	0.00115865	0.00130335	0.11700000
Callorhinus ursinus	0.00106064	0.00099800	0.00112795	0.10130000
Canis adustus	0.00021661	0.00018749	0.00024527	0.02140000
Canis aureus	0.00016700	0.00014179	0.00019165	0.01650000
Canis latrans	0.00015789	0.00013278	0.00018143	0.01560000
Canis lupus	0.00016087	0.00013677	0.00018616	0.01590000
Canis mesomelas	0.00019213	0.00016495	0.00022000	0.01900000
Canis rufus	0.01503779	0.01468486	0.01537499	0.73890000
Canis simensis	0.00546149	0.00529845	0.00563102	0.41750000
Caracal aurata	0.00178223	0.00169573	0.00186827	0.16520000
Caracal caracal	0.00015986	0.00013509	0.00018436	0.01580000
Catopuma badia	0.00477005	0.00462200	0.00492460	0.37830000
Catopuma temminckii	0.00080380	0.00074935	0.00086050	0.07770000
Cerdocyon thous	0.00022161	0.00019343	0.00025144	0.02190000
Chrotogale owstoni	0.00409391	0.00395821	0.00423316	0.33690000
Chrysocyon brachyurus	0.00096487	0.00090430	0.00102796	0.09280000
Civettictis civetta	0.00013966	0.00011686	0.00016264	0.01380000
Conepatus chinga	0.00024326	0.00021334	0.00027402	0.02400000
Conepatus humboldtii	0.00024183	0.00020993	0.00027113	0.02390000
Conepatus leuconotus	0.00024217	0.00021208	0.00027341	0.02390000
Conepatus semistriatus	0.00021744	0.00018858	0.00024643	0.02150000
Crocuta crocuta	0.00010732	0.00008760	0.00012731	0.01060000
Crossarchus alexandri	0.00019503	0.00016893	0.00022392	0.01930000
Crossarchus ansorgei	0.00021636	0.00018735	0.00024550	0.02140000
Crossarchus obscurus	0.00023377	0.00020386	0.00026418	0.02310000
Crossarchus platycephalus	0.00023155	0.00020253	0.00026132	0.02290000
Cryptoprocta ferox	0.00153282	0.00145568	0.00161397	0.14330000
Cuon alpinus	0.00479193	0.00463895	0.00494441	0.38070000
Cynictis penicillata	0.00020946	0.00018202	0.00023856	0.02070000
Cynogale bennettii	0.00622477	0.00604424	0.00640358	0.45970000
Cystophora cristata	0.00120244	0.00113722	0.00127591	0.11410000
Diplogale hosei	0.00161481	0.00153463	0.00169514	0.15080000
Dologale dybowskii	0.00158917	0.00150789	0.00166933	0.14640000
Eira barbara	0.00018096	0.00015491	0.00020767	0.01790000
Enhydra lutris	0.00271620	0.00260949	0.00282778	0.23880000
Erignathus barbatus	0.00010331	0.00008364	0.00012393	0.01020000
Eumetopias jubatus	0.00048141	0.00043855	0.00052485	0.04710000
Eupleres goudotii	0.00156667	0.00148802	0.00164618	0.14640000
Eupleres major	0.00398960	0.00385228	0.00412259	0.32920000
Felis bieti	0.00179446	0.00171261	0.00188138	0.16610000
Felis chaus	0.00018192	0.00015565	0.00020836	0.01800000
Felis margarita	0.00020319	0.00017417	0.00022991	0.02010000
Felis nigripes	0.00216504	0.00207096	0.00225932	0.19750000
Felis silvestris	0.00013251	0.00011008	0.00015525	0.01310000
Fossa fossana	0.00163240	0.00155445	0.00171463	0.15240000
Galictis cuja	0.00026029	0.00022870	0.00029217	0.02570000
Galictis vittata	0.00018508	0.00015921	0.00021202	0.01830000
Galidia elegans	0.00017200	0.00014615	0.00019763	0.01700000
Galidictis fasciata	0.00193175	0.00183682	0.00201845	0.17740000
Galidictis grandidieri	0.00518826	0.00502862	0.00534749	0.40240000
Genetta abyssinica	0.00149358	0.00141609	0.00157333	0.13830000
Genetta angolensis	0.00015580	0.00013166	0.00018059	0.01540000
Genetta bourloni	0.00153906	0.00146488	0.00162192	0.14390000
Genetta cristata	0.00128575	0.00121216	0.00135738	0.12150000
Genetta genetta	0.00011373	0.00009199	0.00013391	0.01120000
Genetta johnstoni	0.00072339	0.00066845	0.00077516	0.07030000
Genetta maculata	0.00016790	0.00014363	0.00019382	0.01660000
Genetta pardina	0.00009751	0.00007867	0.00011757	0.00960000
Genetta piscivora	0.00086376	0.00080651	0.00092202	0.08340000
Genetta poensis	0.00132476	0.00125272	0.00140033	0.12380000
Genetta servalina	0.00016493	0.00014063	0.00019015	0.01630000
Genetta thierryi	0.00020426	0.00017711	0.00023297	0.02020000
Genetta tigrina	0.00017207	0.00014625	0.00019716	0.01700000
Genetta victoriae	0.00013071	0.00010888	0.00015418	0.01290000
Gulo gulo	0.00015801	0.00013275	0.00018203	0.01560000
Halichoerus grypus	0.00009828	0.00007946	0.00011691	0.00970000
Helarctos malayanus	0.00118866	0.00112192	0.00125926	0.11280000
Helogale hirtula	0.00025632	0.00022398	0.00028729	0.02530000
Helogale parvula	0.00021563	0.00018638	0.00024376	0.02130000
Hemigalus derbyanus	0.00097867	0.00091373	0.00104131	0.09390000
Herpailurus yagouaroundi	0.00018417	0.00015834	0.00021106	0.01820000
Herpestes auropunctatus	0.00023259	0.00020287	0.00026275	0.02300000
Herpestes brachyurus	0.00104527	0.00098530	0.00111350	0.10010000
Herpestes edwardsii	0.00018824	0.00016140	0.00021497	0.01860000
Herpestes flavescens	0.00017302	0.00014697	0.00019873	0.01710000
Herpestes fuscus	0.00018916	0.00016280	0.00021748	0.01870000
Herpestes ichneumon	0.00015470	0.00013177	0.00017926	0.01530000
Herpestes javanicus	0.00021488	0.00018754	0.00024465	0.02120000
Herpestes naso	0.00016586	0.00014037	0.00019085	0.01640000
Herpestes ochraceus	0.00019510	0.00016851	0.00022314	0.01930000
Herpestes pulverulentus	0.00023677	0.00020633	0.00026649	0.02340000
Herpestes sanguineus	0.00021354	0.00018320	0.00024092	0.02110000
Herpestes semitorquatus	0.00090249	0.00084340	0.00096391	0.08700000
Herpestes smithii	0.00017102	0.00014534	0.00019647	0.01690000
Herpestes urva	0.00018611	0.00015958	0.00021316	0.01840000
Herpestes vitticollis	0.00022958	0.00020098	0.00025984	0.02270000
Histriophoca fasciata	0.00013074	0.00010869	0.00015395	0.01290000
Hyaena hyaena	0.00065094	0.00059980	0.00070050	0.06340000
Hydrictis maculicollis	0.00088950	0.00083129	0.00095170	0.08570000
Hydrurga leptonyx	0.00011637	0.00009616	0.00013838	0.01150000
Ichneumia albicauda	0.00018951	0.00016280	0.00021576	0.01870000
Ictonyx libycus	0.00019436	0.00016927	0.00022355	0.01920000
Ictonyx striatus	0.00023044	0.00020131	0.00026086	0.02280000
Leopardus colocolo	0.00075299	0.00070083	0.00080973	0.07300000
Leopardus geoffroyi	0.00013460	0.00011210	0.00015766	0.01330000
Leopardus guigna	0.00182546	0.00173739	0.00190865	0.16840000
Leopardus guttulus	0.00175410	0.00167199	0.00184110	0.16230000
Leopardus jacobita	0.00614350	0.00596399	0.00632491	0.45590000
Leopardus pardalis	0.00016811	0.00014222	0.00019320	0.01660000
Leopardus tigrinus	0.00157314	0.00149207	0.00165143	0.14710000
Leopardus wiedii	0.00079129	0.00073466	0.00084644	0.07660000
Leptailurus serval	0.00013449	0.00011278	0.00015772	0.01330000
Leptonychotes weddellii	0.00011446	0.00009278	0.00013525	0.01130000
Liberiictis kuhni	0.00237227	0.00227209	0.00247238	0.21410000
Lobodon carcinophaga	0.00011827	0.00009618	0.00013848	0.01170000
Lontra canadensis	0.00013850	0.00011608	0.00016203	0.01370000
Lontra felina	0.00611425	0.00594380	0.00629910	0.45490000
Lontra longicaudis	0.00099700	0.00093564	0.00106062	0.09580000
Lontra provocax	0.00413069	0.00399159	0.00426571	0.33860000
Lutra lutra	0.00072826	0.00067712	0.00078335	0.07070000
Lutra sumatrana	0.00425721	0.00411164	0.00439609	0.34640000
Lutrogale perspicillata	0.00186830	0.00178074	0.00195640	0.17240000
Lycalopex culpaeus	0.00018698	0.00015954	0.00021311	0.01850000
Lycalopex fulvipes	0.00563228	0.00546893	0.00580636	0.42960000
Lycalopex griseus	0.00019903	0.00017261	0.00022741	0.01970000
Lycalopex gymnocercus	0.00020751	0.00017980	0.00023577	0.02050000
Lycalopex sechurae	0.00106423	0.00100156	0.00113075	0.10180000
Lycalopex vetulus	0.00022377	0.00019467	0.00025419	0.02210000
Lycaon pictus	0.01483754	0.01450456	0.01516606	0.73540000
Lyncodon patagonicus	0.00019821	0.00017189	0.00022715	0.01960000
Lynx canadensis	0.00014449	0.00012141	0.00016776	0.01430000
Lynx lynx	0.00014582	0.00012367	0.00017074	0.01440000
Lynx pardinus	0.00591770	0.00574866	0.00609655	0.44280000
Lynx rufus	0.00011543	0.00009505	0.00013708	0.01140000
Macrogalidia musschenbroekii	0.00196395	0.00187208	0.00205317	0.18030000
Martes americana	0.00019103	0.00016391	0.00021782	0.01890000
Martes flavigula	0.00015985	0.00013508	0.00018467	0.01580000
Martes foina	0.00017601	0.00014962	0.00020165	0.01740000
Martes gwatkinsii	0.00236551	0.00226285	0.00246689	0.21350000
Martes martes	0.00017791	0.00015070	0.00020340	0.01760000
Martes melampus	0.00018725	0.00015959	0.00021376	0.01850000
Martes pennanti	0.00021753	0.00018961	0.00024697	0.02160000
Martes zibellina	0.00018393	0.00015796	0.00021110	0.01820000
Meles anakuma	0.00011933	0.00009760	0.00014009	0.01180000
Meles leucurus	0.00017377	0.00014709	0.00019900	0.01720000
Meles meles	0.00017588	0.00014965	0.00020206	0.01740000
Mellivora capensis	0.00011718	0.00009693	0.00013952	0.01160000
Melogale cucphuongensis	0.00183496	0.00174826	0.00192591	0.16640000
Melogale everetti	0.00449811	0.00434591	0.00463925	0.36160000
Melogale moschata	0.00021250	0.00018492	0.00024135	0.02100000
Melogale orientalis	0.00017108	0.00014517	0.00019551	0.01690000
Melogale personata	0.00022999	0.00020257	0.00026162	0.02270000
Melursus ursinus	0.00118994	0.00112101	0.00126057	0.11290000
Mephitis macroura	0.00022773	0.00019869	0.00025829	0.02250000
Mephitis mephitis	0.00021167	0.00018385	0.00023986	0.02090000
Mirounga angustirostris	0.00013479	0.00011164	0.00015723	0.01330000
Mirounga leonina	0.00013654	0.00011406	0.00015910	0.01350000
Monachus monachus	0.00309473	0.00297707	0.00320940	0.26670000
Mungos gambianus	0.00021853	0.00019045	0.00024867	0.02160000
Mungos mungo	0.00018701	0.00016091	0.00021478	0.01850000
Mungotictis decemlineata	0.00459660	0.00444187	0.00474124	0.36770000
Mustela africana	0.00020618	0.00017769	0.00023441	0.02040000
Mustela altaica	0.00093346	0.00087335	0.00099440	0.08980000
Mustela erminea	0.00023089	0.00020215	0.00026127	0.02280000
Mustela eversmanii	0.00022763	0.00019791	0.00025751	0.02250000
Mustela felipei	0.00207739	0.00198703	0.00217029	0.19000000
Mustela frenata	0.00023303	0.00020248	0.00026265	0.02300000
Mustela itatsi	0.00095226	0.00089277	0.00101431	0.09160000
Mustela kathiah	0.00020459	0.00017711	0.00023270	0.02020000
Mustela lutreola	0.02404337	0.02355979	0.02455766	0.85670000
Mustela lutreolina	0.00018310	0.00015758	0.00021071	0.01810000
Mustela nigripes	0.00606934	0.00589777	0.00625177	0.45240000
Mustela nivalis	0.00022643	0.00019753	0.00025702	0.02240000
Mustela nudipes	0.00016157	0.00013695	0.00018643	0.01600000
Mustela putorius	0.00019223	0.00016539	0.00021945	0.01900000
Mustela russelliana	0.00188874	0.00180008	0.00197719	0.17040000
Mustela sibirica	0.00020054	0.00017335	0.00022875	0.01980000
Mustela strigidorsa	0.00016402	0.00014046	0.00018969	0.01620000
Mustela subpalmata	0.00017999	0.00015331	0.00020635	0.01780000
Mustela tonkinensis	0.00180068	0.00171496	0.00188989	0.16330000
Mydaus javanensis	0.00020648	0.00017764	0.00023391	0.02040000
Mydaus marchei	0.00016190	0.00013677	0.00018724	0.01600000
Nandinia binotata	0.00014499	0.00012179	0.00016956	0.01430000
Nasua narica	0.00011343	0.00009244	0.00013301	0.01120000
Nasua nasua	0.00014345	0.00012128	0.00016778	0.01420000
Nasuella meridensis	0.00378090	0.00365162	0.00391079	0.31480000
Nasuella olivacea	0.00083021	0.00077127	0.00088494	0.08030000
Neofelis diardi	0.00163261	0.00155161	0.00171296	0.15200000
Neofelis nebulosa	0.00169072	0.00160895	0.00177413	0.15720000
Neomonachus schauinslandi	0.00281346	0.00270728	0.00292764	0.24540000
Neophoca cinerea	0.00325977	0.00313869	0.00338018	0.27810000
Neovison vison	0.00024690	0.00021677	0.00027865	0.02440000
Nyctereutes procyonoides	0.00017802	0.00015057	0.00020318	0.01760000
Odobenus rosmarus	0.00105131	0.00098584	0.00111478	0.10030000
Ommatophoca rossii	0.00015672	0.00013261	0.00018225	0.01550000
Otaria byronia	0.00011149	0.00009115	0.00013223	0.01100000
Otocolobus manul	0.00095235	0.00089010	0.00101507	0.09160000
Otocyon megalotis	0.00018696	0.00016023	0.00021406	0.01850000
Pagophilus groenlandicus	0.00009437	0.00007512	0.00011321	0.00930000
Paguma larvata	0.00015475	0.00013187	0.00018011	0.01530000
Panthera leo	0.00139584	0.00132111	0.00147091	0.13130000
Panthera onca	0.00060540	0.00055685	0.00065373	0.05910000
Panthera pardus	0.00141816	0.00134198	0.00149393	0.13340000
Panthera tigris	0.00285386	0.00274029	0.00296434	0.24880000
Panthera uncia	0.00165613	0.00157663	0.00174041	0.15400000
