year	LC	NT	VU	EN	CR	EX
0	177	31	45	31	5	0
1	178	30	45	31	5	0
2	178	30	44	31	5	1
3	179	29	44	31	6	1
4	179	29	44	31	6	1
5	180	28	43	31	6	1
6	180	28	43	31	6	2
7	180	28	43	31	6	2
8	181	27	42	31	6	2
9	181	27	42	31	6	2
10	182	27	42	31	6	3
11	182	26	41	31	6	3
12	183	26	41	31	6	3
13	183	26	41	31	6	4
14	183	25	40	30	6	4
15	184	25	40	30	6	4
16	184	25	40	30	6	4
17	184	25	40	30	6	5
18	185	24	39	30	6	5
19	185	24	39	30	6	5
20	185	24	39	30	6	5
21	186	23	39	30	5	6
22	186	23	38	30	5	6
23	186	23	38	30	5	6
24	187	23	38	30	5	7
25	187	23	38	30	5	7
26	187	22	37	29	5	7
27	188	22	37	29	5	7
28	188	22	37	29	5	8
29	188	22	37	29	5	8
30	188	22	36	29	5	8
31	189	21	36	29	5	9
32	189	21	36	29	5	9
33	189	21	36	29	5	9
34	189	21	36	29	5	9
35	189	21	35	29	5	10
36	190	21	35	28	5	10
37	190	20	35	28	5	10
38	190	20	35	28	5	11
39	190	20	35	28	5	11
40	191	20	34	28	5	11
41	191	20	34	28	5	11
42	191	20	34	28	5	12
43	191	19	34	28	5	12
44	191	19	34	28	5	12
45	191	19	33	27	5	13
46	192	19	33	27	5	13
47	192	19	33	27	5	13
48	192	19	33	27	5	13
49	192	19	33	27	5	14
50	192	19	32	27	5	14
51	192	19	32	27	5	14
52	193	18	32	27	5	15
53	193	18	32	27	5	15
54	193	18	32	26	5	15
55	193	18	32	26	5	15
56	193	18	31	26	5	16
57	193	18	31	26	5	16
58	193	18	31	26	5	16
59	193	18	31	26	5	17
60	194	18	31	26	5	17
61	194	18	31	26	4	17
62	194	17	30	25	4	17
63	194	17	30	25	4	18
64	194	17	30	25	4	18
65	194	17	30	25	4	18
66	194	17	30	25	4	18
67	194	17	30	25	4	19
68	194	17	30	25	4	19
69	194	17	29	25	4	19
70	194	17	29	25	4	20
71	195	17	29	24	4	20
72	195	17	29	24	4	20
73	195	17	29	24	4	20
74	195	17	29	24	4	21
75	195	17	29	24	4	21
76	195	16	28	24	4	21
77	195	16	28	24	4	21
78	195	16	28	24	4	22
79	195	16	28	23	4	22
80	195	16	28	23	4	22
81	195	16	28	23	4	23
82	195	16	28	23	4	23
83	195	16	28	23	4	23
84	195	16	27	23	4	23
85	195	16	27	23	4	24
86	195	16	27	23	4	24
87	195	16	27	23	4	24
88	195	16	27	22	4	24
89	195	16	27	22	4	25
90	196	16	27	22	4	25
91	196	16	27	22	4	25
92	196	16	27	22	4	25
93	196	16	26	22	4	26
94	196	15	26	22	4	26
95	196	15	26	22	4	26
96	196	15	26	22	4	26
97	196	15	26	21	4	27
98	196	15	26	21	4	27
99	196	15	26	21	4	27
100	196	15	26	21	4	27
