year	LC	NT	VU	EN	CR	EX
0	177	31	45	31	6	0
1	178	30	44	31	6	0
2	178	30	44	31	6	0
3	178	30	44	31	6	1
4	179	29	43	31	6	1
5	180	29	43	31	6	1
6	180	28	43	31	6	1
7	180	28	43	31	6	2
8	181	28	42	31	6	2
9	181	27	42	31	6	2
10	182	27	42	30	6	2
11	182	27	42	30	6	3
12	183	26	41	30	6	3
13	183	26	41	30	6	3
14	183	26	41	30	6	4
15	184	26	40	30	6	4
16	184	25	40	30	6	4
17	184	25	40	30	6	4
18	185	25	40	29	6	5
19	185	24	40	29	6	5
20	185	24	40	30	5	5
21	186	24	39	29	5	6
22	186	23	39	29	5	6
23	186	23	39	29	5	6
24	186	23	39	29	5	6
25	187	23	39	29	5	7
26	187	23	38	29	5	7
27	187	22	38	29	5	7
28	188	22	38	29	5	7
29	188	22	38	29	5	8
30	188	22	38	29	5	8
31	188	22	37	29	5	8
32	188	21	37	29	5	8
33	188	21	37	29	5	9
34	189	21	36	28	5	9
35	189	21	36	29	5	9
36	189	21	36	29	5	10
37	190	20	35	28	5	10
38	190	20	35	28	5	10
39	190	20	35	28	5	11
40	190	20	34	28	5	11
41	191	20	34	28	5	11
42	191	20	34	28	5	11
43	191	19	34	28	5	12
44	191	19	34	28	5	12
45	192	19	34	28	5	12
46	192	19	34	27	5	12
47	192	19	33	27	5	13
48	192	19	33	27	5	13
49	192	19	33	27	5	13
50	193	18	33	27	5	14
51	193	18	33	27	5	14
52	193	18	32	27	5	14
53	193	18	32	27	5	15
54	193	18	31	26	5	15
55	193	18	31	26	5	15
56	193	18	31	26	5	16
57	194	18	31	26	5	16
58	194	18	31	26	5	16
59	194	18	31	26	5	16
60	194	18	30	26	5	17
61	194	17	30	26	5	17
62	194	17	30	26	5	17
63	194	17	30	26	5	18
64	194	17	30	25	4	18
65	194	17	30	25	4	18
66	194	17	30	25	4	18
67	194	17	29	25	4	19
68	194	17	30	25	4	19
69	194	17	29	25	4	19
70	195	17	29	25	4	19
71	195	17	29	24	4	20
72	195	16	29	24	4	20
73	195	16	29	24	4	20
74	195	17	28	24	4	20
75	195	17	28	24	4	21
76	195	16	28	24	4	21
77	196	16	28	24	4	21
78	196	16	28	24	4	21
79	196	16	28	24	4	22
80	196	16	28	24	4	22
81	196	16	27	24	4	22
82	196	16	27	24	3	22
83	196	16	27	24	4	23
84	196	16	27	24	4	23
85	196	16	27	23	4	23
86	196	16	27	23	4	23
87	196	16	27	23	4	24
88	196	15	27	23	4	24
89	196	15	27	23	4	24
90	196	15	27	23	4	24
91	196	15	27	23	4	25
92	196	15	26	22	4	25
93	196	16	26	22	3	25
94	196	16	26	22	3	25
95	196	16	26	22	3	26
96	196	15	26	22	3	26
97	196	15	26	22	3	26
98	196	15	26	22	3	26
99	196	15	26	21	3	27
100	196	15	26	21	4	27
101	197	15	25	21	4	27
102	197	15	25	21	4	28
103	197	15	25	21	4	28
104	197	15	25	21	3	28
105	197	15	25	21	3	28
106	197	15	25	21	3	28
107	197	15	25	21	3	29
108	197	15	25	21	3	29
109	197	14	25	21	3	29
110	197	14	24	21	3	29
111	197	14	24	21	3	30
112	197	14	25	20	3	30
113	196	14	25	20	3	30
114	197	14	24	20	3	30
115	196	14	24	20	3	31
116	196	14	24	20	3	31
117	197	14	24	20	3	31
118	197	14	24	20	3	31
119	196	14	24	20	3	31
120	196	14	24	20	3	32
121	196	14	24	20	3	32
122	196	14	24	19	3	32
123	196	14	24	20	3	32
124	196	14	24	19	3	33
125	196	14	24	19	3	33
126	196	14	23	19	3	33
127	196	14	23	19	3	33
128	196	14	23	20	3	34
129	196	14	23	19	3	34
130	196	14	23	19	3	34
131	196	14	23	19	3	34
132	196	14	23	19	3	35
133	196	14	23	19	3	35
134	196	14	22	19	3	35
135	196	14	22	19	3	35
136	196	14	22	19	3	36
137	196	14	22	19	3	36
138	196	14	22	19	3	36
139	196	14	22	18	3	36
140	196	13	22	18	3	36
141	196	13	22	18	3	37
142	196	14	22	18	3	37
143	196	13	22	18	3	37
144	196	13	22	18	3	38
145	196	13	22	18	3	38
146	196	13	22	18	3	38
147	195	13	22	18	3	38
148	195	13	22	17	3	38
149	196	13	21	17	3	39
150	195	13	21	17	3	39
151	195	13	21	17	3	39
152	195	13	21	17	3	39
153	195	13	21	17	3	39
154	195	13	21	17	3	40
155	195	13	21	17	3	40
156	195	13	21	17	3	40
157	195	13	21	17	3	40
158	195	13	21	17	3	41
159	194	13	21	17	3	41
160	194	13	21	17	3	41
161	194	13	21	16	3	41
162	194	13	21	16	3	41
163	194	13	21	16	3	42
164	194	13	21	16	3	42
165	194	13	21	16	3	42
166	194	13	21	16	3	42
167	194	13	21	16	3	42
168	194	13	21	16	3	43
169	194	13	21	16	3	43
170	194	13	21	16	3	43
171	194	13	21	16	3	43
172	194	13	20	16	3	43
173	193	13	20	16	3	44
174	193	13	20	16	3	44
175	193	13	20	15	3	44
176	193	12	20	15	3	44
177	193	13	20	15	3	45
178	193	13	20	15	3	45
179	193	12	20	15	3	45
180	193	13	20	15	3	45
181	193	13	20	15	3	45
182	193	13	20	15	3	46
183	193	12	20	15	3	46
184	193	12	20	15	3	46
185	193	12	20	15	3	46
186	193	12	19	15	3	46
187	193	12	19	15	3	47
188	193	12	19	15	3	47
189	193	12	19	15	3	47
190	193	12	19	15	3	47
191	193	12	19	15	3	47
192	192	12	19	15	3	48
193	192	12	19	15	3	48
194	192	12	19	15	3	48
195	192	12	19	15	3	48
196	192	12	19	15	3	48
197	192	13	19	15	3	49
198	192	13	19	14	3	49
199	191	13	19	14	3	49
200	192	12	19	14	3	49
