species	CR_p_ext_0	CR_p_ext_1	CR_p_ext_2	CR_p_ext_3	CR_p_ext_4	CR_p_ext_5	CR_p_ext_6	CR_p_ext_7	CR_p_ext_8	CR_p_ext_9	CR_p_ext_10	CR_p_ext_11	CR_p_ext_12	CR_p_ext_13	CR_p_ext_14	CR_p_ext_15	CR_p_ext_16	CR_p_ext_17	CR_p_ext_18	CR_p_ext_19	CR_p_ext_20	CR_p_ext_21	CR_p_ext_22	CR_p_ext_23	CR_p_ext_24	CR_p_ext_25	CR_p_ext_26	CR_p_ext_27	CR_p_ext_28	CR_p_ext_29	CR_p_ext_30	CR_p_ext_31	CR_p_ext_32	CR_p_ext_33	CR_p_ext_34	CR_p_ext_35	CR_p_ext_36	CR_p_ext_37	CR_p_ext_38	CR_p_ext_39	CR_p_ext_40	CR_p_ext_41	CR_p_ext_42	CR_p_ext_43	CR_p_ext_44	CR_p_ext_45	CR_p_ext_46	CR_p_ext_47	CR_p_ext_48	CR_p_ext_49	CR_p_ext_50	CR_p_ext_51	CR_p_ext_52	CR_p_ext_53	CR_p_ext_54	CR_p_ext_55	CR_p_ext_56	CR_p_ext_57	CR_p_ext_58	CR_p_ext_59	CR_p_ext_60	CR_p_ext_61	CR_p_ext_62	CR_p_ext_63	CR_p_ext_64	CR_p_ext_65	CR_p_ext_66	CR_p_ext_67	CR_p_ext_68	CR_p_ext_69	CR_p_ext_70	CR_p_ext_71	CR_p_ext_72	CR_p_ext_73	CR_p_ext_74	CR_p_ext_75	CR_p_ext_76	CR_p_ext_77	CR_p_ext_78	CR_p_ext_79	CR_p_ext_80	CR_p_ext_81	CR_p_ext_82	CR_p_ext_83	CR_p_ext_84	CR_p_ext_85	CR_p_ext_86	CR_p_ext_87	CR_p_ext_88	CR_p_ext_89	CR_p_ext_90	CR_p_ext_91	CR_p_ext_92	CR_p_ext_93	CR_p_ext_94	CR_p_ext_95	CR_p_ext_96	CR_p_ext_97	CR_p_ext_98	CR_p_ext_99
Acinonyx jubatus	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913	0.028405065913
Ailuropoda melanoleuca	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588	0.015955507588
Ailurus fulgens	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750	0.037665328750
Aonyx capensis	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159	0.050696156159
Aonyx cinereus	0.059308715230	0.049618564080	0.041300528873	0.066967008463	0.035490206277	0.052160772740	0.048281299014	0.062771891030	0.056071219894	0.037831825220	0.040518424745	0.055465665206	0.062908572104	0.039534078410	0.055029837038	0.040236220178	0.052314269480	0.044851632466	0.053975948948	0.052792283827	0.032125158259	0.040482932910	0.044799462328	0.050070079881	0.055719741600	0.045344476383	0.064398424578	0.044208112254	0.047604984469	0.056262319830	0.038162969155	0.028935060752	0.037061234142	0.037336693385	0.048842535569	0.056289726176	0.048883862073	0.027877309300	0.055719741600	0.038207138977	0.028888033416	0.055465665206	0.045902912113	0.060758712295	0.066967008463	0.044773422737	0.066967008463	0.034082093273	0.052888936620	0.053291397789	0.027813552304	0.034026886355	0.051521205857	0.033072340344	0.037354800401	0.041710539267	0.047264212997	0.066967008463	0.043345720068	0.056482320549	0.054756039216	0.041869244068	0.058616787874	0.035742730051	0.030316953771	0.064542286097	0.032656355003	0.055359377364	0.056496127718	0.033699364189	0.043232191170	0.035102035900	0.066967008463	0.022772500252	0.066967008463	0.044938853187	0.051775141707	0.054536380338	0.044566190524	0.061306670562	0.038314835360	0.047487596449	0.043500751963	0.047575583100	0.050048392916	0.038131481749	0.050529886586	0.050930779937	0.054523514083	0.044712781231	0.045848269631	0.049714630763	0.043167584078	0.052196115081	0.037246420945	0.052278767045	0.043822474835	0.043855741281	0.056385858952	0.041582942331
Aonyx congicus	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743	0.035203642743
Arctictis binturong	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803	0.026426626803
Arctocephalus australis	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585	0.019568977585
Arctocephalus forsteri	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686	0.028841158686
Arctocephalus galapagoensis	0.023750962244	0.033494203486	0.037144638378	0.021004587459	0.030863626167	0.023962794365	0.033402210995	0.024135504282	0.028468058846	0.031559155871	0.020725740679	0.033738727680	0.023702234599	0.025384372990	0.033576943085	0.018798399604	0.029621281446	0.028862774262	0.028726420200	0.022484420587	0.029877902054	0.027693545837	0.028982241439	0.026390407595	0.031811150348	0.025905178401	0.031929835844	0.023277208558	0.033645389111	0.029982577593	0.022289213226	0.022550251726	0.027944738451	0.026785044499	0.034279278584	0.020443341902	0.029227863895	0.020457822338	0.025395532770	0.031486050187	0.032080557274	0.020461445653	0.022080472706	0.026897290897	0.032049410194	0.025620807124	0.022978587849	0.031083672998	0.025752158785	0.020087877140	0.024814612108	0.034748371277	0.030002042486	0.028148997231	0.031046085670	0.034026886355	0.030626362702	0.022833260417	0.031771784328	0.032300293419	0.033100765905	0.029462650398	0.027637235336	0.030724096878	0.025415086012	0.027743422462	0.029835465692	0.031675965175	0.025465504304	0.016418079545	0.021698930502	0.022703136127	0.027786794411	0.023176809691	0.028841158686	0.024943192156	0.029564431799	0.027907612108	0.036476208935	0.033494203486	0.029235259913	0.039635793923	0.024910922390	0.027242957828	0.029500265402	0.027443568721	0.028426032561	0.035134058856	0.026339266661	0.035462972853	0.021012228029	0.025908083044	0.019021245647	0.024935116880	0.031481760398	0.031087854986	0.028762177794	0.025780891900	0.020896309969	0.029007710206
