status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00114168	0.00135509	0.00130943	0.00108074	0.00095318	0.00158627	0.00120775	0.00132337	0.00120888	0.00119678	0.00156107	0.00131260	0.00127445	0.00120188	0.00118180	0.00132004	0.00147560	0.00122048	0.00128813	0.00150310	0.00121400	0.00152272	0.00157718	0.00138689	0.00080756	0.00131518	0.00132557	0.00150483	0.00115839	0.00146565	0.00098990	0.00133868	0.00159691	0.00152183	0.00110694	0.00113989	0.00149583	0.00128015	0.00144605	0.00144099	0.00119539	0.00148279	0.00135126	0.00119752	0.00148239	0.00137145	0.00158680	0.00161193	0.00143394	0.00111599	0.00144997	0.00110853	0.00131273	0.00118849	0.00121575	0.00115631	0.00104182	0.00120093	0.00128784	0.00158310	0.00120642	0.00113031	0.00091574	0.00085280	0.00128533	0.00115300	0.00150070	0.00151564	0.00130443	0.00146421	0.00102011	0.00099479	0.00138956	0.00128622	0.00142329	0.00117286	0.00098526	0.00113740	0.00136371	0.00129375	0.00131495	0.00126520	0.00088176	0.00116955	0.00126638	0.00119707	0.00103903	0.00124127	0.00106947	0.00144872	0.00129590	0.00103889	0.00118912	0.00128442	0.00120625	0.00143388	0.00106411	0.00181311	0.00129895	0.00111878
LC->VU	0.00090570	0.00107722	0.00066485	0.00074269	0.00083546	0.00060973	0.00089270	0.00058462	0.00119748	0.00064155	0.00092545	0.00081777	0.00061201	0.00068080	0.00066896	0.00099042	0.00075863	0.00069515	0.00096905	0.00095679	0.00088648	0.00077360	0.00098722	0.00083708	0.00099931	0.00109172	0.00083094	0.00093634	0.00074270	0.00063689	0.00079929	0.00069849	0.00108976	0.00079116	0.00084561	0.00075332	0.00089609	0.00114455	0.00067460	0.00069688	0.00107080	0.00098935	0.00070279	0.00065823	0.00081055	0.00084692	0.00118309	0.00091817	0.00075820	0.00101374	0.00090285	0.00079755	0.00076215	0.00116461	0.00134833	0.00070955	0.00074046	0.00080139	0.00101194	0.00077662	0.00078740	0.00084721	0.00082595	0.00080099	0.00075375	0.00069486	0.00090015	0.00085725	0.00075250	0.00083396	0.00082642	0.00097058	0.00077073	0.00068303	0.00097620	0.00068881	0.00060136	0.00071387	0.00071871	0.00089765	0.00078526	0.00069815	0.00094022	0.00083048	0.00096087	0.00073391	0.00074607	0.00083965	0.00055627	0.00074757	0.00072753	0.00084391	0.00089351	0.00063155	0.00094807	0.00075800	0.00080692	0.00070553	0.00080221	0.00100710
LC->EN	0.00024475	0.00015697	0.00035894	0.00012508	0.00020447	0.00027497	0.00012566	0.00015884	0.00032822	0.00019373	0.00012375	0.00016450	0.00018153	0.00012033	0.00020618	0.00014103	0.00027736	0.00021160	0.00021839	0.00016364	0.00022606	0.00018595	0.00040501	0.00016123	0.00018845	0.00018835	0.00015921	0.00020516	0.00010132	0.00017710	0.00036893	0.00023531	0.00019098	0.00016745	0.00020475	0.00013851	0.00026612	0.00020231	0.00011919	0.00016220	0.00019358	0.00026034	0.00017232	0.00023399	0.00024382	0.00021112	0.00012904	0.00018692	0.00021758	0.00023273	0.00017003	0.00025839	0.00017948	0.00018402	0.00020314	0.00022278	0.00021077	0.00017532	0.00014186	0.00021694	0.00014688	0.00012152	0.00017682	0.00012888	0.00011452	0.00007701	0.00018366	0.00020652	0.00009155	0.00019315	0.00028153	0.00022537	0.00017891	0.00022438	0.00017212	0.00026978	0.00018013	0.00020823	0.00014844	0.00018481	0.00019826	0.00020940	0.00036292	0.00019011	0.00017402	0.00017617	0.00009156	0.00014640	0.00010327	0.00013998	0.00019697	0.00014461	0.00009853	0.00013598	0.00021175	0.00021764	0.00023601	0.00015306	0.00015940	0.00026341
LC->CR	0.00005439	0.00003387	0.00008853	0.00022100	0.00006841	0.00008125	0.00010914	0.00004220	0.00005312	0.00008321	0.00014434	0.00013330	0.00004822	0.00006131	0.00004124	0.00003067	0.00002941	0.00005492	0.00011377	0.00011456	0.00004488	0.00008539	0.00008584	0.00007272	0.00004561	0.00019715	0.00011401	0.00010917	0.00015370	0.00007478	0.00008648	0.00002519	0.00004227	0.00010252	0.00005144	0.00004646	0.00004758	0.00006872	0.00017291	0.00012776	0.00004131	0.00012201	0.00010327	0.00008095	0.00008594	0.00003798	0.00009532	0.00007804	0.00006486	0.00009565	0.00014954	0.00007740	0.00007045	0.00007247	0.00007297	0.00005106	0.00010098	0.00008215	0.00011352	0.00006269	0.00004868	0.00013126	0.00003919	0.00006239	0.00016072	0.00009233	0.00013029	0.00007849	0.00011711	0.00003918	0.00014439	0.00012984	0.00006217	0.00010596	0.00015441	0.00019867	0.00008851	0.00011657	0.00004969	0.00007570	0.00003156	0.00013189	0.00014151	0.00005423	0.00003640	0.00004660	0.00008032	0.00022369	0.00006246	0.00010974	0.00021309	0.00008080	0.00005788	0.00020907	0.00013688	0.00011609	0.00013622	0.00009680	0.00007631	0.00009840
LC->DD	0.00082769	0.00049496	0.00080098	0.00084606	0.00051126	0.00095283	0.00052312	0.00061875	0.00077568	0.00073892	0.00044224	0.00049706	0.00088927	0.00063244	0.00058320	0.00068342	0.00049689	0.00072196	0.00063190	0.00049292	0.00062035	0.00057481	0.00073665	0.00061006	0.00051831	0.00059794	0.00058155	0.00056935	0.00068821	0.00053574	0.00049084	0.00049657	0.00052104	0.00049972	0.00054097	0.00057368	0.00068704	0.00042788	0.00066960	0.00068548	0.00053659	0.00052667	0.00056794	0.00056512	0.00068296	0.00061239	0.00094958	0.00079368	0.00061500	0.00079668	0.00040248	0.00060789	0.00066217	0.00045054	0.00060341	0.00069257	0.00062216	0.00082565	0.00050707	0.00068509	0.00053440	0.00036970	0.00059371	0.00081597	0.00087211	0.00053722	0.00043092	0.00064254	0.00059601	0.00077034	0.00076017	0.00058089	0.00088943	0.00066303	0.00054504	0.00073129	0.00050565	0.00055335	0.00081337	0.00049590	0.00037346	0.00055628	0.00059097	0.00088763	0.00074338	0.00073710	0.00073972	0.00056835	0.00043295	0.00065019	0.00051563	0.00076345	0.00069105	0.00074152	0.00050561	0.00049972	0.00071188	0.00051945	0.00057408	0.00055678
NT->LC	0.01856870	0.02277179	0.01618983	0.01687209	0.01977883	0.02139159	0.02030867	0.02157702	0.02063852	0.02066694	0.01914098	0.01820193	0.02010049	0.01700222	0.02302715	0.01948182	0.01805808	0.02116412	0.02253659	0.01808832	0.01853679	0.01956482	0.02036872	0.01863083	0.02072148	0.02137696	0.02181824	0.01991721	0.02028243	0.02212713	0.02518238	0.01821090	0.02108097	0.02197123	0.02609269	0.02244518	0.01943577	0.01677768	0.01801900	0.02119827	0.01984511	0.02186169	0.02437937	0.01915785	0.02172356	0.01641076	0.01943754	0.02045726	0.01952941	0.01763926	0.01848236	0.02027610	0.02265817	0.01913039	0.01765704	0.01908599	0.02086388	0.02132674	0.01881269	0.01805802	0.02047130	0.02023331	0.01679739	0.02194543	0.02164554	0.02032300	0.01695413	0.02352580	0.02253887	0.02602509	0.02020194	0.02151736	0.01775060	0.01758717	0.01594708	0.01668226	0.02145507	0.01826030	0.02535542	0.01939972	0.02277841	0.01763597	0.02094589	0.02019457	0.01990767	0.02153092	0.01978690	0.01607419	0.02058563	0.01942707	0.01851789	0.02148594	0.01953545	0.02200856	0.02089436	0.02086621	0.01735904	0.01917252	0.01991136	0.02089543
NT->VU	0.00939619	0.00978799	0.01182349	0.00745034	0.00718212	0.01328544	0.00986184	0.01076077	0.00948471	0.01075610	0.00933153	0.01236296	0.00874378	0.00935007	0.00707299	0.01157011	0.00979679	0.01146153	0.00975415	0.01063078	0.00900931	0.00894009	0.00847117	0.00869091	0.00961493	0.01182235	0.01198276	0.00843149	0.01026053	0.00997015	0.01288873	0.01199260	0.00796240	0.01136242	0.00899119	0.01027536	0.01288431	0.00756168	0.00970592	0.00700001	0.01086199	0.00804247	0.00855568	0.00851747	0.00980164	0.00924971	0.00923390	0.01172837	0.00930420	0.01183991	0.01045356	0.00795769	0.00974061	0.01024204	0.01262017	0.01115345	0.01128000	0.00847479	0.01019436	0.00967504	0.00985803	0.00763491	0.01083499	0.00836902	0.00929613	0.01024278	0.00949940	0.01188714	0.01081949	0.00907754	0.01002158	0.00959750	0.00829285	0.00992238	0.01088446	0.01089222	0.01007973	0.01113802	0.00980208	0.01076896	0.01084287	0.00891419	0.00984241	0.00838514	0.00960588	0.01204748	0.01072427	0.00893048	0.00789932	0.01005698	0.01080229	0.00723133	0.01084996	0.00933425	0.00845435	0.01085543	0.01009147	0.01109572	0.01078003	0.01201845
NT->EN	0.00319758	0.00134521	0.00307665	0.00434193	0.00246711	0.00492387	0.00376548	0.00311939	0.00304946	0.00414726	0.00299446	0.00497013	0.00478062	0.00237310	0.00287949	0.00305166	0.00298513	0.00286121	0.00313667	0.00321141	0.00296287	0.00463800	0.00371279	0.00424235	0.00384117	0.00220845	0.00338923	0.00268689	0.00321699	0.00433657	0.00191013	0.00149406	0.00509013	0.00422641	0.00448892	0.00450238	0.00524586	0.00175314	0.00268302	0.00438966	0.00322115	0.00464480	0.00465657	0.00326123	0.00393833	0.00214120	0.00253434	0.00524918	0.00334728	0.00361579	0.00413400	0.00219811	0.00292803	0.00312986	0.00481714	0.00464778	0.00276905	0.00432517	0.00330052	0.00270722	0.00243996	0.00350453	0.00391056	0.00271911	0.00236443	0.00311523	0.00334236	0.00453749	0.00397296	0.00236635	0.00328581	0.00318871	0.00356004	0.00280586	0.00372581	0.00304025	0.00251961	0.00370334	0.00366411	0.00263639	0.00349606	0.00450784	0.00415508	0.00326263	0.00222033	0.00362440	0.00416723	0.00330023	0.00442693	0.00357748	0.00567907	0.00519030	0.00265251	0.00300579	0.00306144	0.00253172	0.00439279	0.00380993	0.00351570	0.00341628
NT->CR	0.00110906	0.00159387	0.00096928	0.00163693	0.00119232	0.00127342	0.00041646	0.00092321	0.00134884	0.00044706	0.00104387	0.00123397	0.00188325	0.00141100	0.00050609	0.00144945	0.00154544	0.00123069	0.00063429	0.00104307	0.00216866	0.00040757	0.00146994	0.00107006	0.00023413	0.00085167	0.00142704	0.00084225	0.00074396	0.00087299	0.00094672	0.00072531	0.00076628	0.00088380	0.00101077	0.00046187	0.00086227	0.00023409	0.00024396	0.00102388	0.00076998	0.00037095	0.00110035	0.00133146	0.00105717	0.00137441	0.00098538	0.00026322	0.00106276	0.00081447	0.00106010	0.00070456	0.00062198	0.00047958	0.00125220	0.00057671	0.00116453	0.00040589	0.00122027	0.00158723	0.00088620	0.00076676	0.00089822	0.00066619	0.00131980	0.00072768	0.00110602	0.00135974	0.00151215	0.00037728	0.00069267	0.00189927	0.00047779	0.00107819	0.00089786	0.00097566	0.00115692	0.00099039	0.00078841	0.00121428	0.00080042	0.00029279	0.00167707	0.00171965	0.00074552	0.00050380	0.00054053	0.00048747	0.00102899	0.00062214	0.00032565	0.00076800	0.00050735	0.00059649	0.00093927	0.00097046	0.00039106	0.00079418	0.00084521	0.00063413
NT->DD	0.00258258	0.00332404	0.00532495	0.00515858	0.00573442	0.00558860	0.00313834	0.00457268	0.00424627	0.00376373	0.00579031	0.00304990	0.00436481	0.00515640	0.00619478	0.00440740	0.00502180	0.00630104	0.00433971	0.00384526	0.00645037	0.00462647	0.00474717	0.00533230	0.00527093	0.00303593	0.00425333	0.00358407	0.00360937	0.00321271	0.00485456	0.00379698	0.00525146	0.00458526	0.00283126	0.00288050	0.00400556	0.00268841	0.00449125	0.00569413	0.00260323	0.00536715	0.00484543	0.00594012	0.00513058	0.00549459	0.00264156	0.00455746	0.00288248	0.00408953	0.00558180	0.00491809	0.00456804	0.00507035	0.00608104	0.00450667	0.00307253	0.00249728	0.00485792	0.00331759	0.00473376	0.00350978	0.00490200	0.00566458	0.00367833	0.00555277	0.00490572	0.00391769	0.00328665	0.00475014	0.00500497	0.00327875	0.00341803	0.00461277	0.00506950	0.00694276	0.00345797	0.00681652	0.00597089	0.00432648	0.00587774	0.00356171	0.00446928	0.00485423	0.00400177	0.00346193	0.00464729	0.00406650	0.00458313	0.00246316	0.00366233	0.00282057	0.00494979	0.00295864	0.00475868	0.00472247	0.00403202	0.00818624	0.00505401	0.00318672
