species	simulated_ext_prob_in_100_years
Abditomys latidens	0.17910000
Abeomelomys sevia	0.02060000
Abrawayaomys chebezi	0.16050000
Abrawayaomys ruschii	0.01840000
Abrocoma bennettii	0.01860000
Abrocoma boliviensis	0.82900000
Abrocoma budini	0.17530000
Abrocoma cinerea	0.01900000
Abrocoma famatina	0.17660000
Abrocoma shistacea	0.02020000
Abrocoma uspallata	0.17040000
Abrocoma vaccarum	0.17630000
Abrothrix andinus	0.01970000
Abrothrix illutea	0.02060000
Abrothrix jelskii	0.02090000
Abrothrix lanosus	0.01970000
Abrothrix longipilis	0.02290000
Abrothrix olivaceus	0.02060000
Abrothrix sanborni	0.10430000
Acerodon celebensis	0.14520000
Acerodon humilis	0.30190000
Acerodon jubatus	0.27610000
Acerodon leucotis	0.14300000
Acerodon mackloti	0.14050000
Acinonyx jubatus	0.14660000
Acomys airensis	0.02260000
Acomys cahirinus	0.02210000
Acomys cilicicus	0.18030000
Acomys cineraceus	0.02090000
Acomys dimidiatus	0.02040000
Acomys ignitus	0.02000000
Acomys johannis	0.02140000
Acomys kempi	0.02290000
Acomys louisae	0.01830000
Acomys minous	0.18340000
Acomys mullah	0.02180000
Acomys muzei	0.01980000
Acomys nesiotes	0.18100000
Acomys ngurui	0.02010000
Acomys percivali	0.01980000
Acomys russatus	0.01800000
Acomys selousi	0.01820000
Acomys seurati	0.02100000
Acomys spinosissimus	0.01820000
Acomys wilsoni	0.01780000
Aconaemys fuscus	0.01920000
Aconaemys porteri	0.17400000
Aconaemys sagei	0.18340000
Acrobates pygmaeus	0.01980000
Addax nasomaculatus	0.55720000
Aegialomys galapagoensis	0.21010000
Aegialomys xanthaeolus	0.02220000
Aepeomys lugens	0.02230000
Aepeomys reigi	0.21470000
Aepyceros melampus	0.01360000
Aepyprymnus rufescens	0.02060000
Aeretes melanopterus	0.09230000
Aeromys tephromelas	0.15190000
Aeromys thomasi	0.01570000
Aethalops aequalis	0.02100000
Aethalops alecto	0.01840000
Aethomys bocagei	0.02200000
Aethomys chrysophilus	0.02030000
Aethomys hindei	0.02350000
Aethomys ineptus	0.01730000
Aethomys kaiseri	0.02240000
Aethomys nyikae	0.02240000
Aethomys silindensis	0.17940000
Aethomys stannarius	0.18280000
Aethomys thomasi	0.01840000
Ailuropoda melanoleuca	0.10220000
Ailurops melanotis	0.73400000
Ailurops ursinus	0.16350000
Ailurus fulgens	0.35460000
Akodon aerosus	0.01990000
Akodon affinis	0.01990000
Akodon albiventer	0.02190000
Akodon azarae	0.02360000
Akodon boliviensis	0.02250000
Akodon budini	0.01900000
Akodon caenosus	0.15910000
Akodon cursor	0.01900000
Akodon dayi	0.02260000
Akodon dolores	0.02390000
Akodon fumeus	0.02060000
Akodon iniscatus	0.01960000
Akodon juninensis	0.01920000
Akodon kofordi	0.02220000
