species	rate_e_mean	rate_e_lower	rate_e_upper
All taxa combined	0.00015367	0.00015334	0.00015397
Abditomys latidens	0.00023153	0.00020145	0.00026253
Abeomelomys sevia	0.00004094	0.00002920	0.00005387
Abrawayaomys chebezi	0.00018979	0.00016423	0.00021839
Abrawayaomys ruschii	0.00004132	0.00002934	0.00005403
Abrocoma bennettii	0.00002317	0.00001417	0.00003290
Abrocoma boliviensis	0.00137039	0.00129709	0.00144623
Abrocoma budini	0.00019178	0.00016557	0.00021934
Abrocoma cinerea	0.00003816	0.00002673	0.00005052
Abrocoma famatina	0.00020683	0.00017768	0.00023347
Abrocoma shistacea	0.00004018	0.00002805	0.00005271
Abrocoma uspallata	0.00017873	0.00015222	0.00020460
Abrocoma vaccarum	0.00021212	0.00018467	0.00024172
Abrothrix andinus	0.00002587	0.00001579	0.00003576
Abrothrix illutea	0.00002599	0.00001631	0.00003609
Abrothrix jelskii	0.00003014	0.00001985	0.00004102
Abrothrix lanosus	0.00003606	0.00002480	0.00004760
Abrothrix longipilis	0.00003585	0.00002476	0.00004782
Abrothrix olivaceus	0.00004303	0.00003101	0.00005593
Abrothrix sanborni	0.00011960	0.00009863	0.00014146
Acerodon celebensis	0.00019727	0.00017074	0.00022503
Acerodon humilis	0.00034600	0.00030773	0.00038207
Acerodon jubatus	0.00033457	0.00029767	0.00036950
Acerodon leucotis	0.00019778	0.00017052	0.00022485
Acerodon mackloti	0.00017913	0.00015405	0.00020623
Acinonyx jubatus	0.00018780	0.00016089	0.00021465
Acomys airensis	0.00003714	0.00002547	0.00004874
Acomys cahirinus	0.00003727	0.00002533	0.00004862
Acomys cilicicus	0.00021817	0.00019029	0.00024890
Acomys cineraceus	0.00003910	0.00002776	0.00005210
Acomys dimidiatus	0.00004372	0.00003162	0.00005755
Acomys ignitus	0.00003712	0.00002524	0.00004899
Acomys johannis	0.00003507	0.00002401	0.00004685
Acomys kempi	0.00003199	0.00002181	0.00004377
Acomys louisae	0.00003722	0.00002638	0.00004973
Acomys minous	0.00023478	0.00020484	0.00026499
Acomys mullah	0.00002628	0.00001676	0.00003662
Acomys muzei	0.00003024	0.00002000	0.00004127
Acomys nesiotes	0.00020814	0.00018119	0.00023804
Acomys ngurui	0.00004011	0.00002844	0.00005298
Acomys percivali	0.00003006	0.00001983	0.00004105
Acomys russatus	0.00003813	0.00002682	0.00005053
Acomys selousi	0.00002814	0.00001807	0.00003834
Acomys seurati	0.00003990	0.00002801	0.00005228
Acomys spinosissimus	0.00003278	0.00002203	0.00004453
Acomys wilsoni	0.00004004	0.00002818	0.00005250
Aconaemys fuscus	0.00003475	0.00002401	0.00004628
Aconaemys porteri	0.00021219	0.00018518	0.00024229
Aconaemys sagei	0.00021529	0.00018519	0.00024293
Acrobates pygmaeus	0.00005213	0.00003864	0.00006687
Addax nasomaculatus	0.00137095	0.00129586	0.00144496
Aegialomys galapagoensis	0.00021054	0.00018181	0.00023830
Aegialomys xanthaeolus	0.00003024	0.00001987	0.00004067
Aepeomys lugens	0.00003305	0.00002203	0.00004439
Aepeomys reigi	0.00018544	0.00015922	0.00021263
Aepyceros melampus	0.00003694	0.00002584	0.00004935
Aepyprymnus rufescens	0.00004507	0.00003233	0.00005817
Aeretes melanopterus	0.00013272	0.00011068	0.00015530
Aeromys tephromelas	0.00020498	0.00017675	0.00023260
Aeromys thomasi	0.00002498	0.00001577	0.00003561
Aethalops aequalis	0.00003400	0.00002295	0.00004569
Aethalops alecto	0.00002888	0.00001903	0.00003979
Aethomys bocagei	0.00003905	0.00002731	0.00005147
Aethomys chrysophilus	0.00003609	0.00002449	0.00004787
Aethomys hindei	0.00003323	0.00002265	0.00004492
Aethomys ineptus	0.00003810	0.00002673	0.00005055
Aethomys kaiseri	0.00003293	0.00002228	0.00004456
Aethomys nyikae	0.00003107	0.00002086	0.00004245
Aethomys silindensis	0.00019857	0.00017126	0.00022617
Aethomys stannarius	0.00019962	0.00017287	0.00022796
Aethomys thomasi	0.00003319	0.00002199	0.00004441
Ailuropoda melanoleuca	0.00020967	0.00018221	0.00023905
Ailurops melanotis	0.00132221	0.00124854	0.00139944
Ailurops ursinus	0.00020371	0.00017561	0.00023184
Ailurus fulgens	0.00030564	0.00027224	0.00034102
Akodon aerosus	0.00003497	0.00002401	0.00004728
Akodon affinis	0.00003201	0.00002175	0.00004326
Akodon albiventer	0.00003218	0.00002103	0.00004287
Akodon azarae	0.00003209	0.00002179	0.00004332
Akodon boliviensis	0.00003515	0.00002395	0.00004647
Akodon budini	0.00003582	0.00002452	0.00004805
Akodon caenosus	0.00019359	0.00016631	0.00022115
Akodon cursor	0.00003903	0.00002674	0.00005144
Akodon dayi	0.00004196	0.00003018	0.00005489
Akodon dolores	0.00002500	0.00001562	0.00003520
Akodon fumeus	0.00003602	0.00002408	0.00004776
Akodon iniscatus	0.00003412	0.00002333	0.00004596
Akodon juninensis	0.00002480	0.00001530	0.00003429
Akodon kofordi	0.00004406	0.00003087	0.00005689
Akodon lindberghi	0.00020425	0.00017741	0.00023344
Akodon lutescens	0.00003212	0.00002189	0.00004370
Akodon mimus	0.00004029	0.00002819	0.00005304
Akodon molinae	0.00004012	0.00002876	0.00005326
Akodon mollis	0.00004106	0.00002822	0.00005366
Akodon montensis	0.00003816	0.00002593	0.00005038
Akodon mystax	0.00018539	0.00015843	0.00021220
Akodon orophilus	0.00003420	0.00002312	0.00004565
Akodon paranaensis	0.00002301	0.00001357	0.00003209
Akodon pervalens	0.00018452	0.00015978	0.00021233
Akodon philipmyersi	0.00019309	0.00016643	0.00022061
Akodon polopi	0.00003201	0.00002125	0.00004302
Akodon reigi	0.00003829	0.00002701	0.00005074
Akodon sanctipaulensis	0.00021722	0.00018872	0.00024695
Akodon serrensis	0.00004282	0.00003072	0.00005596
Akodon siberiae	0.00012545	0.00010350	0.00014758
Akodon simulator	0.00003720	0.00002499	0.00004885
Akodon spegazzinii	0.00003405	0.00002297	0.00004556
Akodon subfuscus	0.00002181	0.00001285	0.00003125
Akodon surdus	0.00021817	0.00019055	0.00024903
Akodon sylvanus	0.00003314	0.00002258	0.00004472
Akodon toba	0.00003617	0.00002479	0.00004786
Akodon torques	0.00003399	0.00002250	0.00004537
Akodon varius	0.00019517	0.00016817	0.00022224
Alcelaphus buselaphus	0.00005013	0.00003655	0.00006437
Alces alces	0.00002722	0.00001794	0.00003793
Alionycteris paucidentata	0.00003714	0.00002553	0.00004936
Allactaga balikunica	0.00003799	0.00002646	0.00005044
Allactaga bullata	0.00002704	0.00001737	0.00003769
Allactaga elater	0.00004014	0.00002786	0.00005285
Allactaga euphratica	0.00004400	0.00003097	0.00005703
Allactaga firouzi	0.00018672	0.00015959	0.00021331
Allactaga hotsoni	0.00003395	0.00002305	0.00004539
Allactaga major	0.00003216	0.00002136	0.00004355
Allactaga severtzovi	0.00003601	0.00002511	0.00004831
Allactaga sibirica	0.00004415	0.00003168	0.00005723
Allactaga tetradactyla	0.00020901	0.00018163	0.00023834
Allactaga vinogradovi	0.00014995	0.00012583	0.00017400
Allactaga williamsi	0.00003118	0.00002077	0.00004210
Allactodipus bobrinskii	0.00003686	0.00002491	0.00004845
Allenopithecus nigroviridis	0.00003525	0.00002385	0.00004723
Allocebus trichotis	0.00020481	0.00017721	0.00023312
Allochrocebus lhoesti	0.00019864	0.00017090	0.00022593
Allochrocebus preussi	0.00036262	0.00032557	0.00039958
Allochrocebus solatus	0.00015621	0.00013187	0.00018045
Allocricetulus curtatus	0.00003327	0.00002203	0.00004511
Allocricetulus eversmanni	0.00003115	0.00002073	0.00004255
Alouatta arctoidea	0.00003112	0.00002056	0.00004219
Alouatta belzebul	0.00019036	0.00016273	0.00021678
Alouatta caraya	0.00003403	0.00002270	0.00004605
Alouatta discolor	0.00019972	0.00017208	0.00022743
Alouatta guariba	0.00003202	0.00002155	0.00004301
Alouatta macconnelli	0.00004100	0.00002878	0.00005396
Alouatta nigerrima	0.00003805	0.00002649	0.00005075
Alouatta palliata	0.00003007	0.00001993	0.00004144
Alouatta pigra	0.00032470	0.00029056	0.00036129
Alouatta sara	0.00003709	0.00002562	0.00004900
Alouatta ululata	0.00031239	0.00027767	0.00034685
Alticola albicaudus	0.00017668	0.00015069	0.00020350
Alticola argentatus	0.00003694	0.00002530	0.00004888
Alticola barakshin	0.00003128	0.00002062	0.00004273
Alticola lemminus	0.00003793	0.00002591	0.00004971
Alticola macrotis	0.00004012	0.00002878	0.00005321
Alticola montosa	0.00023186	0.00020329	0.00026260
Alticola olchonensis	0.00033551	0.00029842	0.00037100
Alticola roylei	0.00013378	0.00011154	0.00015691
Alticola semicanus	0.00004124	0.00002938	0.00005407
Alticola stoliczkanus	0.00004415	0.00003098	0.00005725
Alticola strelzowi	0.00004700	0.00003394	0.00006035
Alticola tuvinicus	0.00003815	0.00002628	0.00005065
Amblysomus corriae	0.00014481	0.00012254	0.00016931
Amblysomus hottentotus	0.00004311	0.00003012	0.00005582
Amblysomus marleyi	0.00036688	0.00033074	0.00040616
Amblysomus robustus	0.00020162	0.00017399	0.00022961
Amblysomus septentrionalis	0.00014671	0.00012197	0.00016990
Ametrida centurio	0.00003400	0.00002297	0.00004511
Ammodillus imbellis	0.00018942	0.00016288	0.00021640
Ammodorcas clarkei	0.00017842	0.00015156	0.00020425
