year	LC	NT	VU	EN	CR	EX
0	3734	427	649	645	262	0
1	3738	424	647	646	260	1
2	3743	420	646	647	259	1
3	3747	417	644	648	257	2
4	3751	414	643	649	256	3
5	3755	411	641	649	255	4
6	3760	409	640	650	254	4
7	3764	406	638	651	252	5
8	3768	403	637	651	251	6
9	3772	401	635	651	250	7
10	3775	398	634	652	249	8
11	3779	396	633	652	247	8
12	3783	394	631	653	246	9
13	3787	391	630	653	245	10
14	3790	389	629	653	244	11
15	3794	387	627	654	243	12
16	3797	385	626	654	242	12
17	3801	383	625	654	241	13
18	3804	381	623	654	240	14
19	3807	379	622	654	239	15
20	3811	377	621	654	238	16
21	3814	376	619	654	237	16
22	3817	374	618	654	236	17
23	3820	372	617	654	235	18
24	3823	370	616	654	234	19
25	3826	369	614	654	233	20
26	3829	367	613	653	232	20
27	3832	366	612	653	231	21
28	3835	365	611	653	230	22
29	3838	363	610	653	230	23
30	3841	362	608	653	229	24
31	3844	360	607	652	228	25
32	3846	359	606	652	227	26
33	3849	358	605	652	226	26
34	3852	356	604	651	225	27
35	3854	355	603	651	225	28
36	3857	354	602	651	224	29
37	3860	353	601	650	223	30
38	3862	352	599	650	222	31
39	3865	351	598	649	222	32
40	3867	350	597	649	221	32
41	3869	348	596	648	220	33
42	3872	348	595	648	220	34
43	3874	347	594	647	219	35
44	3876	346	593	647	218	36
45	3879	345	592	646	218	37
46	3881	344	591	645	217	38
47	3883	343	590	645	216	38
48	3885	342	589	644	216	39
49	3887	341	588	644	215	40
50	3890	340	588	643	214	41
51	3892	340	587	642	214	42
52	3894	339	586	642	213	43
53	3896	338	585	641	212	44
54	3898	337	584	640	212	45
55	3900	337	583	640	211	46
56	3902	336	582	639	211	46
57	3904	335	581	638	210	47
58	3906	335	580	638	209	48
59	3908	334	579	637	209	49
60	3910	333	578	636	208	50
61	3911	333	577	636	208	51
62	3913	332	577	635	207	52
63	3915	331	576	634	207	53
64	3917	331	575	634	206	54
65	3919	330	574	633	206	55
66	3920	330	573	632	205	55
67	3922	329	573	631	205	56
68	3924	329	572	631	204	57
69	3926	328	571	630	203	58
70	3927	327	570	629	203	59
71	3929	327	569	628	203	60
72	3931	326	568	628	202	61
73	3932	326	568	627	202	62
74	3934	325	567	626	201	63
75	3935	325	566	625	201	64
76	3937	324	565	624	200	65
77	3938	324	565	624	200	66
78	3940	324	564	623	199	67
79	3941	323	563	622	199	67
80	3943	323	562	621	198	68
81	3944	322	562	621	198	69
82	3946	322	561	620	197	70
83	3947	321	560	619	197	71
84	3949	321	560	618	196	72
85	3950	321	559	618	196	73
86	3951	320	558	617	195	74
87	3953	320	557	616	195	75
88	3954	320	557	615	195	76
89	3955	319	556	614	194	77
90	3956	319	555	614	194	78
91	3958	319	555	613	193	79
92	3959	318	554	612	193	80
93	3960	318	554	611	192	81
94	3961	318	553	611	192	82
95	3963	317	552	610	192	82
96	3964	317	552	609	191	83
97	3965	317	551	608	191	84
98	3966	316	550	608	190	85
99	3968	316	549	607	190	86
100	3969	316	549	606	190	87
