Scientific name	Year of Assessment
Bos sauveli	2008
Crocidura trichura	2008
Cryptochloris wintoni	2008
Dendrolagus mayri	2008
Dipodomys gravipes	2008
Gyldenstolpia fronto	2018
Lipotes vexillifer	2008
Melanomys zunigae	2008
Mesocapromys nanus	2008
Mesocapromys sanfelipensis	2008
Monodelphis unistriata	2011
Murina tenebrosa	2008
Mystacina robusta	2008
Nilopegamys plumbeus	2008
Nyctophilus howensis	2008
Peromyscus guardia	2008
Peromyscus mekisturus	2008
Phalanger matanim	2008
Pharotis imogene	2008
Piliocolobus waldroni	2019
Pteralopex pulchra	2008
Pteropus aruensis	2008
Pteropus tuberculatus	2008
Tylomys bullaris	2019
Tylomys tumbalensis	2019
Uromys emmae	2008
Uromys imperator	2008
Uromys porculus	2008
Viverra civettina	2015
