Abditomys latidens	DD	3.844	1.324	2.673	1.544	1.554	2.279	1.392	0.731	2.221	1.675	2.039	1.062	1.792	1.624	1.511	1.556	1.448	1.755	1.508	1.607	1.142	1.888	4.177	2.53	1.666	2.429	1.663	2.561	3.0	1.672	3.33	1.537	1.718	1.768	2.087	2.179	2.746	1.252	1.662	1.278	1.879	1.371	1.738	1.691	1.871	1.425	1.561	1.447	3.289	1.72	1.098	1.061	2.205	1.267	1.174	3.397	1.05	2.171	2.429	1.643	1.582	0.614	2.0	1.788	1.894	2.311	1.876	1.58	1.829	1.689	2.233	1.219	1.577	1.782	1.857	1.44	1.516	2.573	1.967	2.138	1.159	1.481	1.281	2.039	0.952	1.851	2.446	2.045	2.839	2.358	1.55	3.938	2.085	1.861	1.656	1.755	1.252	0.765	1.345	2.455
Abeomelomys sevia	LC	1.592	1.133	1.436	1.587	2.624	1.739	1.493	2.757	1.63	3.003	1.624	0.76	1.952	2.884	2.907	1.845	2.09	2.094	1.427	1.949	1.881	1.279	2.115	1.421	1.894	1.758	1.083	1.609	1.672	2.625	2.683	1.115	1.706	2.49	2.168	1.141	1.554	1.978	1.424	1.604	1.393	1.854	1.763	1.793	2.636	3.219	2.043	1.438	1.877	0.969	1.864	1.348	2.062	1.28	1.439	2.197	1.393	1.995	2.606	1.83	3.222	1.999	1.452	2.165	1.982	1.317	1.153	1.184	1.231	2.277	2.217	1.091	1.896	1.712	0.708	1.721	1.155	1.201	1.631	0.923	1.117	2.69	1.898	2.053	1.172	1.961	1.527	1.721	2.047	1.874	1.681	2.005	1.496	1.237	2.276	1.503	1.431	2.271	2.062	4.513
Abrawayaomys chebezi	DD	5.131	4.643	4.238	4.176	4.313	4.666	4.41	4.553	4.658	4.619	4.331	4.547	4.618	4.047	5.027	4.632	4.838	5.051	4.248	4.496	4.775	4.656	4.51	4.607	4.963	5.216	4.485	4.709	4.333	4.756	4.589	5.224	4.948	5.027	4.339	4.753	4.877	4.741	4.381	5.001	4.213	4.07	4.274	4.479	4.869	4.402	4.424	4.44	4.688	4.395	5.071	4.485	5.052	4.71	4.788	4.251	4.503	4.772	4.446	4.272	4.709	4.744	4.39	4.775	4.632	4.789	4.508	5.151	4.888	4.567	4.431	4.52	4.361	4.575	4.559	4.618	4.947	4.601	4.582	4.678	4.71	4.377	4.559	4.409	4.435	4.599	4.734	4.557	5.57	4.99	4.316	4.302	4.435	5.015	4.388	4.313	5.004	4.796	5.72	4.615
Abrawayaomys ruschii	LC	1.063	1.268	1.204	0.886	3.332	2.794	1.969	1.1	1.24	0.856	2.389	1.009	0.618	0.821	1.133	1.004	0.925	0.654	1.792	1.083	1.152	0.718	0.786	0.534	1.165	1.58	2.304	1.139	0.929	1.403	1.031	1.906	0.739	1.288	0.772	0.821	0.961	0.93	1.224	0.966	0.99	0.912	0.871	1.838	1.63	1.502	1.558	0.76	1.008	0.981	1.207	0.738	2.498	0.948	1.106	0.784	0.713	1.319	0.537	1.354	2.069	1.466	1.071	1.006	0.837	0.878	1.122	0.907	0.955	0.873	1.406	1.911	0.9	1.193	0.775	0.728	1.233	1.767	1.759	0.983	1.382	0.601	0.503	0.714	0.973	1.38	0.76	0.689	0.936	1.554	0.885	1.136	1.176	1.039	0.906	1.758	1.398	1.248	1.039	1.967
Abrocoma bennettii	LC	3.471	4.579	1.115	4.462	2.284	7.845	3.239	1.433	2.702	3.019	1.735	2.869	1.533	2.254	3.659	6.62	3.861	2.181	3.595	4.655	3.51	4.789	2.688	1.595	2.963	2.351	1.033	3.681	3.158	3.987	3.516	2.28	3.453	1.952	2.475	2.886	3.598	2.602	2.259	2.254	2.349	1.686	2.699	3.98	2.884	2.069	6.306	1.382	1.649	2.039	3.419	1.125	3.516	6.24	2.708	2.645	2.613	1.422	5.554	1.825	3.396	1.901	3.175	1.572	2.362	3.929	1.931	2.475	2.562	4.275	3.469	1.099	2.169	4.348	2.541	4.334	2.464	2.499	3.816	5.787	3.566	2.623	5.068	2.302	1.906	3.463	4.225	3.789	1.973	3.062	2.001	3.743	5.018	3.14	2.736	3.233	1.902	3.712	3.152	1.884
Abrocoma boliviensis	CR	1.893	1.421	4.699	2.189	2.744	3.935	2.929	3.506	3.158	1.334	1.557	0.94	3.371	2.233	2.209	1.259	1.621	1.228	1.33	3.679	4.114	3.215	4.168	3.355	2.35	5.523	1.243	1.7	3.434	4.081	2.579	2.973	1.386	2.859	3.973	1.781	4.746	2.653	2.968	1.483	1.946	1.915	0.996	2.91	2.173	1.121	4.451	2.652	1.811	3.676	3.034	1.91	2.335	1.539	6.51	1.892	1.254	2.81	2.095	7.8	0.63	3.141	2.091	3.985	2.992	5.041	3.332	5.962	1.027	1.71	6.81	2.23	4.156	3.247	1.898	2.921	2.258	1.13	2.079	2.716	2.704	3.322	1.167	1.296	4.51	3.384	2.693	2.439	1.894	1.129	2.42	2.61	4.657	1.55	3.376	3.663	5.537	1.998	2.422	1.31
Abrocoma budini	DD	3.43	4.44	3.017	1.561	2.231	4.214	1.921	2.841	3.849	3.118	3.772	1.304	1.625	2.141	3.932	2.663	5.001	1.438	2.486	3.129	5.144	1.706	1.73	3.526	1.404	2.891	5.347	4.881	1.212	1.409	4.131	2.73	2.44	1.157	5.728	1.492	4.117	2.312	3.969	3.681	2.336	2.707	3.202	5.695	2.31	2.645	6.188	3.083	3.895	2.623	6.197	4.212	3.934	3.101	3.213	1.936	1.359	4.436	3.265	4.903	3.057	2.534	4.122	1.614	2.777	1.559	2.944	2.37	3.788	3.122	2.349	3.032	1.391	6.094	1.617	2.468	2.284	1.104	2.726	3.093	1.538	3.601	2.384	0.736	6.163	2.293	1.549	4.26	1.954	4.87	3.17	2.459	3.556	0.9	3.088	3.526	3.365	3.237	2.092	5.923
Abrocoma cinerea	LC	1.462	1.69	2.301	2.561	5.421	3.843	3.11	11.222	5.254	2.112	7.176	2.528	5.771	1.602	2.429	7.01	3.817	4.171	2.931	2.662	3.741	2.604	9.483	2.449	2.496	2.26	5.15	2.672	4.286	1.227	3.6	2.958	4.304	1.949	1.163	3.443	2.36	7.42	3.511	1.998	3.526	2.15	2.822	1.572	2.845	1.869	1.822	1.878	2.109	4.658	3.828	9.871	3.133	2.218	2.684	3.331	5.778	2.52	7.142	3.46	4.918	4.897	4.534	1.678	2.909	4.539	2.873	4.046	1.93	1.845	2.264	1.319	2.532	2.684	1.907	1.71	3.529	2.106	7.303	3.408	1.963	3.045	6.52	2.984	5.839	2.031	7.939	6.682	1.876	0.709	1.799	1.006	4.07	1.255	2.224	2.473	2.804	1.903	6.259	4.105
Abrocoma famatina	DD	3.178	2.229	1.108	2.972	5.398	5.319	2.997	3.58	2.234	2.868	3.554	2.191	2.547	1.946	2.67	0.868	1.432	2.665	1.827	1.573	1.616	1.873	1.561	5.046	1.408	3.21	3.957	2.422	4.679	4.234	0.98	2.33	3.484	2.293	3.327	0.825	3.533	4.324	4.825	4.17	1.493	5.231	2.524	2.769	5.805	2.137	4.019	4.277	3.971	1.7	2.044	1.876	3.249	2.921	2.927	1.721	2.085	2.89	3.087	1.817	2.719	3.938	3.08	2.69	1.327	2.198	5.113	6.242	2.676	3.628	1.074	4.653	1.527	2.771	4.782	4.506	4.453	2.001	1.121	1.535	4.559	6.176	2.562	2.195	1.552	3.939	2.168	1.653	0.753	2.843	5.292	4.485	1.152	3.859	1.426	2.902	1.494	4.047	5.656	1.73
Abrocoma shistacea	LC	1.242	3.16	4.925	2.751	2.749	1.526	2.282	4.087	3.563	5.843	2.638	2.633	3.181	3.956	6.063	0.731	1.976	5.303	4.362	1.739	1.959	3.458	6.233	2.157	1.143	4.411	6.239	2.779	2.975	2.956	3.545	2.416	2.476	3.061	3.396	2.839	4.928	2.132	2.283	2.275	1.713	7.941	2.816	2.247	1.544	1.858	2.147	6.288	4.069	6.083	2.12	2.803	3.568	2.078	4.435	2.791	2.029	3.521	7.447	3.87	2.199	2.337	2.96	1.583	0.995	3.792	3.558	3.407	2.84	3.573	1.4	2.31	2.658	3.216	2.722	2.935	4.103	2.451	5.324	2.021	3.495	3.885	4.922	1.57	2.928	7.942	2.942	3.217	2.2	3.735	2.588	2.353	2.243	1.894	3.274	1.705	1.632	1.943	3.465	2.584
