	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
0	Abditomys latidens								DD								DD					
1	Abeomelomys sevia								LC								LC					
2	Abrawayaomys chebezi																			DD		
3	Abrawayaomys ruschii																LC					
4	Abrocoma bennettii								LC								LC					
5	Abrocoma boliviensis								CR								CR					
6	Abrocoma budini								DD								DD					
7	Abrocoma cinerea								LC								LC					
8	Abrocoma famatina								DD								DD					
9	Abrocoma shistacea								DD								LC					
10	Abrocoma uspallata								DD								DD					
11	Abrocoma vaccarum								DD								DD					
12	Abrothrix andinus								LC								LC					
13	Abrothrix illutea								NT								LC					
14	Abrothrix jelskii								LC								LC					
15	Abrothrix lanosus								LC								LC					
16	Abrothrix longipilis								LC								LC					
17	Abrothrix manni																			LC		
18	Abrothrix olivaceus								LC									LC				
19	Abrothrix sanborni								NT										NT			
20	Acerodon celebensis								LC								VU					
21	Acerodon humilis								EN								EN					
22	Acerodon jubatus								EN								EN					
23	Acerodon leucotis								VU													
24	Acerodon mackloti								VU								VU					
25	Acinonyx jubatus		VU						VU							VU						
26	Acomys airensis				LC				LC								LC					
27	Acomys cahirinus				LC				LC								LC					
28	Acomys cilicicus								DD											DD		
29	Acomys cineraceus				LC				LC								LC					
30	Acomys dimidiatus								LC								LC					
31	Acomys ignitus				LC				LC								LC					
32	Acomys johannis				LC				LC								LC					
33	Acomys kempi				LC				LC								LC					
34	Acomys louisae				LC				LC								LC					
35	Acomys minous								DD											DD		
36	Acomys mullah				LC				LC								LC					
37	Acomys muzei																			LC		
38	Acomys nesiotes								DD											DD		
39	Acomys ngurui																			LC		
40	Acomys percivali				LC				LC								LC					
41	Acomys russatus								LC								LC					
42	Acomys selousi																			LC		
43	Acomys seurati				LC				LC													
44	Acomys spinosissimus																LC			LC		
45	Acomys wilsoni				LC				LC								LC	LC				
46	Aconaemys fuscus								LC					LC			LC					
47	Aconaemys porteri								DD								DD					
48	Aconaemys sagei								DD					DD			DD					
49	Acrobates pygmaeus								LC								LC					
50	Addax nasomaculatus						CR		CR								CR					
51	Aegialomys galapagoensis		VU						VU										VU			
52	Aegialomys xanthaeolus								LC								LC					
53	Aepeomys lugens								LC								LC					
54	Aepeomys reigi								VU										VU			
55	Aepyceros melampus								LC								LC					
56	Aepyprymnus rufescens								LC								LC					
57	Aeretes melanopterus								NT								NT					
58	Aeromys tephromelas								DD								DD					
59	Aeromys thomasi								DD								LC					
60	Aethalops aequalis								LC								LC					
61	Aethalops alecto								LC								LC					
62	Aethomys bocagei				LC				LC								LC					
63	Aethomys chrysophilus				LC				LC								LC					
64	Aethomys hindei				LC				LC								LC					
65	Aethomys ineptus				LC				LC								LC					
66	Aethomys kaiseri				LC				LC								LC					
67	Aethomys nyikae				LC				LC								LC					
68	Aethomys silindensis				VU				DD									DD				
69	Aethomys stannarius				NT				DD									DD				
70	Aethomys thomasi				LC				LC								LC					
71	Ailuropoda melanoleuca								EN								VU					
72	Ailurops melanotis								CR								CR					
73	Ailurops ursinus								VU											VU		
74	Ailurus fulgens								VU							EN						
75	Akodon aerosus								LC								LC					
76	Akodon affinis								LC								LC					
77	Akodon albiventer								LC								LC					
78	Akodon azarae								LC								LC					
79	Akodon boliviensis								LC								LC					
80	Akodon budini								LC								LC					
81	Akodon caenosus																			DD		
82	Akodon cursor								LC								LC					
83	Akodon dayi								LC								LC					
84	Akodon dolores																	LC				
85	Akodon fumeus								LC								LC					
86	Akodon iniscatus								LC								LC					
87	Akodon juninensis								LC								LC					
88	Akodon kofordi								LC								LC					
89	Akodon lindberghi								DD											DD		
90	Akodon lutescens								LC								LC					
91	Akodon mimus								LC								LC					
92	Akodon molinae								LC								LC					
93	Akodon mollis								LC								LC					
94	Akodon montensis								LC								LC					
95	Akodon mystax								DD											DD		
96	Akodon orophilus								LC								LC					
97	Akodon paranaensis								LC									LC				
98	Akodon pervalens								DD											DD		
99	Akodon philipmyersi								DD											DD		
100	Akodon polopi																		LC			
101	Akodon reigi								LC									LC				
102	Akodon sanctipaulensis								DD											DD		
103	Akodon serrensis								LC								LC					
104	Akodon siberiae								NT										NT			
105	Akodon simulator								LC								LC					
106	Akodon spegazzinii																LC		LC			
107	Akodon subfuscus								LC								LC					
108	Akodon surdus								VU										VU			
109	Akodon sylvanus								LC								LC					
110	Akodon toba								LC								LC					
111	Akodon torques								LC								LC					
112	Akodon varius								DD											DD		
