status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00125118	0.00099733	0.00107948	0.00167210	0.00093998	0.00155134	0.00117315	0.00108589	0.00119791	0.00124287	0.00162121	0.00138431	0.00105823	0.00115404	0.00127412	0.00133710	0.00138977	0.00098659	0.00110922	0.00116672	0.00116736	0.00088854	0.00118106	0.00146757	0.00093823	0.00115683	0.00149302	0.00140122	0.00119213	0.00139942	0.00114668	0.00131482	0.00118407	0.00127842	0.00127380	0.00107124	0.00110323	0.00117754	0.00102193	0.00107173	0.00105984	0.00113166	0.00110466	0.00121100	0.00088343	0.00162829	0.00133165	0.00117249	0.00134757	0.00142263	0.00088211	0.00139901	0.00121169	0.00100985	0.00134907	0.00142036	0.00107463	0.00110799	0.00125741	0.00116168	0.00078435	0.00115952	0.00121359	0.00107515	0.00113861	0.00082761	0.00132358	0.00121658	0.00133635	0.00125426	0.00139914	0.00107886	0.00101412	0.00114687	0.00138818	0.00106837	0.00096630	0.00130873	0.00146941	0.00123626	0.00121440	0.00100393	0.00099410	0.00131583	0.00086364	0.00111999	0.00111856	0.00120179	0.00123473	0.00118239	0.00111322	0.00084926	0.00122065	0.00126616	0.00142193	0.00133907	0.00144288	0.00146649	0.00110926	0.00107550
LC->VU	0.00072926	0.00085267	0.00102042	0.00063417	0.00079047	0.00054697	0.00060022	0.00083967	0.00072864	0.00097654	0.00077160	0.00092851	0.00063220	0.00082807	0.00084908	0.00113323	0.00080044	0.00076570	0.00050829	0.00059909	0.00089124	0.00063833	0.00073589	0.00077205	0.00065792	0.00076334	0.00096370	0.00064584	0.00075357	0.00066046	0.00079072	0.00078902	0.00064412	0.00053117	0.00079629	0.00067080	0.00068348	0.00069854	0.00065797	0.00080940	0.00085321	0.00069531	0.00070299	0.00063013	0.00093782	0.00081554	0.00084852	0.00078505	0.00091908	0.00075391	0.00110329	0.00087625	0.00079550	0.00070095	0.00064398	0.00088495	0.00072419	0.00080531	0.00088804	0.00058232	0.00083302	0.00060645	0.00072966	0.00091479	0.00087166	0.00103419	0.00071495	0.00098999	0.00068947	0.00058139	0.00093038	0.00065710	0.00071752	0.00068369	0.00077868	0.00058260	0.00094956	0.00067136	0.00078057	0.00080075	0.00071227	0.00090776	0.00059254	0.00057372	0.00071117	0.00075615	0.00100736	0.00081709	0.00119754	0.00104811	0.00068689	0.00114218	0.00080153	0.00091573	0.00064593	0.00073239	0.00081992	0.00079073	0.00085338	0.00066104
LC->EN	0.00028177	0.00024920	0.00022895	0.00017483	0.00007021	0.00018328	0.00009039	0.00025142	0.00016794	0.00006657	0.00016878	0.00023478	0.00009753	0.00008857	0.00008851	0.00022402	0.00024182	0.00007871	0.00012913	0.00025200	0.00023670	0.00014001	0.00013623	0.00018205	0.00021034	0.00021876	0.00019344	0.00016039	0.00021807	0.00013608	0.00014652	0.00017325	0.00024229	0.00026131	0.00017782	0.00017542	0.00017706	0.00017341	0.00010333	0.00013619	0.00012376	0.00023193	0.00015534	0.00026786	0.00032363	0.00015935	0.00013776	0.00019973	0.00015644	0.00007728	0.00022168	0.00016686	0.00026533	0.00021114	0.00018815	0.00017946	0.00015941	0.00011577	0.00020396	0.00010115	0.00015652	0.00018108	0.00014331	0.00016661	0.00018035	0.00009189	0.00016076	0.00017502	0.00022040	0.00016739	0.00027074	0.00016765	0.00019095	0.00010645	0.00018499	0.00013185	0.00013912	0.00018504	0.00017019	0.00012993	0.00024854	0.00022129	0.00018816	0.00017574	0.00016279	0.00016799	0.00014251	0.00024828	0.00017536	0.00024407	0.00025515	0.00025254	0.00016219	0.00012803	0.00016369	0.00024818	0.00013722	0.00018656	0.00022326	0.00020120
LC->CR	0.00001525	0.00007153	0.00006799	0.00005461	0.00003618	0.00006426	0.00003438	0.00003759	0.00003591	0.00010740	0.00006096	0.00012488	0.00011436	0.00007106	0.00006679	0.00012293	0.00008369	0.00005915	0.00003089	0.00003773	0.00008368	0.00018644	0.00006376	0.00005116	0.00010324	0.00013652	0.00009487	0.00002920	0.00008129	0.00004124	0.00003065	0.00016504	0.00013167	0.00003491	0.00008075	0.00002989	0.00007331	0.00009180	0.00005665	0.00007766	0.00010295	0.00004110	0.00010811	0.00009471	0.00011638	0.00007545	0.00006056	0.00009439	0.00001916	0.00003231	0.00008969	0.00009665	0.00008407	0.00008038	0.00005976	0.00009270	0.00004056	0.00009164	0.00014313	0.00006255	0.00003970	0.00006116	0.00005800	0.00007526	0.00009450	0.00009490	0.00005455	0.00008143	0.00008372	0.00007148	0.00012718	0.00006725	0.00006020	0.00009537	0.00009144	0.00012911	0.00003662	0.00019090	0.00005979	0.00005733	0.00002695	0.00005826	0.00002596	0.00004138	0.00006240	0.00011413	0.00012036	0.00005601	0.00002976	0.00007488	0.00006856	0.00005267	0.00007789	0.00005827	0.00006249	0.00014182	0.00009997	0.00009009	0.00008181	0.00005078
LC->DD	0.00067585	0.00044068	0.00057640	0.00050195	0.00057982	0.00040689	0.00065512	0.00063125	0.00071305	0.00069235	0.00050696	0.00050896	0.00058531	0.00060094	0.00053046	0.00052107	0.00050353	0.00051539	0.00058726	0.00071570	0.00054365	0.00048376	0.00052791	0.00070567	0.00057555	0.00062179	0.00044408	0.00053023	0.00089352	0.00035177	0.00048686	0.00058127	0.00066482	0.00055323	0.00045596	0.00046041	0.00065795	0.00087495	0.00054854	0.00062219	0.00044810	0.00051194	0.00066450	0.00057136	0.00052763	0.00045260	0.00045491	0.00060684	0.00049699	0.00052639	0.00053467	0.00055710	0.00048897	0.00049401	0.00049146	0.00056771	0.00056735	0.00062173	0.00060682	0.00059657	0.00058909	0.00052049	0.00061112	0.00051730	0.00048611	0.00037007	0.00062443	0.00064461	0.00040832	0.00050281	0.00071695	0.00059801	0.00063939	0.00039100	0.00068363	0.00056737	0.00060791	0.00064320	0.00042487	0.00054231	0.00055265	0.00043870	0.00046503	0.00055907	0.00042474	0.00035360	0.00044984	0.00058310	0.00059763	0.00066104	0.00059100	0.00066137	0.00051823	0.00070598	0.00060506	0.00043938	0.00061731	0.00061731	0.00046522	0.00045355
NT->LC	0.02038086	0.02324502	0.01845805	0.02018783	0.01815162	0.02217991	0.02172968	0.02177359	0.02001417	0.01770118	0.01845851	0.01875885	0.02411732	0.02053954	0.01823319	0.01904137	0.02343024	0.01656342	0.02093816	0.02302497	0.02047267	0.01670336	0.02175495	0.02015536	0.02008221	0.02060557	0.02099846	0.01887582	0.02143644	0.02202794	0.02002935	0.01939945	0.01848730	0.01679062	0.01748150	0.01766059	0.01735835	0.02222322	0.01816219	0.01654328	0.01614181	0.01479524	0.01697813	0.01681012	0.02034880	0.01894368	0.01939916	0.01812060	0.01515964	0.01626256	0.02039088	0.01880232	0.02074582	0.02115040	0.01859660	0.01884196	0.01660750	0.01800107	0.01680464	0.01984900	0.01843325	0.01735353	0.01848987	0.01736664	0.01603028	0.01857257	0.01436437	0.01638330	0.01699198	0.02107950	0.01815967	0.01839252	0.02016442	0.02286453	0.01720204	0.02063640	0.01703327	0.01618634	0.01907274	0.01741539	0.01664913	0.01876385	0.02041429	0.01528254	0.01721323	0.01704167	0.01724234	0.02097653	0.01932658	0.02199732	0.01851160	0.01519349	0.01980255	0.02231475	0.01536615	0.01661300	0.02071164	0.01709521	0.01709883	0.01744817
NT->VU	0.00969214	0.00977990	0.01234820	0.01048125	0.00807117	0.00917273	0.01036045	0.00613902	0.00984784	0.00877523	0.00640992	0.00954575	0.00982318	0.01311491	0.00834287	0.00808469	0.00882349	0.00915020	0.00841407	0.00850442	0.01022800	0.00892267	0.00680893	0.01047486	0.00763137	0.00870639	0.00862467	0.00823760	0.00953303	0.00806321	0.01040267	0.00879221	0.01031582	0.00818971	0.01033833	0.00955360	0.00948683	0.01067614	0.00877751	0.01299341	0.00907518	0.00906012	0.00693033	0.00963699	0.00980263	0.00803025	0.00922846	0.00813358	0.01000477	0.00929257	0.00686932	0.01001647	0.00829039	0.01089608	0.00956095	0.00813024	0.00829223	0.00778255	0.01110095	0.01110012	0.00915177	0.00774155	0.00949412	0.01194162	0.00973965	0.00732834	0.01081803	0.00838871	0.00992322	0.00999603	0.00981386	0.00709544	0.01173895	0.01128126	0.00802269	0.00740297	0.01217866	0.01093911	0.00812336	0.00723729	0.00741761	0.00847801	0.00678152	0.00892268	0.01094209	0.00854067	0.00946914	0.01004630	0.00677777	0.00846010	0.01316801	0.00793946	0.00833496	0.00932784	0.01132060	0.00814345	0.00900256	0.00756520	0.00987890	0.00897777
NT->EN	0.00493960	0.00332997	0.00341722	0.00344693	0.00334471	0.00366573	0.00398101	0.00207658	0.00401159	0.00341958	0.00272657	0.00517013	0.00235737	0.00357483	0.00220010	0.00224676	0.00332600	0.00397471	0.00317726	0.00340175	0.00228422	0.00362460	0.00259605	0.00352264	0.00312096	0.00444127	0.00352270	0.00555116	0.00356117	0.00276113	0.00362735	0.00255851	0.00259334	0.00373617	0.00439862	0.00295358	0.00550078	0.00165328	0.00317731	0.00280505	0.00372849	0.00491110	0.00263749	0.00350163	0.00260726	0.00230954	0.00267173	0.00353681	0.00231060	0.00308781	0.00323581	0.00319235	0.00193128	0.00394472	0.00360891	0.00174199	0.00255433	0.00321023	0.00278513	0.00349663	0.00329807	0.00279780	0.00263982	0.00422699	0.00272591	0.00399075	0.00232767	0.00266634	0.00185917	0.00286248	0.00353994	0.00194115	0.00526525	0.00317670	0.00278518	0.00494975	0.00421356	0.00200726	0.00374208	0.00287568	0.00295464	0.00239296	0.00266752	0.00271900	0.00371975	0.00298000	0.00271647	0.00370371	0.00299025	0.00232064	0.00418639	0.00454192	0.00183744	0.00345517	0.00331665	0.00344070	0.00336406	0.00444310	0.00312100	0.00270471
NT->CR	0.00057417	0.00126611	0.00032611	0.00097223	0.00049022	0.00101208	0.00099079	0.00106485	0.00094098	0.00106737	0.00094453	0.00082630	0.00110005	0.00057153	0.00128475	0.00040846	0.00133493	0.00040658	0.00070012	0.00015084	0.00029371	0.00092467	0.00063012	0.00058750	0.00065210	0.00079611	0.00021067	0.00021775	0.00103677	0.00159322	0.00111291	0.00139758	0.00078186	0.00111282	0.00041571	0.00043590	0.00025051	0.00097104	0.00104268	0.00086766	0.00078584	0.00123610	0.00061919	0.00039597	0.00117620	0.00045705	0.00109989	0.00057554	0.00047667	0.00028522	0.00062636	0.00160484	0.00104050	0.00091927	0.00025129	0.00064213	0.00128124	0.00075099	0.00131182	0.00112222	0.00048557	0.00093923	0.00063251	0.00128827	0.00035526	0.00102657	0.00084210	0.00031428	0.00020174	0.00086549	0.00054922	0.00078254	0.00080167	0.00088296	0.00061293	0.00240175	0.00024886	0.00097921	0.00118543	0.00064417	0.00077282	0.00045516	0.00075351	0.00055593	0.00053368	0.00085532	0.00098967	0.00099568	0.00102370	0.00092928	0.00054165	0.00092145	0.00089831	0.00070487	0.00091449	0.00091715	0.00050633	0.00110749	0.00071499	0.00114083
NT->DD	0.00418339	0.00439953	0.00382362	0.00348877	0.00358157	0.00438408	0.00333575	0.00304421	0.00561349	0.00341380	0.00381116	0.00450324	0.00235805	0.00317559	0.00626450	0.00336824	0.00511298	0.00451268	0.00422638	0.00410491	0.00342782	0.00324161	0.00413273	0.00419200	0.00324468	0.00439554	0.00612620	0.00244285	0.00344472	0.00367607	0.00489453	0.00446776	0.00354274	0.00338251	0.00390313	0.00534912	0.00412006	0.00422244	0.00308233	0.00297228	0.00596344	0.00444073	0.00520325	0.00401096	0.00568640	0.00294495	0.00379362	0.00407634	0.00312002	0.00456430	0.00373052	0.00418358	0.00388792	0.00426083	0.00412752	0.00377480	0.00395851	0.00344366	0.00337779	0.00499637	0.00355787	0.00486099	0.00534935	0.00259235	0.00521043	0.00381745	0.00511782	0.00464981	0.00286218	0.00319880	0.00420920	0.00385397	0.00273313	0.00471586	0.00385876	0.00425408	0.00440217	0.00460548	0.00309495	0.00373921	0.00371218	0.00415761	0.00305026	0.00409622	0.00334287	0.00555989	0.00645665	0.00426265	0.00399907	0.00415560	0.00249741	0.00385493	0.00453913	0.00286159	0.00367422	0.00673817	0.00461834	0.00406031	0.00515605	0.00526994
