species	2011	1996	2014	2006	1994	2019	2008	2004	1990	1988	1986	2010	2016	2013	2000	2015	2018	2017	2007	2012	2020	2009	2003	2002
Aaptosyax grypus	CR	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mirogrex hulensis	NA	EX	EX	EX	Ex?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paracanthocobitis urophthalma	NA	LR/cd	NA	NA	V	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salmo ohridanus	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acheilognathus elongatus	NA	EN	NA	NA	I	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acheilognathus longipinnis	NA	VU	NA	NA	E	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser brevirostrum	NA	VU	NA	NA	V	NA	NA	VU	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser fulvescens	NA	VU	NA	NA	V	NA	NA	LC	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser naccarii	CR	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser nudiventris	NA	EX	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser ruthenus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser schrenckii	NA	EN	NA	NA	V	NA	NA	NA	V	V	V	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser stellatus	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser sturio	NA	CR	NA	NA	E	NA	NA	NA	E	E	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser dabryanus	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser gueldenstaedtii	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser medirostris	NA	VU	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser transmontanus	NA	EN	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser persicus	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser sinensis	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser mikadoi	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser baerii	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser oxyrinchus	NA	LR/nt	NA	NT	NA	NA	NA	NA	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser nudiventris	NA	EX	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acipenser transmontanus	NA	EN	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adrianichthys kruyti	NA	CR	NA	NA	E	CR	NA	NA	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agonostomus telfairii	NA	LR/lc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alburnus akili	NA	VU	EX	EX	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alburnus albidus	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alburnus alburnus	NA	LR/lc	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alburnus heckeli	NA	DD	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haplochromis welcommei	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allotoca maculata	NA	CR	NA	NA	E	CR	NA	NA	E	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alosa alosa	NA	DD	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alosa fallax	NA	DD	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alosa macedonica	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alosa maeotica	NA	DD	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alosa immaculata	NA	DD	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alosa alabamae	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis agassizii	NA	DD	NA	NA	R	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis elongata	NA	LR/lc	NA	NA	K	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ambloplites cavifrons	NA	VU	NA	NA	R	NA	NA	NA	R	R	R	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Troglichthys rosae	NA	VU	NT	NA	V	NA	NA	NA	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amblyopsis spelaea	NA	VU	NT	NA	V	NA	NA	NA	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ameca splendens	NA	EW	NA	NA	E	CR	NA	NA	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anabarilius polylepis	NA	EN	NA	NA	I	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anaecypris hispanica	NA	EN	NA	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gogo brevibarbis	NA	DD	NA	NA	K	NA	NA	DD	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ancharius fuscus	NA	DD	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anisotremus moricandi	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Choranthias salmopunctatus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Aphanius anatoliae	NA	EN	NT	DD	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
