species	2004	2002	1996	1994	2013	2017	2010	2016	2019	2009	1990	1988	2015	2008	1986	2006	2018	2000	2012	2020	2011	2014
Adelotus brevis	NT	NT	LR/nt	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Afrixalus aureus	LC	NA	LR/lc	R	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alsodes barrioi	VU	NA	DD	R	NA	EN	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alsodes montanus	CR	NA	DD	E	NA	NA	CR	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alsodes vanzolinii	CR	NA	DD	V	NA	NA	CR	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alytes muletensis	VU	NA	CR	E	NA	NA	NA	NA	NA	VU	E	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alytes dickhilleni	VU	NA	VU	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ambystoma lermaense	CR	NA	CR	R	NA	NA	NA	NA	NA	NA	R	R	EN	CR	R	NA	NA	NA	NA	NA	NA	NA
Ambystoma mexicanum	VU	NA	VU	R	NA	NA	CR	NA	NA	NA	R	R	NA	NA	R	CR	NA	NA	NA	NA	NA	NA
Ambystoma californiense	VU	NA	VU	V	NA	NA	NA	NA	NA	NA	V	V	NA	NA	V	NA	NA	NA	NA	NA	NA	NA
Ambystoma cingulatum	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Andrias davidianus	CR	NA	DD	I	NA	NA	NA	NA	NA	NA	I	I	NA	NA	I	NA	NA	NA	NA	NA	NA	NA
Andrias japonicus	NT	NA	VU	R	NA	NA	NA	NA	NA	NA	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA
Aneides aeneus	NT	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anhydrophryne rattrayi	EN	NA	LR/nt	R	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arthroleptides dutoiti	CR	NA	EX	Ex?	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chaltenobatrachus grandisonae	DD	NA	VU	K	NA	NA	DD	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atelognathus nitoi	VU	NA	VU	I	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atelognathus reverberii	EN	NA	VU	R	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atelognathus solitarius	VU	NA	VU	R	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Telmatobius macrostomus	EN	NA	VU	K	NA	NA	NA	NA	NA	NA	K	K	NA	NA	K	NA	EN	NA	NA	NA	NA	NA
Batrachoseps simatus	VU	NA	VU	R	NA	NA	VU	NA	NA	NA	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA
Batrachoseps stebbinsi	VU	NA	VU	R	NA	NA	VU	NA	NA	NA	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA
Batrachoseps campi	EN	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Batrachoseps relictus	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Afghanodon mustersi	CR	NA	EN	K	NA	NA	NA	NA	NA	NA	K	K	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA
Iranodon persicus	NT	NA	VU	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA
Iranodon gorganensis	CR	NA	VU	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA
Bombina bombina	LC	NA	LR/cd	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Breviceps gibbosus	VU	NA	VU	V	NA	NT	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Breviceps macrops	VU	NA	VU	R	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anaxyrus exsul	VU	NA	VU	R	NA	NA	NA	NA	NA	NA	R	R	NA	NA	V	NA	NA	NA	NA	NA	NA	NA
Anaxyrus houstonensis	EN	NA	EN	E	NA	NA	NA	NA	NA	NA	E	E	NA	NA	E	NA	NA	NA	NA	NA	NA	NA
