species	1998	1978	2004	2013	2009	2016	2020	2019	2017	2000	2018	2003	2015	2014	2006	2011	2008	2010	2012	1997
Dracaena draco	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dracaena ombet	EN	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dracaena cinnabari	EN	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dracaena concinna	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dracaena floribunda	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloe eminens	LR/nt	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloe ballyi	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloe comosa	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloe khamiesensis	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloidendron pillansii	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloidendron ramosissimum	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chrysodracon fernaldii	EN	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chrysodracon auwahiensis	V	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chrysodracon forbesii	E	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chrysodracon halapepe	V	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chrysodracon hawaiiensis	E	NA	NA	NA	NA	EN	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dracaena serrulata	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dracaena umbraculifera	E	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloe ballii	E	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dracaena americana	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloe helenae	CR	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloe suzannae	CR	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorophytum petrophilum	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dracaena bueana	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Angraecopsis cryptantha	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA
Angraecopsis tridens	NA	NA	VU	NA	NA	NA	NA	NA	NA	EN	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barombia gracillima	NA	NA	NA	NA	NA	NA	NA	NA	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bulbophyllum filiforme	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bulbophyllum gravidum	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bulbophyllum modicum	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bulbophyllum porphyrostachys	NA	NA	NA	NA	NA	NA	NA	NA	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kylicanthe bueae	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Disperis kamerunensis	NA	NA	NA	NA	NA	NA	CR	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gastrodia africana	NA	NA	NA	NA	NA	NA	EN	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Genyorchis macrantha	NA	NA	NA	NA	NA	NA	EN	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bulbophyllum platybulbon	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
