species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2011	2010	2006	2007	2005	2002	2014	2001	2003
Rhea americana	NT	NT	NT	NT	LR/nt	LR/nt	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Casuarius casuarius	VU	VU	VU	VU	VU	VU	LR/lc	LC	LC	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Casuarius bennetti	LC	NT	NT	NT	LR/nt	LR/nt	LR/lc	NA	NA	NA	LC	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Casuarius unappendiculatus	VU	VU	VU	VU	VU	VU	LR/lc	NA	LC	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dromaius novaehollandiae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apteryx australis	VU	VU	VU	VU	VU	NR	NR	NA	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apteryx owenii	NT	NT	NT	VU	VU	VU	T	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apteryx haastii	VU	VU	VU	VU	VU	VU	LR/lc	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tinamus tao	VU	VU	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tinamus solitarius	NT	NT	NT	NT	LR/nt	LR/nt	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tinamus osgoodi	VU	VU	VU	VU	VU	DD	T	NA	NA	DD	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Tinamus major	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tinamus guttatus	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nothocercus bonapartei	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nothocercus julius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nothocercus nigrocapillus	VU	VU	LC	LC	LR/lc	LR/nt	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crypturellus berlepschi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crypturellus cinereus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crypturellus soui	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crypturellus ptaritepui	LC	LC	LC	LC	LR/lc	VU	LR/lc	NA	NA	VU	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crypturellus obsoletus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crypturellus undulatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
