species	2015	2009	2000	1996	2019	1994	1990	2018	2007	2006	2013	2016	2005	2003	2002	2004	2017	2011	2012	2010
Bathyraja abyssicola	DD	DD	DD	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus limbatus	NA	NT	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus obscurus	NA	VU	LR/nt	EN	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus plumbeus	NA	VU	LR/nt	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharias taurus	NA	VU	VU	EN	NA	NA	NA	NA	CR	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA
Carcharodon carcharias	NA	VU	VU	VU	VU	K	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cetorhinus maximus	NA	VU	VU	VU	EN	K	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dalatias licha	NA	NT	DD	LR/nt	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glyphis gangeticus	NA	NA	NA	CR	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hexanchus griseus	NA	NT	LR/nt	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lamna nasus	NA	NA	LR/nt	VU	VU	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pristis pectinata	NA	NA	EN	EN	NA	NA	NA	NA	NA	CR	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhincodon typus	NA	NA	VU	DD	NA	I	I	NA	NA	NA	NA	EN	VU	NA	NA	NA	NA	NA	NA	NA
Notorynchus cepedianus	NA	DD	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pristiophorus cirratus	NA	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Squatina californica	NA	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NT	NT	NA	NA	NA	NA	NA	NA	NA
Squatina argentina	NA	NA	DD	NA	CR	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Squatina occulta	NA	NA	EN	NA	CR	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Squatina squatina	CR	NA	VU	NA	CR	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterodontus francisci	DD	NA	LR/lc	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heterodontus portusjacksoni	LC	NA	LR/lc	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Brachaelurus colcloughi	VU	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Odontaspis noronhai	NA	DD	DD	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudocarcharias kamoharai	NA	NT	LR/nt	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megachasma pelagios	LC	NA	DD	NA	LC	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Alopias vulpinus	NA	VU	DD	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA
Isurus oxyrinchus	NA	NT	LR/nt	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lamna ditropis	NA	LC	DD	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haploblepharus edwardsii	NA	NT	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haploblepharus fuscus	NA	VU	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Schroederichthys bivius	NA	DD	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Poroderma africanum	NA	NT	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scyliorhinus capensis	NA	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA
Leptocharias smithii	NA	NT	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Furgaleus macki	NA	NA	LR/cd	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Galeorhinus galeus	NA	NA	VU	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hemitriakis leucoperiptera	NA	NA	EN	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hypogaleus hyugaensis	NA	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	LC	NT	NA	NA	NA	NA	NA	NA	NA
Mustelus antarcticus	NA	NA	LR/cd	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA
Mustelus lenticulatus	NA	NA	LR/cd	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Mustelus asterias	NA	LC	LR/lc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mustelus mustelus	NA	VU	LR/lc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mustelus canis	NA	NT	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scylliogaleus quecketti	NA	VU	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Triakis acutipinna	NA	EN	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Triakis megalopterus	NA	NT	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Triakis semifasciata	LC	LC	LR/cd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus amblyrhynchos	NA	NT	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus amboinensis	NA	NT	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus borneensis	NA	EN	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus brevipinna	NA	NT	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus hemiodon	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA
Carcharhinus falciformis	NA	NT	LR/lc	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	VU	NA	NA	NA
Carcharhinus leiodon	NA	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA
Carcharhinus leucas	NA	NT	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus limbatus	NA	NT	VU	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carcharhinus longimanus	VU	NA	LR/nt	NA	CR	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
