species	2008	1996	2016	2010	1994	1990	1988	1986	1983	2020	2013	2004	2018	2006	2007	2015	2014	2017	2011	2019
Afrithelphusa leonensis	DD	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Afrithelphusa gerhildae	DD	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Afrithelphusa afzelii	DD	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Afrithelphusa monodosa	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astacoides madagascarensis	NA	DD	DD	DD	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astacoides crosnieri	NA	EN	VU	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astacoides petiti	NA	EN	DD	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astacoides granulimanus	NA	DD	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astacoides caldwelli	NA	DD	VU	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astacoides betsileoensis	NA	DD	VU	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astacopsis gouldi	NA	EN	NA	EN	I	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astacus astacus	NA	VU	NA	VU	V	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Austropotamobius pallipes	NA	VU	NA	EN	R	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Austropotamobius torrentium	NA	VU	NA	DD	K	K	K	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barbouria cubensis	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Birgus latro	NA	DD	NA	NA	R	R	R	R	R	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarellus blacki	NA	EN	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarellus diminutus	NA	VU	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarellus lesliei	NA	VU	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus batchi	NA	VU	NA	LC	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus bouchardi	NA	VU	NA	NT	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus catagius	NA	VU	NA	DD	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus extraneus	NA	VU	NA	DD	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus obeyensis	NA	VU	NA	CR	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus zophonastes	NA	CR	NA	CR	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus deweesae	NA	EN	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus pristinus	NA	VU	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus pyronotus	NA	EN	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus subterraneus	NA	EN	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus tartarus	NA	CR	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus williami	NA	EN	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus truncatus	NA	EN	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus unestami	NA	VU	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus veteranus	NA	VU	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus aculabrum	NA	EN	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus chaugaensis	NA	VU	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus coosawattae	NA	VU	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambarus cryptodytes	NA	VU	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
