species	2017	1996	1994	1990	1988	2018	2010	2006	1986	2016	2007	2020	2013	2009	2019	2004	1983	2008	2011	2014	2003
Acanthaeschna victoria	EN	VU	K	K	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aciagrion rarum	NA	DD	I	I	I	DD	DD	DD	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pinheyschna meruensis	NA	EN	R	R	R	NA	LC	LC	R	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aeshna persephone	NA	VU	R	R	R	LC	NA	NA	R	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aeshna viridis	NA	LR/nt	I	I	I	NA	NA	LC	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aeshna williamsoniana	NA	EN	I	I	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amanipodagrion gilliesi	NA	EN	E	E	E	NA	CR	CR	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amphipteryx agrioides	NA	EN	I	I	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antipodochlora braueri	NA	LR/nt	I	I	I	NA	NA	LC	I	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA
Argiocnemis solitaria	NA	CR	E	E	E	NA	NA	DD	E	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Asiagomphus yayeyamensis	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Austrocordulia leonardi	NA	CR	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA
Bayadera ishigakiana	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ischnura ezoin	NA	CR	R	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA
Boninthemis insularis	NA	CR	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brachythemis fuscopalliata	NA	VU	E	E	E	NA	NA	VU	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burmagomphus sivalikensis	NA	CR	V	V	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calopteryx angustipennis	NA	LR/nt	R	I	I	LC	NA	LC	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calopteryx syriaca	NA	EN	E	E	E	NA	EN	NA	E	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cephalaeschna acutifrons	NA	VU	V	V	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceriagrion mourae	NA	DD	I	I	I	LC	LC	DD	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorogomphus iriomotensis	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Chlorogomphus okinawensis	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorolestes draconicus	NA	LR/nt	R	R	NA	NA	LC	NA	NA	NA	LC	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA
Chlorolestes apricans	NA	EN	R	NA	NA	EN	EN	NA	NA	NA	EN	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA
Coenagrion mercuriale	NA	VU	V	V	V	NA	NA	NT	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Trithemis longistyla	NA	DD	K	K	K	NA	LC	DD	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cordulegaster mzymtae	NA	VU	E	E	E	NA	NA	LC	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ecchlorolestes nylephtha	NA	LR/nt	R	E	E	NA	NT	NA	E	NA	NT	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA
Ecchlorolestes peringueyi	NA	EN	R	E	E	NT	VU	NA	E	NA	VU	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA
Enallagma recurvatum	NA	VU	V	V	V	LC	NA	NA	V	NA	LC	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Epigomphus camelus	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA
Epigomphus clavatus	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA
Epigomphus crepidus	NA	EN	I	I	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Epigomphus paulsoni	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Epigomphus subsimilis	NA	EN	I	I	NA	NA	NA	EN	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA
