species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2011	2010	2006	2007	2005	2002	2014	2001	2003
Abeillia abeillei	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Abroscopus albogularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Abroscopus schisticeps	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Abroscopus superciliaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Aburria aburri	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc															
Acanthagenys rufogularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Acanthidops bairdi	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC									
Acanthis flammea	LC	LC						LC				LC										
Acanthisitta chloris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Acanthiza apicalis	LC	LC	LC	LC	LR/lc	LR/lc	NR						LC									
Acanthiza chrysorrhoa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Acanthiza cinerea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Acanthiza ewingii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Acanthiza inornata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Acanthiza iredalei	LC	LC	LC	LC	LR/lc	VU	LR/lc			VU			LC									
Acanthiza katherina	LC	LC	LC	LC	LR/lc	LR/cd	LR/lc			LR/cd			LC									
Acanthiza lineata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Acanthiza murina	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Acanthiza nana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
Acanthiza pusilla	LC	LC	LC	LC	LR/lc	LR/lc	NR						LC									
Acanthiza reguloides	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC									
