species	2016	2008	1996	1994	2015	2002	1990	1988	1986	2004	2019	2000	2013	2006	1965	1992	2017	2003	2018	2014	1982	2007	2009	2010	2012	2011
Abditomys latidens	DD	DD	LR/lc																							
Abeomelomys sevia	LC	LC	LR/lc																							
Abrawayaomys chebezi											DD															
Abrawayaomys ruschii	LC																									
Abrocoma bennettii	LC	LC	LR/lc																							
Abrocoma boliviensis	CR	CR	VU																							
Abrocoma budini	DD	DD																								
Abrocoma cinerea	LC	LC	LR/lc																							
Abrocoma famatina	DD	DD																								
Abrocoma shistacea	LC	DD																								
Abrocoma uspallata	DD	DD																								
Abrocoma vaccarum	DD	DD																								
Abrothrix andinus	LC	LC	LR/lc																							
Abrothrix illutea	LC	NT	LR/lc																							
Abrothrix jelskii	LC	LC	LR/lc																							
Abrothrix lanosus	LC	LC	LR/lc																							
Abrothrix longipilis	LC	LC	LR/lc																							
Abrothrix olivaceus		LC	LR/lc														LC									
Abrothrix sanborni		NT	LR/lc																NT							
Acerodon celebensis	VU	LC	LR/nt																							
Acerodon humilis	EN	EN	VU																							
Acerodon jubatus	EN	EN	EN	E																						
Acerodon leucotis		VU	VU																							
Acerodon mackloti	VU	VU	LR/lc																							
Acinonyx jubatus		VU	VU	V	VU	VU	V	V	V																	
Acomys airensis	LC	LC								LC																
Acomys cahirinus	LC	LC	LR/lc							LC																
Acomys cilicicus		DD	CR								DD															
Acomys cineraceus	LC	LC	LR/lc							LC																
Acomys dimidiatus	LC	LC																								
Acomys ignitus	LC	LC	LR/lc							LC																
Acomys johannis	LC	LC								LC																
Acomys kempi	LC	LC	LR/lc							LC																
Acomys louisae	LC	LC	LR/lc							LC																
Acomys minous		DD	VU								DD															
Acomys mullah	LC	LC	LR/lc							LC																
Acomys muzei											LC															
Acomys nesiotes		DD	LR/nt								DD	DD														
Acomys ngurui											LC															
Acomys percivali	LC	LC	LR/lc							LC																
Acomys russatus	LC	LC	LR/lc																							
Acomys selousi											LC															
Acomys seurati		LC								LC																
Acomys spinosissimus	LC										LC															
Acomys wilsoni	LC	LC	LR/lc							LC																
Aconaemys fuscus	LC	LC	LR/lc										LC													
Aconaemys porteri	DD	DD																								
Aconaemys sagei	DD	DD	LR/lc										DD													
Acrobates pygmaeus	LC	LC	LR/lc																							
Addax nasomaculatus	CR	CR	EN	E			E	E	E			CR		CR												
Aegialomys galapagoensis		VU	CR			VU													VU							
Aegialomys xanthaeolus	LC	LC	LR/lc																							
Aepeomys lugens	LC	LC	LR/lc																							
Aepeomys reigi		VU																	VU							
Aepyceros melampus	LC	LC	LR/cd																							
Aepyprymnus rufescens	LC	LC	LR/lc																							
Aeretes melanopterus	NT	NT	LR/nt																							
Aeromys tephromelas	DD	DD	LR/lc																							
Aeromys thomasi	LC	DD	LR/lc																							
Aethalops aequalis	LC	LC																								
Aethalops alecto	LC	LC	LR/nt	I												I										
Aethomys bocagei	LC	LC	LR/lc							LC																
Aethomys chrysophilus	LC	LC	LR/lc							LC																
Aethomys hindei	LC	LC	LR/lc							LC																
Aethomys ineptus	LC	LC								LC																
Aethomys kaiseri	LC	LC	LR/lc							LC																
Aethomys nyikae	LC	LC	LR/lc							LC																
Aethomys silindensis		DD	LR/lc	R						VU							DD									
Aethomys stannarius		DD	LR/nt							NT							DD									
Aethomys thomasi	LC	LC	LR/lc							LC																
Ailuropoda melanoleuca	VU	EN	EN	E			E	R	R																	
Ailurops melanotis	CR	CR																								
Ailurops ursinus		VU	DD								VU															
Ailurus fulgens		VU	EN	V	EN		K	K																		
Akodon aerosus	LC	LC	LR/lc																							
Akodon affinis	LC	LC	LR/lc																							
Akodon albiventer	LC	LC	LR/lc																							
Akodon azarae	LC	LC	LR/lc																							
Akodon boliviensis	LC	LC	LR/lc																							
Akodon budini	LC	LC	LR/lc																							
Akodon caenosus											DD															
Akodon cursor	LC	LC	LR/lc																							
Akodon dayi	LC	LC	LR/lc																							
Akodon dolores																	LC									
Akodon fumeus	LC	LC	LR/lc																							
Akodon iniscatus	LC	LC	LR/lc																							
Akodon juninensis	LC	LC	LR/lc																							
Akodon kofordi	LC	LC	LR/lc																							
Akodon lindberghi		DD	VU								DD															
Akodon lutescens	LC	LC	LR/lc																							
Akodon mimus	LC	LC	LR/lc																							
Akodon molinae	LC	LC	LR/lc																							
Akodon mollis	LC	LC	LR/lc																							
Akodon montensis	LC	LC																								
Akodon mystax		DD									DD															
Akodon orophilus	LC	LC	LR/lc																							
Akodon paranaensis		LC															LC									
Akodon pervalens		DD									DD															
Akodon philipmyersi		DD									DD															
Akodon polopi																			LC							
Akodon reigi		LC															LC									
Akodon sanctipaulensis		DD	LR/nt								DD															
Akodon serrensis	LC	LC	LR/lc																							
Akodon siberiae		NT	VU																NT							
Akodon simulator	LC	LC	LR/lc																							
Akodon spegazzinii	LC																		LC							
Akodon subfuscus	LC	LC	LR/lc																							
Akodon surdus		VU	LR/lc																VU							
Akodon sylvanus	LC	LC	LR/lc																							
Akodon toba	LC	LC	LR/lc																							
Akodon torques	LC	LC	LR/lc																							
Akodon varius		DD	LR/lc								DD															
Alcelaphus buselaphus	LC	LC	LR/cd																							
Alces alces	LC																									
Alionycteris paucidentata	LC	LC	VU	R			K	K																		
Allactaga balikunica	LC	LC	LR/lc																							
Allactaga bullata	LC	LC	LR/nt																							
Allactaga elater	LC																									
Allactaga euphratica		NT	LR/nt																							
Allactaga firouzi	DD	DD	CR																							
Allactaga hotsoni	LC	LC	LR/lc																							
Allactaga major	LC	LC	LR/lc																							
Allactaga severtzovi	LC	LC	LR/lc																							
Allactaga sibirica	LC	LC	LR/lc																							
Allactaga tetradactyla		VU	EN	V						DD							DD									
Allactaga vinogradovi		NT	LR/lc																							
Allactaga williamsi	LC	LC																								
Allactodipus bobrinskii	LC	LC	LR/lc																							
Allenopithecus nigroviridis		LC	LR/nt	K			K	K	K																	
Allocebus trichotis		DD	CR	E			E	E	E			EN								VU						
Allochrocebus lhoesti	VU	VU	LR/nt	V			V	V	V																	VU
Allochrocebus preussi	EN	EN	EN	E			E	E	V		EN	EN														
Allochrocebus solatus	VU	VU	VU	E			V	V			NT	VU														
Allocricetulus curtatus	LC	LC	LR/lc																							
Allocricetulus eversmanni	LC	LC	LR/lc																							
Alouatta arctoidea		LC																	LC							
Alouatta belzebul		VU	LR/lc									LR/lc														
Alouatta caraya		LC	LR/lc															LC								
Alouatta discolor		VU	LR/lc															LC								
Alouatta guariba		LC	VU	V			V	I	I			VU						NT			I					
Alouatta macconnelli		LC	VU									VU						VU								
Alouatta nigerrima		LC																	LC							
Alouatta palliata		LC	LR/lc									LR/lc						LC								
Alouatta pigra		EN	LR/lc	K			K	I	I			LR/lc						EN			I					
Alouatta sara		LC	LR/lc															LC								
Alouatta ululata		EN	CR	E								CR						CR								
Alticola albicaudus	DD	DD	LR/nt																							
Alticola argentatus	LC	LC	LR/lc																							
Alticola barakshin	LC	LC	LR/lc																							
Alticola lemminus	LC	LC	LR/lc																							
Alticola macrotis	LC	LC	LR/lc																							
Alticola montosa	VU	VU	VU																							
Alticola olchonensis	EN	DD																								
